"name","n","dim","i","data"
"linear",100,25,0,"cat"
"rbf",100,25,0,"cat"
"matern32",100,25,0,"cat"
"complex",100,25,0,"cat"
"linear",200,25,0,"cat"
"rbf",200,25,0,"cat"
"matern32",200,25,0,"cat"
"complex",200,25,0,"cat"
"linear",500,25,0,"cat"
"rbf",500,25,0,"cat"
"matern32",500,25,0,"cat"
"complex",500,25,0,"cat"
"linear",1000,25,0,"cat"
"rbf",1000,25,0,"cat"
"matern32",1000,25,0,"cat"
"complex",1000,25,0,"cat"
"linear",100,50,0,"cat"
"rbf",100,50,0,"cat"
"matern32",100,50,0,"cat"
"complex",100,50,0,"cat"
"linear",200,50,0,"cat"
"rbf",200,50,0,"cat"
"matern32",200,50,0,"cat"
"complex",200,50,0,"cat"
"linear",500,50,0,"cat"
"rbf",500,50,0,"cat"
"matern32",500,50,0,"cat"
"complex",500,50,0,"cat"
"linear",1000,50,0,"cat"
"rbf",1000,50,0,"cat"
"matern32",1000,50,0,"cat"
"complex",1000,50,0,"cat"
"linear",100,100,0,"cat"
"rbf",100,100,0,"cat"
"matern32",100,100,0,"cat"
"complex",100,100,0,"cat"
"linear",200,100,0,"cat"
"rbf",200,100,0,"cat"
"matern32",200,100,0,"cat"
"complex",200,100,0,"cat"
"linear",500,100,0,"cat"
"rbf",500,100,0,"cat"
"matern32",500,100,0,"cat"
"complex",500,100,0,"cat"
"linear",1000,100,0,"cat"
"rbf",1000,100,0,"cat"
"matern32",1000,100,0,"cat"
"complex",1000,100,0,"cat"
"linear",100,25,1,"cat"
"rbf",100,25,1,"cat"
"matern32",100,25,1,"cat"
"complex",100,25,1,"cat"
"linear",200,25,1,"cat"
"rbf",200,25,1,"cat"
"matern32",200,25,1,"cat"
"complex",200,25,1,"cat"
"linear",500,25,1,"cat"
"rbf",500,25,1,"cat"
"matern32",500,25,1,"cat"
"complex",500,25,1,"cat"
"linear",1000,25,1,"cat"
"rbf",1000,25,1,"cat"
"matern32",1000,25,1,"cat"
"complex",1000,25,1,"cat"
"linear",100,50,1,"cat"
"rbf",100,50,1,"cat"
"matern32",100,50,1,"cat"
"complex",100,50,1,"cat"
"linear",200,50,1,"cat"
"rbf",200,50,1,"cat"
"matern32",200,50,1,"cat"
"complex",200,50,1,"cat"
"linear",500,50,1,"cat"
"rbf",500,50,1,"cat"
"matern32",500,50,1,"cat"
"complex",500,50,1,"cat"
"linear",1000,50,1,"cat"
"rbf",1000,50,1,"cat"
"matern32",1000,50,1,"cat"
"complex",1000,50,1,"cat"
"linear",100,100,1,"cat"
"rbf",100,100,1,"cat"
"matern32",100,100,1,"cat"
"complex",100,100,1,"cat"
"linear",200,100,1,"cat"
"rbf",200,100,1,"cat"
"matern32",200,100,1,"cat"
"complex",200,100,1,"cat"
"linear",500,100,1,"cat"
"rbf",500,100,1,"cat"
"matern32",500,100,1,"cat"
"complex",500,100,1,"cat"
"linear",1000,100,1,"cat"
"rbf",1000,100,1,"cat"
"matern32",1000,100,1,"cat"
"complex",1000,100,1,"cat"
"linear",100,25,2,"cat"
"rbf",100,25,2,"cat"
"matern32",100,25,2,"cat"
"complex",100,25,2,"cat"
"linear",200,25,2,"cat"
"rbf",200,25,2,"cat"
"matern32",200,25,2,"cat"
"complex",200,25,2,"cat"
"linear",500,25,2,"cat"
"rbf",500,25,2,"cat"
"matern32",500,25,2,"cat"
"complex",500,25,2,"cat"
"linear",1000,25,2,"cat"
"rbf",1000,25,2,"cat"
"matern32",1000,25,2,"cat"
"complex",1000,25,2,"cat"
"linear",100,50,2,"cat"
"rbf",100,50,2,"cat"
"matern32",100,50,2,"cat"
"complex",100,50,2,"cat"
"linear",200,50,2,"cat"
"rbf",200,50,2,"cat"
"matern32",200,50,2,"cat"
"complex",200,50,2,"cat"
"linear",500,50,2,"cat"
"rbf",500,50,2,"cat"
"matern32",500,50,2,"cat"
"complex",500,50,2,"cat"
"linear",1000,50,2,"cat"
"rbf",1000,50,2,"cat"
"matern32",1000,50,2,"cat"
"complex",1000,50,2,"cat"
"linear",100,100,2,"cat"
"rbf",100,100,2,"cat"
"matern32",100,100,2,"cat"
"complex",100,100,2,"cat"
"linear",200,100,2,"cat"
"rbf",200,100,2,"cat"
"matern32",200,100,2,"cat"
"complex",200,100,2,"cat"
"linear",500,100,2,"cat"
"rbf",500,100,2,"cat"
"matern32",500,100,2,"cat"
"complex",500,100,2,"cat"
"linear",1000,100,2,"cat"
"rbf",1000,100,2,"cat"
"matern32",1000,100,2,"cat"
"complex",1000,100,2,"cat"
"linear",100,25,3,"cat"
"rbf",100,25,3,"cat"
"matern32",100,25,3,"cat"
"complex",100,25,3,"cat"
"linear",200,25,3,"cat"
"rbf",200,25,3,"cat"
"matern32",200,25,3,"cat"
"complex",200,25,3,"cat"
"linear",500,25,3,"cat"
"rbf",500,25,3,"cat"
"matern32",500,25,3,"cat"
"complex",500,25,3,"cat"
"linear",1000,25,3,"cat"
"rbf",1000,25,3,"cat"
"matern32",1000,25,3,"cat"
"complex",1000,25,3,"cat"
"linear",100,50,3,"cat"
"rbf",100,50,3,"cat"
"matern32",100,50,3,"cat"
"complex",100,50,3,"cat"
"linear",200,50,3,"cat"
"rbf",200,50,3,"cat"
"matern32",200,50,3,"cat"
"complex",200,50,3,"cat"
"linear",500,50,3,"cat"
"rbf",500,50,3,"cat"
"matern32",500,50,3,"cat"
"complex",500,50,3,"cat"
"linear",1000,50,3,"cat"
"rbf",1000,50,3,"cat"
"matern32",1000,50,3,"cat"
"complex",1000,50,3,"cat"
"linear",100,100,3,"cat"
"rbf",100,100,3,"cat"
"matern32",100,100,3,"cat"
"complex",100,100,3,"cat"
"linear",200,100,3,"cat"
"rbf",200,100,3,"cat"
"matern32",200,100,3,"cat"
"complex",200,100,3,"cat"
"linear",500,100,3,"cat"
"rbf",500,100,3,"cat"
"matern32",500,100,3,"cat"
"complex",500,100,3,"cat"
"linear",1000,100,3,"cat"
"rbf",1000,100,3,"cat"
"matern32",1000,100,3,"cat"
"complex",1000,100,3,"cat"
"linear",100,25,4,"cat"
"rbf",100,25,4,"cat"
"matern32",100,25,4,"cat"
"complex",100,25,4,"cat"
"linear",200,25,4,"cat"
"rbf",200,25,4,"cat"
"matern32",200,25,4,"cat"
"complex",200,25,4,"cat"
"linear",500,25,4,"cat"
"rbf",500,25,4,"cat"
"matern32",500,25,4,"cat"
"complex",500,25,4,"cat"
"linear",1000,25,4,"cat"
"rbf",1000,25,4,"cat"
"matern32",1000,25,4,"cat"
"complex",1000,25,4,"cat"
"linear",100,50,4,"cat"
"rbf",100,50,4,"cat"
"matern32",100,50,4,"cat"
"complex",100,50,4,"cat"
"linear",200,50,4,"cat"
"rbf",200,50,4,"cat"
"matern32",200,50,4,"cat"
"complex",200,50,4,"cat"
"linear",500,50,4,"cat"
"rbf",500,50,4,"cat"
"matern32",500,50,4,"cat"
"complex",500,50,4,"cat"
"linear",1000,50,4,"cat"
"rbf",1000,50,4,"cat"
"matern32",1000,50,4,"cat"
"complex",1000,50,4,"cat"
"linear",100,100,4,"cat"
"rbf",100,100,4,"cat"
"matern32",100,100,4,"cat"
"complex",100,100,4,"cat"
"linear",200,100,4,"cat"
"rbf",200,100,4,"cat"
"matern32",200,100,4,"cat"
"complex",200,100,4,"cat"
"linear",500,100,4,"cat"
"rbf",500,100,4,"cat"
"matern32",500,100,4,"cat"
"complex",500,100,4,"cat"
"linear",1000,100,4,"cat"
"rbf",1000,100,4,"cat"
"matern32",1000,100,4,"cat"
"complex",1000,100,4,"cat"
"linear",100,25,5,"cat"
"rbf",100,25,5,"cat"
"matern32",100,25,5,"cat"
"complex",100,25,5,"cat"
"linear",200,25,5,"cat"
"rbf",200,25,5,"cat"
"matern32",200,25,5,"cat"
"complex",200,25,5,"cat"
"linear",500,25,5,"cat"
"rbf",500,25,5,"cat"
"matern32",500,25,5,"cat"
"complex",500,25,5,"cat"
