"","--dataset","--n_obs","--dim_in","--rep","--path"
"1","linear",100,25,0,"cat"
"2","rbf",100,25,0,"cat"
"3","matern32",100,25,0,"cat"
"4","complex",100,25,0,"cat"
"5","linear",200,25,0,"cat"
"6","rbf",200,25,0,"cat"
"7","matern32",200,25,0,"cat"
"8","complex",200,25,0,"cat"
"9","linear",500,25,0,"cat"
"10","rbf",500,25,0,"cat"
"11","matern32",500,25,0,"cat"
"12","complex",500,25,0,"cat"
"13","linear",1000,25,0,"cat"
"14","rbf",1000,25,0,"cat"
"15","matern32",1000,25,0,"cat"
"16","complex",1000,25,0,"cat"
"17","linear",100,50,0,"cat"
"18","rbf",100,50,0,"cat"
"19","matern32",100,50,0,"cat"
"20","complex",100,50,0,"cat"
"21","linear",200,50,0,"cat"
"22","rbf",200,50,0,"cat"
"23","matern32",200,50,0,"cat"
"24","complex",200,50,0,"cat"
"25","linear",500,50,0,"cat"
"26","rbf",500,50,0,"cat"
"27","matern32",500,50,0,"cat"
"28","complex",500,50,0,"cat"
"29","linear",1000,50,0,"cat"
"30","rbf",1000,50,0,"cat"
"31","matern32",1000,50,0,"cat"
"32","complex",1000,50,0,"cat"
"33","linear",100,100,0,"cat"
"34","rbf",100,100,0,"cat"
"35","matern32",100,100,0,"cat"
"36","complex",100,100,0,"cat"
"37","linear",200,100,0,"cat"
"38","rbf",200,100,0,"cat"
"39","matern32",200,100,0,"cat"
"40","complex",200,100,0,"cat"
"41","linear",500,100,0,"cat"
"42","rbf",500,100,0,"cat"
"43","matern32",500,100,0,"cat"
"44","complex",500,100,0,"cat"
"45","linear",1000,100,0,"cat"
"46","rbf",1000,100,0,"cat"
"47","matern32",1000,100,0,"cat"
"48","complex",1000,100,0,"cat"
"49","linear",100,200,0,"cat"
"50","rbf",100,200,0,"cat"
"51","matern32",100,200,0,"cat"
"52","complex",100,200,0,"cat"
"53","linear",200,200,0,"cat"
"54","rbf",200,200,0,"cat"
"55","matern32",200,200,0,"cat"
"56","complex",200,200,0,"cat"
"57","linear",500,200,0,"cat"
"58","rbf",500,200,0,"cat"
"59","matern32",500,200,0,"cat"
"60","complex",500,200,0,"cat"
"61","linear",1000,200,0,"cat"
"62","rbf",1000,200,0,"cat"
"63","matern32",1000,200,0,"cat"
"64","complex",1000,200,0,"cat"
"65","linear",100,25,1,"cat"
"66","rbf",100,25,1,"cat"
"67","matern32",100,25,1,"cat"
"68","complex",100,25,1,"cat"
"69","linear",200,25,1,"cat"
"70","rbf",200,25,1,"cat"
"71","matern32",200,25,1,"cat"
"72","complex",200,25,1,"cat"
"73","linear",500,25,1,"cat"
"74","rbf",500,25,1,"cat"
"75","matern32",500,25,1,"cat"
"76","complex",500,25,1,"cat"
"77","linear",1000,25,1,"cat"
"78","rbf",1000,25,1,"cat"
"79","matern32",1000,25,1,"cat"
"80","complex",1000,25,1,"cat"
"81","linear",100,50,1,"cat"
"82","rbf",100,50,1,"cat"
"83","matern32",100,50,1,"cat"
"84","complex",100,50,1,"cat"
"85","linear",200,50,1,"cat"
"86","rbf",200,50,1,"cat"
"87","matern32",200,50,1,"cat"
"88","complex",200,50,1,"cat"
