"","--dataset","--n_obs","--dim_in","--rep","--path"
"1","linear",100,25,0,"adult"
"2","rbf",100,25,0,"adult"
"3","matern32",100,25,0,"adult"
"4","complex",100,25,0,"adult"
"5","linear",200,25,0,"adult"
"6","rbf",200,25,0,"adult"
"7","matern32",200,25,0,"adult"
"8","complex",200,25,0,"adult"
"9","linear",500,25,0,"adult"
"10","rbf",500,25,0,"adult"
"11","matern32",500,25,0,"adult"
"12","complex",500,25,0,"adult"
"13","linear",1000,25,0,"adult"
"14","rbf",1000,25,0,"adult"
"15","matern32",1000,25,0,"adult"
"16","complex",1000,25,0,"adult"
"17","linear",100,50,0,"adult"
"18","rbf",100,50,0,"adult"
"19","matern32",100,50,0,"adult"
"20","complex",100,50,0,"adult"
"21","linear",200,50,0,"adult"
"22","rbf",200,50,0,"adult"
"23","matern32",200,50,0,"adult"
"24","complex",200,50,0,"adult"
"25","linear",500,50,0,"adult"
"26","rbf",500,50,0,"adult"
"27","matern32",500,50,0,"adult"
"28","complex",500,50,0,"adult"
"29","linear",1000,50,0,"adult"
"30","rbf",1000,50,0,"adult"
"31","matern32",1000,50,0,"adult"
"32","complex",1000,50,0,"adult"
"33","linear",100,100,0,"adult"
"34","rbf",100,100,0,"adult"
"35","matern32",100,100,0,"adult"
"36","complex",100,100,0,"adult"
"37","linear",200,100,0,"adult"
"38","rbf",200,100,0,"adult"
"39","matern32",200,100,0,"adult"
"40","complex",200,100,0,"adult"
"41","linear",500,100,0,"adult"
"42","rbf",500,100,0,"adult"
"43","matern32",500,100,0,"adult"
"44","complex",500,100,0,"adult"
"45","linear",1000,100,0,"adult"
"46","rbf",1000,100,0,"adult"
"47","matern32",1000,100,0,"adult"
"48","complex",1000,100,0,"adult"
"49","linear",100,25,1,"adult"
"50","rbf",100,25,1,"adult"
"51","matern32",100,25,1,"adult"
"52","complex",100,25,1,"adult"
"53","linear",200,25,1,"adult"
"54","rbf",200,25,1,"adult"
"55","matern32",200,25,1,"adult"
"56","complex",200,25,1,"adult"
"57","linear",500,25,1,"adult"
"58","rbf",500,25,1,"adult"
"59","matern32",500,25,1,"adult"
"60","complex",500,25,1,"adult"
"61","linear",1000,25,1,"adult"
"62","rbf",1000,25,1,"adult"
"63","matern32",1000,25,1,"adult"
"64","complex",1000,25,1,"adult"
"65","linear",100,50,1,"adult"
"66","rbf",100,50,1,"adult"
"67","matern32",100,50,1,"adult"
"68","complex",100,50,1,"adult"
"69","linear",200,50,1,"adult"
"70","rbf",200,50,1,"adult"
"71","matern32",200,50,1,"adult"
"72","complex",200,50,1,"adult"
"73","linear",500,50,1,"adult"
"74","rbf",500,50,1,"adult"
"75","matern32",500,50,1,"adult"
"76","complex",500,50,1,"adult"
"77","linear",1000,50,1,"adult"
"78","rbf",1000,50,1,"adult"
"79","matern32",1000,50,1,"adult"
"80","complex",1000,50,1,"adult"
"81","linear",100,100,1,"adult"
"82","rbf",100,100,1,"adult"
"83","matern32",100,100,1,"adult"
