"","--dataset","--n_obs","--dim_in","--rep","--path"
"1","linear",100,25,0,"cont"
"2","rbf",100,25,0,"cont"
"3","matern32",100,25,0,"cont"
"4","complex",100,25,0,"cont"
"5","linear",200,25,0,"cont"
"6","rbf",200,25,0,"cont"
"7","matern32",200,25,0,"cont"
"8","complex",200,25,0,"cont"
"9","linear",500,25,0,"cont"
"10","rbf",500,25,0,"cont"
"11","matern32",500,25,0,"cont"
"12","complex",500,25,0,"cont"
"13","linear",1000,25,0,"cont"
"14","rbf",1000,25,0,"cont"
"15","matern32",1000,25,0,"cont"
"16","complex",1000,25,0,"cont"
"17","linear",100,50,0,"cont"
"18","rbf",100,50,0,"cont"
"19","matern32",100,50,0,"cont"
"20","complex",100,50,0,"cont"
"21","linear",200,50,0,"cont"
"22","rbf",200,50,0,"cont"
"23","matern32",200,50,0,"cont"
"24","complex",200,50,0,"cont"
"25","linear",500,50,0,"cont"
"26","rbf",500,50,0,"cont"
"27","matern32",500,50,0,"cont"
"28","complex",500,50,0,"cont"
"29","linear",1000,50,0,"cont"
"30","rbf",1000,50,0,"cont"
"31","matern32",1000,50,0,"cont"
"32","complex",1000,50,0,"cont"
"33","linear",100,100,0,"cont"
"34","rbf",100,100,0,"cont"
"35","matern32",100,100,0,"cont"
"36","complex",100,100,0,"cont"
"37","linear",200,100,0,"cont"
"38","rbf",200,100,0,"cont"
"39","matern32",200,100,0,"cont"
"40","complex",200,100,0,"cont"
"41","linear",500,100,0,"cont"
"42","rbf",500,100,0,"cont"
"43","matern32",500,100,0,"cont"
"44","complex",500,100,0,"cont"
"45","linear",1000,100,0,"cont"
"46","rbf",1000,100,0,"cont"
"47","matern32",1000,100,0,"cont"
"48","complex",1000,100,0,"cont"
"49","linear",100,25,1,"cont"
"50","rbf",100,25,1,"cont"
"51","matern32",100,25,1,"cont"
"52","complex",100,25,1,"cont"
"53","linear",200,25,1,"cont"
"54","rbf",200,25,1,"cont"
"55","matern32",200,25,1,"cont"
"56","complex",200,25,1,"cont"
"57","linear",500,25,1,"cont"
"58","rbf",500,25,1,"cont"
"59","matern32",500,25,1,"cont"
"60","complex",500,25,1,"cont"
"61","linear",1000,25,1,"cont"
"62","rbf",1000,25,1,"cont"
"63","matern32",1000,25,1,"cont"
"64","complex",1000,25,1,"cont"
"65","linear",100,50,1,"cont"
"66","rbf",100,50,1,"cont"
"67","matern32",100,50,1,"cont"
"68","complex",100,50,1,"cont"
"69","linear",200,50,1,"cont"
"70","rbf",200,50,1,"cont"
"71","matern32",200,50,1,"cont"
"72","complex",200,50,1,"cont"
"73","linear",500,50,1,"cont"
"74","rbf",500,50,1,"cont"
"75","matern32",500,50,1,"cont"
"76","complex",500,50,1,"cont"
"77","linear",1000,50,1,"cont"
"78","rbf",1000,50,1,"cont"
"79","matern32",1000,50,1,"cont"
"80","complex",1000,50,1,"cont"
"81","linear",100,100,1,"cont"
"82","rbf",100,100,1,"cont"
"83","matern32",100,100,1,"cont"
"84","complex",100,100,1,"cont"
"85","linear",200,100,1,"cont"
"86","rbf",200,100,1,"cont"
"87","matern32",200,100,1,"cont"
"88","complex",200,100,1,"cont"
"89","linear",500,100,1,"cont"
"90","rbf",500,100,1,"cont"
"91","matern32",500,100,1,"cont"
"92","complex",500,100,1,"cont"
"93","linear",1000,100,1,"cont"
"94","rbf",1000,100,1,"cont"
"95","matern32",1000,100,1,"cont"
"96","complex",1000,100,1,"cont"
"97","linear",100,25,2,"cont"
"98","rbf",100,25,2,"cont"
"99","matern32",100,25,2,"cont"
"100","complex",100,25,2,"cont"
"101","linear",200,25,2,"cont"
"102","rbf",200,25,2,"cont"
"103","matern32",200,25,2,"cont"
"104","complex",200,25,2,"cont"
"105","linear",500,25,2,"cont"
"106","rbf",500,25,2,"cont"
"107","matern32",500,25,2,"cont"
"108","complex",500,25,2,"cont"
"109","linear",1000,25,2,"cont"
"110","rbf",1000,25,2,"cont"
"111","matern32",1000,25,2,"cont"
"112","complex",1000,25,2,"cont"
"113","linear",100,50,2,"cont"
"114","rbf",100,50,2,"cont"
"115","matern32",100,50,2,"cont"
"116","complex",100,50,2,"cont"
"117","linear",200,50,2,"cont"
"118","rbf",200,50,2,"cont"
"119","matern32",200,50,2,"cont"
"120","complex",200,50,2,"cont"
"121","linear",500,50,2,"cont"
"122","rbf",500,50,2,"cont"
"123","matern32",500,50,2,"cont"
"124","complex",500,50,2,"cont"
"125","linear",1000,50,2,"cont"
"126","rbf",1000,50,2,"cont"
"127","matern32",1000,50,2,"cont"
"128","complex",1000,50,2,"cont"
"129","linear",100,100,2,"cont"
"130","rbf",100,100,2,"cont"
"131","matern32",100,100,2,"cont"
"132","complex",100,100,2,"cont"
"133","linear",200,100,2,"cont"
"134","rbf",200,100,2,"cont"
"135","matern32",200,100,2,"cont"
"136","complex",200,100,2,"cont"
"137","linear",500,100,2,"cont"
"138","rbf",500,100,2,"cont"
"139","matern32",500,100,2,"cont"
"140","complex",500,100,2,"cont"
"141","linear",1000,100,2,"cont"
"142","rbf",1000,100,2,"cont"
"143","matern32",1000,100,2,"cont"
"144","complex",1000,100,2,"cont"
"145","linear",100,25,3,"cont"
"146","rbf",100,25,3,"cont"
"147","matern32",100,25,3,"cont"
"148","complex",100,25,3,"cont"
"149","linear",200,25,3,"cont"
"150","rbf",200,25,3,"cont"
"151","matern32",200,25,3,"cont"
"152","complex",200,25,3,"cont"
"153","linear",500,25,3,"cont"
"154","rbf",500,25,3,"cont"
"155","matern32",500,25,3,"cont"
"156","complex",500,25,3,"cont"
"157","linear",1000,25,3,"cont"
"158","rbf",1000,25,3,"cont"
"159","matern32",1000,25,3,"cont"
"160","complex",1000,25,3,"cont"
"161","linear",100,50,3,"cont"
"162","rbf",100,50,3,"cont"
"163","matern32",100,50,3,"cont"
"164","complex",100,50,3,"cont"
"165","linear",200,50,3,"cont"
"166","rbf",200,50,3,"cont"
"167","matern32",200,50,3,"cont"
"168","complex",200,50,3,"cont"
"169","linear",500,50,3,"cont"
"170","rbf",500,50,3,"cont"
"171","matern32",500,50,3,"cont"
"172","complex",500,50,3,"cont"
"173","linear",1000,50,3,"cont"
"174","rbf",1000,50,3,"cont"
"175","matern32",1000,50,3,"cont"
"176","complex",1000,50,3,"cont"
"177","linear",100,100,3,"cont"
"178","rbf",100,100,3,"cont"
"179","matern32",100,100,3,"cont"
"180","complex",100,100,3,"cont"
"181","linear",200,100,3,"cont"
"182","rbf",200,100,3,"cont"
"183","matern32",200,100,3,"cont"
"184","complex",200,100,3,"cont"
"185","linear",500,100,3,"cont"
"186","rbf",500,100,3,"cont"
"187","matern32",500,100,3,"cont"
"188","complex",500,100,3,"cont"
"189","linear",1000,100,3,"cont"
"190","rbf",1000,100,3,"cont"
