"","--dataset","--n_obs","--dim_in","--rep","--path"
"1","linear",50,25,0,"heart"
"2","rbf",50,25,0,"heart"
"3","matern32",50,25,0,"heart"
"4","complex",50,25,0,"heart"
"5","linear",100,25,0,"heart"
"6","rbf",100,25,0,"heart"
"7","matern32",100,25,0,"heart"
"8","complex",100,25,0,"heart"
"9","linear",150,25,0,"heart"
"10","rbf",150,25,0,"heart"
"11","matern32",150,25,0,"heart"
"12","complex",150,25,0,"heart"
"13","linear",257,25,0,"heart"
"14","rbf",257,25,0,"heart"
"15","matern32",257,25,0,"heart"
"16","complex",257,25,0,"heart"
"17","linear",50,50,0,"heart"
"18","rbf",50,50,0,"heart"
"19","matern32",50,50,0,"heart"
"20","complex",50,50,0,"heart"
"21","linear",100,50,0,"heart"
"22","rbf",100,50,0,"heart"
"23","matern32",100,50,0,"heart"
"24","complex",100,50,0,"heart"
"25","linear",150,50,0,"heart"
"26","rbf",150,50,0,"heart"
"27","matern32",150,50,0,"heart"
"28","complex",150,50,0,"heart"
"29","linear",257,50,0,"heart"
"30","rbf",257,50,0,"heart"
"31","matern32",257,50,0,"heart"
"32","complex",257,50,0,"heart"
"33","linear",50,100,0,"heart"
"34","rbf",50,100,0,"heart"
"35","matern32",50,100,0,"heart"
"36","complex",50,100,0,"heart"
"37","linear",100,100,0,"heart"
"38","rbf",100,100,0,"heart"
"39","matern32",100,100,0,"heart"
"40","complex",100,100,0,"heart"
"41","linear",150,100,0,"heart"
"42","rbf",150,100,0,"heart"
"43","matern32",150,100,0,"heart"
"44","complex",150,100,0,"heart"
"45","linear",257,100,0,"heart"
"46","rbf",257,100,0,"heart"
"47","matern32",257,100,0,"heart"
"48","complex",257,100,0,"heart"
"49","linear",50,25,1,"heart"
"50","rbf",50,25,1,"heart"
"51","matern32",50,25,1,"heart"
"52","complex",50,25,1,"heart"
"53","linear",100,25,1,"heart"
"54","rbf",100,25,1,"heart"
"55","matern32",100,25,1,"heart"
"56","complex",100,25,1,"heart"
"57","linear",150,25,1,"heart"
"58","rbf",150,25,1,"heart"
"59","matern32",150,25,1,"heart"
"60","complex",150,25,1,"heart"
"61","linear",257,25,1,"heart"
"62","rbf",257,25,1,"heart"
"63","matern32",257,25,1,"heart"
