"","--dataset","--n_obs","--dim_in","--rep","--path"
"1","linear",100,25,0,"mi"
"2","rbf",100,25,0,"mi"
"3","matern32",100,25,0,"mi"
"4","complex",100,25,0,"mi"
"5","linear",200,25,0,"mi"
"6","rbf",200,25,0,"mi"
"7","matern32",200,25,0,"mi"
"8","complex",200,25,0,"mi"
"9","linear",500,25,0,"mi"
"10","rbf",500,25,0,"mi"
"11","matern32",500,25,0,"mi"
"12","complex",500,25,0,"mi"
"13","linear",1000,25,0,"mi"
"14","rbf",1000,25,0,"mi"
"15","matern32",1000,25,0,"mi"
"16","complex",1000,25,0,"mi"
"17","linear",100,50,0,"mi"
"18","rbf",100,50,0,"mi"
"19","matern32",100,50,0,"mi"
"20","complex",100,50,0,"mi"
"21","linear",200,50,0,"mi"
"22","rbf",200,50,0,"mi"
"23","matern32",200,50,0,"mi"
"24","complex",200,50,0,"mi"
"25","linear",500,50,0,"mi"
"26","rbf",500,50,0,"mi"
"27","matern32",500,50,0,"mi"
"28","complex",500,50,0,"mi"
"29","linear",1000,50,0,"mi"
"30","rbf",1000,50,0,"mi"
"31","matern32",1000,50,0,"mi"
"32","complex",1000,50,0,"mi"
"33","linear",100,100,0,"mi"
"34","rbf",100,100,0,"mi"
"35","matern32",100,100,0,"mi"
"36","complex",100,100,0,"mi"
"37","linear",200,100,0,"mi"
"38","rbf",200,100,0,"mi"
"39","matern32",200,100,0,"mi"
"40","complex",200,100,0,"mi"
"41","linear",500,100,0,"mi"
"42","rbf",500,100,0,"mi"
"43","matern32",500,100,0,"mi"
"44","complex",500,100,0,"mi"
"45","linear",1000,100,0,"mi"
"46","rbf",1000,100,0,"mi"
"47","matern32",1000,100,0,"mi"
"48","complex",1000,100,0,"mi"
"49","linear",100,25,1,"mi"
"50","rbf",100,25,1,"mi"
"51","matern32",100,25,1,"mi"
"52","complex",100,25,1,"mi"
"53","linear",200,25,1,"mi"
"54","rbf",200,25,1,"mi"
"55","matern32",200,25,1,"mi"
"56","complex",200,25,1,"mi"
"57","linear",500,25,1,"mi"
"58","rbf",500,25,1,"mi"
"59","matern32",500,25,1,"mi"
"60","complex",500,25,1,"mi"
"61","linear",1000,25,1,"mi"
"62","rbf",1000,25,1,"mi"
"63","matern32",1000,25,1,"mi"
"64","complex",1000,25,1,"mi"
"65","linear",100,50,1,"mi"
"66","rbf",100,50,1,"mi"
"67","matern32",100,50,1,"mi"
"68","complex",100,50,1,"mi"
"69","linear",200,50,1,"mi"
"70","rbf",200,50,1,"mi"
"71","matern32",200,50,1,"mi"
"72","complex",200,50,1,"mi"
"73","linear",500,50,1,"mi"
"74","rbf",500,50,1,"mi"
"75","matern32",500,50,1,"mi"
