,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
0,2.3622653,2.4234164,-1.0237396,0.10460172,0.1870377,-1.6517023,-0.6042973,-1.0141715,0.7150944,-1.155977,-1.4015783,1.4999454,0.08463323,-1.4208162,0.8295328,-1.2388791,-0.8872473,-0.6979239,0.7805848,-0.09716291,-1.0156543,-0.16694272,-1.3984979,1.30379,0.17508832,-0.14115052,-0.63118076,-1.5306916,0.9536478,0.1788176,0.91667616,1.1133206,-1.456595,0.5262942,-1.6367594,0.7030007,-0.20167156,-0.080117,0.49700174,0.5424783,-0.7608335,-1.6511014,0.94382775,1.1016103,-1.3415318,0.2649967,-0.6697198,-0.9465871,-1.13401,-0.95639616,1.582245,-0.94468886
1,-1.3226564,-2.0531652,-0.5552811,-1.593523,0.40774637,-0.9957043,0.83839166,0.2177468,-0.21967356,0.6634583,1.7643312,1.0824691,-0.3747687,1.5024065,-1.4935899,0.6487464,0.59342474,0.13001977,0.33626923,0.80931705,0.5752173,1.0700383,-1.4272639,-1.1149685,0.7274487,-0.41714102,-0.54587656,-1.1700706,-1.2248485,-0.29957345,0.2431192,0.9321469,1.220904,1.5566038,-0.22261298,-0.36052465,-0.72569984,1.1998686,1.3579232,0.81386167,-1.4394969,0.36077705,1.5096263,-1.4243132,1.5677199,-0.50280213,0.4549543,-1.3130753,1.5183246,0.45823938,1.4457546,1.4460287
2,1.4683325,1.1842163,-0.27163494,1.4842519,0.7063946,-0.8653192,-1.2884085,0.4609559,1.1789649,1.3260204,0.54999447,-0.9807122,-0.8893667,0.2745523,-1.273315,-0.8738296,-1.7515142,1.4402977,1.5817064,-0.53179383,-0.3095434,0.6259277,0.35741597,0.4394489,-0.036705405,0.43431455,-1.3460932,1.439811,-1.4492329,-1.3906853,1.2081995,0.46452624,0.64990675,0.15872745,1.0283146,0.55112445,-1.0938786,1.0043799,-0.5981063,1.1141167,-0.48949766,1.5983981,-0.9021584,0.47280928,-1.3494636,-1.2913178,0.44451,0.67838573,-1.4788263,0.18381582,-0.32817945,-1.2213528
3,0.69432294,0.72602445,0.012031104,-1.437677,1.3475626,-1.4783512,1.2939374,0.7437848,-1.2830898,0.107925996,1.7576785,-0.71198845,0.11828516,0.20751747,-0.48247874,-1.37273,0.13687588,0.27488917,1.5275903,0.47100186,-0.061005298,-1.0947385,-0.43918204,0.14247948,0.74875045,1.6800725,-1.0566033,0.52961594,-0.17294842,0.5067409,-1.8657153,0.90509593,1.0677282,-1.5352769,-0.5714245,-1.0331631,0.5440061,-1.4354918,-0.6172218,0.43063352,1.2126588,-1.050531,-1.6056819,-1.0028713,0.88199675,-1.726061,0.5831427,-1.0216836,1.0571682,1.0422055,1.46214,0.018239466
4,0.11846908,-0.4720154,-0.1158961,1.0969222,0.21742743,1.1407087,0.34255424,-0.5078998,1.0671036,0.23617257,0.80379677,-1.309126,-1.208402,-0.35686386,0.87914354,0.055291146,-0.92057604,1.4861976,-1.5208131,-0.705478,-1.0648099,-0.45825452,1.3364141,0.5242828,-1.3467804,-1.1457269,-1.5826088,-1.0471256,-0.9628081,-0.63432187,0.40180588,0.8469814,-1.260289,0.12829927,1.1135031,-0.49754107,0.2232208,0.11378285,0.17626299,1.3009909,-0.7150759,0.0059905443,-1.6549712,-1.6365694,-0.7307775,0.31469882,-1.7928967,-0.4223948,0.85805404,-1.9475431,1.0917301,0.87823176
5,-0.76251274,-1.0594857,0.7666777,0.9770336,1.434545,0.24238427,-1.3915485,0.6585209,-0.43129426,1.2995726,1.3029388,0.74693286,-1.4254155,-0.4173048,-0.28930232,1.0699438,1.404284,0.0069921045,0.29597384,-1.5714183,-1.1744673,0.5357159,-0.16224542,-1.5549806,-1.4760388,-1.4501361,-0.59165335,0.2695884,1.1313839,0.8731288,-0.6711491,-1.5004896,-1.4641451,-1.1558045,0.21741016,-0.74444014,0.45950776,-1.4739083,0.4535273,-0.92291135,-1.1593438,1.5626336,1.1765318,-1.387628,-0.44112852,-1.4929354,1.4668658,1.0124805,0.1873555,1.5005581,-0.10110678,-1.3418299
6,-0.91961133,-1.3444693,-0.51157135,1.5789741,-1.5655619,-0.3409752,-1.0389596,-1.4461913,0.48030433,-1.2521285,-1.4397364,-0.846949,-1.2751101,0.92394197,1.6641412,-1.3288071,-0.92309135,-1.1540534,0.38546982,-1.4922235,-0.8945677,1.6445132,1.7300495,0.1932853,0.85588527,1.1957506,-0.90127945,0.66845155,-0.36347994,1.385899,1.3839498,1.281446,-1.5584561,-0.019182865,-0.76301205,-1.3170801,1.6263437,-1.3798492,-0.8236233,-0.96377945,-0.69055647,-1.5491949,-0.551658,1.747217,0.3027033,-0.66065127,-0.053903017,0.9736199,1.531062,0.66931564,0.005905958,-0.9700105
7,-0.027626248,0.21081953,-0.49909082,0.57295,0.31456432,0.9438376,-1.70666,0.9756063,0.15412696,-0.4709535,-1.3487232,0.866959,-0.43157047,-0.82882404,1.6141155,1.113699,-0.3030127,0.81427884,0.34834146,-0.89760655,-1.5161953,0.12119629,-1.2498207,0.70839036,-1.3629451,-0.52466124,-0.10696033,1.2168103,0.7423786,-0.42425826,-0.8800055,1.5844811,-0.91510135,0.7883104,-1.3855928,-1.0750312,-0.48565713,1.4184555,0.4686058,1.4708669,-1.488309,0.17558336,-0.5748161,0.12388287,-0.7323371,-0.28696954,0.9432476,-1.4996198,0.9221192,0.85276043,0.2795858,-1.1924239
8,0.9045128,0.5284283,0.78542763,-0.7366378,0.58170253,-0.20882946,0.752705,0.60087883,-0.65665394,-0.21657048,-0.4205054,-1.26763,-1.5293846,-0.589801,-0.9102661,-0.9025885,-0.1569127,0.60602224,-0.086991906,-0.010409234,0.35548323,1.7670863,-0.45809555,1.2919812,-1.1670976,-0.9609121,0.92087567,-0.5135282,-1.4490523,-1.2789401,0.68404514,-0.13085657,-0.18967628,1.1298438,0.5710503,-0.8036651,-1.5935849,-0.691381,0.71338004,0.11532261,0.60717213,1.6287675,1.3442843,1.1402985,-0.27616537,-0.32287735,0.6668145,-0.541497,1.0945637,-0.5298447,-0.32231793,0.8782546
9,1.6577274,1.714479,1.0031601,-1.3102673,-0.4679962,1.5787796,-0.7920032,0.037440028,1.1464034,1.3428543,-0.78048915,-0.36378944,-0.8996061,1.0199695,-0.36400965,-1.3758633,0.74590826,0.44765946,-1.292657,-1.4046313,1.6418858,0.80926186,-0.35631084,-1.2868661,-0.6910487,1.0690856,-0.13854943,1.0015006,0.5834352,0.7050886,-0.99968827,-1.547491,-1.3733609,0.7863916,-0.22227956,-1.2841175,-0.27876413,0.4255806,-0.64940906,1.476805,-0.7077297,1.3756818,-1.4748102,0.9014552,-1.6732252,0.4844461,-0.70550483,0.9195087,1.3111217,1.6864985,0.68205184,-0.30422133
10,0.49175304,0.13002272,1.3020798,-0.903674,-0.6761703,-0.95500386,1.192667,1.5732589,-1.3641347,0.092107944,-1.1110103,-0.40325102,-1.4253837,-0.37731153,-0.5137001,-0.08952258,1.1011603,1.2865494,1.4722254,1.4536716,0.6270181,-0.057554983,1.0987983,0.16388711,-0.10256864,1.3745687,-0.73247343,-1.157176,-1.3109097,-0.04747407,1.319498,-1.1363844,0.27795824,-1.339665,0.7101966,-0.39273828,0.33448964,-1.3774717,-0.28023025,-0.1741776,-1.6242443,1.5533719,-0.30288053,-1.0296623,0.6694122,-0.47006792,0.83108604,-1.2897224,1.0220003,-1.6583415,-1.7200562,-0.10396162
