,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
0,-0.09949289,0.14700107,1.0,1.0,0.22831556,-1.5262794,-1.2073942,2.0,0.0,-1.392954,0.5168229,-0.19719514,-0.7298531,-0.9106603,-1.0732182,-0.9114002,0.60539925,-0.1761119,1.2432367,-0.3265803,-0.23374283,-0.065862775,-0.106600195,-0.14874329,-0.18522102,-0.00085028796,-0.13173185,0.009915545,-0.17521591,-0.13496323,-0.07950475,-0.12687783,-0.10107091,-0.17335409,-0.36292925,6.9971757,-0.10806211,-0.23809016,3.168661,-0.17973828,-0.11727459,-0.102321036,0.26116368,0.7039653,-0.25328496,-0.16960321,-0.29510483,-0.13730134,0.07411797,-0.10171928,0.16688286,-0.8081632
1,-0.09949289,-1.7542561,1.0,1.0,-0.8669252,0.5814493,0.47714353,1.0,2.0,-0.95004565,0.3502327,0.109660916,0.5773581,0.4018192,0.83851004,0.95857143,-1.1785034,-0.1761119,-1.0637581,-0.3265803,-0.23374283,-0.065862775,-0.106600195,-0.14874329,-0.18522102,-0.00085028796,-0.13173185,0.009915545,-0.17521591,-0.13496323,-0.07950475,-0.12687783,-0.10107091,-0.17335409,-0.36292925,-0.1469402,-0.10806211,-0.23809016,-0.3261738,-0.17973828,-0.11727459,-0.102321036,0.07129949,0.17476785,-0.25328496,-0.16960321,-0.29510483,-0.13730134,0.07411797,-0.10171928,-0.9069836,-0.8081632
2,-0.09949289,0.45717323,1.0,1.0,-0.95117444,-0.03219418,0.22202156,2.0,0.0,0.37867942,1.3497736,-0.7495361,-0.7298531,-0.9106603,-1.0732182,0.6555949,0.60539925,-0.1761119,-0.7341874,-0.3265803,-0.23374283,-0.065862775,-0.106600195,-0.14874329,-0.18522102,-0.00085028796,-0.13173185,0.009915545,-0.17521591,-0.13496323,-0.07950475,-0.12687783,-0.10107091,-0.17335409,-0.36292925,-0.1469402,-0.10806211,-0.23809016,-0.3261738,-0.17973828,-0.11727459,-0.102321036,-0.030278372,0.14041382,-0.25328496,-0.16960321,-0.29510483,-0.13730134,0.07411797,-0.10171928,0.16688286,-0.8081632
3,-0.09949289,0.9223934,0.0,0.66179794,0.22831556,0.9327374,1.0386561,1.0,1.0,-0.35950118,-0.8158984,-0.68816483,0.5773581,-0.035673983,0.83851004,0.8694751,0.60539925,-0.1761119,1.2432367,-0.3265803,-0.23374283,-0.065862775,-0.106600195,-0.14874329,-0.18522102,-0.00085028796,-0.13173185,0.009915545,-0.17521591,-0.13496323,-0.07950475,-0.12687783,-0.10107091,-0.17335409,2.8343773,-0.1469402,-0.10806211,-0.23809016,-0.3261738,-0.17973828,-0.11727459,9.948922,1.1280732,1.4338325,-0.25328496,-0.16960321,-0.29510483,-0.13730134,0.07411797,-0.10171928,0.16688286,-0.8081632
4,-0.09949289,0.8259243,0.0,1.0,-1.2881716,-0.12112696,-0.08436905,4.0,2.0,-0.6547734,-0.14953779,1.1836572,0.5773581,-0.47316718,0.83851004,0.3114901,1.4973506,-0.1761119,1.2432367,1.1210397,-0.23374283,-0.065862775,-0.106600195,-0.14874329,-0.18522102,-0.00085028796,-0.13173185,0.009915545,-0.17521591,-0.13496323,-0.07950475,-0.12687783,-0.10107091,-0.17335409,-0.36292925,-0.1469402,-0.10806211,4.3509293,-0.3261738,-0.17973828,-0.11727459,-0.102321036,-0.11463902,0.062027503,-0.25328496,-0.16960321,-0.29510483,-0.13730134,0.07411797,-0.10171928,0.16688286,-0.8081632
5,-0.09949289,1.5838315,0.0,0.0,1.1550577,0.123259,0.19802396,1.0,2.0,0.2594905,-0.46094164,-1.455305,1.8845694,-0.035673983,2.7502382,-0.22197087,0.60539925,-0.1761119,1.2432367,-0.3265803,-0.23374283,-0.065862775,-0.106600195,-0.14874329,-0.18522102,-0.00085028796,-0.13173185,0.009915545,-0.17521591,-0.13496323,-0.07950475,-0.12687783,9.94982,-0.17335409,-0.36292925,-0.1469402,-0.10806211,-0.23809016,-0.3261738,-0.17973828,-0.11727459,-0.102321036,0.50532013,0.2531272,-0.25328496,-0.16960321,-0.29510483,-0.13730134,0.07411797,-0.10171928,0.16688286,-0.8081632
6,-0.09949289,-0.19915396,1.0,1.0,1.239307,-1.8775675,-2.3304193,4.0,2.0,0.52631557,1.5163639,0.53925943,0.5773581,0.4018192,0.83851004,-2.4174018,0.60539925,-0.1761119,0.91366595,5.4639,-0.23374283,-0.065862775,9.941648,-0.14874329,-0.18522102,-0.00085028796,-0.13173185,0.009915545,-0.17521591,-0.13496323,-0.07950475,-0.12687783,-0.10107091,-0.17335409,-0.36292925,-0.1469402,-0.10806211,-0.23809016,-0.3261738,5.6841826,-0.11727459,-0.102321036,-2.7730198,-2.9453712,-0.25328496,-0.16960321,-0.29510483,-0.13730134,0.07411797,-0.10171928,-0.9069836,-0.8081632
7,-0.09949289,-0.42257223,0.0,1.0,1.6605535,-1.1749913,-1.2073942,0.0,1.3715652,0.08340719,-0.14953779,0.1096449,0.5773581,0.40153795,0.49346974,-2.4425342,-1.1785034,-0.1761119,-1.0637581,0.5097178,-0.23374283,-0.065862775,-0.106600195,-0.14874329,-0.18522102,-0.00085028796,-0.13173185,0.009915545,-0.17521591,-0.13496323,-0.07950475,-0.12687783,-0.10107091,-0.17335409,2.8343773,-0.1469402,-0.10806211,-0.23809016,-0.3261738,-0.17973828,-0.11727459,-0.102321036,-2.7730198,-3.6752384,3.9580526,6.6113825,-0.29510483,-0.13730134,0.07411797,-0.10171928,-0.9069836,-0.16834526
8,-0.09949289,0.03316012,1.0,1.0,-1.0354238,-0.47241506,-0.08436905,1.0,2.0,0.8215878,0.017052382,-0.5040512,0.5773581,1.7142987,0.83851004,0.12154331,-1.1785034,-0.1761119,-1.0637581,-0.3265803,-0.23374283,-0.065862775,-0.106600195,-0.14874329,-0.18522102,-0.00085028796,-0.13173185,0.009915545,-0.17521591,-0.13496323,-0.07950475,-0.12687783,-0.10107091,-0.17335409,-0.36292925,-0.1469402,-0.10806211,-0.23809016,-0.3261738,-0.17973828,-0.11727459,-0.102321036,-0.24192715,-0.061593436,-0.25328496,-0.16960321,-0.29510483,-0.13730134,0.07411797,-0.10171928,0.16688286,-0.8081632
9,-0.09949289,-0.49009815,0.0,1.0,0.31256485,0.23016116,1.0386561,1.0,2.0,-0.21186505,-2.1486197,0.14034653,0.5773581,-0.47316718,1.7943741,-0.12535141,0.60539925,-0.1761119,-0.7341874,-0.3265803,-0.23374283,-0.065862775,-0.106600195,-0.14874329,-0.18522102,-0.00085028796,-0.13173185,0.009915545,-0.17521591,-0.13496323,-0.07950475,-0.12687783,-0.10107091,-0.17335409,-0.36292925,-0.1469402,-0.10806211,4.3509293,-0.3261738,-0.17973828,-0.11727459,-0.102321036,0.03645547,0.24453309,-0.25328496,-0.16960321,-0.29510483,-0.13730134,0.07411797,-0.10171928,0.16688286,-0.8081632
