,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200
0,0.588102,0.2723862,0.0,0.0,0.7791109,0.53221196,0.42608377,0.0,2.0,0.74448365,0.5375047,-0.73937035,2.719555,-1.0347886,-1.2239966,0.23398225,0.56312644,-0.2194339,1.1436591,-0.33556616,-0.17860672,-0.07609168,-0.1048967,-0.14591935,-0.15130402,-0.0449938,-0.067765445,-0.0056451852,-0.06408583,-0.065123335,-0.0637624,-0.07806309,-0.045201976,-0.046145022,-0.4055478,-0.1890442,-0.06441622,-0.3050606,-0.28161547,-0.1649291,-0.04621655,-0.11070887,0.335531,0.29495397,-0.28799632,-0.19677931,-0.28746215,-0.07675126,-0.06340115,-0.06362569,-0.9979378,1.4683052,-0.3809278,-0.17586312,-0.28503925,-0.14489213,0.015308138,2.0763476,-0.18458368,-0.20323564,-0.09337179,-0.37536234,-0.23298788,-0.24830297,-0.15216191,-0.049709976,-0.0460642,-0.06397665,-0.061899174,-0.12787047,-0.047002334,-0.045556013,-0.15267253,-0.2625106,-0.05136336,-0.10512298,-0.13825034,-0.15835828,-0.25912702,-0.101352446,-0.10166547,-0.21739098,-0.045360796,-0.064720824,-0.078485645,-0.044975884,-0.90373474,-0.186097,-0.52163714,-1.0865309,-1.0476712,-0.47290108,-0.6440185,-0.51427287,-0.38825467,-0.30997905,-0.052171476,0.0037502667,-0.17055215,-0.3732304,-0.6471914,-0.33858463,-0.25428462,1.0520502,-0.3376999,-0.28838527,-0.6132454,-0.37133962,0.699954,-1.497722,0.59019935,-0.12829345,-0.48946258,0.936237,-0.98319256,1.1524339,1.6323496,1.5611125,-0.24520639,0.3549731,1.0032115,0.52511704,0.82792443,-1.6183617,-0.6295646,-1.5377891,1.287544,-0.46915516,0.55367154,-0.8706214,-0.5235627,-1.7211256,-0.56726474,1.5723926,-0.9487829,-0.6530235,1.4184015,-1.5929651,-1.3690596,0.4436068,1.3262663,-1.7028059,0.80682355,1.107105,-1.5408198,0.46711713,0.010566546,-0.026890453,1.5575703,-1.6585525,-0.87133366,0.66833454,-0.49131048,-0.809734,0.6172265,1.4185435,-0.92185026,-0.17032734,-0.8607954,-0.36401924,0.35130313,0.91260165,-1.5591449,0.61212885,0.10364938,-1.2159942,-1.3939823,-0.90929323,-1.1915761,1.3786529,0.6378026,-0.862167,0.23587987,0.2490727,-1.5536579,1.206107,-0.28218433,-1.2259165,-1.1035721,-0.09879431,0.7281481,1.6687523,1.2844468,0.014365924,-1.376462,1.5152133,-0.47751823,-0.9862011,1.2870649,-1.2050335,-0.90852326,0.33577415,0.18892775,1.5857522,-0.17689309,-1.2474941,0.96188235,-1.0357672,-1.111174,-0.17805396,-0.5579273,1.6740556
1,0.2863603,0.6204129,1.0,0.0,0.5193378,0.87251323,-0.12713572,0.0,2.0,1.0437129,-0.1517627,2.0699992,0.46311542,0.849589,0.7306637,0.40971968,0.56312644,-0.2194339,1.1436591,-0.33556616,-0.17860672,-0.07609168,-0.1048967,-0.14591935,-0.15130402,-0.0449938,-0.067765445,-0.0056451852,-0.06408583,-0.065123335,-0.0637624,-0.07806309,-0.045201976,-0.046145022,-0.4055478,-0.1890442,-0.06441622,-0.3050606,3.5868342,-0.1649291,-0.04621655,-0.11070887,0.39672884,0.07997676,-0.28799632,-0.19677931,-0.28746215,-0.07675126,-0.06340115,-0.06362569,-0.9979378,0.73955834,-0.3809278,-0.17586312,-0.28503925,-0.14489213,0.015308138,2.0763476,-0.18458368,-0.20323564,-0.09337179,-0.37536234,-0.23298788,-0.24830297,-0.15216191,-0.049709976,-0.0460642,-0.06397665,-0.061899174,-0.12787047,-0.047002334,-0.045556013,-0.15267253,-0.2625106,-0.05136336,-0.10512298,-0.13825034,-0.15835828,-0.25912702,-0.101352446,-0.10166547,-0.21739098,-0.045360796,-0.064720824,-0.078485645,-0.044975884,-0.90373474,-0.186097,-0.06417456,-0.63428223,-0.20431975,0.63748676,-0.99516016,2.5655036,1.7907668,-0.30997905,1.0733474,0.14108294,0.043538015,-0.3732304,1.8809,2.2801254,-0.25428462,1.0520502,1.8511908,-0.28838527,-0.6132454,-0.37133962,0.699954,0.6710932,0.59019935,-0.12829345,2.0506208,-1.223823,1.1425495,0.6120423,-1.2842805,-1.4355081,1.5078655,-1.0633138,-1.4012103,-0.77416503,0.5754074,0.16059451,0.72968996,1.6329027,-0.7330535,-0.96678984,1.1161081,-0.98459506,0.66953325,-1.216986,-1.1011995,-1.4083389,0.82417905,-1.1249616,-1.2733724,-0.9429388,-0.6598567,-1.6107892,-0.8361354,0.6011199,0.85280544,-0.92857385,0.4004482,1.3571044,0.124534324,-0.38556945,-1.7667873,1.2032175,1.1149468,-1.5101495,-1.0040144,1.1060083,0.16533932,-0.52849823,-1.2775524,-1.4291,0.20334804,0.77109927,1.4981021,0.8289968,-0.466459,0.86609286,-1.6248652,0.4792382,0.7756648,-1.6488191,-0.3541808,-1.2682688,-0.79609716,-0.9005133,-0.6605215,-1.2063267,0.698013,-1.5836514,0.3232622,-1.1059432,0.0026236135,-0.8330527,-0.4467462,-0.021306949,-1.2873002,-1.2660967,1.2151624,-0.29366148,-1.1557423,1.0249646,1.4171346,1.2558326,0.77317786,-1.3683158,1.3790569,0.28544095,1.3328279,0.233181,-1.6359006,1.6935543,-1.2563645,0.6933084,-0.5784483,-1.1138736
2,-0.08637947,-0.10610225,1.0,1.0,-0.34657273,0.19191073,-0.12713572,1.0,0.0,0.43229514,0.40910676,-0.8290311,-0.66510427,-1.0347886,-1.2239966,0.38600886,-1.2775093,-0.2194339,-1.2226894,-0.33556616,-0.17860672,-0.07609168,-0.1048967,-0.14591935,-0.15130402,-0.0449938,-0.067765445,-0.0056451852,-0.06408583,-0.065123335,-0.0637624,-0.07806309,-0.045201976,-0.046145022,-0.4055478,-0.1890442,-0.06441622,-0.3050606,-0.28161547,-0.1649291,-0.04621655,-0.11070887,0.5801181,-0.09517788,-0.28799632,-0.19677931,-0.28746215,-0.07675126,-0.06340115,-0.06362569,-0.9979378,-0.7179354,-0.3809278,-0.17586312,-0.28503925,-0.14489213,0.015308138,-0.53068256,-0.18458368,-0.20323564,-0.09337179,-0.37536234,-0.23298788,-0.24830297,-0.15216191,-0.049709976,-0.0460642,-0.06397665,-0.061899174,-0.12787047,-0.047002334,-0.045556013,-0.15267253,-0.2625106,-0.05136336,-0.10512298,-0.13825034,-0.15835828,-0.25912702,-0.101352446,-0.10166547,-0.21739098,-0.045360796,-0.064720824,-0.078485645,-0.044975884,-0.4583563,0.12668948,0.14930798,-0.2385647,-0.0392604,0.43559808,1.4628316,-0.51427287,-0.38825467,-0.30997905,-1.3964748,0.86264277,-0.99483955,-0.3732304,-0.6471914,-0.33858463,-0.25428462,1.0520502,-0.3376999,-0.28838527,-0.6132454,-0.37133962,0.699954,0.6710932,0.59019935,7.841607,-0.48946258,-1.2320877,0.5286194,-0.6634668,0.43328753,1.4357319,-1.1013688,-1.3187193,-0.3256033,0.7098574,1.6110678,-1.1721947,-0.08260797,-0.7654296,-0.9880837,-0.6997589,0.94630784,-1.4514955,1.2991148,1.1630932,0.54887384,-0.6366403,-1.1214783,1.3780329,-1.4526027,-0.10165796,-0.39265096,-1.1767883,1.6547816,-0.96907014,0.6868984,1.3368692,0.6070344,-1.3174962,1.0098176,-0.92197955,1.5588963,-1.3726674,0.502824,0.3280968,0.030054357,-1.1914238,-0.90917593,0.7745119,1.6321291,1.4670557,0.81725687,-0.8639145,0.88098675,-0.7200357,-0.79279095,0.89740044,0.6018157,-0.74263495,-1.1680043,-1.4270245,-0.030375028,1.0570376,-0.6286751,0.3693899,-1.0779892,-0.56411403,0.7018665,0.0072074174,1.3174597,1.1258677,-0.7293172,-1.7193564,0.49160734,1.2615507,1.2015682,-1.6688813,-1.2194085,-1.0222139,-0.7656559,-0.66822016,-1.4414387,-0.3892279,1.4418254,-1.2880847,0.93307364,-1.493315,-1.4939522,-0.22545232,1.6746918,-0.9837126,1.4766778,-1.5218047,1.3246263,0.25031033
3,-0.31712312,-0.11688988,1.0,1.0,-0.6063459,-0.48869178,-0.12713572,2.9257767,0.7611669,-0.22501197,-0.24447909,3.7137792,-0.66510427,-0.27068943,-0.21065788,-0.2818041,1.4834442,-0.2194339,0.9892802,0.16298047,-0.08882341,8.575907,0.09539241,-0.043858252,-0.446909,-0.036352355,0.09686221,7.2919908,-0.035152145,0.058992583,3.0047424,-0.03473172,-0.06655285,-0.013675413,-0.4055478,-0.1890442,-0.06441622,-0.3050606,-0.28161547,-0.1649291,-0.04621655,-0.11070887,-0.4976649,-0.14006181,3.4861147,-0.19677931,-0.28746215,-0.07675126,-0.06340115,-0.06362569,0.52345914,-0.7179354,-0.3809278,-0.17586312,-0.28503925,-0.14489213,0.015308138,-0.53068256,-0.18458368,-0.20323564,-0.09337179,-0.37536234,-0.23298788,-0.24830297,-0.15216191,-0.049709976,-0.0460642,-0.06397665,-0.061899174,-0.12787047,-0.047002334,-0.045556013,-0.15267253,-0.2625106,-0.05136336,-0.10512298,7.833684,-0.15835828,-0.25912702,-0.101352446,-0.10166547,-0.21739098,-0.045360796,-0.064720824,-0.078485645,-0.044975884,0.19439478,-0.035985123,-1.0095973,-0.6908133,0.37075084,-1.0785671,-1.3463019,-0.51427287,0.35811713,0.40170676,0.84208304,0.12967332,0.5344849,2.6826115,0.6168543,0.31885102,0.21639407,-0.5195202,-0.2177389,-0.36263183,-0.6132454,-0.37133962,-1.4351331,0.6710932,0.59019935,-0.12829345,-0.48946258,1.0878226,-0.12775928,-0.84645176,1.2180862,-0.5792231,0.7010458,1.5384536,1.4864719,0.06433279,-0.86380506,1.010666,-1.492732,1.4116261,0.27138728,-1.7440736,0.011197346,-0.026594222,-0.9943317,0.408719,-1.7983121,-0.8458635,0.08201023,-1.0603814,-0.8681983,-0.22992484,-1.400297,-1.0097249,-1.4671695,1.0533308,-0.034401797,-0.8053261,1.0700538,-1.2772825,1.2673223,-0.09074597,0.16828248,-0.58109385,-0.88493025,-0.8317695,-0.37280902,0.19046882,-1.6706845,-0.4053556,-0.5759506,0.43094936,1.2717475,0.9858601,1.6322083,-0.31237945,-1.0323198,1.4393598,1.0680062,1.5024635,-1.0034661,-0.09756815,-0.60088795,-0.26462734,0.80574447,0.8126169,0.46789983,-0.5036611,-1.0050592,-0.11281527,0.89833534,-1.0932218,-1.687762,-1.4527351,-1.2752141,-0.1621066,-0.4876218,1.4757187,-1.020348,-0.33339766,-1.6701376,-1.569832,1.1674818,0.8035452,-1.4123656,1.0089273,-0.3817767,-1.1914371,1.6187122,-1.2814254,-1.1820414,1.2103652,0.73775035,-1.4329604,0.4081364,-0.21844068
4,-0.24612507,0.34999427,1.0,1.0,0.17297357,-0.828993,-0.12713572,4.0,2.0,-0.15320416,0.7098215,-0.56004894,-0.66510427,-0.030532636,0.04216517,-0.635578,-1.2775093,-0.2194339,-1.2226894,-0.33556616,-0.17860672,-0.07609168,-0.1048967,-0.14591935,-0.15130402,-0.0449938,-0.067765445,-0.0056451852,-0.06408583,-0.065123335,-0.0637624,-0.07806309,-0.045201976,-0.046145022,-0.4055478,-0.1890442,-0.06441622,-0.3050606,3.5868342,-0.1649291,-0.04621655,-0.11070887,-0.4589863,-0.1674732,-0.28799632,-0.19677931,-0.28746215,-0.07675126,-0.06340115,-0.06362569,0.14989309,-0.7179354,-0.3809278,-0.17586312,-0.28503925,-0.14489213,0.015308138,-0.53068256,-0.18458368,-0.20323564,-0.09337179,-0.37536234,-0.23298788,-0.24830297,-0.15216191,-0.049709976,-0.0460642,-0.06397665,-0.061899174,-0.12787047,-0.047002334,-0.045556013,-0.15267253,-0.2625106,-0.05136336,-0.10512298,-0.13825034,-0.15835828,-0.25912702,-0.101352446,-0.10166547,-0.21739098,-0.045360796,-0.064720824,-0.078485645,22.338123,-0.90373474,-0.186097,0.15168151,-0.114038095,-0.095570244,-0.9776228,-1.3463019,-0.51427287,-0.38825467,-0.30997905,0.15406014,0.100047335,0.37733117,-0.2814255,-0.6471914,-0.33858463,-0.25428462,-0.5195202,-0.3376999,-0.28838527,0.29710564,-0.07017869,-0.2806435,0.106959775,0.028928615,0.06917085,-0.082727045,1.3095174,0.34918842,0.5820497,-0.040775042,-1.7172016,-0.48137307,-0.7143443,0.2198494,-0.03734691,1.4158978,-1.2272538,-1.4091561,-0.06336249,-1.2665219,0.7755086,-1.0210476,-0.9179794,0.40161306,1.0057843,0.5489015,0.16165495,-0.21145403,1.6159769,0.41789666,1.3952402,-1.0902163,1.0131791,0.8490115,-1.1956686,1.4196914,1.7359948,-1.0301188,-1.1382402,-1.6145906,0.006523584,1.0095686,0.6104454,-1.2723192,1.4684547,-0.43790287,-0.12269074,-0.47459015,0.029819636,0.31037706,0.40208688,1.2363774,1.5951779,1.0168341,1.2654465,-0.5650474,-0.6759365,1.3113041,1.5441067,-0.4151511,-0.92544806,-0.8368978,0.5217441,0.6447111,0.95444614,-0.10954542,0.6481609,1.2982173,-1.0955212,-1.5955412,1.1566114,-0.79952353,1.599862,0.88686174,-0.25336862,-1.5719421,0.9914745,-0.49751088,0.32253805,1.701595,0.29020047,0.08793158,-0.53019226,0.43876755,1.7055802,0.18939424,1.2576784,1.2207594,1.6679808,-0.66207474,-1.1029893,-0.6453121,-1.5847565,-0.9742661,0.31950548
5,0.4410815,0.6770019,0.0,1.0,0.865702,0.3148098,0.28532228,1.0,2.0,0.105587155,0.40984264,-1.4267693,-0.66510427,-1.0347886,-1.2239966,0.21757443,0.56312644,-0.2194339,1.1436591,-0.33556616,-0.17860672,-0.07609168,-0.1048967,-0.14591935,-0.15130402,-0.0449938,-0.067765445,-0.0056451852,-0.06408583,-0.065123335,-0.0637624,-0.07806309,-0.045201976,-0.046145022,-0.4055478,-0.1890442,-0.06441622,-0.3050606,-0.28161547,-0.1649291,-0.04621655,-0.11070887,1.0281606,0.72602755,-0.28799632,-0.19677931,-0.28746215,-0.07675126,-0.06340115,-0.06362569,0.14989309,-0.7179354,-0.3809278,-0.17586312,-0.28503925,-0.14489213,0.015308138,-0.53068256,-0.18458368,-0.20323564,-0.09337179,-0.37536234,-0.23298788,-0.24830297,-0.15216191,-0.049709976,-0.0460642,-0.06397665,-0.061899174,-0.12787047,-0.047002334,-0.045556013,-0.15267253,-0.2625106,-0.05136336,-0.10512298,-0.13825034,-0.15835828,-0.25912702,-0.101352446,-0.10166547,-0.21739098,-0.045360796,-0.064720824,-0.078485645,-0.044975884,-0.21971707,0.09637086,-0.52163714,-0.2385647,-1.1689562,-0.37195674,1.4628316,-0.51427287,1.7907668,-0.30997905,-1.3964748,0.86264277,-0.99483955,-0.3732304,-0.6471914,-0.33858463,-0.25428462,-0.5195202,1.8511908,-0.28838527,-0.6132454,2.7064385,0.699954,-1.497722,0.59019935,-0.12829345,-0.48946258,0.6286514,0.45195982,1.2604858,0.7311082,1.0828557,-1.7471278,-1.3331931,-1.0314174,1.3584802,-0.67737234,-0.98738223,-1.3456907,-0.040485755,-1.2461815,0.5085314,-0.833261,0.45829403,1.1028495,0.27803147,-1.7826228,-0.9548935,-0.67279327,1.0829964,-0.9835453,1.6259623,0.102658644,1.1096779,-0.1861141,1.6860081,0.18966396,-0.69174933,1.292713,0.6372358,0.7309151,-0.8342901,-1.0383291,-0.46599862,0.2718614,-1.3467788,0.9561157,-0.27785134,0.81003714,0.58608437,1.7757498,-0.45798248,-1.3894076,1.327477,-1.213286,-0.21437371,-0.13622604,-0.94532436,1.7373667,1.5004742,0.55516505,0.594221,0.14692956,-0.94436127,-0.99874794,0.7362356,-1.4874859,0.08984414,1.4086387,1.0620556,-1.6161046,-0.99353015,-0.574643,-1.6779256,0.2455129,-1.5800778,-1.6558819,-1.5233085,0.023655666,-0.04268497,-0.6836481,0.5059142,-1.5572655,-1.2549981,1.5383171,-0.48165378,-0.9596113,-0.9414953,1.4471978,-0.112224765,0.23579161,-1.0470897,-0.93457484,0.3958905,0.9985392,0.12575026
6,1.244834,1.8432074,0.0,1.0,0.17297357,2.2337182,0.9793033,0.0,1.0,0.17237529,0.4702281,-0.47038817,0.46311542,1.4635041,0.7306637,2.0620596,-1.2775093,4.554008,1.1436591,-0.33556616,5.6849575,-0.07609168,-0.1048967,-0.14591935,-0.15130402,-0.0449938,-0.067765445,-0.0056451852,-0.06408583,-0.065123335,-0.0637624,-0.07806309,-0.045201976,-0.046145022,-0.4055478,-0.1890442,-0.06441622,-0.3050606,-0.28161547,-0.1649291,-0.04621655,-0.11070887,2.1482666,1.547233,-0.28799632,-0.19677931,-0.28746215,-0.07675126,-0.06340115,-0.06362569,0.14989309,-0.7179354,1.2693524,-0.17586312,-0.28503925,-0.14489213,0.015308138,-0.53068256,-0.18458368,-0.20323564,-0.09337179,-0.37536234,-0.23298788,-0.24830297,-0.15216191,-0.049709976,-0.0460642,-0.06397665,-0.061899174,-0.12787047,-0.047002334,-0.045556013,-0.15267253,-0.2625106,-0.05136336,-0.10512298,-0.13825034,-0.15835828,-0.25912702,-0.101352446,-0.10166547,-0.21739098,-0.045360796,-0.064720824,-0.078485645,-0.044975884,-0.08865504,-0.07114232,-0.97909975,-0.63428223,-1.8513474,-0.06912368,-0.99516016,-0.51427287,-0.38825467,-0.30997905,1.0733474,0.86264277,-0.99483955,-0.3732304,-0.6471914,-0.33858463,-0.25428462,1.0520502,-0.3376999,-0.28838527,-0.6132454,-0.37133962,0.699954,0.6710932,0.59019935,-0.12829345,-0.48946258,-1.6989144,-0.12006468,-0.3372968,0.9129651,1.0268914,-0.21665066,-0.3245574,0.55824035,1.5472217,-0.5563654,0.3711867,1.0717527,1.105619,-0.77400345,0.017742358,-0.5404184,0.941314,0.6301844,1.4304649,1.1762682,-0.865568,0.27721894,-1.3908924,1.1268328,-0.635792,1.1421078,1.0863937,-0.4188562,0.5775066,1.6698849,0.16159387,-0.13336821,0.74211025,0.81792593,1.4942793,-0.37675753,0.63062936,1.4682628,0.1984966,-0.7675002,-1.7362512,0.6580468,1.2893912,0.3584065,0.86934006,1.3627392,-0.58334583,-1.5941385,-0.99742466,0.10754367,-0.08459267,-0.83351433,1.679679,1.5735266,-1.4164401,-1.0551734,0.6918597,-1.2513667,1.307287,1.6744398,-0.4095505,-1.0514694,0.012843834,1.5606313,0.7034278,-1.1510445,1.4555343,-1.1359664,-1.3188885,0.32612994,0.483847,-1.4946791,-1.2761376,-1.0150591,-0.28949746,-0.049049437,0.9677059,1.3859516,-0.7500443,-0.08623893,-0.09139465,-1.6306753,-0.73593366,-1.4597219,0.10601591,-0.4512343,1.1218275,0.9384903,0.188892
7,-0.01538142,0.36628842,1.0,1.0,-1.7320296,0.19191073,0.42608377,4.0,0.0,-0.15320416,0.36518782,-0.8290311,-0.66510427,-1.0347886,-1.2239966,0.8927418,-1.2775093,-0.2194339,-1.2226894,-0.33556616,-0.17860672,-0.07609168,-0.1048967,-0.14591935,-0.15130402,-0.0449938,-0.067765445,-0.0056451852,-0.06408583,-0.065123335,-0.0637624,-0.07806309,-0.045201976,-0.046145022,-0.4055478,-0.1890442,-0.06441622,-0.3050606,-0.28161547,-0.1649291,-0.04621655,-0.11070887,-0.269302,0.12269659,-0.28799632,-0.19677931,-0.28746215,-0.07675126,-0.06340115,-0.06362569,2.445555,-0.7179354,-0.3809278,-0.17586312,-0.28503925,-0.14489213,0.015308138,-0.53068256,-0.18458368,-0.20323564,-0.09337179,-0.37536234,-0.23298788,-0.24830297,-0.15216191,-0.049709976,-0.0460642,-0.06397665,-0.061899174,-0.12787047,-0.047002334,-0.045556013,-0.15267253,-0.2625106,-0.05136336,-0.10512298,-0.13825034,-0.15835828,-0.25912702,-0.101352446,-0.10166547,-0.21739098,-0.045360796,-0.064720824,-0.078485645,-0.044975884,-0.90373474,-0.186097,-0.06417456,-0.2385647,-0.19922557,-1.1795115,-0.29287678,1.0256153,1.7907668,-0.30997905,1.0733474,-2.0433462,-0.99483955,-0.3732304,0.6168543,-0.33858463,3.6414025,1.0520502,-0.3376999,-0.28838527,1.6346396,-0.37133962,-1.4351331,-1.497722,-1.7034518,-0.12829345,2.0506208,1.1161076,-0.61464125,-1.6929647,-0.47026026,0.4968612,-0.6775875,1.3800943,-0.3169301,0.9882901,-1.061915,-0.9119244,-1.1489589,0.66089165,0.8992526,1.0199194,1.6365519,-0.031449772,0.63511586,-0.23897053,-0.95776486,0.5936216,-0.75319946,0.57844156,1.4320909,0.5844222,-1.1418473,-0.7738633,1.4398552,0.80247265,1.5233579,0.64378065,-0.10855042,-1.0806448,-0.02224649,-1.2210125,1.460961,-1.2400562,-0.6195493,-0.8485452,-0.45413584,-1.1056149,-0.93065035,-1.3546053,1.4234532,-1.2531477,-1.1481876,0.46987677,-0.33054549,0.8786907,0.14103426,-1.4254472,-1.1563663,-0.90276295,-1.0170237,0.0035508317,-0.699562,0.2643041,0.8387463,-0.8058347,0.21226935,1.4358954,-1.5967106,-1.6636516,-0.23727407,-0.7758975,-0.92264134,-0.9281949,0.48738596,-1.5885085,0.08394889,1.5791429,-0.1956922,-1.2099239,1.5314908,0.09438244,-0.83750516,-0.96697944,-0.805332,-0.5054587,-1.452549,0.41324705,0.8666057,1.0039263,0.8712698,-1.5157636,0.13112034,-1.540133,1.3249489,-0.030002221
8,-0.22373796,0.43158287,0.0,1.0,0.8017355,0.19191073,-0.68035525,3.0,1.0,-1.6493505,-1.1856637,-0.08185835,-0.66510427,1.4635041,0.7306637,-0.20954007,0.56312644,-0.2194339,1.1436591,-0.33556616,-0.17860672,-0.07609168,-0.1048967,-0.14591935,-0.15130402,-0.0449938,-0.067765445,-0.0056451852,-0.06408583,-0.065123335,-0.0637624,-0.07806309,-0.045201976,-0.046145022,-0.4055478,-0.1890442,-0.06441622,-0.3050606,-0.28161547,-0.1649291,-0.04621655,-0.11070887,0.44513863,-0.055316668,-0.28799632,-0.19677931,-0.28746215,-0.07675126,-0.06340115,-0.06362569,0.14989309,-0.7179354,-0.3809278,-0.17586312,-0.28503925,-0.14489213,0.015308138,-0.53068256,-0.18458368,-0.20323564,-0.09337179,-0.37536234,-0.23298788,-0.24830297,-0.15216191,-0.049709976,-0.0460642,-0.06397665,-0.061899174,-0.12787047,-0.047002334,-0.045556013,-0.15267253,-0.2625106,-0.05136336,-0.10512298,-0.13825034,-0.15835828,-0.25912702,-0.101352446,-0.10166547,-0.21739098,-0.045360796,-0.064720824,-0.078485645,-0.044975884,1.4205288,-0.186097,-1.2230798,0.21368392,-0.7126349,-0.87667847,-0.99516016,1.0256153,1.7907668,-0.30997905,1.0733474,-2.0433462,1.6568584,-0.3732304,0.6168543,2.2801254,-0.25428462,1.0520502,1.8511908,2.3235567,1.6346396,-0.37133962,0.699954,-1.497722,-1.7034518,-0.12829345,2.0506208,1.047254,-0.74960744,0.6792129,1.4721292,-0.58826,-0.7236734,0.3010383,-1.6476622,0.47791836,-0.32581148,1.7168727,-1.5112051,-1.6312312,0.5903357,-1.2723849,0.5788214,-0.055648625,-0.5338329,-0.098465264,-1.5532851,-0.8094204,0.05244465,0.80094254,-0.8490219,-0.09843278,1.087298,1.6021565,0.5067155,0.32161242,-0.011202123,-0.24456753,0.7573825,-1.2770234,1.3682054,1.1839865,-0.34406286,1.2525363,-1.4435161,0.9959691,0.7338003,-1.0257349,0.7837566,-0.55657756,-0.48759612,-1.2813534,1.2358428,0.86799395,-1.167077,0.52802885,-0.14891605,-0.17956965,-1.0325503,0.5176825,0.26612285,0.4819647,-1.2752777,-0.64698607,0.20758359,0.35907906,1.3920996,1.2649454,-0.51666486,-1.5322154,0.23508976,-0.4103932,0.89359087,-0.31631124,0.13373664,-0.4590222,1.2927008,0.9409644,1.4269382,-0.61299187,0.8725795,-1.5167077,-0.8095507,0.13995343,1.6696199,1.2872235,0.9453867,0.92957085,-1.5120437,-0.08597337,-0.80105555,1.471134,0.7655713,0.13117708,0.27619967,-0.28967488
9,-3.4232876,-3.8865757,0.0,0.0,0.6925199,-2.5304992,-4.5528917,1.3105501,1.0,0.74448365,1.5714056,3.7137792,-0.66510427,0.2143577,0.7306637,-2.141603,0.56312644,-0.2194339,1.1436591,5.7426124,-0.17860672,-0.07609168,-0.1048967,-0.14591935,6.648298,-0.0449938,-0.067765445,-0.0056451852,-0.06408583,-0.065123335,-0.0637624,-0.07806309,-0.045201976,-0.046145022,-0.4055478,-0.1890442,-0.06441622,-0.3050606,-0.28161547,-0.1649291,-0.04621655,-0.11070887,-0.42441902,-1.3122656,-0.28799632,2.400368,3.4784665,-0.07675126,-0.06340115,-0.06362569,-0.20927586,0.5322319,0.39536947,-0.17586312,3.7475424,-0.14489213,0.015308138,-0.53068256,-0.18458368,-0.20323564,-0.09337179,-0.37536234,-0.23298788,-0.24830297,6.65047,-0.049709976,-0.0460642,-0.06397665,-0.061899174,-0.12787047,-0.047002334,-0.045556013,6.655287,-0.2625106,-0.05136336,-0.10512298,-0.13825034,-0.15835828,-0.25912702,-0.101352446,-0.10166547,-0.21739098,-0.045360796,-0.064720824,-0.078485645,-0.044975884,-0.90373474,-0.186097,-0.27765712,-0.46468902,1.420428,-1.1795115,-0.99516016,-0.51427287,-0.38825467,-0.30997905,1.0733474,0.04186687,0.029884335,-0.3732304,-0.6471914,0.1927398,-0.5757993,1.0520502,0.08689259,0.021082412,-0.6132454,-0.37133962,-1.4351331,0.6710932,-1.7034518,-0.12829345,-0.48946258,0.99564046,0.49633238,0.28106093,-1.1975498,-0.8923614,-0.53079647,-0.53543323,-1.3253789,1.618366,-0.27240533,0.38111708,1.494943,-0.08171224,-0.60176086,1.6562272,1.2654215,1.0023217,1.3330745,-0.04484284,1.2003117,1.4294959,-0.24243037,-1.0506133,-0.730369,-0.01933816,1.5779625,-1.10338,1.6117122,-1.4792736,1.5056604,-1.0679642,-0.3491231,-1.5794038,-0.33875075,0.8366934,-0.57829106,0.99933684,-0.16357534,0.72205716,0.2271129,-2.139277e-05,1.3885664,-1.3186381,0.6430549,0.41328627,-1.6207844,-1.3524781,0.5955198,-1.0594414,-0.31271902,1.434118,-0.43383858,1.7810247,-1.2243428,0.38168028,-1.0581998,-0.4875376,0.3903436,-0.72059125,0.5478451,-1.2699616,0.2776415,0.4685647,-0.5216178,-1.4391996,0.016607292,-1.6502324,-1.0189784,-1.7312658,0.28785875,0.3220185,-0.9719839,-0.2772258,1.6978483,1.0493197,-0.3177068,0.24016392,-0.41032118,0.11729892,0.72842544,1.4380612,-1.1278597,-0.406161,1.0275987,1.1595588,0.38542846,0.06397068,-1.4595629,-0.64105207
