,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0,-0.18027669,-0.1390839,1.3170087,1.5973109,1.2559416,0.11729917,-0.87627995,-1.6511457,-0.21405917,-0.3048623,0.064783536,-0.07482476,0.2209012,0.14239046,0.93185997,0.7645512,0.4338976,-0.24526371,-0.70959884,1.6182045,-0.54535913,-0.988264,-1.4684124,1.6663953,-1.2829276,-0.59678376,-1.479925,-0.9775848,-0.37080324,1.4106265,-0.5341389,1.6938158,-1.6034539,-0.5942904,-0.4024017,0.90768087,1.5490482,-0.6389942,-0.27618185,-0.80274546,1.0952698,0.48220173,-1.4649314,0.37947983,1.0641145,-1.6505313,-0.16902806,1.0006496,1.6349949,0.27463344,-1.5899056,-0.1795554,-1.0927626,0.42258167,-0.96276295,-1.2346494,0.12049266,-1.4013793,0.8282877,1.5368007,1.5511886,-0.37413535,0.35139066,0.59082687,0.010460068,-0.068369985,-1.7154119,-1.4480952,-0.15762664,-0.24570255,-1.0817072,0.13604839,0.38285238,0.7921973,-0.7061958,-0.33851936,1.1014483,0.26552495,0.74316376,0.034224242,1.1288351,0.75232226,1.2560687,-1.0096178,-0.7053876,-0.08857374,-0.06520468,0.33396384,1.1139976,0.08236275,1.5698831,0.7935701,-1.1186261,0.39126757,0.24594139,0.9192114,1.107941,-0.718468,-1.2356733,0.42737216,-1.6732239,0.98113394
1,0.80742854,1.3003086,0.006512875,1.6967908,1.6564295,-0.937313,1.2395656,1.107807,-0.87699896,0.5847974,1.6151543,0.81267697,-1.3890251,-0.003624802,-0.091397524,-1.7542797,1.6915035,1.3112524,-0.9604691,0.3395872,-0.06349926,-0.49587467,0.13807529,0.19701128,1.1628232,-1.4934728,0.37380078,0.012906792,-1.1896384,-1.2193658,0.4922106,1.3401269,-1.5894231,-0.3169231,1.2794273,-0.089534655,-0.39189,-0.91396713,-1.6055696,-1.1391091,0.25348064,0.102020405,0.15750138,-0.6596249,1.3052857,1.1268892,-0.13333377,0.8651298,0.9401873,-0.46634185,-1.1134955,-0.85498095,-0.9199346,-0.38314706,-1.6805025,-0.7857274,0.12377447,-0.27750996,0.14002219,0.84569275,1.5095721,-0.5413915,-0.800651,-0.07087955,0.35762718,-1.0650666,-1.6491474,-0.9782795,-0.8076858,-0.22854456,0.4687795,-0.64347386,1.6867278,1.310874,0.38937002,-0.57150406,-1.1858385,0.5162997,0.77392143,-1.4746593,0.94210994,1.336971,0.44817826,0.736162,1.2433891,1.5334607,-0.5543557,-1.5528919,-0.6677698,-1.1665992,-0.42272687,0.024349932,1.0137265,1.5147209,-0.7100754,1.5617442,-1.0582404,-0.22800688,-1.0829082,-0.8684975,-1.642359,-0.89828545
2,0.40874973,-0.47060335,-0.4013161,-0.043535613,-0.7165865,-1.6803797,1.3317536,-0.8776095,-0.9357861,-1.6967974,-0.8311426,-0.7878335,0.28416315,0.0639577,1.0632539,0.99805313,1.4910389,0.098141804,1.5451179,1.0717134,-1.0496948,0.6916411,1.4748824,1.3858413,1.2603909,0.5287761,1.5982857,-0.8879042,0.69509315,-1.2957877,0.57971156,0.7383983,0.57987463,-0.06211479,-0.29937297,1.2630868,-0.04470879,-0.645493,-1.6093568,0.5748007,0.9385182,0.009878272,0.78952724,0.50244355,0.05111597,-1.1178933,-0.5110378,0.7895886,0.82833254,-1.5474886,-0.2501009,0.3880236,0.8295592,-0.35823086,0.17226624,-0.44829965,-0.57450986,-0.6147894,1.1372075,-1.4492252,-1.5674541,0.69076014,-0.4732227,1.5824939,-1.1816196,-0.2764875,-0.3650515,0.0800532,-1.1098926,1.7094659,0.47513178,1.5018193,0.52355254,0.49862757,0.32059398,-0.8926368,-0.7762304,-1.1862704,0.7466214,1.2072847,-0.9462647,-1.5402931,-0.3415114,1.6523052,-1.2363234,0.1846804,0.9114877,-1.0860319,-0.5352355,-0.985234,-0.09525416,1.5359432,0.45854217,-1.3278642,-0.5242776,0.71599656,1.7616277,-0.49869666,0.082205355,-0.99582297,-0.49683088,-1.2911502
3,-0.8478622,-1.4740098,-1.1144525,-0.73366666,-1.605675,-0.76122963,-1.3891692,-1.5900465,1.6081179,-0.57037437,0.6304639,-0.7712777,-0.18208858,1.0840739,1.0435023,0.104972824,-0.4715297,-0.5930441,1.363996,-1.3725879,-0.3743516,-1.6130732,0.5016105,1.5233754,0.24561961,-0.45468244,-0.6422169,0.72142994,-1.2344968,0.79738605,-1.1748084,-0.7559045,1.5987962,-0.6688504,1.561151,1.3758366,-0.9989785,-1.62886,-0.47828576,0.6937309,1.6102265,-0.50341636,-0.4416142,-1.2068026,0.9292441,-0.16351266,-0.078061976,-1.102336,-1.5308083,0.6267023,-0.061167028,1.1497415,-1.6594394,1.1269321,1.1896517,-0.79809713,-0.6087509,0.7772819,0.85231733,1.0347055,-1.4037205,-0.0945411,1.2549101,1.7564414,0.75731313,1.1168716,-1.356896,1.700176,-0.5324702,-1.1445104,0.60564786,-1.6502357,-0.23132496,0.7076125,-1.7582319,-0.61980075,-1.2807084,-1.3495475,1.5446482,-1.4462256,-0.0790733,-0.58485717,1.4859296,0.31463084,0.6095683,-0.13478974,0.5292362,-1.5354506,0.08278806,1.2763925,0.1232571,-0.33504856,-1.428129,0.5028547,0.6738066,0.6977244,-0.8408086,-0.33997005,-0.06245835,-0.79323155,-0.3430614,-1.5528165
4,-0.20737481,-1.2445899,-0.0030073705,-0.32024816,-0.3716598,-1.0552793,0.032401808,0.5404603,0.4772269,1.2752554,-1.6537205,-1.0466806,0.3260344,1.4589918,1.2957964,-0.16193527,1.6955134,-1.2215174,-0.62640893,-1.7578524,-0.42127866,-0.93904126,-0.7959443,1.5999738,-0.5258872,-1.6939905,0.5240888,1.5678873,0.023529058,0.63644254,1.6893649,-0.23926269,0.9022209,-1.6162318,0.39106184,-0.40584263,1.4035505,-0.67384785,-0.8354423,-0.4737568,-1.5580852,-0.53852206,-1.0153295,1.1031771,-1.3336561,-1.652278,0.00788563,0.35747933,-0.08329395,-1.2483741,0.11178224,1.0728589,1.2491977,1.3256222,1.0111676,1.5056247,-0.6241913,-1.1396804,0.79868764,0.4126759,-1.6294837,1.3625083,0.8247715,-0.42205048,0.479555,-0.15369882,-1.141319,-0.17860796,-0.23391199,-1.7117862,-1.7251986,0.89207834,0.9748962,0.68478554,-1.1243895,0.6239109,-1.6688251,1.2836301,-1.5978535,0.31086436,-1.5696034,0.3953053,-1.6556116,0.6151605,0.25813073,-0.08604725,-0.7468658,-0.17635833,1.1240344,-0.4634,-1.1979014,0.6522887,0.35775328,0.1446471,0.021696659,-0.99214983,0.9480784,0.51393795,1.306805,0.36748013,0.6158827,-0.45409945
5,-0.5306868,0.55771977,-0.50133914,-0.24875219,0.0874807,1.7359545,-0.5628449,-1.0693939,-1.2179203,1.0070369,-1.3227326,-1.426206,1.7662725,1.3603705,1.0340941,-0.882181,-1.0433751,0.6228087,-1.5175564,-0.12530577,1.491085,0.43485984,-0.4790114,1.1935574,-1.3682154,0.4971496,0.47861105,1.3788207,1.3623983,-0.9262369,-0.28978196,-0.5161929,1.1314235,-0.057652406,0.7281817,-1.3624531,-0.4904706,0.9297166,-1.7571799,-0.66343975,-1.2015194,0.876143,-1.4979134,-1.1985279,0.08319968,0.5090514,-0.84668297,0.9980375,1.4604329,1.0074731,-1.4096596,0.7501798,-0.5528534,0.54073614,0.08250994,0.6414428,-1.088695,0.95018935,1.002801,1.387896,1.6801124,0.022915255,-0.11834855,-0.049354482,-0.7976549,0.4114299,1.1013862,-1.6523197,-0.80673355,0.354497,0.43087828,-0.05999973,0.049595557,0.89873946,1.0985211,-0.63948935,0.13538802,-0.27756494,-1.0467622,-0.73004997,1.686564,-0.5935213,-1.5530632,0.23709446,0.94600016,-0.788756,-1.5207287,-0.12999293,1.2972618,0.8252395,-0.48980653,1.3871248,0.90328985,-0.6085708,1.4533868,-0.19573565,-0.42113006,-0.64460665,1.4356186,0.84199935,1.0071715,0.46965516
6,0.7678535,1.5482342,0.82701606,-1.7370733,-0.28066492,0.9991581,1.4723005,0.10829932,0.66639936,1.6163112,0.18502207,0.32973468,-0.20286426,-0.70272976,0.7151497,-0.10747942,-1.5485893,-0.90605354,1.6783944,0.80661756,0.30217445,-0.76200706,-1.4151962,0.536021,-0.5525746,1.3262028,1.5780355,0.99783736,-0.38448247,-0.4953709,-0.40504557,0.91578585,0.1057675,1.089522,-0.26316965,-0.29843962,0.90832335,0.2185589,-1.6479442,-0.4464748,-0.7519167,-1.5087827,-1.5814128,-0.06152667,-1.2036469,-0.87007064,-1.0862157,-0.18739684,1.4510872,-0.42364383,-1.2250309,0.2496037,-1.5276613,-1.6680692,0.57435524,0.32997933,0.3586524,-0.5007225,-0.6327378,1.1340077,0.23590381,-0.4691791,0.62774825,0.72676057,0.58401835,0.6419888,1.21068,0.13780765,0.28825346,1.0168725,0.41276777,-0.16324653,-1.1341938,0.065892205,0.567509,0.44670832,0.9907757,1.0384955,-0.4778995,0.6981326,-1.4989561,0.3658649,-1.6128039,1.4541159,-0.049027354,1.3711989,0.02078422,0.26921722,-0.77692574,-0.511956,0.22733474,0.22400813,-0.04330052,1.6006489,-0.45683143,1.2996713,0.024595588,-0.06608127,1.6008855,-0.43998158,1.204207,0.623092
7,1.3609061,2.3565984,-0.6482369,-1.0641898,1.5344505,1.1934164,1.3249968,-0.5885822,-1.4871653,-1.0177231,-0.36974922,-0.61832374,-0.3952393,1.3016297,-0.51602596,-1.729693,-0.8204594,0.20195147,0.88681316,0.3109669,0.76151365,1.0631717,1.2991586,0.9061811,0.3804168,0.11372377,0.84652466,1.752366,0.040151723,0.883157,-1.3595486,-1.1071378,0.10099329,1.7235216,0.5387048,-1.1996955,-1.1385944,-1.7319586,1.2007697,-0.2761971,1.5660264,-0.76941746,-0.8331872,1.0776391,-0.8529636,0.5787992,-1.3044475,0.42219898,1.6731772,0.7477415,0.12718059,-1.1194205,-0.61142117,-0.35011598,-0.5020997,-0.67030394,-1.1940731,1.6064941,-0.8710032,0.04547362,-1.316308,-1.4182255,0.9387122,-1.5502895,0.09823889,-1.1726149,-0.5132069,0.77974045,1.2542043,0.19544888,-1.6064737,-1.1416938,1.0260693,0.2663954,-0.95447004,0.7288444,0.25535145,0.7882488,0.0683505,0.21901233,-1.4619325,1.6843694,0.30116057,0.6280126,-1.4901665,0.8297722,1.1539083,0.6695364,0.28857774,-1.682822,-1.6307561,0.5484147,0.28935137,0.4115462,0.30988958,-0.6137168,1.3207678,0.09991717,-1.5537198,0.76104206,0.9402342,1.5010185
8,0.49051353,0.84949905,-1.2251592,-1.0777646,-1.1612213,-0.18394803,1.0411065,-0.08915122,0.710841,0.5867304,-1.4362707,-0.39181933,0.12221353,-0.8135223,0.24930876,0.31667778,0.67696947,0.46019822,0.50716555,1.3832777,-1.4214239,0.9822413,-0.77598834,0.53304875,-0.5137376,-0.67286724,0.16946273,-0.7765465,1.2453195,1.2034042,-0.36180788,-1.6265289,-1.641765,-1.2567811,0.4599381,-0.2624525,0.5783067,0.9364072,-0.24041262,0.95189136,1.4074278,-1.2786949,1.59176,0.8609971,0.53588814,1.3104129,1.6169075,0.37721634,-0.6527075,1.6817015,-0.9761506,0.35731283,-0.36254644,0.5384799,-1.2755378,0.96706015,-1.139751,-0.9354743,-0.5572881,-1.4379729,0.86930114,0.8754405,0.21902652,-0.013131006,1.5542936,-0.4461751,1.4920822,0.45561427,-0.36111602,-1.1703961,0.071743205,-1.1025931,1.4677591,-0.17165272,1.3290998,-0.2075214,0.42326167,-0.04475005,1.5157228,-0.2819123,0.26535717,-1.2782481,-0.106190756,0.13778457,0.3085559,1.1386658,1.1624404,-0.333462,1.6639358,1.5429645,-0.73085046,-1.0051453,1.6582593,1.6636589,-1.1108882,1.427378,0.76981777,1.7042174,1.1875539,-0.1992028,0.33408815,-1.3170567
9,-0.5583431,-0.11734057,1.6469848,-0.65369654,-0.6957448,0.60027957,-1.1081073,-0.87906814,0.5727423,0.32318768,1.3576951,0.6432506,-0.5838583,1.5146322,-1.1481746,-0.42504317,0.012922718,0.51505595,-1.6596622,1.1443002,1.7267438,-0.24594702,-1.2847446,-0.933132,1.6176457,0.22030696,1.1239818,-0.25831965,0.20825897,-0.8531074,0.2475267,1.1929547,0.33390883,-1.290029,0.7749364,-1.1546987,-1.437561,-1.4936687,-0.4409779,-1.7258924,-1.5684654,-1.0892669,1.6248723,1.1175481,0.4422233,0.24325454,-0.6834905,-1.3702614,1.079516,1.3719412,1.1457902,-1.0051211,-1.2881181,1.3563964,-1.080025,1.3742449,1.532682,1.1239913,1.1180426,-1.458454,-0.56348264,0.44559717,0.45269147,0.28530255,0.10505393,-0.5766321,-0.54583156,-1.427743,1.4747071,1.1598623,-1.5867946,1.3967887,0.977438,1.7050446,0.99244106,-0.7175524,0.20509234,1.4746697,0.57171184,0.10555472,-0.7108618,-1.1897397,-0.15404569,-0.4316913,-1.1331176,1.3462574,-0.8944853,-0.09867673,-0.1756934,1.379206,-1.0987281,-0.4185626,-1.4078041,0.61265326,-0.8071747,0.6349188,1.5556573,-1.3876028,-1.5334632,0.24307016,-1.462281,-1.5396106
10,-0.72801024,-1.2625076,-0.6681435,1.1544092,-0.41467765,1.3833357,-1.3365088,1.4442948,0.80383426,-1.2667584,0.7312741,1.4278567,1.2508379,0.27566355,-0.70347106,-0.1301078,1.4863132,-0.18218051,-0.11150112,-1.1523297,-0.729085,1.0608114,-1.5152321,-0.32966065,1.3425164,1.0577105,-0.39874235,-0.57235295,0.436585,0.37595084,1.4479579,0.14287144,-0.9893554,-0.5078991,0.6094665,-0.017822376,-0.83471507,0.993422,0.46963432,0.7082674,-1.2694085,0.5141447,0.44079483,-1.2247983,0.65188086,-1.0842532,-1.1359332,1.4823816,-0.54732513,-0.73779833,-0.06987473,0.67012405,-0.1987793,-1.2613726,0.91498137,1.1047893,-1.1400654,1.4762938,-1.5451391,1.5588969,1.2271267,-0.99265116,-0.40774193,1.0178936,1.263513,-1.5964758,-0.2755982,-0.70394325,-0.49595073,-1.17713,0.69423574,-1.644817,-0.07693496,0.058258582,0.67324615,0.21500182,0.18123868,0.46704322,0.13877764,-1.0772865,-1.5218388,0.20718795,0.17551315,-0.619332,-1.136862,-1.6597916,-1.6082087,-1.6697614,-0.790287,1.034885,-0.021511555,0.09990993,-0.7422253,0.5769155,0.63452554,-1.4945455,0.09353232,-0.80696094,0.18108909,-0.669649,1.1541619,0.302701
11,0.7959747,1.6615041,0.98438567,-1.3257003,1.6513467,1.4051143,0.016855057,-1.16945,-0.9278054,-1.3605566,-0.94193524,-0.29872134,-1.2934095,0.99899894,1.7172683,-0.44616404,0.23465386,-1.0441312,-0.35148272,0.86910105,0.5134879,-0.9269561,1.5600595,-0.5670971,1.0510072,-0.12400213,-0.43337074,0.35332328,-0.0818487,-1.347832,0.08831628,1.0042106,0.33657146,0.92493796,-0.73379564,0.18513195,-0.9886114,1.2801455,-1.21028,-0.7770263,-0.0142300865,-1.1626488,-0.08343309,1.1612043,-0.65166193,-1.361376,-0.4658356,-1.2295209,0.919425,1.1946173,0.0734933,1.6235127,-1.2955134,0.27197188,-0.3977185,0.604654,1.5757618,-0.35247874,0.15293859,-0.26160592,-1.3627532,-0.41548172,1.5338895,0.7716109,-1.4731872,1.4624208,0.9703007,0.22385378,1.7631472,1.2209269,-1.2709719,-0.94037396,1.6457115,-1.6197737,0.16618149,-0.6589552,0.3676494,0.75667363,-0.54042554,-0.7763872,0.6194616,-0.72458494,-0.17252435,1.0411173,-0.8130914,-1.3297536,0.27915478,-0.9806579,0.6531964,-0.061641943,0.69667727,-1.4744107,0.17806412,1.0146724,0.8777322,-0.5079386,0.564526,1.1398225,-0.4308121,-1.504012,-0.7044581,-0.79915863
12,-0.27727804,-0.7846309,1.0689759,1.0816249,0.5293802,0.53452766,-0.85233665,0.0571602,0.6907331,1.0473074,-1.2489806,-1.6547654,1.1239803,-1.1894773,0.9160446,0.9032725,1.386446,-0.25329635,-0.16257025,-0.36376664,-0.33064207,1.4819766,0.3453019,1.2129208,1.717219,-0.026260246,0.949002,-0.9456528,0.52317286,0.923867,1.3692617,-1.5640465,-0.6447148,0.5454876,0.7228084,1.3844075,-0.2752551,0.6833551,-0.38233382,1.3397223,-0.15702897,1.6290321,1.1722577,1.5046982,-1.2515248,-1.1431767,1.4422256,-0.90519714,-0.47687072,-0.929453,0.36965615,-1.0614046,0.5756843,-1.633048,1.6529698,-1.6842897,-0.29321253,-1.2277148,-1.4008312,-1.1611825,-1.5110877,1.7009556,0.8726451,1.5041152,0.68602103,0.4553154,0.18639019,0.06796066,1.0240382,-0.04256568,-0.18650612,-0.29077804,-1.3405899,0.6600231,-0.9375572,1.3495946,0.52799445,-0.6035572,1.0527325,-1.3601456,0.51468086,-1.411388,1.2971965,-1.3148192,-1.4553893,0.48172748,0.043689094,-1.3643829,-0.77950794,-0.8279998,1.7746738,0.027882414,0.6357137,1.2091548,-0.2169477,0.63964623,-1.640294,-0.81347483,-0.52330905,-0.48534524,-0.23728113,-0.91642326
13,0.73304385,0.4331309,-0.8574696,-0.46637192,1.6883479,-1.5583527,0.90091795,1.2283953,1.1321294,1.4082782,-0.47760177,-0.42742842,-1.6065266,-1.3919288,-0.7358428,0.81351256,-1.0062068,-0.34291324,-0.9479491,0.031705536,1.1043397,0.6391375,0.45092714,-0.6779837,-1.4929484,1.6836959,0.736283,1.5532099,-0.33113852,0.9956511,0.31468722,-1.0778644,0.529189,-1.2762899,-1.4557585,0.16780993,0.057223722,1.5373695,0.65879893,-1.192407,0.6954514,-0.9043035,-1.2760817,1.1440772,0.6161191,0.10056264,0.4745429,-0.3662544,-1.134863,-1.7255858,1.1233774,0.3942184,0.7201369,1.5194031,-1.5732577,-0.3859444,-0.6471,0.43974924,0.095974706,0.49353358,1.0181104,1.40136,-0.35069162,1.1824865,0.23980619,1.0022401,-1.7257241,0.009363733,-0.1951013,0.28634486,-0.4078446,-1.3118043,0.8778053,-1.0311781,-1.0023631,-1.3538673,-0.32085174,-1.7567761,-0.93467253,-0.20390621,-1.6590744,0.49647838,-1.1503856,-0.77399886,0.49675435,0.46738294,-0.70781666,0.6634987,-0.64771277,-0.16090284,1.7751142,-0.8029574,-0.19254065,-0.71467775,-0.042253613,-1.0403023,-0.05508603,1.584887,0.041503318,-1.4150654,-0.7171113,1.4735761
14,-0.13077798,-0.30166438,-0.90462476,-0.562617,1.1935463,0.62856025,-0.793061,-1.2903609,-1.4002035,-0.65071404,1.3337975,-1.6608657,1.5319874,0.6526932,-0.1815436,-0.30355963,-0.08560266,1.4902445,-1.5259289,-0.59690976,-0.45944944,1.3790379,0.38627294,1.0658035,0.562692,-0.61789197,1.3477963,-0.880477,-0.41008285,-0.6894258,0.32304648,0.7467597,0.88224655,-0.07377534,1.0481894,-0.65367544,-1.0648286,-0.79168934,0.8350948,-1.1145091,0.8581112,-0.6972079,0.22582883,-1.5969778,0.15273498,-1.3461248,-1.465596,-0.030604417,0.63808364,0.62162334,0.22931786,1.2521749,1.0744925,-0.49905503,0.9285917,-0.9591709,0.15956116,-0.8732591,1.1457417,-1.6894727,-1.3080713,0.49067068,0.9714737,1.204449,1.0644639,-0.78250116,0.09554901,-0.37687033,0.7662219,-1.511203,-0.9115367,1.6578126,0.3593803,0.02664437,1.1425035,0.72724223,1.0767025,0.1466527,-0.6348296,0.77301466,-1.0990486,-0.33135843,0.020184565,0.24212992,1.4732316,0.2529777,-0.17188388,0.54636025,0.19372648,0.43824688,0.47324252,-0.33792824,0.8871669,-1.6322155,-1.406743,0.87378377,0.79480743,1.1500027,1.718922,-1.6357813,-0.4309782,0.10464139
15,0.52031934,0.16278474,0.8963862,0.8896868,-0.9759487,-1.0822594,1.5891671,-0.6155182,1.4253649,-1.4747756,-1.6501974,-0.1710895,-1.1053149,1.2247323,0.35631487,-0.24334447,-1.6470042,0.647139,-0.23535316,1.2722303,-1.3677709,0.899677,0.26537514,-0.36529082,0.7477505,0.19413084,1.5059437,0.046976525,0.8899027,1.1798304,-1.5975602,-1.0660057,-0.69847333,-1.6170293,-1.4384605,1.2996529,-1.3397516,-0.7148162,1.3360323,-0.120752215,-0.012920308,0.24778564,0.44781926,-0.09630728,-1.4601678,1.3626102,-1.4662104,-0.394306,-1.2865746,0.18541743,0.5335216,-0.1907029,-0.115106314,-0.93143666,0.23715478,0.21839778,0.097033136,0.17885926,-0.8988914,-1.4002352,1.7023842,1.7055938,-1.508063,-1.3822541,1.6081784,1.7777548,1.1324334,-0.86060613,-1.2626232,-0.6367738,0.31067398,-0.12329651,0.6086959,-0.77795964,0.9494835,-0.9269199,-0.18627614,1.1749607,1.0703617,0.6972599,0.7022581,-0.24159357,-1.3809438,-0.56403625,1.3865734,1.4758162,0.9860849,1.645435,1.581284,1.7174829,-1.4219681,-0.16887188,0.49031216,-0.056475136,0.37069,0.3600748,0.99771667,1.51203,0.41421077,-0.847213,0.14685683,0.3493242
16,0.5806326,0.96884924,0.2669549,0.83807826,-1.7264415,0.040393792,1.2167008,0.80580497,-0.36368665,0.41276976,-0.28461316,-0.666574,0.4120148,-1.7044264,-0.685664,0.1346727,0.64351475,0.22566028,0.647073,-0.42504516,0.6395471,0.1683572,-0.60596985,0.28808275,1.7009751,-0.32526928,0.80583733,0.075752355,0.9574381,-0.1469597,-1.7248502,0.23787075,-0.6138988,0.79126394,0.56955546,-1.4051459,-0.2205367,1.0430566,1.2268919,-0.96599776,-1.2561551,1.1842868,1.0265958,-1.652315,0.49543056,-1.0005038,0.040215492,-1.0451169,0.48668018,-0.2792875,-0.68390644,-1.2588239,-1.6897333,0.08598038,0.7652482,0.59981525,-0.057640497,-0.97438645,-0.712844,0.34864476,0.042075552,1.3090881,1.377634,1.7917317,0.52610743,0.28134295,-0.06760254,0.84598833,0.8293128,0.25759906,0.18941626,0.020697784,-1.5547028,-0.11122753,-0.57719696,-0.8940407,-1.1552862,-1.007935,0.32040125,1.6610262,-0.7938636,1.3666754,-1.5930161,0.6016465,-1.6189426,-1.345796,-1.040089,-0.54041344,-1.2875713,1.69748,1.5978719,0.4786181,0.4182318,-1.2972357,-0.52055526,-1.3408003,0.32845756,-0.9359531,1.1331723,-1.6011691,-1.1196481,0.38561326
17,0.00041592587,-0.10382039,0.26577592,-0.70275813,1.3110168,-1.4178959,-0.21091506,-0.90377665,-1.196787,-1.0704726,0.9326126,1.3411692,1.3274897,-1.080922,1.4802392,-0.11255267,1.5555681,1.2525142,0.16179867,1.308501,0.70347273,0.2261619,0.38678336,-0.95549035,1.41814,-1.2021142,-1.3390412,1.6113505,0.9540247,-0.15114902,-1.6787548,-1.5163605,-1.2035589,0.28248858,1.396804,-1.504409,-1.3446044,1.1116002,0.079270475,-1.1924753,0.17193493,0.9224113,-1.3097433,-0.71582925,0.7801974,-0.5405432,1.2174091,-0.39233193,-0.7557133,1.0404719,-0.29741815,0.45556432,0.04825389,-0.5975213,-0.94625854,0.7649358,0.27323657,1.5699258,0.059220728,-1.6503391,-1.6476058,-1.1831605,0.017299006,-1.2111404,0.42204142,1.3994983,1.6654333,-1.4513135,1.7391781,0.49739993,1.2420788,0.80477923,0.1919466,1.6718459,-1.5073429,1.1628555,-1.4487793,-1.0170821,0.5036726,-0.33552966,0.8711646,-0.74965906,-0.78074676,-0.13172023,-0.3906311,0.13588184,-1.0441769,0.4829907,1.3137969,1.671306,-0.17009893,0.087269895,0.18224348,1.4213024,1.4147425,-1.6462424,1.7405757,0.07035794,0.22584745,-1.0592895,1.405044,-0.9479
18,-0.8411493,-0.8708052,-0.48073378,0.7619677,-0.9243261,1.4767503,-0.9278289,-0.3257286,1.0799468,-0.63990456,-1.0838536,-0.20469491,1.6012028,0.8921447,0.55453616,0.5333659,0.82883203,1.0761943,0.6831584,0.3894313,1.24781,0.85574156,0.6630744,-1.3495449,1.4339806,0.11589996,-1.1458645,1.2772975,0.13860516,0.08041168,-0.78229284,-1.0783792,-0.7880022,-0.44228753,-0.3656431,1.6083187,1.5290096,0.2211123,-1.6267574,1.7569939,0.3694359,0.021709861,1.2709868,-1.4526976,0.80468917,1.1309068,-1.1677227,0.038702343,1.3705268,-1.6388657,-1.3649102,1.3071795,1.0101081,1.5616503,-1.271192,-0.52504677,-0.5659661,-1.0852304,0.4048216,-1.3655003,-0.0644275,-0.7528329,0.669624,0.14887881,-0.7916873,-0.5344971,0.050447986,1.3491799,0.6871197,1.2050233,-1.4485394,-1.1958581,0.055100363,0.28375396,-0.7014604,1.0415,-1.5087789,0.15698014,1.3315536,0.6622154,-0.49154353,1.6270034,-1.6328958,-0.46448508,0.23162541,0.62021685,-1.6745892,0.31004077,1.3753921,-0.5127283,0.67105603,-0.9396924,-1.348011,0.3673948,-0.9867128,-0.8156132,1.3558563,1.1839776,1.4935215,1.4617268,-1.4365948,0.8836488
