,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
0,-0.10939466,0.08606371,1.0,1.0,-0.9966781,1.4233586,0.008689943,0.0,1.0,0.047282662,-0.744336,-1.092805,-1.4110503,0.7877901,-0.23693621,-1.2348397,1.3046993,-0.78138137,-0.3204947,-0.7011342,0.4026522,0.2983316,0.35037175,-0.8147552,-0.70417684,-0.7922746,-0.5682917,-1.2115816,-1.2022923,1.5852724,1.5439572,-1.0759373,-1.6896156,-0.9857935,0.65334207,0.94867814,-1.6881571,0.24019001,-1.6376597,0.021620927,0.5364088,1.6390381,-0.8576583,1.0492213,1.2276638,1.4775017,-1.7307646,-0.089521095,1.6547295,-0.36430633,1.0568626,0.16242638
1,-1.5262892,-1.6728607,1.0,0.0,-1.621961,-1.45823,-1.2950774,0.0,1.0,0.4381299,1.0306967,0.21711923,0.48740512,1.0397638,1.4636382,1.4183277,1.1155216,-1.4042666,-0.50963795,-1.6002077,0.1138364,1.0468686,-1.558266,-1.0846177,-0.4171054,-0.8248424,1.0223383,-0.49098873,0.48026103,-0.06354624,0.27441716,1.5316478,1.5109572,-1.3060474,1.1505699,-0.57490236,-1.4153061,-0.43297693,0.079930656,1.5933217,-0.41076547,-1.6916927,1.2565222,-1.3113922,-0.12853363,1.223625,0.033515014,-0.16977675,1.0171287,-1.686867,0.2376048,-0.30574873
2,-0.5467771,0.53002477,1.0,0.0,-1.5344725,-1.0982343,-0.11579534,1.0,1.0,-0.4990328,1.388566,1.5588524,-0.29191443,1.3370361,-0.6260365,-1.5006474,0.09255128,0.55784935,1.3820429,1.6074502,0.8971937,0.9186768,0.7333603,0.70936745,1.0107692,1.7324901,-0.41127613,-1.4233605,-0.9391091,-1.0164735,-0.46662825,1.0837233,-1.5650039,-0.14022171,1.0454426,-0.86236995,-1.5464045,-0.92264265,-1.3559768,1.0525552,-1.1213248,-1.0655041,1.0978912,1.0758142,0.25547108,1.4495382,-1.5324605,1.6485208,0.20864055,-0.70119447,1.0975457,0.5539589
3,0.8317384,0.7200647,1.0,0.0,0.32072315,-0.12042863,0.57542455,1.0,1.0,0.13629586,-0.5124621,1.3466351,-0.115081914,-0.3090707,0.43434864,0.062587336,1.5836087,1.0016501,-0.027247086,-0.9942074,0.31574503,0.8822602,0.8927007,1.7305632,-0.9393578,-0.18960135,-0.24070425,-0.606906,-0.49224624,-0.11777059,0.13487099,-0.809181,-1.3064203,-0.65013283,-1.295843,-0.67446697,0.610582,0.32224476,1.7237749,0.18189092,0.21488883,0.46426255,0.7886446,0.41182464,0.25244907,0.3689596,-0.51709545,0.9904448,0.3271058,-0.6777423,-0.8734355,-1.484628
4,-1.5819871,-1.5334314,0.0,1.0,-1.1412944,-1.5488219,-0.7185115,1.0,0.0,0.932075,0.375445,-1.1898835,1.3719344,0.76086813,-0.039124824,0.4722183,0.03338006,-1.1480073,0.48758423,1.6868447,0.8985836,-1.0802069,-1.3195891,1.5096327,1.5180486,0.94375706,0.9047705,-1.2160469,1.0955479,-1.1188107,-1.170452,-0.31658527,-1.7729126,1.2246718,-1.2105482,0.8071623,0.2733568,0.907616,0.38258088,1.5946069,-0.38158306,-0.033125814,-0.5787251,0.84522885,-0.7435894,1.0450214,-1.4425186,-0.90968335,-0.25921032,-1.3177396,-1.0181786,1.1852226
5,1.1924009,1.8934207,1.0,0.0,1.254433,0.23469947,0.5112515,1.0,0.0,-0.82616574,-1.7245967,0.15958413,0.7344442,1.0184712,-1.1151341,0.43906432,1.5058522,-0.8364387,-0.7534807,-0.25408652,0.20080133,1.7179163,0.30957714,1.3611761,0.615935,-0.024468591,-0.6431936,-0.49762648,0.97179157,-1.1705698,-1.2270995,-0.99040395,0.5547665,-0.4103855,-1.0535715,-0.62876093,-1.4825526,-0.24887244,1.0957423,-0.22413504,-0.1431615,-1.6398145,-0.78767926,-1.4341037,-1.6177301,1.2710917,0.7205354,1.1765426,-1.3345929,-0.48189926,1.3948934,-0.22947988
6,-0.43671128,-0.8394901,1.0,1.0,-1.7011863,-0.2585976,0.33623004,0.0,1.0,-0.5133829,-0.968896,-1.6525718,0.81542516,1.6798443,-1.6487892,1.2300512,0.15290608,-1.6628714,-1.5488791,0.090282135,-1.4341311,-0.6839162,-0.78028345,1.6504688,-0.04689988,-0.68160754,1.5093856,1.6390449,0.7665339,-1.3129488,1.3069583,-0.19788432,0.96288013,0.7969368,0.49183524,0.90459853,1.0752256,-0.16180086,-0.00695689,-1.4529341,-0.41305974,1.2985572,-0.99432665,0.866276,1.0068321,-1.0559838,0.89363354,0.5694081,1.6335591,-0.40152025,0.8632472,1.193579
7,-0.66890895,-0.9309968,0.0,0.0,-0.42802155,0.5029341,-0.790343,0.0,1.0,0.89421904,-0.6615588,0.0033011439,1.3049154,-0.0801449,0.40380728,-0.58590215,-0.10698248,-1.5178044,0.054798387,-0.17296718,-0.75291514,-1.1099819,-0.5513341,-0.71320826,-0.42755213,1.1524235,1.3643051,1.4598993,-0.2923634,1.3558015,0.28647423,1.7306734,-1.3415895,0.91882247,0.26730284,0.01745993,0.88742185,1.1260115,1.1628367,-0.58272886,-0.3784103,0.30319592,-1.6187855,1.0909047,0.24388269,-0.19447628,0.4582888,1.6146898,1.0302855,0.5342963,-1.0028533,1.6364845
8,0.8190749,0.9021809,0.0,1.0,0.039555367,0.57073593,1.3886669,0.0,0.0,-1.1276045,-1.5987494,-0.55933964,1.4460019,-0.87823445,-1.3870816,1.5210972,-0.02209051,-0.09678772,0.65252876,1.0965403,-1.0054526,-1.0079793,-0.25976205,1.220191,1.5785385,-1.0136057,0.66296494,-0.16601165,1.3307818,-0.75670695,-0.7813652,-1.6540792,1.2596099,-1.1185526,-0.8043595,-0.9253085,1.4613156,-1.4787682,-0.5065285,0.6034293,-1.137865,0.24287307,-0.27487907,-1.6458955,0.31505617,-0.5314496,-1.0102398,1.6841347,1.1527771,-0.19044293,-0.61650014,-1.6827779
9,0.77834153,0.6322132,0.0,0.0,0.076997966,0.41008577,0.92348754,1.0,0.0,0.9288131,-1.5820448,-0.334964,-1.5641199,-1.0323347,-1.1195439,1.1625279,0.83457065,-0.8832205,0.2909371,-0.016164966,-1.4810767,-0.46998364,0.87474465,-1.2941384,-0.86330855,-0.43204814,-1.6690618,0.9692482,-0.38644758,0.44545642,0.0807631,0.97625643,0.519711,-0.31605694,-1.3401937,-0.30083197,-1.7499663,-1.4907663,1.1585169,0.026193764,1.0629833,0.79540503,0.0881879,0.79245967,1.4813035,1.5670812,-0.8625478,1.4499463,-0.14346212,-1.0300753,-0.3144398,0.29231688
