,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200
0,-1.6185721,-1.7559829,0.0,1.0,-1.5977358,-0.4810672,-0.8256454,1.0,0.0,-0.5621281,-1.2671204,-0.8753546,1.6091424,-0.82721204,0.82277703,1.2485869,1.053156,-1.053676,-1.2174057,-1.5425831,-1.6421195,-1.0711732,1.7395936,-0.43134505,0.83651614,-0.16230229,-0.016171461,1.5570811,-1.3164989,-0.08773261,-1.1651965,0.12706608,-0.653035,0.12447636,0.5775088,-0.40839314,0.3839915,0.5597991,-0.2922464,-0.3170956,-0.47196975,-0.41691178,-1.5024813,-1.5312878,-1.3844079,0.666273,-1.5594386,-0.047152035,-1.2863227,-1.6669612,0.49243516,-0.18831217,1.6368827,-0.5049356,-1.0832605,0.6306646,-0.4950308,0.8899075,0.9579573,-0.20064513,-0.80991966,-1.5585492,-0.42663878,-1.343456,0.73570806,-0.112413876,0.039868917,0.5904225,-0.24579136,0.30729502,1.1846466,-0.18845467,1.2481903,-1.0763891,-1.3463335,-1.8095171,1.4239949,0.52670735,-0.9692151,0.19657427,1.4128282,1.2825931,-1.333157,-0.5855682,-0.7551949,0.21629877,0.8519452,-0.55584884,0.31567317,-0.00066751696,1.4475782,-1.0299594,-1.716561,-1.5261091,-0.23188248,0.032301277,0.25154603,1.2459518,-0.9567635,-0.23351587,1.5952765,-0.5102231,-1.6366936,1.4310954,0.3900531,1.5468812,0.46138754,1.447808,0.43502694,-1.1681796,0.59785646,0.23737688,-1.6059246,0.9676094,-1.3166193,0.04959513,0.61048585,0.87703913,1.4907985,-1.301353,-1.005369,-0.4719409,-0.31308985,0.3032718,1.7081909,0.362791,0.6613571,-1.3926276,-0.19329405,-1.3432506,-0.98734134,1.1538192,-0.4491856,-0.92729574,1.2542263,-0.15278278,0.60426724,-0.39524397,0.7595235,-0.4525567,0.15778024,0.34980413,-1.3538995,-1.1476663,0.87363243,-0.14806165,0.4833461,1.1673074,-1.4812679,-0.74131894,0.40945137,0.05540811,0.95913756,1.1872312,0.8875323,-1.374417,1.5403839,1.2756808,-1.3847773,-0.50342315,-1.5318418,0.24221854,1.0246818,1.5927471,1.6555375,-1.4105226,-1.0982114,1.321231,0.8820357,-1.1824028,-0.22905445,0.11707059,-1.0500865,-1.292344,-0.89552474,1.5835507,1.0730225,-0.23007683,1.1519382,-1.557844,0.98231155,1.6316984,-1.6534469,0.30736998,0.94892675,-1.071978,-0.1708219,-0.8640777,1.0611559,1.5620525,-0.8459246,-1.2664325,-1.191633,-0.25088927,-0.1395553,-1.1781805,0.7717567,-0.3392472,-1.235125,0.3309389,-0.6894757,1.5305535
1,-1.1421624,-0.992892,1.0,0.0,-0.8518683,0.8031041,-1.7542647,1.0,0.0,1.2929052,0.03266286,1.2577825,0.10644359,-0.022907045,-0.9339806,-0.80604863,0.43852985,-0.17863202,1.4315305,0.24412479,0.6193629,-1.053168,-0.81913656,-0.27714527,-1.6894213,0.6809105,-0.3284562,-1.6261249,0.614217,-0.43787703,-0.88204294,0.025549866,-1.2142508,1.5636507,-1.5964993,0.84720194,1.1979071,1.364326,0.08655246,-0.2988072,0.71558326,0.95347285,-0.82941884,-0.821758,-0.78962386,1.2332599,1.5783678,-1.207171,1.4877052,0.015087233,-0.6099476,0.9130975,1.465556,-0.749011,-1.4868737,-1.5807759,1.0556153,-0.7391901,0.46730685,-1.16169,1.0617309,-0.23457086,-1.5152702,0.42904314,-1.2310847,-0.21563263,-0.3194234,1.4182386,1.5030342,-0.6939511,-0.8782327,1.2977654,0.5558082,-0.71361,0.56161493,1.543565,1.0692217,-1.5411713,1.6205144,1.424133,-0.35437852,1.337074,-0.12651289,0.93296635,1.1505909,-1.2419959,-0.61568344,-1.5822276,-1.4990032,0.35800898,0.32116517,1.5795083,-0.83384603,1.4743284,-0.038122438,0.67806876,-1.570919,1.5295917,-0.8943932,-0.77673244,1.0246565,1.3078934,1.8018271,0.7611432,-0.32301515,-1.7541906,1.5973471,1.1808394,-1.3831158,-0.8289516,0.8037123,-0.7554939,-1.0540221,1.6668108,-0.39444014,-0.66283476,-0.95579475,-1.5413691,-0.1519404,-1.6484762,0.79349613,-0.4606058,0.2216413,1.1995054,0.08179712,1.7092445,1.4709382,0.16478516,0.7054871,1.0856726,-0.97267264,-0.25787213,1.3529067,-1.5464257,0.118481584,-0.8651217,-0.39490786,-0.8951034,0.39449236,1.1537135,1.472726,-1.173801,1.4632735,0.97826976,0.99227595,0.9240068,-0.7755668,-0.5439772,-0.117098175,-1.5056552,0.03135538,0.58622897,-1.2169726,-1.537416,1.2990619,0.051894747,-0.8558224,0.9809345,0.054003417,-0.035986703,-1.1670414,-0.93767595,-0.6134348,0.6651173,-0.8622525,-0.20398632,1.6169567,1.5903988,-0.75240016,0.8591974,1.519739,0.16245943,0.3926451,-0.021741517,-0.866374,-0.119709074,0.9064934,0.83693373,-0.8175599,0.8465453,-0.44542587,-1.5491952,1.051738,1.5006927,-1.3314561,1.6686376,-0.44634056,1.4431146,0.4780217,0.9378904,-1.181967,0.6278835,-0.037191063,-0.5511299,-1.2760583,1.4597404,0.53470623,0.95726913,0.5880766,-1.024974,1.6362423,-0.33762017
2,0.3116115,0.2430186,1.0,1.0,1.1685213,-0.40468767,-0.10095194,0.0,1.0,-1.4426851,-0.41164178,0.90856576,-1.219059,1.1260788,-1.0171913,-0.8166041,1.0809916,-1.7494059,-1.7989513,1.341922,-0.61017275,1.0985836,-1.6918095,0.4614115,0.8507883,-1.8295801,-0.44719896,-0.75655156,0.82627594,1.548701,1.5219084,-1.721679,-1.4976453,-1.7189224,1.058865,0.528907,-1.5183132,0.6276715,0.04116947,-0.6293276,0.63215256,1.1659745,-1.779539,-1.4782051,-1.0877762,0.80463076,-0.61183965,0.14381588,1.4158958,-0.9614432,-0.30559656,-0.25728062,0.8405696,1.1455357,0.7409071,0.25602564,1.6779959,0.4723707,-1.2477096,-1.3700882,0.24193026,-1.0353472,-1.2567991,-0.66464466,-0.7533198,1.2958935,-1.5170116,1.6094888,0.63743186,-0.9742531,-0.43977347,-1.6140791,-0.6007121,1.3100632,1.095435,-1.2458619,-0.3167905,0.37355742,0.3354262,0.6244566,1.1697472,0.9010074,0.30568036,-0.98317593,-1.5054784,1.3372437,0.12608506,1.3733704,-0.22503103,-0.96945816,-0.4556873,-0.5176405,0.6879884,-0.9218052,-0.07735556,1.0000427,-0.57007295,0.9629943,1.1081557,-0.3429243,0.24351858,0.30369294,-0.9159073,-1.4219092,-0.07720927,-0.37619826,1.2224411,-1.4546722,1.2794052,1.3061463,-1.2329249,-1.4605559,0.3144914,-0.0736323,-0.054154668,-0.64443856,-0.49603224,-1.2108021,1.2819774,-1.4484327,-1.4896059,-0.15282206,-1.6730156,-1.614055,-0.83018523,0.0043602297,0.31984478,-1.2214885,0.24841036,-1.058356,1.5551846,-1.1642685,-0.8884192,-0.4560904,1.6376611,-1.4888916,-1.5303692,-0.09065457,0.021623204,0.86180854,-0.400539,0.6640837,1.3397199,1.3549098,-0.036127493,1.2549309,-0.90874296,1.1682671,0.40531462,0.1728888,-0.8941041,-0.6907986,-1.7484809,-1.380034,-1.6101692,-1.3885428,-0.30460176,0.3617357,-1.4221331,-0.42070016,-0.15342055,-0.81506103,1.0127633,-1.7045434,-0.38419706,-0.023848508,0.06770916,1.3168844,0.02608474,-0.31064883,-0.20340848,0.44365665,0.7985669,0.033668168,0.103272706,-0.26188853,0.23034821,0.29859784,0.5022393,-0.86009353,0.99789965,-0.17438005,-0.46304545,1.1015944,-1.2865182,-0.1457536,-0.99289894,-1.279874,-1.8176976,-0.10067344,0.062183198,-1.4440051,-0.33547327,-1.5586342,0.6876198,-0.44747555,0.60681105,0.7166176,0.18018155,-1.2150619,0.0054702996,-1.7015637
3,0.5805248,0.35975936,1.0,1.0,0.7533485,-0.57406485,0.50309753,1.0,1.0,-1.3455535,-1.4208742,-0.033538856,-1.4576954,-1.1947489,-0.050395064,-1.4039642,-0.58207726,-0.50252455,-0.5540284,-1.5878092,-1.1879274,-1.545874,0.67326003,0.3724133,0.14512289,-1.2044898,-1.0947858,0.62580526,0.18475334,-1.6245772,1.3894162,-0.58553386,-1.2765137,-1.428325,0.27414712,0.28037342,-1.5356444,-0.6232992,-0.3436886,1.357656,1.3526195,-0.26477352,0.6971678,-0.42761245,1.2139901,-1.2041876,0.6699786,-1.399559,-0.58187056,-0.26550445,-1.3976226,1.3202577,0.82220554,-1.1387769,0.27971283,-0.8356962,-0.13825427,0.77180797,-0.5988212,1.3694232,-0.32614288,1.4379479,-1.2891313,-1.3824928,-0.18314739,-0.42755982,-0.18813077,1.1001661,0.48809043,-1.4144726,0.4025839,-0.34721315,0.47882003,-1.2354587,-1.2871026,0.993903,0.05647294,-1.1214284,-1.329836,-1.0666898,0.0031764668,-0.70339787,-0.64516467,-1.4771876,-1.5931017,-0.15085594,0.20130949,-1.0145638,-0.645107,-0.8212489,1.2107292,-1.7003758,0.9333805,-0.052977894,1.1750544,0.6064668,-1.0639392,-1.3451273,0.87471366,1.4018098,1.5203537,0.80449843,-0.1179223,-1.6581628,-0.33653852,1.618256,0.95256174,-0.077045,0.9293858,1.6901829,1.0789514,-1.2663244,0.99251145,0.91323096,-0.65332705,0.27078938,-1.5419315,-0.80808264,-1.2745594,1.3900054,0.6605735,1.719777,1.4490541,-0.97904575,1.2683003,-1.4131421,-1.481945,-1.6365573,0.5415333,1.2650001,-0.7720593,-1.4000806,-0.75567514,1.7370526,-0.3724401,-0.62015796,-0.037005678,1.1463075,-0.19491978,-0.8814483,-1.4678594,1.2940372,1.5841793,-0.8797248,1.4053708,0.87250495,-1.5982349,-1.6113435,1.6637962,-1.2870663,-0.4030941,-0.9211591,0.064673245,0.055999245,-1.2095914,-0.043626588,-1.0119771,-0.9175457,1.2487736,-0.32324058,-1.2158657,1.3836949,-0.21120831,0.16117398,1.561613,-0.6559132,-1.1929936,-1.1442997,-0.8829422,1.580653,0.9657527,-0.10243659,-1.2900628,0.83663183,0.24572632,0.4914627,-0.5469247,-0.5941772,1.6192547,0.30647874,0.61832875,-0.5886734,1.1644803,0.58031005,-0.32864672,-0.36889195,-0.3669892,1.7036428,-0.8953916,0.9002691,-1.0915421,1.398623,-0.31270832,0.107503064,0.43144527,-1.1143545,-0.3931781,-0.4327266,1.3196684,-0.78778124,-0.60659516,0.8157456
4,0.9811586,1.0847986,0.0,0.0,-0.080716826,0.31031704,1.2253022,1.0,0.0,0.7029274,-0.30447498,0.34547767,-0.45190346,-0.116050534,0.64252985,0.86969626,0.6972761,1.7128295,-0.9206348,0.866631,-1.0361676,0.37890694,0.8596441,0.13709855,-1.0554587,0.83485967,1.518283,-1.0122768,-0.2627426,0.91252464,1.2754648,-0.14044473,0.5450966,-1.1477627,-1.2036921,0.2694879,1.5947837,0.4953173,0.815401,1.4306412,-1.6410367,-1.0432861,0.50775886,0.9599519,0.1022507,-1.7097375,-1.2317812,-1.6652132,-0.9519344,0.7401303,-0.77890635,1.3049725,-0.66543645,-1.5771029,-0.9084434,-0.00029615362,-0.66443425,0.4447948,-1.6999902,0.46540046,-0.5514477,-1.565813,1.4698884,1.6379229,0.016787352,1.2610791,-0.21239674,1.2547758,-1.695832,0.99409115,1.1918062,-0.6403314,1.5437251,1.7172798,-0.5545958,-0.3018883,0.127158,-0.27218187,-1.109997,1.086866,0.6652746,0.41840738,-1.5625104,0.40356702,-0.06764217,0.15665706,1.6686555,1.0344421,-1.2408471,0.7622375,-1.5594139,-1.0174431,-0.015934821,-0.55552584,-1.6995051,-1.1236823,1.1824622,-0.9395698,-1.4830003,-0.25836918,-0.39806378,0.949703,-0.43428326,-0.6026597,-0.48903483,-0.5054853,-1.2562368,0.87000895,0.82120484,1.5827819,-0.24714161,-0.6655639,-1.5732541,-0.7610286,-0.7220378,-0.91320413,0.45707154,0.3210132,-0.42481345,0.14067304,0.8241016,0.893129,1.7147108,-0.74912554,-0.42723763,0.90709084,-0.28070635,-0.41101828,1.4334946,-1.247927,0.66600907,0.45637658,-0.6780275,0.966136,1.2390826,0.5923257,0.99683434,-0.7653287,-0.48079064,-1.5973153,0.8126818,-0.7273689,0.5561035,-1.1694398,-0.76104844,-0.6665807,1.2429938,-0.5965917,0.22115895,-1.779989,1.252348,0.81732714,0.7872622,1.5090979,0.87664884,-0.34291053,-0.37293786,-0.32179812,1.5419339,-1.3296582,1.1635314,1.2884932,1.5527456,1.568034,1.0730379,-0.8139048,-0.5638932,-0.7283897,0.6729991,-1.6577935,-0.7396615,0.5533832,1.2050804,1.4539266,-0.08924374,1.4065069,-0.7902147,1.4315096,-1.692398,-0.8921976,1.3331116,0.6149148,-0.4556643,-0.43363443,-0.37194425,1.3153319,1.2310855,1.3934318,0.5796375,-0.59075344,0.54457754,-1.309376,0.64069414,-1.3622826,-0.4322143,-0.33722526,-0.7520832,0.63269866,0.34943452,0.26075414,1.5771697,1.601959
5,1.0071542,0.23124534,1.0,1.0,1.5455415,1.0461452,0.26751643,0.0,0.0,1.0145202,-0.768997,1.1394541,-0.73793197,0.855269,0.77360874,-0.3358735,-0.51004285,1.0970274,0.5288885,-1.388763,0.7379338,1.1532522,-0.66894984,1.2426702,-0.9242837,1.4793551,1.2064769,1.6017262,0.33251,0.5632143,0.25620207,-1.5351295,0.5330037,1.4997084,1.5086354,-0.17420703,-1.6803815,-0.45137712,-0.38752973,0.7504679,0.029154994,1.4537066,1.569142,-0.83661294,-1.468848,-0.6404396,1.1269821,0.43258283,0.3224098,-1.6550441,-0.88793814,1.3110341,-0.22963879,-1.3417898,-0.35640863,0.3628254,-1.1614621,-0.7585794,-1.1573068,-0.023992516,-0.6536319,0.2073378,-0.32005203,1.1063168,-0.6645072,0.8392354,1.4632719,1.4367505,0.26141387,-1.5917791,1.2849349,1.2988074,-1.5974255,0.4485867,-0.44296008,1.1501505,-1.055065,-1.1201186,0.619258,-0.27478227,1.5853925,0.08623931,-0.7252177,-0.6226992,1.7489512,1.2082355,-1.1228948,-0.5073977,1.1390132,0.99766684,-0.7371039,0.42750362,1.194249,-1.5173006,0.1976428,0.6052397,1.2534701,0.70101655,0.29954243,1.6963232,1.4027722,-0.23227194,-0.03325208,-0.01392575,-0.46101147,-0.64517605,1.2390699,-0.80203164,-1.0726128,-0.48309764,0.236693,0.62521654,-0.76259613,1.1300904,0.9729769,0.5263995,-0.42782453,-0.70772654,0.345324,-0.8632906,-0.964248,-1.0039189,0.29885915,-0.9995013,1.6010262,0.0071464246,0.29502,0.83753306,-0.937935,1.029833,-0.7691573,-1.2494198,1.1148313,-0.62614936,-1.6020801,0.2150693,1.645262,1.2272035,0.24347626,-0.73160833,0.27256364,-0.88359886,-1.0614668,0.47595352,-0.2094902,-1.2015394,-1.6653079,1.7262387,-0.8387767,0.694967,1.4993743,1.1082178,1.6008712,1.7381041,-0.85915613,-1.0851797,0.9368244,0.46334335,0.42791668,0.40982693,-0.41253492,-0.71430916,0.99903625,0.53245074,-1.0631934,1.6627996,-0.95040697,-1.5050007,1.4423907,1.4625112,-1.2088444,0.357751,-0.51692575,-0.23905729,-0.08302872,1.4507132,1.4007382,1.4106698,1.4346352,-1.3554808,0.56304574,1.6254016,0.4231704,-1.616637,0.40175536,0.2799349,0.69702876,1.6868516,1.5315253,0.5841834,1.6985424,-0.26949623,0.99258226,-0.49386325,1.2911469,0.53663886,-0.46752432,-0.62351805,0.56841797,0.050160218,-0.28509435,-0.80272996
6,-1.5595503,-2.0416815,1.0,1.0,-1.3897835,-0.14014737,-1.3693599,0.0,0.0,1.1612581,0.8569879,1.4381372,-1.3544934,0.95085764,0.30575165,-0.97612846,0.53701556,-0.6669983,1.2195612,-0.88106084,0.60599166,0.7239324,1.5226339,-0.9510243,-0.83037287,-0.7110712,-1.6433434,0.5083659,1.2968096,1.0799812,0.7891247,-0.06261588,-0.03462384,-0.31741652,-0.77717316,0.8759162,-0.8281201,0.68289524,0.5722116,0.2560681,0.5431578,1.5609877,1.1579337,-0.2885559,0.24590854,-1.0865724,1.7320801,-1.5365951,0.8288906,-0.41229722,-1.3854649,1.0923787,1.6995885,1.4242679,1.3720984,1.3860382,0.8144302,1.461285,0.15816976,-0.53668875,0.76136243,0.84563196,1.1197733,1.0769424,0.6321948,0.083158456,1.5758219,-0.013303449,0.6637789,-0.16868865,0.455943,1.3682461,-0.49639693,-0.36565432,-0.31011638,1.6402429,-0.37181902,0.6898161,0.7765486,-1.1013542,-0.7310878,-1.5114299,-0.62650305,-0.546461,0.6218471,0.76855415,-0.6854969,0.8050129,1.2560589,-0.89209795,-1.2350265,1.6572003,-1.4558799,-0.16493149,1.6376008,0.6085041,1.1774218,-0.24766427,0.6000712,0.71217597,-1.688341,1.0512743,-1.0811316,0.9433107,0.07048696,-0.1426653,1.3497853,0.073349506,0.64912385,0.4205089,1.5807904,1.7326881,0.28529558,1.5318615,-1.028282,-0.1745145,-1.667423,0.92880845,-0.18864623,-1.5562696,0.539275,-0.8109328,1.2865916,1.1165143,-0.28432032,-1.476365,0.1396877,1.6442798,-0.46476763,0.8291201,0.964018,-0.9030111,0.74651444,0.81370044,1.2927581,1.5337893,1.6029831,0.34427327,1.7396313,-0.75508237,0.55799973,0.80925995,0.045123458,-1.0838732,-0.6248268,1.1361587,0.76087713,-1.4478579,-0.42408913,1.2019225,-0.038500246,1.475646,-0.3707548,-0.48375973,0.22398221,-0.64770234,0.19268484,-0.19846141,-0.8971107,1.1212207,1.5267818,-0.117069975,-0.40863577,0.5921991,-0.69720083,1.5566449,1.6135312,-0.5308098,-0.34466803,1.375731,1.0286835,-0.5069129,-0.036672447,-0.022784505,0.8114281,0.80041826,-0.7263646,-0.54558414,-1.2002915,1.2233742,-1.6969247,-0.7250921,-1.703419,-0.12677315,-0.37340304,-1.1782581,-1.0022533,0.59349215,-1.6968598,-0.7756476,-0.95766634,-1.6431763,-0.13626835,-1.4490112,1.2264123,-1.6658264,-0.37468415,-1.3979639,-0.61662674,1.1827778,0.7554399,0.30758157
7,0.033112805,-0.4454564,0.0,1.0,1.5899822,-1.5194287,0.033928014,0.0,0.0,-1.54396,0.27404213,-0.5187016,-0.14980285,-0.97565526,0.9298068,1.5908393,0.562328,1.759469,1.2801892,-1.5269595,0.9954404,-0.69274855,1.1855302,0.51503706,0.7789125,0.037094492,-0.6386161,0.5078523,-0.4646087,-0.97034776,-0.6918787,1.6672897,1.028259,0.44569033,0.75728244,-1.045651,-1.4919688,1.5008234,1.1640211,-1.6125417,0.48369318,0.17045483,0.7498352,-0.30167782,1.4702023,-1.5468366,1.3533823,1.0226215,-0.7975336,-1.5374256,-1.3604499,1.7196547,0.45487222,0.016422166,-0.10374161,-0.29457852,0.90016484,-0.76597804,0.37273207,-0.21237274,1.5431631,-1.1898576,0.8824723,0.22741587,-0.25180438,1.1573014,-0.42145786,-1.6832051,1.2788658,-0.025671815,-0.71486855,1.3401402,0.033980686,-0.9390418,-0.09392404,0.42055038,-1.1017185,0.1901633,0.12443853,-0.537207,-1.2661264,1.1556025,0.48637792,-0.49924302,-1.3730549,0.35428432,-0.97790974,1.6187248,1.0969005,1.0163609,-0.8244988,0.5264924,-1.093752,1.0829011,-1.6697932,-1.4854361,0.91301125,0.2279986,0.12782645,-0.79469764,-0.46775717,-1.0001278,-0.6544948,1.6876311,-0.21267664,0.9284338,1.3083929,-0.94358665,-1.0464766,-0.87710977,-0.82083344,-0.44172594,-1.3466741,-0.19272406,0.012265416,-1.2447519,-1.6234497,-1.1213778,0.31746203,-0.1196956,1.5717878,1.2887108,0.08022288,-0.87344134,-0.41752377,1.4966077,-0.56959623,1.2222624,-0.2095898,-0.14342235,0.036136657,1.4066547,-1.6297395,-0.07479923,0.5819295,1.2132628,-0.12656827,1.3318621,-0.097500965,0.8986432,0.33103976,0.31685537,-0.8661606,-1.180291,1.6368029,-0.27990383,-0.054942824,1.4786745,1.4394424,-0.8064751,-0.46436667,-0.7284751,0.91160697,-1.3937538,0.039118696,1.2965447,1.5002484,-0.22354966,0.92586505,-0.52806365,-1.5954174,-0.6968081,-1.484777,0.94670004,1.0551697,-1.6325419,0.30189785,-1.5178369,-0.2986181,0.8434795,0.06814057,1.0390626,-0.0010131199,-1.5211729,1.3287674,-0.8556586,1.5977646,-0.43037373,0.07889823,1.6267633,-1.5757681,-0.9596723,0.25564787,-0.7648453,0.11679016,-0.13414308,0.7182163,1.0913389,0.21308498,1.5475299,-0.49129692,1.0606766,0.024331795,-1.0789462,1.492629,-0.3881015,1.0101272,-0.46498963,-0.34215423,0.58358055,0.64097565,0.45566452
8,-1.6973811,-1.8316426,1.0,1.0,-1.7287923,-0.8258039,-1.2113458,1.0,1.0,1.5477259,0.49953195,1.6206958,-0.96516573,-0.7984823,-0.43847385,0.985904,-1.0999281,-0.060170468,0.7431843,-0.2602128,-0.569009,1.6751455,-0.92639893,-1.2610036,1.5347793,0.55870014,1.1766299,-0.70881486,1.3986545,-0.13429072,0.95269084,-0.8451585,-0.24535765,-0.40727478,-1.0368028,0.48903957,-0.32018358,-0.68442565,-1.4898698,0.78444713,0.70207065,-0.86914253,-0.42814243,0.80888754,-1.1845487,1.6968495,-1.3245106,-0.9212324,-0.7321086,0.6025149,-1.0319772,-1.586158,-1.4168774,0.5139149,-1.5645205,0.75605553,-0.5591607,-0.57813036,0.6647098,-1.4655039,0.40608457,1.3195949,0.8526184,0.029470567,0.816083,0.26800016,1.5504942,0.8196804,1.4907374,0.7389241,-0.3317719,-1.1060765,0.48309234,1.5906272,0.28364956,0.31804156,-1.5770572,-0.3325509,0.31086022,-0.54727674,1.4328535,-1.4556905,0.5085924,-1.4275341,0.11977532,-1.3420026,1.131667,1.2420776,1.6143245,-1.0265326,-0.69212484,0.077298336,-1.3602686,-1.3279493,-1.6505489,0.48278084,1.4120685,1.5988206,0.69605464,-1.5748457,0.47042722,1.2518982,1.0852445,1.1482244,0.547881,1.2880822,-0.4888436,-0.29365027,1.5008479,-0.21850869,-0.7562003,1.5833275,1.106859,-1.4282551,1.1043212,-0.6422886,-1.1113958,0.20634718,-1.1916039,-1.5878927,1.355152,1.314727,1.7031951,0.05508598,0.52222246,0.19750361,-1.3516701,-1.15859,0.6078309,-0.01337838,-0.38899463,-0.019701457,-0.6889284,-0.96519816,0.12150995,-0.2828786,1.2108678,0.9654225,0.82714874,-0.1261208,-0.29582497,1.1534611,-0.6052245,0.124396436,0.99448764,0.2525949,1.267047,1.2662834,0.9373559,-1.4834441,-0.21104959,-0.68670666,-0.9436822,-1.3741144,-1.5175778,0.4775528,-1.3219308,1.5816882,1.5116711,0.9623045,0.9583306,-0.354864,1.5822489,0.85780156,0.33382407,-0.33341208,-1.4825423,0.67856216,-0.26727888,-1.450186,0.93597305,-1.3951793,-0.577413,0.73980325,-0.21375823,1.5733259,0.39646468,-1.4329369,-1.0262965,-1.3782129,0.68746424,0.46558782,-0.024031764,0.3367777,0.44766852,0.7901547,0.37036112,0.90410155,1.320969,1.0719817,-1.1204257,0.5153825,-1.1291517,0.6301322,-1.7153996,-0.3371521,1.7422268,1.6221066,1.5274881,-1.081474,-0.50453234,-0.08290695
9,0.34821862,0.13979013,1.0,0.0,-1.3848913,-0.6706866,0.8493864,0.0,0.0,-0.9024617,-0.3751824,-0.7409443,-1.1146952,0.5912234,-0.9558099,1.1629167,-0.033360194,-0.5860771,0.1171723,1.3467836,0.79950863,-0.8788744,0.19323151,0.56122893,1.1720642,-0.36761537,-1.3444859,-0.3872809,-0.7774874,-0.043259587,-0.12319281,-0.27057162,-0.75283444,-0.23168314,0.7519016,-1.0671405,1.354146,-0.47754553,-0.25814104,-0.87199867,-0.5533645,0.027932879,1.109801,0.3189682,0.087232776,-0.7772429,0.41366735,0.8383648,-1.4940376,-0.1789682,0.00021814066,0.8901328,-0.5652904,-0.088493645,0.35215932,0.5110626,1.3990409,0.058270227,-1.6967351,0.4212075,-0.0841182,0.28359514,-0.1576944,-1.5079321,-0.8378679,-0.9756626,0.90963686,1.6614144,1.0461942,1.4716371,-1.4017316,-1.0965918,1.2788607,0.8371378,-0.88128,-1.09379,-0.37694344,-0.16679406,-0.6076959,-0.41645572,-0.09237826,1.6410551,1.2563077,0.6269579,1.5446155,1.074098,0.41047245,-0.8102104,0.67641366,-0.34259525,0.041195016,-1.5866159,-1.4115232,1.5600086,-0.9357514,0.046824824,-1.1751379,1.5750891,0.9537257,0.44758195,0.31698185,0.81470376,-1.5720704,-1.6344923,1.4981049,0.6696794,-1.0649642,-0.1439396,-1.3278646,-1.0645051,1.0753133,-1.2944285,-1.0349066,-0.6379344,0.46656778,-1.4361978,1.1546692,-1.3361735,1.3189318,1.0619986,1.1903312,-0.46885028,1.6734679,1.3664824,1.6542054,-1.4756588,-1.4432234,-1.1963037,0.92554295,1.0493773,-0.09809123,1.2590578,1.1235707,0.2667036,0.8845052,0.68116933,-1.6498417,-0.4344524,-0.82858706,0.43093133,-0.35631087,-0.8455552,-1.284089,0.7639576,-1.6772962,0.8754328,-1.3043406,0.0561605,1.4647274,-0.22724073,-0.69057536,-0.6183516,-1.002737,0.19471486,-0.19605981,0.052865043,0.8637924,-0.6052923,-0.8588288,0.26789865,-1.0305672,1.0925094,1.7211446,-1.4462909,-0.36907178,-1.548283,-0.45794696,0.77745223,-1.419361,-1.6635965,-0.097527675,0.230002,0.8582811,-0.041685957,1.4192499,-0.14725618,-1.2312112,-1.5966585,-0.71095604,-0.5815906,1.6803955,-0.7734057,-1.356231,-0.6584265,-0.74610615,0.3030136,1.3429592,1.3539959,-0.30789495,1.1763494,-0.14511172,-0.078289546,-0.7224689,0.9028442,0.7873848,0.8411357,0.6979391,-1.5413382,0.6732157,-1.1803131,0.7382682,-0.711857
