,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
0,1.1543177,1.8792998,-1.4548165,0.94440204,-0.39174145,0.670147,1.6620492,0.18406664,0.106620744,-1.4828379,-0.80842274,-0.02042795,0.6257665,0.95017016,-0.41273874,-1.4626796,-0.7378156,1.3889693,-1.0783558,-0.2168437,1.519269,-1.5646611,0.40717426,1.4970113,-0.87224525,0.13113382,1.2259756,-1.3049647,0.07790634,1.0471119,0.6444167,-0.052878898,-1.0405443,-0.11071641,-0.3812403,-0.017821139,-0.5133232,1.2281718,0.8775518,-0.5183806,0.28816426,-0.8514012,-0.10364913,-0.42277256,0.5093116,-0.48093295,-0.07767587,0.84995794,-0.4469246,1.449655,-0.97121054,0.9126271
1,0.22268173,0.022864465,-0.29546446,-0.25682876,0.33062667,-0.02837719,-0.25776267,-1.6106982,-1.4130112,0.67769647,0.07353534,0.64285356,1.56964,0.5317183,-1.5526443,-0.5878235,0.28629768,-0.9143588,1.5600318,1.4448848,1.239084,0.0039441832,1.2471378,-1.2371047,-0.5933024,-0.1581607,0.64865124,-0.06938224,-1.2926034,-0.368373,-0.5033212,-0.63916814,-1.1811576,-0.37849364,-0.110460214,1.0317636,0.9434624,0.1449703,-0.16660677,1.1010742,1.3427305,0.5007043,1.0834004,1.6803035,-1.551735,1.1704843,-0.7217146,0.012573131,0.8990851,0.792922,-1.0847842,0.6000561
2,-0.07290047,-0.05882554,-1.4784554,-0.49262264,0.9884107,-0.35995278,0.37285787,0.8178862,1.2963856,0.85099095,-1.7089539,-0.28950673,-0.11260022,-1.6411954,0.145373,0.48872113,1.0796843,1.4989861,-1.3775759,-0.96420807,0.59875065,-1.1875198,-0.90534055,0.24426454,-1.0884092,0.92206824,1.0459849,-1.6535611,0.11064026,1.2090266,1.6640513,-0.73082626,-1.1682938,1.2515167,1.5379819,-1.0052034,-0.25736445,0.82072544,1.1375519,-1.0267311,0.59764546,0.9512709,0.22713035,-1.0982654,-1.5688685,-0.7711929,1.1529524,-1.4692463,-1.8666103,-0.44161522,-1.3696223,-1.3324353
3,-0.90777946,-0.7330161,-1.6327664,0.077123374,0.56033003,-0.3622213,-1.2134539,-0.50814456,0.43825108,1.46167,1.6871845,-0.89323133,-1.6589313,1.043337,1.4847313,-0.048500426,0.8879098,1.2407769,0.3125793,1.2007415,-1.5507414,-0.6997813,-0.72007155,-1.2720839,1.5476677,-1.6218554,0.40952936,-1.5215944,-0.49872455,-0.10897331,-0.9796932,0.13373293,0.13925673,-0.72390217,0.9226898,-1.1369061,-1.1000373,-0.4313557,-0.4454431,-0.8941291,1.4480326,1.0199426,-1.2849965,-0.3635426,-0.9100544,-0.21711071,-0.72258216,0.102109745,1.3404568,-0.369081,0.6304827,0.36050814
4,0.8790056,0.54067594,0.8086571,-1.4965402,0.73773396,1.4461716,0.38548985,-0.65443844,0.7431131,0.68669456,0.5288217,-1.2131581,1.6311686,1.4753578,-0.26083454,0.43782002,-1.5737833,1.658894,1.0467159,0.40472603,0.9436354,-0.9927489,-0.61396384,-0.85225743,0.4285489,-1.413867,1.1793206,-0.1518907,-0.20077983,-1.1992298,0.6973452,1.1704096,0.4771716,-0.98870444,1.0954944,-1.1881436,1.0479773,0.3451655,-0.74715865,0.17671019,0.47660077,-0.9105863,1.2419332,-0.17779702,1.2944323,1.039098,-1.3470021,0.5987352,-0.8064176,0.92070955,0.26389712,-0.16324349
5,-1.1580501,-1.1571643,1.2891046,-1.5115334,0.04656723,-0.70752305,-1.5519916,0.9026244,0.3319321,1.303985,0.3282786,-0.57074046,1.6712968,-1.4326555,-1.5544766,0.9383689,-0.45952877,-0.4828913,1.2495736,-0.6376671,1.3764193,0.6057728,-0.5393731,-1.4760522,-0.8195853,1.5520778,-0.5129592,-1.2108425,-0.72127306,1.56605,-1.0344095,1.0336461,-1.2906414,1.5504565,0.1830187,-1.5497997,1.3988183,-0.4186038,0.75135726,0.21321662,-1.3206576,-1.4276398,-1.1403929,-1.1108834,-1.511299,-1.5376201,1.6488955,-1.3092864,-0.11246497,-1.2851324,-0.854117,0.9959327
6,-2.6368544,-2.637236,1.4323814,-0.10981518,-1.9869665,1.630529,-1.5093752,-0.31401843,0.24762104,1.2958088,1.103206,0.34961906,-0.33310497,1.0566304,1.2845963,1.4399925,0.7069162,-1.3833517,-0.7792881,-0.10290478,0.07731066,1.2679772,-0.8573746,0.5438025,-0.36046857,0.8992356,-1.2359669,-0.10160859,-1.4107345,-0.8260139,1.5309374,-0.5844115,1.4185563,0.0076596867,-1.5730777,1.0955548,-1.5756541,1.1904967,-1.6982855,0.73790735,-1.075562,-0.62487096,1.6033545,0.055353787,0.5094016,0.7295036,-1.3096701,1.2607145,1.3100017,-1.1574148,0.27619696,-0.82387537
7,0.7218984,-0.030615259,0.7707782,-1.610031,-0.11846193,0.9116841,0.8327182,-1.2539402,1.3399184,-0.9208267,1.0503917,-0.029733414,-1.1455591,0.708785,1.0719746,0.8169246,1.538487,-0.8425616,-0.999803,-1.2446909,0.19354922,-0.25154543,-0.4431057,-0.13816231,-0.71490586,-1.7104399,-0.2835115,-0.804941,-0.1831537,1.6679804,-0.9876833,0.5418079,0.53029233,-0.8500913,-0.02905976,1.7187097,-0.5926097,0.79708266,1.1201751,-0.35547736,1.6866695,0.3344341,0.06073925,0.8758483,-0.27123582,0.6366634,-0.727927,1.5646867,0.0054208837,-0.8580755,-0.095657654,1.4969246
8,0.8367857,1.2732084,0.99325305,-0.0596669,-0.7113545,-0.5391731,1.672979,-1.2404764,1.5483689,1.1801298,-0.96023893,-0.52909243,0.2510368,0.94550747,1.5676042,1.8718226,-0.76107275,-1.0603735,-0.11530557,0.13861161,0.5904481,-1.2747555,0.5668748,1.4010344,1.5636282,1.4687033,1.2715704,1.5946853,-1.6052685,1.623252,-0.68056226,-0.5682292,-0.13368672,1.5288783,0.450751,-0.45779383,-0.48534733,1.4582177,1.0595915,-1.133961,-0.7975026,-0.5263283,-0.909847,0.3325247,-0.94023883,0.18762489,1.6051303,1.2946838,-1.5472775,-0.97869,-0.17902835,0.55216455
9,0.49409795,0.7516218,-0.41542348,-0.85101634,-0.7373144,-1.139044,1.266147,0.7145933,-0.2282282,0.6473128,0.057625763,0.06871692,-0.43987116,-0.14256738,1.6895564,1.1250799,1.0771517,-1.2925655,-0.05721209,-0.50414443,-1.3307898,-0.26617113,-1.427916,-0.8935651,1.1495095,0.5971788,0.49921146,-1.4935015,-1.1964954,-1.4884236,-1.2591101,-1.3371071,1.6585873,1.3124051,-0.9823609,-0.8066459,1.5000764,0.30840608,-0.4788436,0.013797631,-0.7186504,0.19107102,0.82659537,0.16017796,1.0549202,-1.3212832,0.4323898,1.779204,-1.372557,0.021543927,0.5623364,-0.6188699
10,-0.8235996,-1.0918149,1.5211002,-0.056467418,-0.24323034,1.2942752,-1.6180063,1.288154,-1.2761929,-0.44173893,-0.050154198,-0.09924601,-1.5604272,-0.7351741,-0.49670342,1.7435044,1.377491,0.27825683,1.4490907,1.1706884,-0.36030114,-1.2418855,0.43014467,-0.5964923,-1.6566788,1.5952761,1.4335587,0.109238096,0.4139354,0.76342905,1.502173,-0.053734437,0.3103841,-1.0433545,-0.845983,0.13992052,-0.975858,-1.5445285,-0.47923458,1.002458,-0.70236176,1.1372664,0.7488461,0.65486586,1.2949191,-1.4500431,-1.066784,1.5030135,1.2858623,-1.4252491,1.0536999,-1.8411282
11,0.76879585,0.6952273,-1.2574047,-1.3330914,-0.9240652,-0.49730533,1.4332291,-0.1571223,-1.2956105,-0.8038477,-1.7115953,-1.6148921,-0.22217241,-0.059552796,-0.86819524,-0.33197603,-1.3593718,0.53258216,-0.44921604,-1.1964984,0.05139267,-0.92142266,-0.6680908,-1.260273,1.0853771,-0.77970433,1.386624,-0.35105228,-1.2276535,0.88987494,0.8594005,1.3961382,-1.3026208,0.94508636,1.3612776,-0.6277562,-0.21353422,0.47883412,-0.8958401,1.4260066,0.7123484,1.1168565,-0.113646775,0.17291594,-1.0384359,-0.6650119,0.8764715,1.6740167,-1.3619515,-1.5211436,-1.3565599,-0.247209
12,0.6825989,0.8992966,0.9450652,-0.941874,-0.24900503,-0.054512832,1.1837627,-1.0673041,-1.7012235,-0.009571153,-0.5092508,-0.7223658,0.9435607,0.53363425,-1.4455137,0.27383077,0.9767224,1.3892794,-1.8267807,0.981356,-1.4852848,0.7394601,0.39831257,1.50331,0.5559799,-1.4881952,0.40206423,-0.87839186,1.1718402,-1.4540589,-0.50428826,0.6782854,-1.216417,0.43817282,0.78016603,0.88668156,1.2106055,-0.22999379,-1.2451057,-0.70565945,-0.32494217,-1.6021546,0.7694925,-1.463192,-1.4947472,1.3562009,1.1472188,-0.75097424,-0.6969411,1.1701907,0.5251317,-0.8944092
13,-1.5482781,-1.6603608,-0.20620076,1.2014629,-2.005215,1.6067952,0.25720993,-1.007196,1.2182041,-1.46879,-0.32054573,0.22710474,-0.8504479,1.2324063,0.6859275,-1.1173282,-1.1937689,-1.5057937,0.17877482,-1.1097199,0.20565078,1.2209955,1.378603,-1.2863786,-0.50971013,-0.31253278,-0.58836895,-0.30411372,-0.14697468,1.068474,-0.5663072,-0.48848972,-0.37801266,-1.3092154,0.5411512,-0.29002637,1.3487289,1.1715204,-0.9478188,-0.7684429,0.9907711,0.11076455,-1.6150755,0.57077605,-0.36787134,0.87486243,0.9376359,1.5479076,0.557207,1.4724115,-0.6158564,-0.6143683
14,-0.11535708,-0.21946003,-1.512128,1.2401253,-1.4393014,0.07058315,0.06377025,1.1045231,-0.31386125,-1.2434646,-0.41331965,-1.5473042,-0.6649951,0.34847203,-1.5386847,1.8642145,0.09655916,-0.69254935,1.0995206,-1.27761,-0.5422027,1.6335557,-0.8500661,0.77181107,-1.4034957,0.07694102,0.3596595,-1.0367476,-0.61626303,0.35167053,0.3811922,-1.1514149,-0.30464673,1.6857826,-0.5598265,1.0686514,-1.0692242,-0.06511505,0.028447622,0.46547523,0.7742111,0.9108467,0.74086726,1.2070004,1.2731256,-0.625485,1.221539,0.16458465,-0.985526,-1.0961331,1.0203394,0.5161349
