,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0,0.5879199,0.44912696,1.0,1.0,0.4099137,0.35662532,0.6748474,0.0,2.0,0.516475,-0.046592303,-0.80324227,-0.6773514,-0.5201756,-0.25400338,0.17236374,0.63900965,-0.22941573,1.1705196,-0.321416,-0.12501018,0.10032202,-0.14552589,-0.14460194,-0.12600553,-0.097703375,-0.10045193,0.09788879,-0.073348865,-0.07078507,0.03263291,0.08841519,-0.09991846,-0.09747789,-0.36425096,-0.14386156,-0.07116175,-0.32569516,-0.2885293,-0.12459602,-0.07255493,-0.12393981,0.28941208,0.29878387,-0.26358292,-0.15638964,-0.23046383,-0.07092956,0.07088812,-0.070329115,-1.015656,0.7320139,-0.3604827,-0.21707238,-0.2302381,-0.15019572,0.002016611,-0.64744806,-0.2180143,-0.19288528,-0.07537461,-0.3931357,-0.19422244,-0.19497143,-0.14315851,-0.06685109,-0.07301381,-0.1293139,-0.0015891454,-0.24359123,-0.074330986,-0.12193177,-0.12946276,-0.26296407,-0.24868348,-0.228179,-0.11481892,-0.16941795,-0.22111532,-0.14355733,-0.07352277,-0.24373923,-0.10033563,-0.072304726,-0.072129875,-0.0997509,-0.95097685,-0.16299896,-0.42467937,-0.36662713,-0.18456146,0.836749,0.8556445,4.0513163,-0.3666651,-0.21289246,-1.4210211,-1.8962632,-1.0282074,-0.36047676,-0.5678133,-0.3470249
1,0.72074014,1.045262,1.0,1.0,-0.47797439,0.8504785,0.96456677,0.0,1.0,0.22009405,0.05035137,-0.7727458,-0.6773514,-0.5201756,0.6899509,0.97030556,0.63900965,-0.22941573,0.057191167,-0.321416,-0.12501018,0.10032202,-0.14552589,-0.14460194,-0.12600553,-0.097703375,-0.10045193,0.09788879,-0.073348865,-0.07078507,0.03263291,0.08841519,-0.09991846,-0.09747789,-0.36425096,-0.14386156,-0.07116175,-0.32569516,-0.2885293,-0.12459602,-0.07255493,-0.12393981,0.29095694,0.37676865,-0.26358292,-0.15638964,-0.23046383,-0.07092956,0.07088812,-0.070329115,-1.015656,0.01683904,-0.3604827,-0.21707238,-0.2302381,-0.15019572,0.002016611,-0.64744806,-0.2180143,-0.19288528,-0.07537461,-0.3931357,-0.19422244,-0.19497143,-0.14315851,-0.06685109,-0.07301381,-0.1293139,-0.0015891454,-0.24359123,-0.074330986,-0.12193177,-0.12946276,-0.26296407,-0.24868348,-0.228179,-0.11481892,-0.16941795,-0.22111532,-0.14355733,-0.07352277,-0.24373923,-0.10033563,-0.072304726,-0.072129875,-0.0997509,-0.20593387,-0.017531019,-0.6823757,-0.8735466,-1.0664887,-1.0763757,1.2058287,1.0279459,-0.3666651,-0.21289246,-0.44348788,-0.085974604,-0.27248898,-0.36047676,-0.5678133,-0.3470249
2,0.5967746,0.69373924,0.0,1.0,1.6529571,0.1920076,0.3851281,1.0,2.0,1.3381269,0.1439003,-0.3457953,0.52150065,-0.95686805,-1.1979576,-0.4543201,0.63900965,-0.22941573,1.1705196,-0.321416,-0.12501018,0.10032202,-0.14552589,-0.14460194,-0.12600553,-0.097703375,-0.10045193,0.09788879,-0.073348865,-0.07078507,0.03263291,0.08841519,-0.09991846,-0.09747789,-0.36425096,-0.14386156,-0.07116175,-0.32569516,-0.2885293,-0.12459602,-0.07255493,-0.12393981,-0.20192336,-0.03522545,-0.26358292,-0.15638964,-0.23046383,-0.07092956,0.07088812,-0.070329115,-1.015656,-0.6983358,-0.3604827,-0.21707238,-0.2302381,-0.15019572,0.002016611,-0.64744806,-0.2180143,-0.19288528,-0.07537461,-0.3931357,-0.19422244,-0.19497143,-0.14315851,-0.06685109,-0.07301381,-0.1293139,-0.0015891454,-0.24359123,-0.074330986,-0.12193177,-0.12946276,-0.26296407,-0.24868348,-0.228179,-0.11481892,-0.16941795,-0.22111532,-0.14355733,-0.07352277,-0.24373923,-0.10033563,-0.072304726,-0.072129875,-0.0997509,-0.95097685,-0.16299896,-0.3153163,-0.54455364,-1.1950953,-0.85130227,-0.89527607,-0.48373926,-0.3666651,-0.21289246,0.99103624,0.8209207,1.4609396,-0.36047676,-0.5678133,-0.3470249
3,1.1634743,0.7632366,1.0,0.0,1.6529571,0.8504785,0.96456677,4.0,2.0,0.31276718,0.099034816,0.11165165,-0.6773514,1.6632869,0.6899509,0.1450367,0.63900965,-0.22941573,1.1705196,-0.321416,-0.12501018,0.10032202,-0.14552589,-0.14460194,-0.12600553,-0.097703375,-0.10045193,0.09788879,-0.073348865,-0.07078507,0.03263291,0.08841519,-0.09991846,-0.09747789,2.7701218,-0.14386156,-0.07116175,-0.32569516,-0.2885293,-0.12459602,-0.07255493,-0.12393981,0.55204,0.335015,-0.26358292,-0.15638964,-0.23046383,-0.07092956,0.07088812,-0.070329115,0.19031213,-0.6983358,-0.3604827,-0.21707238,-0.2302381,-0.15019572,0.002016611,1.6689793,-0.2180143,-0.19288528,-0.07537461,-0.3931357,-0.19422244,-0.19497143,-0.14315851,-0.06685109,-0.07301381,-0.1293139,-0.0015891454,-0.24359123,-0.074330986,-0.12193177,-0.12946276,-0.26296407,-0.24868348,-0.228179,-0.11481892,-0.16941795,-0.22111532,-0.14355733,-0.07352277,-0.24373923,-0.10033563,-0.072304726,-0.072129875,-0.0997509,-0.35719967,-0.1354606,-0.51108134,-0.54455364,-0.900211,1.0618225,1.5560127,-0.48373926,-0.3666651,-0.21289246,-0.35267296,-0.23909134,-0.15068464,-0.36047676,-0.5678133,-0.3470249
4,0.06549358,-1.0415162,0.0,0.0,1.1202241,-0.13722782,-0.19431058,0.0,2.0,-0.46950725,0.7153781,-0.65075994,-0.6773514,0.35320944,0.6899509,-0.46429786,-1.1867322,-0.22941573,-1.1862305,2.910253,-0.12501018,0.10032202,-0.14552589,-0.14460194,8.053054,-0.097703375,-0.10045193,0.09788879,-0.073348865,-0.07078507,0.03263291,0.08841519,-0.09991846,-0.09747789,-0.36425096,-0.14386156,-0.07116175,-0.32569516,-0.2885293,-0.12459602,-0.07255493,-0.12393981,-0.027917063,-0.06359014,-0.26358292,-0.15638964,4.3584495,-0.07092956,0.07088812,-0.070329115,0.19031213,2.1623635,-0.3604827,-0.21707238,-0.2302381,-0.15019572,0.002016611,1.6689793,-0.2180143,-0.19288528,-0.07537461,-0.3931357,-0.19422244,-0.19497143,-0.14315851,-0.06685109,-0.07301381,-0.1293139,-0.0015891454,-0.24359123,-0.074330986,-0.12193177,-0.12946276,-0.26296407,-0.24868348,-0.228179,-0.11481892,-0.16941795,-0.22111532,-0.14355733,-0.07352277,-0.24373923,-0.10033563,-0.072304726,-0.072129875,-0.0997509,1.3067188,-0.16299896,0.24750817,-0.0921883,-0.10412222,0.50951874,-1.2454602,-0.48373926,-0.3666651,-0.21289246,-1.4210211,-1.8962632,-1.0282074,-0.36047676,-0.5678133,-0.3470249
5,1.2697306,1.6762716,1.0,1.0,-0.83312964,1.8381847,1.5440054,1.0,0.0,-0.14084649,0.3343929,-0.40678823,-0.6773514,-0.95686805,-1.1979576,1.6946299,-1.1867322,4.358899,0.83384097,-0.321416,-0.12501018,0.10032202,-0.14552589,-0.14460194,-0.12600553,-0.097703375,-0.10045193,0.09788879,-0.073348865,-0.07078507,0.03263291,0.08841519,-0.09991846,-0.09747789,-0.36425096,-0.14386156,-0.07116175,-0.32569516,-0.2885293,-0.12459602,-0.07255493,-0.12393981,0.43375868,0.52959144,-0.26358292,-0.15638964,-0.23046383,-0.07092956,0.07088812,-0.070329115,0.19031213,-0.6983358,-0.3604827,-0.21707238,-0.2302381,-0.15019572,0.002016611,-0.64744806,-0.2180143,-0.19288528,-0.07537461,-0.3931357,-0.19422244,-0.19497143,-0.14315851,-0.06685109,-0.07301381,-0.1293139,-0.0015891454,-0.24359123,-0.074330986,-0.12193177,-0.12946276,-0.26296407,-0.24868348,-0.228179,-0.11481892,-0.16941795,-0.22111532,-0.14355733,-0.07352277,-0.24373923,-0.10033563,-0.072304726,-0.072129875,-0.0997509,-0.95097685,-0.16299896,0.027272508,-0.0921883,-0.45010012,1.3994328,-1.2454602,-0.48373926,-0.3666651,-0.21289246,-0.25252596,-0.0538847,0.06467877,-0.36047676,-0.5678133,-0.3470249
6,-0.16472818,0.33699304,1.0,0.0,-1.0107073,0.52124304,-0.19431058,4.0,0.0,-1.1268288,-0.6873065,1.1485314,-0.6773514,-0.95686805,-1.1979576,0.5588036,-0.2738613,-0.22941573,-0.30839682,-0.321416,-0.12501018,0.10032202,-0.14552589,-0.14460194,-0.12600553,-0.097703375,-0.10045193,0.09788879,-0.073348865,-0.07078507,0.03263291,0.08841519,-0.09991846,-0.09747789,-0.36425096,-0.14386156,-0.07116175,-0.32569516,-0.2885293,-0.12459602,-0.07255493,-0.12393981,-0.61205137,-0.03522545,-0.26358292,-0.15638964,-0.23046383,-0.07092956,0.07088812,-0.070329115,1.3962803,-0.6983358,-0.3604827,-0.21707238,-0.2302381,-0.15019572,0.002016611,1.6689793,-0.2180143,-0.19288528,-0.07537461,-0.3931357,-0.19422244,-0.19497143,-0.14315851,-0.06685109,-0.07301381,-0.1293139,-0.0015891454,-0.24359123,-0.074330986,-0.12193177,-0.12946276,-0.26296407,-0.24868348,-0.228179,-0.11481892,-0.16941795,-0.22111532,-0.14355733,-0.07352277,-0.24373923,-0.10033563,-0.072304726,-0.072129875,-0.0997509,1.3067188,-0.06877739,-0.87814075,-0.42118126,0.3751593,0.27406526,-0.5450919,-0.48373926,-0.3666651,-0.21289246,0.99103624,-1.8962632,1.4609396,2.7741039,0.57928425,-0.3470249
7,-1.0563136,-1.730324,0.0,1.0,0.4680336,-1.1249341,-1.3531879,1.0347902,1.0,0.6808054,-0.80856276,-0.9862211,1.7203526,1.6632869,0.6899509,-1.1886506,0.63900965,-0.22941573,0.83384097,-0.321416,-0.12501018,0.10032202,-0.14552589,-0.14460194,-0.12600553,-0.097703375,-0.10045193,0.09788879,-0.073348865,-0.07078507,0.03263291,0.08841519,-0.09991846,-0.09747789,-0.36425096,-0.14386156,-0.07116175,-0.32569516,-0.2885293,-0.12459602,-0.07255493,-0.12393981,-1.0221794,-0.03522545,-0.26358292,-0.15638964,-0.23046383,-0.07092956,0.07088812,-0.070329115,-0.39136317,-0.053305548,-0.15507373,-0.21707238,-0.2302381,-0.15019572,0.002016611,-0.64744806,-0.2180143,-0.19288528,-0.07537461,-0.3931357,-0.19422244,-0.19497143,-0.14315851,-0.06685109,-0.07301381,-0.1293139,-0.0015891454,-0.24359123,-0.074330986,-0.12193177,-0.12946276,-0.26296407,-0.24868348,-0.228179,-0.11481892,-0.16941795,-0.22111532,-0.14355733,-0.07352277,-0.24373923,-0.10033563,-0.072304726,-0.072129875,-0.0997509,-0.95097685,-0.16299896,0.59009695,-0.25668478,0.99659437,0.1615285,-0.5450919,-0.48373926,-0.3666651,-0.21289246,-1.4210211,0.8209207,-1.0282074,-0.36047676,0.57928425,-0.3470249
8,0.11010741,0.8398506,1.0,1.0,0.23233607,0.11069974,0.059310317,1.0,1.0,-1.1268288,-0.80856276,-0.9557246,-0.6773514,0.789902,0.6899509,0.009247564,0.63900965,-0.22941573,0.83384097,-0.321416,-0.12501018,0.10032202,-0.14552589,-0.14460194,-0.12600553,-0.097703375,-0.10045193,0.09788879,-0.073348865,-0.07078507,0.03263291,0.08841519,-0.09991846,-0.09747789,2.7701218,-0.14386156,-0.07116175,-0.32569516,-0.2885293,-0.12459602,-0.07255493,-0.12393981,0.22688176,0.13624255,-0.26358292,-0.15638964,-0.23046383,-0.07092956,0.07088812,-0.070329115,0.19031213,-0.6983358,1.1011713,-0.21707238,-0.2302381,-0.15019572,0.002016611,-0.64744806,-0.2180143,-0.19288528,-0.07537461,-0.3931357,-0.19422244,-0.19497143,-0.14315851,-0.06685109,-0.07301381,-0.1293139,-0.0015891454,-0.24359123,-0.074330986,-0.12193177,-0.12946276,-0.26296407,-0.24868348,-0.228179,-0.11481892,-0.16941795,-0.22111532,-0.14355733,-0.07352277,-0.24373923,-0.10033563,-0.072304726,-0.072129875,-0.0997509,1.3067188,-0.16299896,-0.2994103,-0.25090608,-0.57958364,-0.963839,-0.5450919,-0.48373926,-0.3666651,-0.21289246,0.99103624,0.8209207,-1.0282074,-0.36047676,0.57928425,-0.3470249
9,-0.23556565,-0.42693615,1.0,1.0,0.054758463,-0.46646324,-0.19431058,0.0,1.0,-1.1268288,-0.42757753,-0.5287741,0.52150065,1.6632869,0.6899509,-0.3946905,-1.1867322,-0.22941573,-1.1862305,-0.321416,-0.12501018,0.10032202,-0.14552589,-0.14460194,-0.12600553,-0.097703375,-0.10045193,0.09788879,-0.073348865,-0.07078507,0.03263291,0.08841519,-0.09991846,-0.09747789,-0.36425096,-0.14386156,-0.07116175,-0.32569516,-0.2885293,-0.12459602,-0.07255493,-0.12393981,-0.1601527,-0.08135979,-0.26358292,-0.15638964,-0.23046383,-0.07092956,0.07088812,-0.070329115,-1.015656,0.7320139,1.1011713,-0.21707238,-0.2302381,-0.15019572,0.002016611,-0.64744806,-0.2180143,-0.19288528,-0.07537461,-0.3931357,-0.19422244,-0.19497143,-0.14315851,-0.06685109,-0.07301381,-0.1293139,-0.0015891454,-0.24359123,-0.074330986,-0.12193177,-0.12946276,-0.26296407,-0.24868348,-0.228179,-0.11481892,-0.16941795,-0.22111532,-0.14355733,-0.07352277,-0.24373923,-0.10033563,-0.072304726,-0.072129875,-0.0997509,1.3067188,-0.16299896,0.95715636,1.3060318,0.13378887,-0.62622875,-0.5450919,-0.48373926,-0.3666651,-0.21289246,0.42427057,0.1486234,0.07683661,-0.36047676,0.57928425,-0.3470249
