,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200
0,-1.9090492,-1.7097481,-1.1884367,0.7662237,-0.810692,0.0526429,-1.7983664,1.3471316,1.3175974,-1.5221952,1.4905179,-1.1675793,-0.67276525,0.38143492,1.4908204,1.2353171,-1.5892949,0.054754794,0.14786966,-0.10092689,0.84748834,-1.2261865,0.88179505,-1.5234582,-1.3116726,-1.3910215,-0.83721673,0.664036,-0.053215045,1.1248642,-0.62389475,0.9159496,0.7644784,-0.57935077,-0.59970635,1.7166184,0.3348565,1.4239955,0.96449065,1.0924791,-0.21332565,-0.2977521,-0.39658895,1.9039598,-1.5677009,1.5943748,-0.2657825,-0.26235402,-0.14707777,-0.36639947,-0.15111153,-1.5269754,-1.3475969,0.75486374,0.524839,-1.4939151,-0.49255157,-1.0400894,-1.5169476,0.13131449,-0.29268634,-1.7015581,0.17411193,1.0486989,-1.2527177,-0.85122454,0.3842653,-0.06562151,0.10748045,-0.22448178,1.3330371,0.48888603,0.45672166,-0.34797695,-0.026217587,1.4569117,-0.97830236,1.4385388,-1.5029908,0.5457581,-1.5957477,0.501434,0.3358673,1.3301489,1.4986663,-0.2869445,0.49420288,1.4489452,0.32482576,-0.7544653,-0.63591105,-0.58940023,1.5963343,-0.23357421,1.6320156,1.3430839,0.62289435,-1.6053559,1.3224492,1.3959883,-1.7071244,0.35916457,-0.22249676,0.44670376,0.5171856,0.39604437,-0.8287447,-1.4234045,1.1152031,1.6115571,-1.0567878,-0.9590116,-0.32080412,-0.3940687,1.2732517,-1.1384686,-0.36279562,0.67780954,-0.04601033,-0.6185682,0.97674143,-1.2781731,-1.1393723,-0.3041946,0.85677624,-0.99080974,-1.5168872,1.3762233,-1.3127232,0.40532216,-0.83686346,0.4350502,0.55556625,-1.39286,-0.2928146,-0.65721625,-1.0497148,-1.6612526,-1.6543198,0.28087977,-1.3045658,-0.75659055,1.5098649,1.4532909,1.4243784,-1.3173318,-0.5088692,-0.7458291,0.065677404,0.1578885,-0.29735318,0.8678061,0.55647707,0.5842921,-1.2076246,0.6882656,0.6029082,-0.58709884,-0.3971017,1.6685255,-0.68037295,-0.331255,0.68857884,0.56762075,-1.8119284,0.36321315,0.94870406,1.6775451,0.60027826,-1.4187196,-0.9787947,-0.42459646,0.4719669,-1.5108815,-0.37712753,-0.74285096,1.6070124,1.5982198,0.7976981,0.025199743,-1.1497061,1.3715718,1.4335793,1.1797516,-1.397659,0.8184529,-1.2799525,1.4185467,0.37957054,1.5496082,-0.34586042,0.37211615,0.9590372,-0.80585396,0.49884,1.2203493,0.09221252,-0.39765933,0.1762598,1.384273,1.6262203,0.6718506
1,-0.3074849,-0.5946158,0.9448869,1.610521,-1.2232127,-1.7220142,0.7873637,0.34614825,-1.4580745,0.07731429,0.02043928,-0.65975636,-0.8002502,-1.0718088,0.2728241,-1.3352352,0.91943574,1.1781758,0.5957456,-0.8843525,-0.40634042,-0.015913125,-0.49693093,0.2091716,0.55672616,-0.76297486,-1.1982807,1.069491,1.0142329,-1.7022759,0.6081346,-1.1399848,0.24739018,-0.6944925,1.0692507,-1.3996168,1.2614042,-0.6712352,-1.0735079,-0.25207484,-1.353554,0.7886367,-0.5272893,-0.43311903,-1.8373936,-1.0627325,0.09926722,-1.4624425,-0.07288119,1.5307504,-0.36377642,-0.9879383,1.1522516,0.5008021,0.44557136,-1.1739464,-0.31598896,-0.19229086,-0.37683767,-0.9173999,-0.92835957,-1.3721244,0.72292435,-1.2493093,-0.55325866,-0.4416688,-1.7071038,-1.1921877,-1.0475891,0.94124526,-0.99196136,1.0501451,-0.40173388,0.37538245,0.5832439,-0.86046225,-0.26805884,0.52396935,0.28730667,0.59212494,-1.5683099,1.2991241,1.2597286,-1.0368093,-0.41872743,1.2907335,-0.25143203,-0.30405563,0.66091835,-1.3039355,1.2668208,-1.5018474,-1.6128858,-0.34845972,-0.73895705,0.12326227,-1.3239139,0.5513967,0.07333412,1.0918635,-0.7948593,-1.289537,0.2782762,-0.8553047,-0.04339962,-1.2863183,0.18141246,1.0907282,1.5030543,1.7516093,0.36964515,0.21968953,1.0921432,0.51906055,-1.1572702,-0.32858473,-1.2868066,0.39618236,-0.05511337,-0.19014445,1.7071439,1.3882728,-1.2761995,0.4705276,-0.20778634,1.06606,1.369963,1.0210092,-1.662942,1.4141583,-1.2884306,-0.5950149,-0.43120146,1.0866026,-0.8590972,-1.2148747,1.7206761,-1.5310518,-0.6582805,-0.44329116,-0.7790378,-0.92699003,-1.3297632,1.2300255,-0.8044749,0.37601066,-0.37011334,-1.5424198,-0.8531162,1.126244,-0.27872378,-1.3974909,1.6844414,0.56071323,0.562997,1.304744,1.6559944,1.4024976,-0.30838573,-0.7528989,-0.17307849,1.1139808,0.29506776,-0.31160188,0.24754737,0.59915185,1.6108505,0.4717236,-0.43769482,1.4313302,0.7498637,-0.3829621,-0.11969862,1.6129043,1.6035546,-1.8657062,1.1690559,-0.55697376,-0.43154857,-0.74622375,0.5038466,-1.5659516,-1.000225,-0.9319362,0.31011635,-1.4290826,-0.58291507,1.0923512,0.041062277,1.440697,0.70137966,-1.494026,-0.14319758,0.12637301,1.411908,1.5643009,-1.491237,1.4166695,0.7124639,0.15279947,1.3376477,-0.25795954
2,0.34838414,0.45054033,0.551652,1.0648655,1.0618756,0.14574914,0.1275544,1.1459326,-1.0898483,0.71202874,1.0291443,-1.2289104,1.3619716,-1.2599846,-1.5187042,-0.17023069,1.7222054,1.4736904,0.26361895,1.0649152,-0.8988764,0.42420936,-1.0821432,-0.7558048,1.3884531,1.283395,0.81651974,-0.022787428,1.3811278,-1.2314541,0.13173774,0.46072084,-1.455691,0.9793667,-0.7799806,1.5299463,1.3820199,0.86431605,1.1551259,-0.8175228,-1.0912808,-0.61683744,-0.42271972,1.6944609,0.9052556,1.1765107,0.7349973,1.1783265,-0.14200489,1.423349,1.4596542,-0.13126984,1.4992048,0.6842976,0.5450243,0.16604368,1.7210131,-0.56390536,-1.2177141,-1.4799652,1.0214697,0.0033059025,-0.990133,-0.5091857,0.5930015,0.83464277,-1.5428447,0.3663353,0.44293225,1.0351417,-1.0447971,-1.2744782,0.9506403,-0.53434414,-1.2782959,-0.13667956,0.9930039,-0.6044689,-1.0809001,1.130028,-1.4820882,-1.3905809,-1.9029708,1.1197655,-0.5381108,-1.1042471,-1.7903688,-0.8946391,-1.4529285,1.1214734,-1.3619761,0.9678805,-0.004110666,-1.635593,-0.90969497,-0.4773733,-0.5342733,-0.6127965,0.42960513,-1.4028684,-1.4404571,-0.0035315726,-0.4904969,0.7259404,-0.67566174,0.67358094,1.1656332,-0.5160847,-0.77397376,1.0188732,-1.2693717,0.25248885,1.6170338,-0.7700044,0.82068723,-0.40440816,1.1022018,1.017435,-1.7837366,1.3826674,-1.1192765,1.3188407,-0.44668797,-1.6270374,1.1870214,0.36481518,-0.8820582,1.1559571,-0.8462343,-0.5696978,0.110415176,0.3482397,-0.1052944,0.9981461,0.37545243,0.49400094,-1.3857552,1.5197159,-1.4207606,0.6404109,0.68765396,-0.9798609,1.6124647,1.4022747,-0.03640824,1.7076828,-0.23342675,-0.09639848,0.81015337,-0.7896005,-0.18088906,0.6227414,-0.80963016,-0.13612963,-1.3927182,1.3793702,0.50269115,-1.1291112,0.22553566,-1.451414,-0.29193202,1.387843,0.81256294,-0.23034662,0.4121579,1.5930849,-0.8674195,1.483468,-0.9017108,0.3416201,-1.3304908,-0.15670517,1.5548458,-0.2823697,0.79108435,-0.18863969,-1.5878791,-0.1380667,-0.904537,1.5940645,1.138882,1.1239673,0.26336873,1.4854475,1.4330052,-0.22847627,0.37982222,-0.59758675,-0.18012384,-1.6176342,0.74298376,-0.6673217,-0.17281237,-0.3239499,1.2917074,-0.80091184,0.39700207,-1.16552,-0.58558565,0.6830171,-0.06862225,-0.2091253
3,0.29916546,-0.41746977,-0.8213377,-1.59425,-1.5940001,1.0686194,0.57734597,0.8380296,0.33846322,-1.4456174,0.57451886,-1.1212223,1.7811406,1.5633777,1.5555829,-0.3033765,0.6817768,-1.41864,1.2648629,0.7571025,-0.6606213,-0.035590224,-0.9803048,0.48652548,1.5840561,-0.8535482,-1.8077418,-1.337708,0.022357093,1.3766261,-1.4528805,0.11749178,-0.18098108,0.5531174,0.369941,0.3845429,-0.05374282,-0.04730053,-1.1895875,-0.22224402,-0.7033798,-0.54105675,0.22687963,1.1594807,0.3863041,-0.8673792,1.3703433,0.22011743,-1.2294418,0.52695364,1.1712842,0.5211277,1.2843894,1.183337,1.3072573,-1.3038951,-0.296402,-1.079427,1.7561972,0.64862555,1.3629788,0.06676173,-0.8986504,-1.2950704,-0.099029236,0.3464385,0.564466,1.5550983,-1.2724369,-0.37352604,1.402162,0.1549745,0.71706384,0.9992685,0.072108455,1.2358372,-0.9543275,0.62304777,-0.63103783,1.2575415,-0.5511464,0.610874,1.0282329,1.2588066,-0.90284526,1.5906129,-1.7844734,-0.3981629,-0.753788,1.3923477,0.22421767,0.8979728,-0.5648192,-1.075114,-1.4964676,-1.2321596,-0.61114734,0.84151405,-0.19107236,0.65627235,0.2840023,-0.69592506,0.13926077,0.0832024,-1.0803311,0.077542424,1.3198591,0.3668135,1.2184238,1.7548292,-1.7572796,0.7865374,-0.2965494,1.305236,0.34137344,-0.5528224,-1.4140177,-1.3948333,0.69132453,1.5783197,-0.32374558,-0.76659906,-1.5341488,1.0002174,-1.4453776,0.08518899,0.0009849151,-0.9152422,1.2921244,-0.17337199,-0.22835849,1.0982529,1.0678121,-0.26110682,-0.61462533,0.755325,0.14617988,0.8069798,1.5080398,0.91157484,-0.9392537,-0.20548639,1.199641,-0.74591964,0.9850091,0.15552165,-0.6188287,0.86168396,-1.4542391,-0.81691414,-0.8704516,-0.9113667,-0.70406324,-0.7047722,1.6377414,-0.63343287,-0.5085509,0.9081699,-0.099175684,-0.021350957,1.1253169,-1.0582434,0.3328566,-1.5277653,-0.96530014,-0.8031407,-0.40105408,-0.59817654,-0.70064604,1.6502243,0.1966459,-0.5838454,0.100687705,1.3541436,0.98241204,-0.21381988,-1.2668874,-1.585138,-1.8342451,1.3650693,-1.1385367,0.58888155,1.627109,0.23099427,1.2885522,0.9745934,1.5557991,0.86376804,-0.21191287,-0.73969215,0.016215721,-0.7379457,1.524614,-1.40888,-1.0695758,-0.3385202,0.18792467,0.20094241,1.2280627,-0.757343,0.9331879,-0.5996186
4,-0.33163884,-0.014288699,-0.7138199,1.125552,-1.2303789,1.4570507,0.5763567,0.1658835,-0.7731184,0.6175243,1.1214325,0.7315105,1.2859067,0.30552983,-0.43855995,-0.18478943,-0.19308676,0.5416356,1.5501599,1.1807563,-1.0644056,-0.06360546,1.3575294,1.7071177,1.467024,-1.4993466,-0.9742183,0.8513029,-1.679362,0.75558144,-1.5183593,-1.0072055,0.7958877,1.3851424,-1.6231569,-1.5467713,0.16230536,0.071511045,1.3533138,1.2691356,0.9337031,0.5581985,1.0701495,1.3825215,0.6203361,-0.9988153,0.2798077,-0.50854534,0.4211675,1.6963607,0.9135318,1.7854632,-0.34273165,0.23296192,-1.2314861,-1.5854745,0.9074064,-1.1337857,1.4750981,-0.5774612,-1.1956601,1.4131374,-1.1592284,1.3622688,-1.1478186,-0.27464166,1.147048,1.1393867,0.80864245,1.489438,0.97979146,1.2829494,-0.07996677,0.25785303,1.5530993,-1.1063193,0.82868797,-0.40119427,0.17448519,-1.2001647,0.34317416,1.017008,-0.25999117,1.6891351,0.23475708,-0.7137023,0.5265667,1.1607969,0.8312886,-1.506881,-0.6035293,1.3590237,1.3224595,-1.5468382,-0.99619853,-0.4368936,-1.1318715,0.48276636,1.0998901,-1.604658,1.2620054,-1.6628317,1.1772463,-0.24856234,-0.08321383,-0.4532214,-0.52881104,1.235916,-0.526785,0.77216977,0.91225606,-0.5331473,0.1852264,-1.3875852,0.9814883,-0.26512048,0.03973053,-1.1077542,0.69770724,0.5082293,1.4040991,0.30220243,1.5502976,1.8366736,0.41870612,-0.278305,0.98249197,0.5797157,0.13589624,0.6964913,1.3727181,0.24517602,-0.4389973,0.5060668,0.57361263,-0.80886066,1.4099369,-0.9564111,-0.056920912,0.5241561,1.4435937,-0.06485492,0.37992144,-1.3410311,-1.4963967,-1.1062456,1.4339896,-0.6873872,-1.1854295,0.30698833,-1.1469376,-0.8757168,0.664112,-1.5945885,0.3473136,-1.1462547,-0.9123683,-0.42370832,-1.1563156,1.5016475,-0.37273407,-0.58979446,0.62135017,-1.026117,-0.74182767,1.2516395,-0.67081475,-1.2521019,-1.0603558,0.8029979,-1.2316135,0.79789954,0.1305275,-0.28075233,-1.5242945,1.2294309,-0.44436833,1.3461878,1.3058959,1.0283201,1.4556453,1.4522223,-0.16695751,0.71995825,-0.9361353,1.131932,-1.2170702,1.2635318,-1.4943379,1.104621,0.92287195,-1.3058692,-1.0028113,1.1362017,-0.035091195,0.054544657,-0.39386132,0.50152504,-1.5896821,1.1267008,0.7827047,-0.9260025
5,0.47750574,-0.1691764,0.6170011,0.3916054,0.2658693,-0.24408245,0.47750217,-1.1941975,0.04746462,0.9797966,1.2855548,0.1232227,-1.2613269,0.18267629,0.5343381,0.5253006,1.0115961,1.0447122,1.5641993,1.3998402,-1.4287775,-1.0904846,1.393346,-1.5298375,0.4337818,0.49134195,0.29965344,0.9467303,0.35166195,-0.6362297,0.93211436,0.7692748,-1.3873308,-0.8069959,-1.56515,-0.89164066,-0.4119575,0.3428436,0.16914858,-0.2640887,-1.4309927,-1.5399711,0.28763816,1.5474641,0.14001234,-0.2295531,0.5085354,-0.01238741,1.6132616,-0.7429757,0.8690143,0.6179505,0.18412079,-0.38452098,-1.5733624,-0.7100588,-0.76743406,-0.5774626,0.24356335,0.03585738,-0.7445062,-0.35247135,-0.61140823,0.8323963,0.825565,-0.05276127,0.47869006,0.7856416,-1.6094366,-1.684952,-0.035182245,1.4203354,0.059454452,-1.3359543,1.1819572,-1.407435,0.2754281,-1.6935687,1.4847847,0.15221833,-0.5789576,1.0054687,-0.87937343,1.8002222,1.3548408,-0.9839156,-0.3410646,1.0635086,0.13279271,-0.5882996,-0.30796948,-0.9183859,1.2156713,-0.78807104,0.4016546,-0.30116892,1.0569023,-0.2119345,0.10690259,-0.03536504,-1.0593438,1.1773051,-0.19383077,-0.003731122,-0.17749214,0.42983013,1.0990759,0.39196318,0.18611003,1.6137149,1.1999393,-0.82740515,-0.8768667,-0.05542721,-1.0168166,-1.7080784,0.70265573,-0.7877236,-0.37952918,0.09842591,-0.64827704,1.5122086,0.11424448,1.4884659,1.1553111,-0.31613165,0.43527824,0.42059064,1.5615622,0.3250071,-1.0099826,1.5686507,1.3501737,-1.3753502,0.2308379,0.61667544,1.0056435,-0.99520034,0.7945952,-0.8307387,-0.17175257,-1.6534554,-0.5087312,0.9731027,1.4939181,-0.65012825,-0.82715917,0.49260283,-1.7712846,1.3868545,-0.02142842,1.3112358,1.3821008,0.47353575,0.51941794,1.0478545,0.5475908,1.2941798,1.7306786,-0.4976437,-0.7538302,-0.37855804,-0.69797903,-0.6690818,-0.57415664,0.044182584,1.4274384,0.28629863,0.0049327007,1.3996321,0.2675417,-0.30803072,-0.7429715,-1.3216203,-0.97297233,-0.060836304,0.0026238898,-1.19446,-0.4675088,1.1128491,1.3136512,0.71499133,-1.3048098,0.37953392,1.3657006,1.252275,-0.1479659,1.2769462,-0.62708634,-0.75628805,0.10555998,1.2636557,0.9954989,-0.5828771,0.10838664,1.5725797,-0.061505076,-1.4231743,-1.1635494,0.34159154,-0.16211882,0.39316225
6,-0.8435147,-0.84135425,-0.6032836,-0.46780744,-0.09864916,1.195047,-1.6477569,-0.011665104,0.60570365,1.2299285,-0.44268462,-1.0619085,1.0299332,1.5139958,0.34017453,-1.1331521,1.9165617,0.91380507,1.3019688,-0.064333975,0.9989413,0.69471073,-0.22366236,-0.5393662,-0.63304955,-0.5219724,0.83107203,-0.61994946,0.7773184,0.38675088,1.1299317,1.1735032,-1.0084336,-1.1257114,-1.308438,-0.5385243,0.010365921,-1.2213968,-1.320369,1.0312111,-0.40400743,0.6015905,0.5451736,-0.5530364,-1.2514399,-0.060600773,-1.7512237,-0.71736026,-0.41767254,0.028976094,-1.343927,1.0590956,1.4603814,1.6724443,0.18640158,-0.9961822,1.1176311,-0.4277768,0.881426,-1.1515392,0.46047622,-1.3446097,0.8905852,0.820244,-0.6456726,0.5519182,1.1260196,-1.4915154,0.309602,0.18972096,1.6606956,-0.13704531,-1.1177298,1.1649143,-0.53855956,0.43900207,1.4521483,-0.6739933,0.94174314,1.291953,1.3277339,-1.2104378,0.5017701,-0.6675058,0.54604256,1.0519686,-0.5702324,-1.8256094,-1.2327112,-0.7316995,1.5169604,-0.55677956,-0.5534271,-1.0720489,1.0728616,1.329657,-0.50407547,-0.117832825,-0.76055413,-0.14701524,-0.77833074,-1.7369896,0.49111667,-0.7055685,-1.0624897,0.2548711,-0.7538208,-1.5082135,1.2768357,0.5638286,-0.36257064,0.23135652,-1.1989989,0.92422193,-0.7758582,-1.6473912,-1.4522985,-0.6716785,-1.8334868,1.0395404,-1.3952637,-1.2238798,0.6579725,0.8496342,0.32805353,0.6371047,0.50861734,1.1442587,0.5787214,-0.6576997,-0.7468478,-1.5924739,-0.30550706,-0.77478176,0.20818712,0.07905688,-1.5686405,-0.5873965,0.789119,0.567349,-0.9151863,1.1063763,1.4668405,-0.29615697,-0.97627354,-0.43420103,-1.1977961,1.7854176,0.7404753,-0.3628492,0.8787006,0.967633,0.47026592,1.2818948,0.35796803,-0.2865865,1.3610078,-0.98806715,1.0963727,0.1799049,0.9697802,-1.3197573,-0.855975,0.045934442,-0.5449935,-0.5911827,0.71698934,0.53852993,-1.6154976,-0.62143725,0.30862328,1.3385237,-1.0294356,-0.77241105,1.2183521,0.1255458,0.5594702,0.7794661,0.98263687,-0.3994302,0.16956124,-1.0256976,-1.6226777,0.55952907,-0.7574212,0.7250515,0.50331384,-0.27707484,-0.90177715,-1.4086444,-1.2213581,-1.7619095,0.3599453,0.83436394,1.4661717,1.7106386,0.33761254,-1.4588522,1.267921,-0.05111684,-0.5435885,0.4496459
7,1.1975218,1.1468618,0.67451155,-0.33916155,1.5031921,-1.6115628,0.9552507,1.2827969,0.9975484,-0.9331132,-1.1456777,1.6860492,0.61559844,-1.490888,-1.541937,0.2572804,-0.33403373,-0.4341051,-0.93009514,-1.1577967,0.17911115,1.5469396,-1.2648476,0.27010313,-0.7794452,1.4927119,1.6624808,1.7512443,-1.1457549,-0.937571,-0.49422005,-0.39777926,0.12474573,0.6293687,0.13261595,1.3964692,0.60720676,-0.6276564,-0.16349871,1.5999827,1.7608277,1.0198113,-0.0472961,-1.0968179,0.6404298,0.6287818,-1.3940302,1.1609776,1.1452484,-1.0450087,1.475128,1.2202331,0.05509767,-1.491446,0.22339286,-0.1771038,-0.2505076,1.2046859,1.0042796,-1.0545945,-1.3860537,-0.6718974,0.9714023,-1.4632949,-0.93185896,-1.2263345,0.45741272,-0.83053154,0.07323989,-0.7940853,-0.78940696,-0.054922193,-1.1080892,1.2426273,-0.48844585,0.18900311,-0.8474201,-0.79373693,-1.2103419,-0.7244428,-0.34632915,1.272586,-1.0190334,-1.4140457,-1.4802191,0.16035043,0.1257289,1.5733162,-0.81709534,1.3806654,-1.2497541,1.5747554,-1.1698519,-1.3777759,1.4876806,1.1496809,0.16102229,-1.3676922,-0.8537625,1.0226319,-1.2095028,1.3868862,-0.7819799,-1.6741152,-1.6892833,1.3380333,1.4126835,-0.2862299,-1.2498621,-0.82142574,1.6408902,1.1523335,0.15754221,0.94447917,-1.3199131,-1.7017725,-0.28755063,1.5920471,0.67147964,0.58907044,-0.51661277,0.4805669,-1.2729186,-0.02569198,-1.8533509,-0.05370233,-0.7851747,-0.6860674,-0.3551591,-1.39171,1.1324522,0.22249989,1.1754512,-1.523794,-0.09550821,0.43784174,1.2473499,-1.4328557,-1.5674028,0.44856018,-0.7494695,-0.24457929,0.6857662,1.6389059,1.3772795,-1.6708912,0.047130994,-1.282207,-0.061053373,-0.04466131,-0.54666275,-1.0602952,-0.037057746,-1.0510356,-0.021671358,0.6454831,1.7919699,-0.80551285,-0.9182976,-0.24374631,-1.3508618,-0.9990333,-0.51893115,1.1781431,-0.8848904,-0.7702643,1.6721042,1.3778012,0.39405423,0.53,0.09710382,-0.16987538,-0.6668985,-0.8967311,1.6810523,1.2952547,1.631399,-1.2118385,0.8465219,-1.7355386,-0.90832096,0.90810704,-0.6186131,-0.48250762,-1.161493,-1.0812254,1.187903,1.5115411,1.6639812,1.237303,-1.1925874,-0.3636,-0.770111,0.70647687,0.85281426,0.2954829,-0.3400163,-0.97204465,1.148568,-1.3266996,-1.549308,-1.2179831
8,-1.0566782,-1.3967143,-1.0121888,-0.32997078,-1.4454466,0.6367074,-0.86819446,0.8389017,-0.6007343,-0.5747137,0.18697086,-1.3752961,-0.80376756,0.36091033,-0.8964733,0.023394372,0.17331678,0.17934775,-1.4312435,-0.43064952,0.74978536,0.39660686,0.011920541,-1.5121968,1.5334957,-0.2613644,0.37728336,-1.2582828,0.8999249,-0.18682097,1.7747254,0.73799825,-0.028564995,-1.1095015,1.1620606,0.46275067,-0.81838423,1.2390391,1.6918615,-1.3684357,1.5426852,0.14378232,-1.029458,-1.389851,0.5173316,-1.657538,1.5482621,-1.4795929,0.38285646,-0.5856429,0.8887739,-0.51731783,-1.3610216,-1.3025548,1.7390894,1.6615423,-0.0054442827,0.51028186,0.69818044,-1.4935446,1.0794572,-0.35859823,-0.71357244,0.67036664,1.3610276,1.4832245,-0.23280707,-1.18271,1.0829126,-1.0638438,-0.2667998,1.3389021,-0.42685762,-1.0732182,-1.6663464,-0.6337838,0.3635309,1.5510942,-1.5119897,-0.40908784,-0.20503989,1.3562225,0.9348931,0.4066825,0.10992173,-1.0666806,-1.3335655,-0.97692823,1.736427,-0.98406917,-1.3825758,0.4773523,0.14490828,0.055428315,-0.7357047,-1.611234,0.24650122,0.5916182,-0.6777439,-1.0342253,-0.45072106,-1.3905649,1.8017622,0.39397857,0.5904072,-0.65686834,1.2301519,0.15026581,1.5696967,-0.29526734,0.3599862,-0.7540297,-0.75314087,-0.9613172,-1.6073123,-0.4710037,0.54570776,-1.4701138,-0.011465737,-0.1871489,-0.51357013,-1.4258136,-1.4348425,-0.58398014,1.1868558,1.2627306,-0.09982655,-1.8219228,-0.9883823,-0.2960263,-1.2309839,1.527282,0.9002675,-0.56777936,-1.4935668,-0.014480375,-0.4851965,1.0119717,0.15097338,0.79462606,-1.1438438,-0.43262774,-0.8374257,-0.7126484,0.48735997,0.1759446,-1.5084192,-0.39619148,-0.55757403,1.2394372,1.4766008,-1.0670986,-1.3208733,1.0564586,-1.0588589,1.1907513,-0.53581107,0.16846186,-0.396761,-1.0809623,0.9303268,-1.2546604,0.38097373,0.9182308,0.5656065,1.1687311,0.0053041647,-1.4645348,-1.5972638,1.386002,-0.83860457,-0.54546714,1.1921818,1.1280135,-1.574122,-1.4545808,1.2446814,0.8600489,1.6694915,-1.1676451,-0.72383875,-1.0128076,-1.0354637,-1.171128,0.16766134,1.1339154,0.88856024,1.5448987,0.64269894,-1.3389968,-1.5296743,0.22892179,-0.38218036,0.29845697,1.4808469,-0.36898512,-1.6509577,1.685433,-0.85526466,-1.6134489,0.3282685,-1.5588447
9,0.9125072,2.1225994,-0.065623075,-0.641119,-1.2306497,0.24973156,1.6814592,1.4937968,-1.7217684,0.10341356,-1.5917004,1.7248262,1.5097169,-0.982107,1.3728682,-0.9143324,-0.32393906,1.5842113,-1.0617764,-1.7295022,0.8865755,-0.35567448,-0.99131376,0.29457355,0.64030105,-1.1499164,-0.5351708,0.97431886,-1.4318961,0.091011114,0.2776297,1.0454236,1.1514152,-0.28491017,1.2936223,-1.265833,-0.050069515,-0.43356097,0.2283039,-1.196261,-0.86462176,-0.68107504,-1.5440522,-0.4981289,-0.42557853,0.47865883,0.25955912,0.5561776,-0.86667883,-0.07992257,0.5630465,1.6700509,1.1718365,1.4131179,0.27456573,-0.07946081,-0.38094482,1.4393482,0.6412525,0.79864025,-1.6780815,0.5780531,0.39338917,1.543369,0.18154287,1.7316412,-0.70802546,0.08367759,-0.7403105,-1.4937847,-0.021508012,0.3329757,-1.1078254,1.2885481,1.582647,-0.6680086,1.2697979,-1.2482202,1.0708475,-0.67159736,1.4962218,-1.081654,1.1083975,-0.9759039,1.3822222,1.5929257,-1.2706724,1.6232041,-0.789924,1.357653,-1.4641782,1.3779529,-1.4118121,-0.5169991,-0.10122228,-0.93777925,-1.0544642,-1.1317873,1.2987648,-1.0211413,-1.693287,-0.37772346,-1.5509663,-0.29813385,0.66862714,0.46506792,0.14033549,1.6064984,0.44313782,-1.3427222,-1.317718,0.4984504,-0.9543012,1.0434166,-0.43443796,0.5952744,-1.7850226,-1.0922284,1.4708714,-1.5930419,-1.14724,0.38660192,0.32306486,-0.98719275,1.1300479,-0.12183727,-0.75647634,0.13191737,-0.5845322,0.5809699,-1.3247095,-0.5538117,0.6226675,1.534295,2.0197988,-1.6874791,-1.2448081,1.4016414,-1.4643804,1.2171692,1.3355732,-1.7875662,0.45619178,0.09838561,1.5843664,1.6017091,-0.76003945,-0.9631009,-1.7364731,0.4136681,-1.3667179,-1.5308295,0.56377125,-0.29364717,-0.11947251,-1.4449792,-0.7948175,-1.237195,-0.9934552,0.08871488,1.0736719,-0.7679876,0.64198667,-0.7250757,-1.4515446,-1.0292715,-0.6873129,1.8086919,0.82581854,-0.9204016,-1.5006112,-0.526086,0.48828158,-0.4066145,-0.9136201,0.76935875,-1.4748254,1.4747063,-1.5561981,1.4878591,0.007172121,-0.07915832,0.6237224,-0.5902188,1.1988481,-0.45848322,1.0676118,-0.6271543,1.3554559,0.9207265,-1.1258333,0.72206926,-0.24012074,-1.5037009,-0.1150487,-1.7632431,-0.99998367,1.0534858,1.0183738,-0.83226055,-0.10792405,0.25483713
