,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200
0,-0.38359562,0.39157942,-1.091332,-1.6438168,-0.093245424,0.758824,-0.3340932,-0.07033803,-1.6543435,-0.0025079646,1.5417993,1.1985104,0.8267421,-1.3099313,1.3818775,1.2186852,-1.1676581,0.49239916,-1.6522509,-1.3620964,-0.59477913,-1.2211528,0.8949579,1.1264752,-0.55653596,-0.5787311,-1.3693035,-1.4584126,0.7279943,0.3420027,-1.5600525,-0.029000448,-0.37564316,1.2476501,0.7191812,0.38161093,0.19789875,1.4936237,1.6674882,-0.5310589,-0.92206824,1.0456841,-1.4472693,-0.40365312,-1.5665175,-0.6695153,-1.4023913,-0.70884603,0.9853136,1.428685,0.9398749,0.23739366,0.39961717,-0.46374092,-1.1306295,-0.19186008,0.8061217,-1.4516196,-1.6923219,0.9230301,-0.66805,0.80118495,0.82131076,1.5075619,-0.3492249,-0.48956192,1.0764126,0.87515676,0.5388388,1.070412,0.5084254,1.6079717,-0.5178443,0.7989976,1.579389,-0.59761345,0.3983973,-0.5142133,-0.15515783,-1.5001693,-1.6413375,0.8897886,-0.1517108,0.40744546,0.8567957,-0.28543475,-0.44246575,-1.1751649,1.0416195,1.1247797,0.8154196,1.3189855,0.52489746,0.6503137,-1.0420985,0.856861,-0.5497091,-0.24354966,-0.6334907,0.22725317,0.5603298,0.2514604,-0.704312,-0.9550599,1.2348495,-0.62678313,-0.24715619,-1.36091,-0.71346575,-1.4476767,-0.5642172,0.7692199,1.6360674,0.44457257,-0.7907196,0.56624717,0.4977528,1.1668668,0.12995987,1.4103128,-0.2596606,-0.8008482,0.048896916,1.4939872,0.70836556,0.025534308,-0.01630791,0.50958157,-0.14241472,0.1757673,1.676728,1.5249882,1.196219,-1.2227836,0.1750343,-0.45379868,1.3786352,-0.6228533,1.4489675,-1.0156469,-0.24528101,1.5808092,0.33578914,1.4617175,0.10701194,-0.9476313,0.7250103,0.08497529,0.030411644,-1.269501,-1.2118124,1.4427212,1.5796052,1.6259319,-0.45889932,-1.561514,0.21236506,0.8527765,0.487875,-1.565399,-0.9197901,0.6851713,-1.557174,1.2294765,1.622296,-0.8432206,-1.50317,1.6337726,0.9005748,-0.17345153,-0.12998104,1.4640666,-0.49917904,-1.5711274,0.37416333,-0.6294262,0.65893567,1.5517347,-0.49820256,-0.8847817,-1.5305841,1.1766541,-1.4095079,1.5341871,0.77385354,1.4254739,1.0685592,-1.0127503,-1.1259402,1.6399419,-0.74502385,0.9596322,-1.213645,-0.68611413,0.6182932,-0.87455994,0.8707407,1.3753145,-0.57828385,-0.68967825,-1.6207792,-0.27684295
1,0.86291176,0.7361542,-1.4935381,0.27864966,0.6636303,0.21944764,0.28607622,0.3303367,1.442489,0.1492458,1.2685026,-0.5370159,-1.2372118,-0.9149413,1.031044,-0.92666334,0.92084515,1.4388349,0.16661416,-1.2701108,0.46080077,-0.4624354,1.4063371,-0.9467071,-0.9424403,-0.019898733,-0.007407422,-1.090641,-0.44886106,0.5780177,-0.112690106,-1.4857404,-0.32683116,-0.2641728,-0.22698246,-1.6006635,-0.7622375,1.4981037,1.311927,1.5223141,0.86881715,-0.20943151,1.4909419,-0.62526166,0.30720612,0.27007666,-0.15930855,-0.8447459,-0.6192555,0.52178204,-0.78235835,-0.5149689,-0.51420146,-0.5934145,1.1577559,0.18316796,-1.6381433,0.8278256,-0.01420082,0.9518514,0.01110538,-0.60255903,1.1869159,-1.1557174,-0.7653004,-0.04783414,1.2627354,-1.3629262,-0.56437755,0.109298915,0.6359234,-1.4383157,0.9077994,0.17420073,0.061036643,-0.43876263,-0.6312392,1.3098899,1.7157295,-1.1460745,-0.9879279,0.56566334,0.9538242,1.108166,-0.6732736,-1.01149,-1.4416856,-0.44830555,0.24473795,1.2598132,-1.6245034,-1.4518121,0.54279137,0.5656104,-1.274746,-1.4296836,-1.6103663,0.47596955,-0.7686042,-0.9001524,0.58040094,-1.2965062,0.060850605,-1.3935748,-1.597407,0.6209986,0.9584951,-0.098598115,-0.35875165,0.685894,-1.5028312,-0.7330448,1.3980901,1.5651525,-1.5978462,-1.6686878,0.9780047,-0.13747057,0.9460247,0.46825612,-0.14866343,0.6980397,0.35019392,-1.6546278,-0.18564986,1.3679127,0.94611603,0.5305876,0.46976507,1.1020386,-0.6708388,-0.3264464,0.45048898,1.1573433,-0.643094,-1.1598529,-0.79687446,-0.19885637,-1.3767724,0.3545049,1.4040169,-0.56371254,1.5771557,-0.28075865,0.09644232,1.6119043,0.714806,0.027637871,0.8869604,-0.12541814,0.76026875,-0.9814553,-1.4786255,0.3374133,0.11570593,-0.10697646,-1.3289126,1.553859,-1.3990315,1.5884742,-0.62869775,-0.75820416,1.527932,1.6164562,0.6230003,1.6270736,-1.0885508,1.2114073,0.3881858,-0.71746296,0.28032175,-1.3684411,1.0636327,0.46764398,-1.3807746,-0.948475,-0.6714208,-0.06283422,-0.9376869,-0.7098479,0.20599298,-1.1891774,0.9460488,-0.17985092,-0.25622195,0.22568734,-1.1607819,1.4012429,-1.3372263,0.19820169,1.6138821,-1.293063,0.66185766,1.6446975,1.7437991,-0.5293286,0.44436884,1.5969479,0.4720079,1.2694597,0.6522791,-1.615947
2,-1.292784,-1.5074925,-0.51246035,1.3838685,-0.07444448,-0.24316163,-0.72366446,-1.2128049,0.62892956,-0.3224049,1.3388989,-1.6113404,1.3324,-1.3670697,1.1364665,-0.14595455,0.8095772,-0.14244506,-1.1729676,1.5255933,0.5260384,-1.0263084,0.3391118,-0.99554896,-0.35608348,0.3657158,0.4088134,-1.373444,-1.0810168,-0.14392179,0.046534963,1.2799058,0.251221,1.1201032,-0.49971282,-1.0388283,-0.742582,-1.6694816,-0.46774164,0.4824037,1.1554955,-0.89924186,0.7117249,0.94019294,0.658187,1.5877882,0.30765137,-0.18667097,0.10101356,-1.683127,-1.7213545,-0.00063582766,-0.43573302,-1.2645383,-0.48727825,0.5106943,0.08754144,-0.3314654,0.91951644,-1.5539131,1.3776293,0.7219509,-0.28011256,0.6619259,1.4879377,0.5519507,0.5932607,0.6600831,1.4633235,1.3406126,-0.77186424,-1.7341536,-0.7074949,-0.49043724,-0.8853347,-0.17769216,1.5298615,-1.1270144,-0.43651193,1.1783073,-1.2614499,-0.5355368,0.1962328,0.92048657,1.283079,-0.84906954,1.5378076,-0.24311934,-1.2413638,-1.1787229,-0.2175418,1.095179,-1.5113639,-0.9878143,1.0137069,1.0467054,-1.0142182,-1.5466598,0.5272642,1.0045358,-1.5265032,0.07114621,-1.3226812,0.36608943,-1.4276867,-1.2070645,0.10195541,1.5500646,-1.66847,-1.400195,-1.061289,1.1365519,-0.905383,-0.7780229,-0.2312218,1.2504228,-0.68417674,-0.06822928,-0.07956725,-0.035541024,-0.15587622,1.0343138,-1.0753777,0.04229824,-1.3477547,1.3310314,-0.26317778,1.6919551,0.61664367,-1.0311638,1.516736,-0.67213583,0.4779854,0.9660614,-1.4019418,-1.1040298,-0.2715785,-0.470933,-0.6386099,-0.9037176,-0.45253637,1.6558365,-0.13557117,-0.15072693,-0.8740577,-1.0787636,-0.86176217,1.3844537,1.339791,-1.1531177,-0.35102993,0.24591498,0.1792374,-1.0599037,-1.4843544,1.0710098,-1.2852819,-0.3454468,0.88981575,0.61539966,-0.3205538,1.0031525,1.713637,-0.013720349,1.2615685,0.11038719,-0.35685027,1.6675218,0.9170005,-1.266532,0.08821506,-0.42013845,0.0012977804,0.8617802,-0.58308756,0.36168933,-0.8540352,-0.1668343,1.2895302,0.81016517,-0.45092237,-0.7356882,0.4214069,-0.09631005,1.7431396,-0.7588313,1.4296135,-0.8618341,1.0495768,1.3058299,-1.1024997,-0.23956706,0.70514643,-0.2968264,-1.3581865,0.92996097,-0.026062217,-1.0642034,-1.5073751,0.06779733,-0.7229663,1.0791826
3,-0.12011147,-1.2957842,-1.1709367,-1.6545018,1.4037308,-0.29910377,1.1306629,0.22736298,1.3667698,1.5650594,-1.3724073,-0.79074717,-1.0882726,1.6501431,0.68743163,1.4529607,1.6522084,1.0502784,1.3115038,1.4999235,0.4122143,1.0447614,1.6323036,-0.08264188,-1.0038683,0.6054694,-1.5698609,-0.65968966,-0.44045895,1.0482502,-1.6706972,-0.577142,-0.7158851,0.5989782,1.2705042,-0.035224415,1.2035178,-0.30998293,0.0064947554,-0.5888334,-1.0730307,1.3714347,0.3640122,-0.73766774,0.11207082,-0.3698931,-1.5149561,0.6758332,1.256972,0.40367,-1.2439728,-0.2592223,-1.0392703,-1.1395702,-0.69545406,1.3820051,1.1830865,1.0026575,1.4703373,-1.3656759,-0.9505993,-1.5644033,-1.7315407,0.4847689,-0.32128927,0.23817661,1.2938819,-0.7720826,-0.89502066,1.1060762,-1.6699616,1.4955025,-0.47343352,-1.6295696,-0.99266195,-1.4634206,1.2067131,-1.592102,-1.5897237,0.4077756,-0.9931264,-0.5978815,1.0309641,-0.28379753,0.8198263,-0.7595157,-1.2435191,-1.5293015,1.1950483,-1.304756,-1.4661958,-1.2140995,0.07996071,0.6239744,-0.025282947,0.35678816,0.015487801,0.80243725,0.35237586,-1.1242938,-0.5456254,1.6740235,-0.24682526,0.6304451,-1.209636,0.6458016,0.6391098,-1.1269201,1.5318822,-0.37853414,-0.5557369,0.6598979,1.4498909,1.1818925,0.232524,-1.4933757,0.016671022,0.4519055,1.210701,-1.0804741,-0.08798656,0.4546041,0.6450104,-1.5482532,1.235513,-1.2897745,1.1973748,1.2374451,0.43829885,0.14240678,-0.4696398,-0.34516686,1.4833837,0.59765357,-0.14398977,-0.48123696,1.6621014,1.4822855,1.4261322,1.3990679,-0.46574366,1.1431661,0.65528965,1.3963907,0.77632153,1.1207358,1.0289475,0.28855255,0.6874739,-1.4762647,-0.39200076,1.0146142,-1.4228204,-0.6078531,0.47110575,-0.14394806,-1.4883066,-1.1463219,0.55122805,0.14206806,0.29463565,1.3690345,1.5033326,-0.64457774,1.2614709,0.118948415,0.5167311,-1.3820102,-0.35685116,1.5224555,1.4704468,-0.2933421,-0.89204997,1.5691593,-0.015086251,1.5520071,-1.546697,0.34729257,-0.7642752,-1.7258166,-0.013930609,1.5796388,-0.08210461,-0.98979336,0.74938923,1.298391,0.8828959,-0.8080735,0.96916133,1.0006975,-0.1524537,0.8362401,-1.6904002,-1.0086647,-0.38041604,1.4846144,0.6813024,0.6356097,1.157878,0.7557491,-1.5021765,1.3530705
4,-1.2637541,-1.2674251,0.9478939,-0.96482366,0.34995398,-0.18149571,-1.6559477,1.0405787,-0.5010153,0.48486504,1.1301733,1.4762768,0.1143674,-0.12399071,-1.7008603,-1.3254434,0.7617456,-1.0797944,0.106522545,-1.1898365,1.0454012,-1.0418282,0.9353008,-0.17654909,0.8584846,-0.44123465,1.6736808,0.025021901,-0.33821908,-0.2931369,-0.6929295,0.6376123,-1.1916653,-1.1797293,1.5799347,-0.9628341,1.0882069,-1.4709637,0.32232526,-1.3235049,-0.5059947,-0.5544858,0.39956263,-1.6531048,-0.8258324,0.8798193,0.9083052,0.9923599,0.2408927,0.90645754,-0.27175638,-0.62269974,1.0824442,-0.33837822,-1.2565374,1.584867,-1.2611281,0.91272527,-1.036946,1.2264653,0.46328586,1.6740385,0.36290783,1.1893544,-0.02377587,1.3789774,-0.31391668,1.4399495,0.5167917,1.447878,-1.6062461,-0.50987536,1.4031116,-0.8219136,0.15379252,-0.30679435,-1.6874481,-1.6415105,-0.054227915,-0.42835447,1.3113631,-0.62355745,-1.1975865,-1.3539953,-0.29294428,1.6760216,1.3519038,0.10887469,0.096686386,0.40030822,0.8464777,-1.5702705,1.5449724,1.2630789,-0.11700176,-0.60801566,0.13067462,-0.018602611,-0.63785315,-1.3004006,0.78913057,1.3222557,0.45912582,-0.70548743,-0.24882601,-1.0163821,1.4547167,-0.8192688,-0.5319894,0.5001286,0.813842,-0.13039783,-1.2610809,-0.30061066,1.1221362,-0.7228405,-0.24702126,-0.7603494,-0.45608464,-0.61180043,-0.044579536,1.1192628,1.0969393,-1.1097541,-0.98016095,-0.49333155,0.6061575,0.80381304,0.87160057,-0.98914915,-0.90658253,1.7146369,0.2991822,0.9546113,-1.0512319,0.44686076,-0.7231586,-0.042515703,-0.20465772,1.1657718,-0.45510396,0.81319135,-0.65171486,0.35076907,1.1869191,-0.9295553,-0.30299035,1.7103485,1.1362845,1.2675385,0.34852722,-0.46264014,-1.2516953,1.2727375,-1.3005114,1.5503848,1.5376521,1.6066217,0.95045584,0.5339658,-0.3885863,1.1139886,0.27583903,0.094710775,-1.336506,-1.2927912,0.6249085,-1.2524097,0.6769462,-0.23940076,-1.3444285,0.21942739,1.058719,1.6727439,-0.8928767,-0.35803193,-0.013586833,-0.017692775,-0.92027235,-0.598286,-1.4040208,0.28023672,1.7946881,-1.2948405,0.8226253,0.062716424,-0.58323085,-0.523185,1.6927148,-1.3282949,0.29667786,0.08286697,1.5315794,-1.0159265,-1.6298813,1.3424973,-0.5724548,-0.2746586,-1.2706548,-0.93716836,-0.94808364,0.6222309
5,-1.9370745,-2.0787017,-1.2508651,-1.0506321,-0.30035457,-0.3555964,-1.589007,1.7289478,1.2311687,1.0099077,0.72689104,-0.3826968,0.60938096,1.2429672,0.7705228,1.3083414,0.93961465,0.8407366,1.440879,0.99217504,-0.54024684,-0.031961974,-1.3799062,-0.26533082,0.4765985,-0.9278685,0.28949004,-0.57517844,-0.9433232,-0.48249394,0.31904155,-0.082322426,-0.22001588,0.9931663,0.4547793,0.3231326,-1.3119826,-1.687085,-0.4381579,-1.2700647,0.5044879,1.2514378,0.81799316,-0.12840971,1.1791258,0.7171391,0.11092704,0.36405545,-1.1387229,-1.6304362,1.3692226,1.6505455,0.026063798,0.30604163,1.0227786,-1.345368,0.7656146,1.0070885,-0.9361956,0.21019065,1.0921434,1.6875297,-0.30295938,-1.228994,0.7676825,0.40892485,-0.020361472,-0.41142625,-1.656119,1.447988,-0.41042265,-1.6533214,-1.2974745,0.2882215,-1.628888,0.8700458,0.85219336,-1.7682369,0.48721966,-0.6825883,-0.7183356,1.2278146,-1.5035347,-0.31319448,1.6081004,-1.4358319,0.3696532,-0.86373866,-0.9013648,-0.569041,0.74024785,-0.29105058,0.7596201,1.4139826,1.3889177,0.06728221,-0.8192432,0.41762602,-1.4178439,-0.5511817,-0.65868753,1.537592,0.14414075,-0.35450816,-0.809425,0.146696,0.06818516,1.2506068,-0.019554129,1.63332,-1.5898933,0.41388297,-0.2679004,-0.66724527,-0.028091492,1.7307701,-0.28333333,1.5664101,0.12456318,-0.41350472,-1.4330493,-1.4984555,1.2678812,-1.2457426,-0.80067956,-0.40373072,-1.469814,-0.99336684,-0.92721367,-0.2545021,-1.2034892,0.4157671,-0.12850615,0.71693605,-1.0608512,-0.8971168,-0.16672233,-0.33328602,-0.6080456,-1.3632202,0.02442497,-0.45959157,-0.40865794,0.9971299,-1.546425,-1.0732031,1.5736638,-0.53879815,-1.4929041,-0.95155823,-1.4523462,1.6018736,-0.67981476,-1.1833652,-1.3465934,1.1621902,0.23106676,1.4331762,-0.42550135,-0.292284,0.07092515,0.4241379,0.054177217,-0.7914446,0.12586315,1.5930005,0.22600926,-0.22719254,-1.4881957,1.645856,-1.716337,-1.7273408,-0.57586193,1.439367,-0.5568066,1.428877,1.2947121,-0.4849806,0.17981234,-0.43755212,1.3156896,0.688265,0.71611196,0.3626891,0.49429205,0.68710166,1.2622894,-0.6566119,-1.1634299,-0.5468641,0.97981125,1.1873084,-0.37352607,0.18839617,1.0542804,0.9247923,0.9487106,0.13148019,0.5934695,-1.2585377,0.06675214,-1.6900725
6,0.26413864,0.026360719,-0.12644857,-1.3474334,1.3161935,1.1480479,0.25236678,1.4758425,-1.2525097,0.71790093,-0.24829686,0.7061767,0.967599,1.5681071,1.5754745,0.13968845,1.4123464,-0.23127499,0.78639597,0.07263613,1.2824289,-1.2318729,0.8951162,1.23427,0.75925803,-1.1094898,0.525368,1.1776563,-1.1434523,1.6353049,-0.66891193,-1.1072344,0.4631773,-1.6337452,0.30813435,-0.21218254,1.5735816,-0.75409484,-0.052427556,-1.6098875,-0.24897416,0.49578443,-1.0733756,-0.48416904,0.8260085,-0.31967157,-0.80808276,-1.1940653,-1.7108781,0.97171897,-0.18691686,-0.7131005,-1.443326,0.7897401,1.2969981,-0.5589153,-0.23038836,1.5518056,-0.78402156,-0.39939663,-0.27859446,0.4320914,-0.39624646,1.49138,0.94629794,-0.7681944,-1.4512931,1.3327446,0.8877567,-0.48952448,0.5875712,-1.1769254,-0.47319606,0.7021492,0.17750232,0.38302815,0.18027607,-0.3094106,-0.10214513,0.6727995,1.6499776,-0.9810188,1.56981,-0.6824923,0.08511663,-0.7057416,1.579303,0.6517776,-0.58439827,1.0932856,0.31835312,0.15955712,-0.20120683,-0.23776498,0.9245585,-1.0360891,-1.2117043,0.51642954,-0.60490704,-0.9401064,-0.9890537,-1.4208099,-0.38505918,0.59429467,1.1252639,-0.5708335,-1.5457683,-0.9219928,-1.3302184,-0.34592327,-1.6601341,0.90876764,0.22823104,0.96613574,1.4617919,1.3576832,-0.63824445,-1.2961936,-0.45019412,1.2421834,1.3201698,0.37177825,-0.5309957,0.3146197,-0.95285857,-1.2936087,-1.6318157,-1.5770627,1.5052928,0.24839008,-0.3193466,1.1156808,0.27350017,-1.1831818,0.67053646,-0.19755001,0.38793153,1.572899,-1.5387747,1.4398679,-1.0708861,-1.3935949,-0.5870003,1.010102,-0.6691568,-1.5544462,0.838801,0.46454382,0.85469496,0.8299511,1.512222,-0.6194231,1.171169,-0.1820295,-0.008480385,-1.5833837,1.3832809,0.4990541,-0.42302874,-1.5035952,-0.84201485,-0.51068485,0.47537005,1.0948952,-0.51647174,-0.66488147,-1.5169908,1.2441382,-0.9924639,1.053182,0.6437374,-0.53858054,-0.9721361,-1.3174514,-1.0572507,0.96233654,1.6414131,0.55109173,-0.873693,0.97186273,0.41965988,1.1758806,0.16588944,0.70104676,-1.015649,-1.1417862,-1.4111407,1.327838,0.03630401,-1.2526355,1.3953488,-0.092863515,-1.2111427,-1.4946357,-1.4455575,0.20446117,-0.42137796,1.2328752,0.9946002,0.1829516,-0.48864883,0.86998415
7,1.1973562,1.3371097,1.1221328,-0.054885097,0.6190479,1.0623931,-0.4616401,0.15434316,-0.9573922,-0.15642008,-0.7243959,-1.32104,1.107775,0.49372548,0.47824952,1.36401,1.0498954,-0.28851932,-0.7387467,0.07095227,1.3289846,1.519366,1.592648,-0.30523157,0.23042083,-1.2551053,-0.18471807,0.9953728,-1.1774434,-1.2657443,-0.58087873,-1.0588025,-1.1998487,-1.3995725,-0.4438684,-1.1506133,1.4649644,-1.6820128,-1.6180246,-0.79644114,1.2572799,1.2547709,-0.7664705,-1.4800671,0.83995444,-0.8588691,1.427947,-0.3243427,-0.104039915,-1.0678662,0.995687,1.4711995,1.1473669,0.9713997,-0.3609601,-1.4285812,-1.620521,0.14725405,1.0268806,-1.1516805,-0.36087748,-0.19140449,0.5632834,-1.5062447,-1.5380434,-1.1338447,0.13827561,-0.2789507,1.6443154,0.07847272,1.3815262,-1.1482601,-1.5764457,1.1799495,-0.16883732,-1.4029922,0.25991052,0.19601335,-0.8307976,1.3581148,1.1095822,-0.17370005,-0.9190291,-0.74019307,1.4222646,-0.33417246,0.29616636,-1.2109773,0.3578056,1.6225495,1.3788077,-0.37710857,-0.85354626,0.24960673,0.20848015,0.82905424,-1.4238708,0.69124776,1.6859484,-1.1351615,-0.26660284,-0.04749279,1.239643,-1.2223098,-1.7649698,-0.5225776,1.2504599,-0.8508317,-1.1933666,0.73709345,-1.644014,0.7216041,-0.11562856,-0.20711505,1.1234734,-0.3666731,0.020050991,-0.77563137,1.1607618,1.0277381,0.9120485,-1.6428789,-0.22192636,0.012636678,-0.01953733,1.6723421,-1.1399208,0.460629,0.9424896,-0.37593737,-0.7716804,-1.4505827,0.8556788,-0.5315334,-0.2647387,-0.6838294,-0.5814721,1.5453207,0.53968054,1.2325732,-0.19330318,1.013048,1.2290123,-1.1510038,1.5224923,-1.3552506,0.2529681,-0.36859027,0.75853807,-0.69572884,0.47049496,0.64614975,-1.5064706,0.33318046,0.14654666,-0.4427967,-1.2205461,-1.3523644,0.79204184,-0.15598466,1.3187127,-0.7495355,1.0667529,-1.0924096,-0.84603244,-1.4335546,1.1912656,1.2795403,-0.22961138,-0.5577004,1.0893682,-0.1660332,-1.1395624,0.19168575,0.16386686,0.89209557,0.8657436,1.7231376,-0.9504725,1.5537024,-0.64273274,0.80218536,0.041387778,-0.094457224,-1.5126613,-0.7888012,0.27495617,-1.1918207,-0.37284857,-0.6045822,0.06740709,-1.0849262,0.6725655,-0.48485208,-1.5411453,1.6465416,0.91193795,0.90869737,1.1965648,-1.2104435,-1.2321366,-1.5868084
8,-0.5937541,-0.40718853,-0.82652426,0.8542047,-1.1631058,1.5486369,-0.1456736,1.1615728,0.31811616,0.19593674,-0.3435868,0.5414579,-0.2796835,1.1820315,-0.7954393,-1.4009225,0.21420555,-1.1483766,-1.0876285,1.699536,0.9541752,-0.64360255,-0.28184512,0.052978992,-0.77165234,-0.6650776,-0.95286506,-0.9841549,-1.1509835,1.2596453,0.8976061,1.7166443,0.42221984,-1.1087899,-0.04945045,1.4263066,0.40897143,1.0426112,-0.8790932,-1.2011693,1.5849702,-0.0067833974,1.3164216,0.28705236,-0.6805351,0.67945516,-0.077038005,-1.1827412,0.9511967,1.7430153,1.1243826,0.61899304,0.98334086,1.0764195,-1.7080338,1.424389,-1.5973896,-1.4342676,0.4648989,-1.2529316,0.9340779,1.8274237,0.7914255,-1.2918419,-0.76199883,1.0212109,0.37640798,-0.074107885,-0.7872633,-1.1539559,-0.59752053,-0.49293354,-0.6256125,0.9566862,-1.0574855,-0.8331792,0.061606355,-0.23970293,-0.20182432,-1.6152668,-0.12837835,1.0615368,1.4490892,0.9773191,-0.51327354,0.48599392,-0.438355,-0.13578907,1.5837173,0.025549678,0.5884472,-0.13357246,0.4654904,0.2038315,-1.5930527,-0.9308768,0.75946176,0.036875192,1.0114073,-1.1691693,-1.5142916,0.5703615,0.2653002,0.4246293,1.0509739,-0.8320426,1.4452822,1.3425218,1.4002111,0.95816165,-0.84042406,1.2767236,1.5480407,1.589876,1.3795844,0.9578098,-0.8895779,-1.1636468,0.16317183,1.3611696,0.10306675,0.039900806,0.7117099,-1.2864162,-0.24244861,-0.5084387,-0.8021329,-0.9097986,1.1402054,1.6388978,0.95134854,1.590448,0.057237614,-0.46799347,1.5592757,-0.7832788,-1.4305067,0.2723364,1.3445907,-0.21139164,-0.33389428,0.42508057,-0.30464533,0.2772135,-0.61885715,-1.2604342,0.2978308,0.8361908,0.8096598,0.2594564,-1.4392273,0.67032,-0.92857456,-1.646902,-0.11685781,1.0231559,-0.41318297,-0.3028968,0.6855608,0.03428368,0.07783046,1.4618739,-0.53384495,0.4687411,-1.2791895,0.99197817,-0.43705133,0.7412064,0.32580632,1.386296,-1.4151663,-1.4351664,1.6040343,0.0029426068,0.99648046,-0.08061474,-1.4962536,0.92815393,-0.52174,-0.058695674,0.4699542,0.5076537,1.0031226,0.3227399,-0.9232432,0.800656,-1.2953031,1.3239363,1.6704239,1.0848635,-0.2187812,-0.44236857,1.3396497,-1.6462845,1.402383,-0.78202975,-0.4187311,-0.66877425,-0.31815943,0.7583688,1.6659082,-0.33346337
9,1.8258244,1.3536607,-0.92552066,-0.70706993,0.3532987,0.66612136,0.5473072,0.32216695,0.7537774,0.55111337,1.2945955,0.51306623,1.7130136,0.5576729,0.9046227,-1.513654,1.0094061,0.96624935,-0.21173504,-1.2164344,-1.2572076,-0.77844125,0.75869906,-0.004831447,0.11490807,1.4004772,1.0462745,0.25420147,-1.7145166,-1.4992659,0.3267314,-1.0507693,0.27155977,0.29635775,0.64818406,1.1481242,-0.22270468,-0.6398853,1.6326443,-0.2580243,-0.44687793,0.090797015,0.6509419,-1.3685819,-0.47898814,-1.4406887,0.81540644,1.3665876,1.46719,0.3397434,-0.38634354,1.224611,-0.64030427,-0.93449914,-0.95802414,-1.4511195,-1.218397,1.3446186,-0.23365775,-1.6098225,-0.3472172,-0.680041,-1.662624,-1.4527466,1.0354731,-0.21384951,1.3783809,-1.2722119,-0.52354556,1.5193086,0.2760735,1.418032,1.2840799,0.23896551,0.675627,1.4880229,-0.86333746,1.064814,1.2670225,-1.5354408,-0.5613992,-0.009269564,0.92013615,-0.27145767,-0.015002722,-1.678142,-1.1371067,-0.50554854,-0.059094887,1.5953481,-0.67107546,0.8260013,-1.6933893,0.15003765,1.0073372,-0.6138273,-0.9066935,-0.9637354,-0.01605212,0.33833247,1.48611,-0.6507349,0.371692,-1.206838,-0.47116506,-1.0092041,0.8802582,-0.35650972,0.62000704,0.20366871,-0.30550063,0.7487871,-0.9723194,1.2099873,0.9921811,-0.46799612,0.15799901,1.0584065,1.121674,1.224754,1.2154408,1.0834751,0.63368696,-1.0155832,1.6550212,-1.314668,-0.93135273,-0.52229035,-1.6937028,-0.8284895,1.5602703,-0.70938545,0.57770056,1.3146245,-1.4121003,0.6633468,0.7385808,1.4245273,-1.3588058,0.4533394,0.3256267,0.64869523,0.21856582,1.4880133,1.2586176,-0.41086563,-0.36711767,-1.0211277,1.3900063,-0.7382218,1.6544712,-1.7137803,1.70449,-0.71256876,-0.9021076,-1.4940422,1.0389694,-0.2077856,0.25753003,-0.3450269,1.2617468,0.4069573,1.1087745,-0.49237478,0.92381907,-1.2993646,1.5857879,-1.4898069,0.29316047,-0.8760036,-0.7571292,0.047986753,-1.6318384,-0.5570856,-0.86053264,1.0025868,1.1487515,0.18543985,0.49571067,-0.2615618,-1.1737247,1.2154254,-0.32284045,-0.30097097,1.6997597,1.6828823,-0.57164913,1.2150425,1.0202535,-0.57852924,0.24615689,1.4743537,-0.35394895,-0.21975946,-0.06987234,1.3909787,-1.2632294,-1.1871305,0.33504397,1.6849964,0.6417314,-0.104446106
