,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200
0,0.6016122,0.6361839,0.59575486,0.004372829,1.3551354,-1.0700073,1.3580605,0.8658771,0.5401867,1.6714985,-0.8196891,-1.6744223,0.50617236,1.1541423,0.8340427,-1.6693307,-1.2979996,-0.6471603,0.7322542,1.2966946,-0.9732807,0.6018927,0.7533036,-0.44427285,0.99397826,1.1083016,-0.97975737,1.4653805,-0.01414142,0.5417877,-1.0643833,1.0309265,-0.5035851,-0.61220515,-0.5876187,1.1062487,0.25375706,-1.1270443,0.76425403,0.55828243,0.08771539,0.22302249,-1.7414879,0.543176,0.06413176,-1.4468075,-1.7707402,-0.7304453,1.5733298,-0.79744625,-1.3000436,-1.6266359,-0.5959672,1.1531234,-1.0087681,1.3931061,1.5511292,-1.7958757,0.90468055,0.69342023,-0.0068760966,-0.73430437,0.5495336,0.92195255,-0.089136615,1.7242159,-0.0074576167,0.60641897,-0.19882818,-0.75222605,1.6273198,0.6026536,0.37130502,-1.6379158,1.3133463,-0.33096036,-0.1673333,-1.2708368,-0.55680406,-0.5094636,-1.3472179,1.0647686,0.13764602,1.3496234,1.1318684,0.48519853,-1.4802475,0.94871724,-0.3524078,-0.22508396,-1.5786803,-1.2916676,-0.40961486,-0.4632756,-1.7845062,-0.86320794,-1.0145243,-0.3596349,1.0801805,0.9643543,1.0514227,-1.1711624,0.61015034,0.031059057,-0.060663324,0.44336423,0.085930794,0.07846546,1.419585,-0.22644638,0.54027796,0.41253766,-0.90194136,0.8715752,0.17914094,-0.74324614,1.3309655,-1.6698806,-0.70920265,1.8715849,-0.0026749813,0.35622665,-1.7674417,1.1874236,-1.1420807,0.3982304,1.292467,-1.2727946,-0.37209487,0.16469184,0.052841876,0.924865,0.20841256,0.18257919,-0.22486697,-0.7538057,-1.5794798,1.2067103,0.552997,-0.7426633,0.66617125,1.0642875,0.07862837,1.1400971,-0.6936324,-1.3012756,1.0082629,1.4736706,1.1576669,0.12837999,-0.119738474,-0.54822284,0.039448958,1.609788,1.4542058,1.2380737,-0.55236995,1.0598348,-0.43985045,-1.6367319,-1.2191117,0.64878756,0.81266135,-0.41916293,-0.6660848,0.47005692,1.2841595,0.93677056,1.7063105,1.7704635,1.2428625,1.5532116,0.81941146,1.2831433,-0.5832303,0.10157435,-0.4025336,1.3638037,-0.93121696,1.6195985,0.6091026,1.465047,0.7064138,0.22233383,0.4274953,-1.4285327,1.0757463,0.233711,-0.7829716,0.32081133,1.7592515,-0.32073998,-0.11680973,-1.1471658,-0.3400921,1.5270916,-0.5807491,-0.1432903,-1.0753561,-0.6599176,-0.27340978,1.4307952
1,-0.5384984,0.41480163,-1.2851421,-0.95583946,0.24950986,1.7567166,-1.1652765,0.71918535,0.85195404,-0.02502114,0.8749745,1.584735,-0.9259587,0.41679996,0.71407324,-0.25718996,1.6409997,-1.2469362,-1.453345,-0.032394882,-0.87392473,1.6922307,1.5738037,-1.5916926,-1.6439793,-0.48295772,0.8322917,-1.5679168,-0.531333,-1.0591445,-0.773253,0.049520887,-0.06632462,-1.6289797,0.44953388,-0.55127823,-1.4968702,-1.7977613,-1.2999605,1.3888471,0.76704955,0.02175097,1.5211115,-1.0808638,0.22723714,-1.4569341,1.0113323,0.032088537,0.045894958,1.0456452,-1.5796392,1.6137261,0.62781775,-1.3562078,0.6070055,0.8127869,0.6456075,-1.1308811,0.55493265,1.464012,1.1244681,0.30093142,-0.71782273,-0.6352176,0.7052383,1.1620086,-1.1886227,-0.72556543,0.65152144,-0.4260157,-0.6246666,1.2270361,-0.10071577,0.56379354,1.0938038,-0.941011,-1.1763213,-0.8879367,-0.54320043,1.430878,-0.024523333,1.5745016,0.3796254,-0.9927311,-0.37294823,0.76117843,-1.3371853,0.13122712,0.58747345,1.3233751,-1.1542686,0.4877142,0.7803544,-0.65342236,-1.2452658,0.086763024,0.23857225,0.37490693,0.39852357,1.1999086,-1.0357529,0.11963763,-1.4398326,-0.2653352,-0.42379236,0.6543827,0.2757789,1.0512726,1.2839552,-1.3860713,-0.5508665,0.75670713,-0.20485578,-0.67208713,0.9575067,1.5788283,-1.2477123,0.91927284,0.79943216,-1.1657261,-0.9856529,0.30346602,0.4161564,1.0727985,0.24117954,-1.6895611,0.82160187,-0.72945285,0.016928934,1.0293418,0.03982614,1.554013,-1.1983367,-0.93743235,-1.0777775,-1.5398443,-0.44384906,-0.75439173,0.9209008,-1.5548365,0.42048857,0.476869,-1.6077429,0.6585331,0.18684618,1.6275599,-0.16708851,-0.05369935,-1.6145031,-1.4886057,-3.089686e-05,1.2419735,0.24256153,-0.89974135,1.5498614,1.4510515,-0.16458619,-0.26889765,-0.73437524,-1.6333591,-1.4706326,1.2056892,1.7222077,0.2917825,-0.04740255,0.99005276,-0.16948014,-0.47766152,-1.5476737,1.8043001,1.5386975,-1.1009979,-0.74685436,-0.47160724,0.19787265,-1.4717606,0.7330293,-1.6049455,-0.26477307,-0.7058574,0.49821594,1.6374961,-1.254565,0.42903045,-0.20775233,1.6820158,1.3109597,0.8419458,0.39439076,-0.909453,-0.99171776,-0.110170804,-0.34351856,-0.58632636,-1.0649979,0.52353674,-0.67450875,-0.1374271,-0.98306906,0.8579186,-0.8083767,-1.0569959
2,-0.742524,-0.80123675,0.95966333,1.1474153,0.3621328,-0.9920968,-0.7805822,-1.4732032,-1.5170783,-0.18264502,0.36386502,-1.6348495,-0.8843354,-1.1893523,1.0454407,-1.4253671,-1.4585385,-1.3192669,0.1420902,-1.5976157,1.6176455,1.7765956,-1.1646775,-1.4655074,-0.03661925,1.1960475,-0.92099077,-1.4630423,-0.51623076,1.0451231,-0.5408462,-0.5523974,1.1472243,0.60081345,-0.05361271,-0.88681245,0.943469,0.6469751,-0.02534624,-0.07733392,-0.6538853,0.17996675,-0.049884155,-0.10272633,0.21790013,1.2811084,0.33712584,0.15561776,1.0508306,-1.0509025,0.96913254,1.0848157,1.0568111,0.6432921,-1.670689,-0.5019178,0.1135029,-0.35162136,1.1910226,1.4521121,-1.0219826,0.50830156,0.2196743,0.2722266,1.625252,-1.376369,1.5054675,-0.9781365,0.3698088,-0.5264062,-0.9776076,-0.632796,0.07732118,-0.6485729,0.29070136,-0.6058937,1.130542,-1.6151638,1.2622726,-1.554657,-0.7396962,-1.6422389,0.8833962,-0.06743716,0.1504039,-1.3658496,1.032835,0.31133285,0.11860687,1.4512162,-0.98970836,-0.78899604,1.5849766,1.1927836,0.9014334,-1.4550607,0.14873537,-1.4009403,0.912694,0.4484724,-0.79588467,1.4430538,-0.368797,-0.7841287,-1.6686938,0.2575655,0.7890615,-0.40157118,-1.7233523,-0.29906178,0.70266503,0.046235476,-0.3408512,1.2192507,1.0692232,-0.2849298,1.665101,-1.5930651,1.5328746,-1.3412788,-0.6156375,-0.18399471,0.7625677,-1.3943399,-0.48204246,1.1216465,-1.75125,1.4408418,-0.38323772,0.5775758,0.75813884,-1.304352,-0.8264571,-0.5050074,1.3309202,1.4399388,-0.9608367,-0.1519196,0.11626547,-1.4786586,-0.510463,-1.099057,-0.10790945,1.3812288,-1.6238728,1.4931481,1.098784,-0.39310935,1.2140943,-0.7680678,-1.1974407,0.11274109,-1.6099608,1.4309026,1.4834356,-1.1984518,-0.9592082,0.8265983,0.6141208,0.036552586,1.7414781,0.5517873,0.21393502,0.3004825,-0.8758854,-0.9926166,-0.72267807,-1.3607714,1.3725376,-0.71856385,0.5880164,1.4451101,-1.5326191,-1.2926219,1.028224,0.7887354,-0.7696351,1.3430346,0.07325511,0.8107823,-1.7318742,-1.4122928,0.63980997,-1.4150127,1.0481896,-1.363734,-0.13365166,-1.0110313,-1.8186704,-0.5089411,1.0399069,-0.2403665,0.4859284,-1.0645254,0.931511,-1.4738705,0.8678513,0.6471654,0.42771894,1.2598633,-1.3174931,1.1489505
3,-1.1502364,-1.08037,-0.45861217,-0.22493331,-0.9889299,1.646117,-1.1143397,-1.2420074,0.5653507,0.59122556,0.82512724,-0.43053538,-0.046122037,-1.6128316,1.5056174,0.48427832,0.17430188,-1.3772935,-1.2258596,0.84487313,-0.90438503,-0.2256852,-0.7339268,1.7015498,1.1485949,1.4721062,-0.7690768,1.279145,-1.3202924,1.1286128,-1.4491891,-0.87855583,-1.5708958,1.2905629,-0.73797303,0.52471745,-0.11682345,0.03729253,1.1343751,0.45792153,0.5713696,1.5410138,-0.30320114,1.5031174,-0.9479842,-0.10567601,-0.43138808,-1.4118978,-0.008118041,1.7940341,-0.36545902,0.23155245,-0.3839456,-0.6642266,-0.11748448,-1.0168412,-0.026059126,0.7737972,1.555385,0.33037505,1.4730105,-0.17614394,0.8168139,1.0928156,0.65994436,0.30895403,-1.2722154,-1.3296311,1.1505823,-1.1062663,1.1496724,-0.24759421,-0.575119,-0.83832,0.19874948,-0.88656384,-0.49649647,1.1223738,-1.1988624,-1.067416,-1.4142066,-0.8503976,1.0062752,1.5706344,0.9747237,1.7432237,0.4875914,0.32454482,-0.074602194,1.1526762,1.4702643,-0.81367236,-1.2673407,1.0804424,-0.81735593,0.35766047,1.5077598,-0.75466543,-0.57865274,1.2271359,-0.99778086,-0.36904538,-0.43802157,-1.1890736,-0.3551504,-0.16488838,0.22246328,1.0065641,1.1833638,0.85315365,-0.7631779,1.7582766,-1.6451224,1.4293532,0.70156,0.8591778,-0.3717706,0.29821974,1.3833543,0.8268842,-1.3597726,0.7918918,-0.31635642,-1.0678828,1.7383062,-1.40492,0.6200327,1.6118697,0.037903156,1.3518248,0.2166246,-0.3864933,-1.2148017,1.6178503,-0.009833668,-1.2607945,-0.25151432,1.239017,-0.20425348,1.4930856,-0.8646203,0.97624373,1.0501068,-1.6177278,-0.29256606,-0.27168372,0.3076313,-0.3287258,-0.49980313,1.2542223,-1.4223378,-1.5184256,-0.9820373,-1.3049928,1.6904147,-0.27714956,-0.4337281,-0.75979096,-0.5915565,0.3117581,-1.3365643,-1.0482253,0.38632342,1.3059623,-0.48417428,-0.56083775,-0.41719562,0.28701967,-0.42713186,1.4077235,1.1602856,0.23520952,1.4741184,-0.1843579,-0.9514679,-0.9394971,-0.42173624,-0.27745917,0.48654383,-0.43417922,-1.080133,-1.5594841,-0.4873796,-0.49868557,0.63788414,-0.002289302,1.4536513,-0.09702537,-1.303502,-1.8080152,1.2781081,-0.97283137,-0.8914921,1.2841171,0.08954039,0.04062363,0.41372183,-1.6521003,-0.04074468,-1.3323478,-0.74046504,0.5240551
4,0.62855154,0.8212387,-0.58119464,-0.13943794,-1.3933935,-1.6555483,1.7070434,-0.2775586,0.846096,0.3091674,-1.4866287,-0.105645925,-1.2361461,0.39519513,0.20147605,0.18959339,-0.7680391,-1.2180382,1.3489735,1.2310618,-0.8077236,1.5657367,0.15832412,0.1967107,-0.006298841,-0.92787665,1.6995816,1.1088904,-0.2243495,-0.8035015,1.4696492,0.081961535,1.2980316,0.3930847,0.3687954,0.62546116,0.62176603,0.010044444,-0.27334645,-1.6098249,-0.8039251,-0.25872335,-1.4273455,0.3438114,-0.8513279,0.60065484,1.093416,0.06906698,-1.3909945,0.35030636,1.2846454,-0.9483396,-0.76229095,-0.16858342,-1.1541015,-1.4707847,-1.8381274,1.4520799,-0.3735639,-0.88769466,-0.6867414,0.17289877,-1.299925,-0.8513218,-0.15271291,0.8979033,1.1369848,0.58555806,1.3574691,-1.4797412,1.5128981,1.2563874,-0.46901846,-0.016550772,1.339172,0.023039466,-0.7489909,-0.74920535,0.4702088,0.08956902,-0.49685186,-0.12766333,-1.3816327,-0.47915378,-0.037059337,-0.009029635,-0.79684407,-1.2446673,-0.4985647,-0.3825142,1.0154108,-0.06206251,0.0317996,0.68489087,0.12674382,1.040916,0.2735424,0.30719846,0.04850843,0.6825678,1.2046794,-0.1495928,0.78708154,-1.3290192,1.5906276,-0.5487212,0.9290159,1.5582767,-1.6020397,-0.2951132,-0.6308901,0.87715906,-0.6314619,-1.4156258,0.65836215,-1.4267913,1.7070032,1.3430686,1.2917951,1.877057,1.4714266,-1.6122096,-1.1876643,0.4908549,-0.9528237,-0.90352017,-1.0500429,0.3773199,0.58285517,-0.3610283,1.4933901,-1.1646469,1.39713,0.15638347,-0.104787536,-1.6379718,1.6556684,1.5674744,1.5397522,-0.5566703,0.16821356,1.7704227,1.4402618,0.96024823,-0.92164385,-1.6941861,0.40151024,-0.39552954,0.03138688,0.77232796,0.75184685,-0.07762074,-0.26935208,0.670146,-1.155774,-0.3309977,-0.27576584,-0.5961121,0.18058027,-0.28546673,-1.4275548,-1.5449159,1.5297673,-0.95435786,-0.18268025,-0.73252666,0.2543679,-1.2946811,-0.8680916,0.34483337,-1.5914643,-0.12752727,1.234128,-1.5419571,-0.3017696,-1.1347375,0.9537925,-1.270321,0.72099036,-1.717673,0.5053148,-0.08124031,-0.5733778,-1.2221491,-0.94353974,1.4041356,-0.04205386,-0.9928173,0.40602964,-1.7635386,0.62324363,0.23058178,0.18822937,-1.0585605,1.5697548,-1.563543,-1.5847946,0.11250655,-0.4759443,1.6104381,1.7627422,-0.97249854
5,-0.40095273,-0.12961748,0.8746884,0.259823,0.2014781,0.7221028,-1.2446668,-0.8241164,0.37375894,0.5203007,-0.5531206,-0.47312883,0.5943835,-0.861987,-1.4779348,-0.30560866,0.75334316,-0.17616804,0.36780143,0.43631747,1.6866659,0.47603443,-0.06950573,-0.69484067,-0.4168899,-0.6569865,-1.3612878,1.6071578,-0.5004067,0.46800587,0.5110314,1.0706984,-0.80111736,-0.12068368,0.33402926,0.3175636,0.038369354,1.5430853,-1.4058721,1.2937973,-0.6257063,-1.406594,-1.3857046,0.17176156,-0.5723733,-0.83691067,1.7268603,0.68967104,0.8909866,-1.1004806,0.5332534,-0.33465737,0.633679,1.3436567,-1.1959816,1.3733054,0.29929093,-0.86536586,-0.5421019,-0.3420766,0.26758057,0.010804804,-1.6638417,-1.1264161,0.9789208,1.288497,0.28377816,0.8147898,-0.10548224,-1.2412311,-0.29100809,1.6342895,0.11401959,-0.94009614,-0.9910309,1.2603683,0.29280394,0.33170968,-1.8526137,0.51769847,-0.20803863,-1.5416209,-1.5967216,0.9422242,-0.5860992,1.6607149,0.7799573,0.04654516,0.05263594,-0.21337232,1.737809,0.17511284,-0.7340258,-1.4226776,0.4829467,-0.8520168,-1.3422481,-1.6251994,-1.6608253,-1.663249,1.1372461,1.5508941,-0.20529583,-1.2127748,0.90645784,0.47000816,0.575733,-0.00588052,-0.019765576,-0.917185,0.48620898,0.66366535,-0.8133028,1.6401434,1.4379388,-0.033947133,0.88698435,0.96612906,-1.0982988,0.45475855,-1.1419845,-0.16288215,-0.12430482,1.0412307,0.61467636,0.15948349,-0.05922924,0.6204814,-1.2484957,-1.3827513,-0.7046455,1.2904606,0.5631457,-0.77295643,1.221022,0.7111985,-0.30490994,-1.0421163,-0.6814104,0.44391432,-0.1304989,0.6151204,-1.1498969,1.3664097,1.3566499,0.24260096,-0.98824686,0.7987442,0.5209402,1.6850355,0.29732898,1.7515895,-0.28841016,0.16855252,-1.2179203,0.36651033,-1.6994283,1.5291657,0.8752824,1.8073926,-1.3241512,-1.3580587,0.81961584,-1.264252,1.4188404,-0.76294166,0.09988718,-1.6675527,0.9207896,0.3460139,-0.42640638,-0.76541805,-0.07106642,-0.7107977,-0.37584597,-1.0222051,-0.6849724,0.6082262,-0.21702969,-1.0567976,1.1215614,0.5161038,-1.6463101,1.3640782,0.6360521,-0.056631055,-1.5379448,-0.58082294,0.95425266,-0.48257256,1.3806401,0.8622691,-0.5433238,1.2849312,-0.8729183,-0.0069500376,0.5975594,-1.3415579,-1.3150374,0.5761577,0.9892705,0.7995875
6,-1.2635791,-0.82444715,0.13282308,-0.49219555,0.32211718,-1.3056806,-0.9972671,-0.086787045,0.72709095,-0.13960339,0.08945841,-0.7117795,1.7542212,-0.9375032,0.260831,1.1824961,-0.41956344,-0.30197468,0.95786804,-0.80744827,0.07868326,-0.735032,-0.1244534,-1.2811767,-1.3980594,-1.1423526,-0.28952187,0.582748,0.12159685,-0.15007155,1.6538054,0.5306877,-0.34550712,0.9047948,-1.2339305,0.25373283,-1.5576427,1.5075463,0.07537421,-0.5615598,-0.82210195,-0.46955732,1.6462183,-1.432806,1.2163862,1.6539093,0.6230229,-1.6828698,-0.65267354,0.40583965,0.16156787,0.93049115,-0.21218607,1.5511504,0.9972733,0.26212278,0.051762592,-1.1376094,-1.2824274,-0.7178445,1.6417294,-0.3821535,0.18653962,-0.59515965,-0.7441696,-0.5211033,-1.697048,-0.21224521,-1.4485431,-0.831033,0.7365924,-1.1599293,1.5380969,0.27884534,0.926925,-1.0602906,0.6127834,1.2791401,0.14581853,1.5780263,-0.4978643,1.6990293,1.4236248,-1.3825067,1.453952,0.23736465,-1.2568151,1.0538557,-1.2388688,-1.405047,-1.4029789,-1.0387769,0.16328365,-0.50713736,-0.6948195,-0.7362537,-0.96216536,0.96354884,-0.22930874,1.5092486,-1.2715272,0.30637795,0.101397455,0.82646847,1.1801838,1.4250613,-0.8500433,1.4445276,1.6068462,0.62065995,1.514545,-0.3963086,0.73798406,0.4507132,-1.321294,-0.5091362,-0.6429548,0.57955045,0.16707963,-0.3834195,0.36732516,1.0889883,-0.87301797,-1.174255,0.7018597,-1.7399366,1.6001984,-1.3400126,0.34124705,-0.8687263,-0.015846482,0.1882971,0.06360138,-1.5567871,-0.14908737,-1.581205,1.4513696,0.7974251,1.6458925,0.8791004,-0.081787705,-1.2906969,-1.1628882,0.99407655,0.30694956,-1.3865845,1.576687,-0.8556889,-1.0593055,1.7359347,-1.5461822,-1.0806713,-0.38124523,-1.1709771,-0.42890394,0.46512386,1.2718754,-0.9107518,-0.5756438,-0.6447855,-0.30667388,1.5062692,1.0928081,-1.2075341,1.065855,-0.5360789,-0.23396264,1.5665014,-1.5516006,-0.93331826,0.80643797,0.35344675,-0.98908365,-1.5213546,-0.33278742,-1.5281694,1.5166193,-0.44712558,-1.2871895,-1.2206188,-1.0438281,-1.1908666,-0.53964067,-1.5935621,-1.0334525,-1.4022987,0.88647705,1.0245645,0.6904029,0.8003456,1.5219245,1.0084519,-0.36084446,-1.4036465,0.55556846,-0.27196032,-0.79931915,1.3229384,-0.7725913,-0.7636751,-0.34760556,0.22396344
7,-0.5914298,-0.41983044,-0.7849795,0.9075924,-0.6600048,1.2140509,-0.7231819,1.2057111,-1.269065,1.1771312,1.3691702,-0.12409652,1.2788752,-1.6237235,0.59352857,-0.22379242,-1.672534,-0.4186653,0.8629725,-0.863965,1.3044927,-1.5719264,1.5654635,0.54951894,-0.25787386,0.8064529,1.2301881,0.62156254,0.6846095,-1.067354,-0.9925772,0.88017386,0.8844396,0.5948218,-0.06247061,-0.7215162,0.48014283,0.18911614,-1.3736395,0.78130656,-0.3653993,-1.3774177,0.4816483,-0.3889845,-0.8751452,1.4645919,-0.12745023,1.2318975,0.023344979,-0.75468767,-1.441049,-0.4073442,0.61000204,0.10128898,0.07689809,-1.6173865,1.4682139,0.8520226,1.3930973,-1.4624362,0.15050808,1.0923355,-1.1120574,-0.084942795,-0.68673927,-1.5957462,1.130846,0.3096345,-0.11041586,0.55914795,1.5934474,-0.9785965,-1.6192886,-1.7128881,-1.6085255,1.4256663,-0.16439632,-0.9077461,1.456727,0.69603467,0.40002143,0.2975977,1.500541,1.0765343,-1.658329,-0.8092356,0.48297188,0.5144096,-1.3243356,1.3293049,-1.160779,1.6262593,-0.55497676,0.73603857,1.1105258,-0.5858167,0.6834527,0.9500608,1.2800027,0.58524436,-0.84847367,0.27901793,-0.584502,1.5999233,0.1362572,-1.754715,-1.4490687,-0.39120796,-0.9513749,-1.2039224,-0.8565743,0.38289732,0.49186718,-0.87539095,-1.2933626,0.2133332,-0.14546287,0.56860995,-0.20430581,-1.0305873,0.6874714,-1.4249974,0.3538745,-0.064503804,-0.31307843,0.5734984,0.0046729324,-0.73106956,1.2138221,-0.22703554,-0.25600722,-0.6465757,-0.033688106,1.0933653,0.01779317,-0.05975004,1.1208342,-1.4595364,1.6258526,-0.2902042,1.0319576,1.3071002,-1.6556348,-0.021634886,0.6473853,0.54105824,-1.1908172,-1.5429351,-0.28750092,-1.5077467,0.2677055,-1.0217625,1.2855765,-0.9825319,-0.9004309,-0.01798042,-1.1598821,-1.2051202,1.6673721,0.9959582,-0.16528478,0.05106326,0.48078662,1.5857344,1.2926403,-1.5801201,1.6011832,1.1954715,1.680035,-1.0814172,1.5264428,1.3807421,-0.3629157,-0.4288552,-0.804631,-0.36942074,0.45190406,-1.0261675,1.1688782,-0.3337447,0.62564796,0.024557648,0.94114375,0.4599793,0.759995,0.050453953,0.521916,-1.6324947,-1.1538167,0.15402874,0.9956957,0.5343406,-1.2947285,1.6233714,-0.58346856,0.9201883,-1.6531222,-0.6638447,-1.5608352,0.9754111,-0.06277979,-0.028808609
8,-0.25272194,-0.39913648,-1.4856493,0.39073426,-1.629303,-1.6511452,0.0092608975,-1.5842946,0.8526986,0.59114665,-1.6226128,-0.7000208,0.0036569247,0.3763579,-0.06528287,-0.451047,0.9741359,0.66755724,-1.4183333,0.5232121,1.1172944,-0.5105142,0.46564433,0.533205,0.52274615,1.2833923,0.2383926,0.14889771,-1.3822596,0.95954436,-1.5474945,0.35507822,-1.2862165,-1.4133321,1.7472402,1.645889,1.0877981,-1.0352644,-0.4570456,0.88430214,-1.2484205,-1.2668993,-1.283531,0.38200426,-1.4961905,0.979104,-1.0155423,-1.7058309,0.3867003,1.3000046,-1.292902,1.3258382,-1.4592235,1.5612887,0.41817045,-1.4744564,0.507034,0.7641224,0.31377083,1.7084465,0.77057135,-0.050363477,0.5434645,-1.1334306,-1.2939019,-1.4041696,-1.402603,0.08598358,-0.49010438,0.23697007,1.3302013,0.3378363,-1.2822909,-0.02045792,-1.059482,-0.22421654,-0.38179842,-0.77484775,0.27425963,0.5686775,0.6593289,-0.46655986,-1.502179,-1.2648761,-1.2641487,-0.90806353,-1.4465352,-1.510771,0.6785253,0.836493,0.92541254,0.5553968,1.7313043,0.7168116,-0.12510462,0.5219502,1.1994003,1.6112761,-1.3892471,0.33760074,0.97696996,-1.5763279,1.4233587,-1.2110753,-0.961532,-1.7372465,-1.0653168,-1.1304432,1.2834598,1.2567983,0.930341,-0.69521284,0.15209116,0.9951209,0.9500622,0.46424502,0.27904654,1.0741205,0.6488685,-0.4142562,-1.6711891,1.665838,0.4590222,0.2228162,-1.1858792,-1.2044547,1.3322423,1.2115375,-1.2669257,-0.5450372,-0.8255285,-0.22640575,1.5036179,-0.8672325,-0.112400256,0.5242941,-0.5719762,-0.80238897,0.2027629,-1.5041838,-1.5162171,0.33297735,0.09468758,0.8519836,0.7008306,0.9360315,-0.2519797,-0.65311044,0.53832656,1.3880593,-0.9316926,-0.26746854,0.9360669,1.1748407,0.8813501,-0.8964411,0.83401334,0.97673124,0.5020903,0.30896518,-0.789811,0.19391671,-0.7355064,-1.31302,0.19920892,-0.8499132,0.46980906,0.8364978,-1.2251226,-1.7416369,0.8404329,0.092854924,1.0234768,1.7193588,1.4392004,-0.62111664,1.4285628,-1.5015041,0.4709332,-1.227286,0.15683234,1.1762335,1.6419507,0.8789303,0.09038701,-1.3708715,-1.3487178,-1.0233382,1.1969831,1.5594305,-0.5977474,-0.13051325,-0.19039561,0.6784045,-0.95937574,-0.6921043,0.68949586,0.46868405,-0.3045647,-1.507345,-1.3790284,-0.20521167
9,0.5309571,0.24982205,-1.2842796,-0.49383426,-0.4205471,0.029649246,0.97319794,0.30033726,-0.87138605,0.3467581,0.5745842,-0.5224595,0.3913972,0.08529367,0.13551217,-0.99582237,-0.34872308,0.5629216,1.1195545,0.06128553,-0.10933702,1.4164972,-0.24838248,-1.5072837,-0.32376814,0.44516546,0.28717974,-1.4886949,1.1837498,-1.6871675,0.28830984,0.3396044,-1.1187638,-1.5514387,1.5869665,-0.9757115,-1.5147846,0.042461187,0.44610274,-1.6472347,0.3703455,-0.74244714,-0.44678575,-0.07572713,-0.19181539,-1.103957,-0.7937947,0.6775692,-0.059817318,-1.0932125,1.4599853,0.0316723,0.22599745,1.7675898,0.45113897,-0.05656448,0.34628546,-1.345778,-0.5710144,0.34764078,-0.44046912,0.7550956,-0.36513728,1.3824342,-0.18849766,0.98772043,1.5892044,-1.5422488,0.037119955,1.2875378,-1.4123113,0.67267925,1.490236,0.758225,-1.2808928,1.3400791,0.054222878,-1.3877264,-0.7155974,1.2186545,1.06193,0.7081989,-1.4182434,0.6127758,-0.70019907,1.588526,0.110805444,1.0114853,-0.87032706,-1.5460895,-0.42735454,-1.1783633,-0.09087861,0.60415334,0.4710168,1.3862484,-0.8755395,-1.072291,-1.0419912,-0.059222702,1.0520892,-0.1308322,1.1287189,0.97225267,-0.4484672,-1.4829042,-0.84244853,1.3868663,0.32100815,-0.9704583,-1.1970521,-0.37838033,1.1106151,0.31145048,-1.5025277,0.33839965,-1.2095479,0.0013434048,0.58877444,-0.7328584,0.10287426,-0.24266146,1.5254353,0.7711602,-0.25579655,-1.086443,-0.22174548,1.2808328,0.50258905,-0.3026489,-0.90077055,1.304457,-0.16224465,1.0330389,-0.2347577,-1.24723,-1.2691414,1.5068378,0.91832304,0.16253217,-1.400441,0.45236364,-1.4206805,-0.5091656,-1.2107583,0.53851223,-0.6395759,1.7527406,0.43077898,0.21811375,0.68443274,-0.661961,-0.30236578,-1.2444043,-0.7730744,-1.427425,-1.5634769,1.3969812,0.1421975,1.0807892,1.1552507,-1.6721689,-0.5096444,0.47570258,-0.43567944,0.4520447,-1.4506533,1.4569137,0.50963736,-0.5304294,-0.89921355,-1.5299888,0.3282843,-1.2413981,0.57999694,-1.1216037,-0.16862857,-0.41111824,0.0626576,-0.50691694,-1.3302757,0.6860576,-0.5247163,0.7828317,1.3542044,0.8231531,-0.16830546,-0.96758276,-1.1962112,-1.7144264,-1.5850228,-1.2337725,1.2848238,1.6960858,1.6964647,0.3711375,-0.7795769,1.4157563,-1.0563099,0.68712085,-0.8424538,1.5628221
