,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200
0,-0.10059589,0.09085783,1.0,1.0,0.08560558,-0.06909932,-0.08474518,0.0,0.0,-0.24656947,0.6185212,-0.6469309,-0.6305994,-1.0265107,-1.2353419,0.26424754,0.6013933,-0.14285715,1.0850478,-0.33833754,-0.1477366,0.069303736,-0.13094804,-0.14754164,-0.058559153,-0.1256712,-0.10488845,0.10757748,-0.14229435,-0.14464982,0.11376997,-0.078976,-0.14272515,-0.1428337,-0.3466186,-0.17964625,-0.14200574,-0.18728174,-0.3246416,-0.14795223,-0.10339033,-0.14040262,1.0156637,1.275473,-0.29492816,-0.27424365,-0.25247264,-0.14347272,0.10050378,-0.10050378,-1.1711024,0.12155624,-0.36572963,-0.10050378,-0.21905218,-0.11162152,0.027889648,-0.67889863,-0.11940331,-0.23519439,-0.102351196,2.5836368,-0.20733143,-0.20894119,-0.080480896,-0.101087585,-0.017069986,0.05874898,-0.10075973,-0.17932986,-0.1391834,-0.12246083,-0.14281945,-0.3388238,-0.13809857,-0.10321915,-0.14771207,-0.14476797,-0.14883274,-0.13986023,-0.14190623,-0.29912555,-0.14047681,-0.14032541,9.949696,-0.11050654,-0.97392035,-0.18023194,-0.8724711,-0.3740717,-0.5866875,-0.6714896,-1.334825,-0.5025189,2.648383,-0.34808797,0.93909496,-1.8400812,1.5216075,-0.36927447,-0.68694985,-0.33980122,-0.2911199,-0.6263001,3.5842779,3.1672032,-0.57735026,-0.4364358,0.71774054,0.592749,-1.779513,5.6862407,2.1343749,-1.0264024,1.3620499,-1.0101181,1.6583668,-0.012601815,0.30072528,0.8735259,-0.24149331,-0.8407968,-1.1397921,-1.4292524,0.84991,-0.2045067,-1.4286748,1.2784176,-0.56782883,-0.4290791,-0.69907105,0.50823206,0.23181757,0.26460695,-0.61827695,-0.65602255,-0.9475447,-0.43105328,-1.4153146,-1.3524078,1.4993298,1.4187707,-0.9062998,-1.5351396,-1.0881335,0.62675333,0.91489154,-1.5617173,0.2584968,-1.8408211,0.07582903,0.45166218,1.750869,-0.8877999,1.1579801,1.3298961,1.5537194,-1.7666316,-0.04318024,1.6141618,-0.22060157,1.0503616,0.12304459,0.82422614,0.10111853,-1.5765084,-1.3438319,-1.4610375,-0.7519393,1.5179309,0.53348845,1.2145596,0.20400624,0.32370302,0.9591426,1.575021,1.3834977,1.172088,-1.168048,-0.40249225,-1.7762338,0.28792298,1.1083698,-1.4944099,-1.0782565,-0.38906437,-0.72981155,1.0019838,-0.5001957,0.42946443,0.18242976,0.09117414,1.6378974,1.7323269,-1.5595628,1.2154477,-0.6121505,-1.3641064,-0.3053069,-0.30935222,1.7195007,-0.50844014
1,0.34656435,0.20299597,0.0,0.0,1.2192928,-0.06909932,0.33892757,1.0,1.6499418,-0.04107642,-0.0017512619,-0.5911741,0.8708277,1.4887803,0.75186807,-0.48059234,0.6013933,-0.14285715,1.0850478,-0.33833754,-0.1477366,0.069303736,-0.13094804,-0.14754164,-0.058559153,-0.1256712,-0.10488845,0.10757748,-0.14229435,-0.14464982,0.11376997,-0.078976,-0.14272515,-0.1428337,-0.3466186,-0.17964625,-0.14200574,-0.18728174,-0.3246416,-0.14795223,-0.10339033,-0.14040262,0.24018331,0.13899806,-0.29492816,-0.27424365,-0.25247264,-0.14347272,0.10050378,-0.10050378,0.15236138,-0.64228886,-0.36572963,-0.10050378,-0.21905218,-0.11162152,0.027889648,1.5525881,-0.11940331,-0.23519439,-0.102351196,-0.39430574,-0.20733143,-0.20894119,-0.080480896,-0.101087585,-0.017069986,0.05874898,-0.10075973,-0.17932986,-0.1391834,-0.12246083,-0.14281945,-0.3388238,-0.13809857,9.948089,-0.14771207,-0.14476797,-0.14883274,-0.13986023,-0.14190623,-0.29912555,-0.14047681,-0.14032541,-0.10118258,-0.11050654,-0.03559446,-0.21952966,-0.8724711,-1.0073444,0.62438375,2.1484873,0.5839956,-0.5025189,-0.34607497,-0.34808797,-0.7414573,-0.18833785,-0.59673214,-0.36927447,-0.68694985,-0.33980122,-0.2911199,-0.6263001,-0.3107168,-0.26236692,-0.57735026,-0.4364358,-1.3932611,-1.6870548,0.56195146,-0.17586312,-0.4685213,-1.786096,1.3209008,-1.3436496,0.0026405633,1.2359265,-0.037287354,-0.21562514,0.8728523,-1.821989,0.19697946,-0.22952841,1.7266775,1.0902984,-1.788029,-1.056321,0.074781954,0.5353614,-0.57595515,-0.4270116,1.4010249,1.4490675,-0.16784237,1.5283389,-0.681592,-1.2976482,-0.1269418,0.47787398,1.2566988,1.4360445,1.0773671,0.90184283,0.7039537,0.63267475,0.87097573,1.6212491,-0.43232217,-1.5491036,-0.8915582,-1.0992211,-0.3880872,0.9973327,-1.4820012,-0.131812,1.1627257,-0.839829,-1.4474635,-1.0438657,-1.3128749,1.0303006,-1.2421347,-1.0306151,1.2406236,1.2046229,0.43764853,1.1771142,-1.4179442,1.5182062,0.31940776,-0.6278124,1.1354563,0.4062482,1.5711235,-1.2692087,0.20706454,-0.062484268,0.740943,-0.8065034,-1.7905743,0.27970678,-0.4235447,1.2448851,-0.1522302,-0.2100129,0.6021518,0.12137266,1.5633777,0.93344414,0.19466422,-1.2474306,0.44518888,1.0041267,0.79921055,1.7450384,-1.0827811,-0.24853423,-0.17091572,-1.0830892,-0.4023987,-0.09695301
2,0.36053813,1.415278,1.0,1.0,0.84139705,0.21368082,0.33892757,0.0,0.0,-1.5012889,-0.7510136,-0.033606447,-0.6305994,-1.0265107,-1.2353419,-0.13767889,-1.2210106,-0.14285715,-1.1550598,-0.33833754,-0.1477366,0.069303736,-0.13094804,-0.14754164,-0.058559153,-0.1256712,-0.10488845,0.10757748,-0.14229435,-0.14464982,0.11376997,-0.078976,-0.14272515,-0.1428337,2.986353,-0.17964625,-0.14200574,-0.18728174,-0.3246416,-0.14795223,-0.10339033,-0.14040262,0.23358484,-0.016294397,-0.29492816,-0.27424365,-0.25247264,-0.14347272,0.10050378,-0.10050378,-1.1711024,1.6492465,1.4603329,-0.10050378,-0.21905218,-0.11162152,0.027889648,-0.67889863,-0.11940331,4.355464,-0.102351196,-0.39430574,-0.20733143,-0.20894119,-0.080480896,-0.101087585,-0.017069986,0.05874898,-0.10075973,-0.17932986,-0.1391834,-0.12246083,-0.14281945,-0.3388238,-0.13809857,-0.10321915,-0.14771207,-0.14476797,-0.14883274,-0.13986023,-0.14190623,-0.29912555,-0.14047681,-0.14032541,-0.10118258,-0.11050654,1.3974925,-0.18023194,-0.8724711,1.180325,-0.90601707,-0.8659708,-1.334825,-0.5025189,2.648383,-0.34808797,0.93909496,0.8790777,1.5216075,-0.36927447,-0.68694985,2.6693397,-0.2911199,-0.6263001,-0.3107168,-0.26236692,-0.57735026,-0.4364358,0.71774054,0.592749,0.56195146,-0.17586312,-0.4685213,0.13365614,-0.8978107,-1.2625312,-0.6609444,-1.2278502,-0.7238565,0.5777013,0.086116366,1.6455592,0.15633057,0.26881427,0.50840026,0.8220111,0.1468817,0.29151496,0.62461513,-0.6276733,0.9483815,0.4240874,-0.69431067,-0.92185235,-1.2359943,-0.43169832,-1.7826774,-1.0042001,-1.6975311,-0.9364699,-0.60597193,0.12606771,1.0946975,0.45628095,-1.247224,1.2985655,0.7385416,0.026844384,0.48197696,-0.021147389,-1.1420826,0.45785218,1.7596148,0.86058646,-1.0503552,-1.2781898,1.5808096,1.4446315,0.9240323,0.8198853,-1.111714,1.0443374,-1.162195,-1.1614654,-0.16794407,-1.678788,1.3451102,-1.2978818,0.94594103,0.22479074,1.021208,0.4381569,1.6225272,-0.55309564,-0.14457403,-0.46770296,0.7810171,-0.6669366,1.2421305,-1.3349825,-1.1207527,-0.13019025,-1.270985,-0.9997904,1.155319,-0.36564705,-0.817586,1.1697689,0.25623485,0.4121388,1.657497,0.5601666,-0.7601692,-1.7555764,0.04343078,0.73502076,1.0841753,-1.0555851,0.52816397,1.41886,-0.784013,-0.8140035
3,0.7098821,0.60049635,0.0,0.0,0.36902738,0.77924114,0.7626003,0.0,2.0,0.16728337,0.11944566,0.3845693,2.3722546,-0.6072956,0.75186807,0.49625862,0.6013933,-0.14285715,1.0850478,3.9386284,-0.1477366,0.069303736,-0.13094804,-0.14754164,-0.058559153,-0.1256712,-0.10488845,0.10757748,-0.14229435,-0.14464982,0.11376997,-0.078976,-0.14272515,-0.1428337,2.986353,-0.17964625,-0.14200574,-0.18728174,-0.3246416,-0.14795223,-0.10339033,-0.14040262,0.30046755,0.34141728,3.3911648,-0.27424365,-0.25247264,-0.14347272,0.10050378,-0.10050378,1.4758252,0.88540137,-0.36572963,-0.10050378,-0.21905218,-0.11162152,0.027889648,1.5525881,-0.11940331,-0.23519439,-0.102351196,2.5836368,-0.20733143,-0.20894119,-0.080480896,-0.101087585,-0.017069986,0.05874898,-0.10075973,-0.17932986,-0.1391834,-0.12246083,-0.14281945,-0.3388238,-0.13809857,-0.10321915,-0.14771207,6.999354,-0.14883274,-0.13986023,-0.14190623,-0.29912555,-0.14047681,-0.14032541,-0.10118258,-0.11050654,-0.073302865,-0.018881146,-0.45745954,-0.14379068,-0.5740322,0.30091625,-0.9497371,1.5075567,-0.34607497,-0.34808797,-1.6606715,0.8790777,-1.042045,-0.36927447,2.2997887,-0.33980122,-0.2911199,-0.6263001,-0.3107168,-0.26236692,-0.57735026,-0.4364358,0.71774054,-1.6870548,0.56195146,-0.17586312,-0.4685213,-0.2883551,0.2440527,1.7225631,0.41579217,1.3668654,0.45566997,-0.12635416,-1.0824898,-0.6513127,0.90727437,-1.078134,-1.2843045,-1.02529,0.32974777,-0.44364136,-0.8113632,-0.7081173,-1.4331149,-0.16066542,1.0236886,-0.25155982,-0.042032566,-1.5710547,-0.8594681,-1.3244364,-1.7400602,1.2271669,0.6456719,0.9640914,-1.095651,-0.40425983,1.4242313,-0.2963545,1.4416606,1.5778197,-1.6757942,-0.2954227,0.3130533,-0.62709326,-0.34533653,-0.55700886,-0.8741492,-1.6038271,0.8701861,1.7573749,-1.5341197,1.1742358,0.2852473,-1.6251402,-1.6102176,0.033298086,-1.2134709,-0.6263428,-0.6766956,1.3606082,0.007997326,-0.78306735,1.612773,1.7523062,0.7540634,-1.3863989,1.2325257,-0.11036011,0.93485624,0.8096881,0.7439987,0.9734536,0.76612043,-0.03939964,0.002228755,-1.3438205,-0.45494217,1.3640522,-0.81213534,0.850216,1.0396842,-1.055326,1.1938237,0.3566474,1.7665172,-0.34154513,0.8024554,1.2168556,-0.49020508,-0.94213647,-0.35570848,0.2656787,-0.78685886,1.3744036
4,0.19743381,0.2449948,1.0,0.6721861,-1.2370294,0.77924114,0.33892757,0.0,2.0,-0.24656947,0.6185212,2.4196913,-0.6305994,-1.0265107,-1.2353419,1.0082078,0.6013933,-0.14285715,0.44501707,-0.33833754,-0.1477366,0.069303736,-0.13094804,-0.14754164,-0.058559153,-0.1256712,-0.10488845,0.10757748,-0.14229435,-0.14464982,0.11376997,-0.078976,-0.14272515,-0.1428337,-0.3466186,-0.17964625,-0.14200574,-0.18728174,-0.3246416,-0.14795223,-0.10339033,-0.14040262,0.101985954,0.22243363,-0.29492816,-0.27424365,-0.25247264,-0.14347272,0.10050378,-0.10050378,-1.1711024,2.4130917,-0.36572963,-0.10050378,0.061172914,0.004545073,4.7732697,-0.1678334,0.20570756,-0.23519439,-0.102351196,-0.39430574,-0.20733143,-0.20894119,-0.080480896,-0.101087585,-0.017069986,0.05874898,-0.10075973,-0.17932986,-0.1391834,-0.12246083,-0.14281945,-0.3388238,-0.13809857,-0.10321915,-0.14771207,-0.14476797,-0.14883274,-0.13986023,-0.14190623,-0.29912555,-0.14047681,-0.14032541,-0.10118258,-0.11050654,-0.97392035,-0.18023194,-0.8724711,-0.3740717,-0.3409951,-0.574249,0.20552674,1.5075567,2.648383,-0.34808797,-1.6606715,0.8790777,1.5216075,-0.36927447,0.8064194,-0.33980122,-0.2911199,1.1134224,3.5842779,-0.26236692,-0.57735026,-0.4364358,0.71774054,0.592749,0.56195146,-0.17586312,-0.4685213,-0.76112574,0.96383196,-0.61129504,0.10035598,1.319504,-0.13952576,0.39011297,-0.93528634,-0.23104009,-1.5784644,0.163735,-0.17822257,-0.716278,-1.378508,-0.5477414,-0.49300668,-0.6017766,1.0557652,1.4365414,1.378994,-0.33272317,1.3903543,0.41996482,1.6300179,-1.150667,0.648042,0.20964752,-0.037463766,0.7110816,1.2934626,1.1405976,-0.5933501,-0.47896564,0.25081444,-1.4950117,1.0614128,0.25314045,-0.17657378,0.44550666,1.6467699,0.97646046,0.63756865,-0.973253,1.7285099,-0.405208,1.4636716,-0.112942785,0.7310431,1.298539,-1.6480683,-0.7102468,-0.96071666,-1.5143685,-0.4394219,1.1793028,-0.7468208,-1.365797,1.6254607,0.055872995,-0.13428065,0.5037798,0.9773074,-0.85459137,-1.1355528,-0.23199865,1.4090842,1.5163014,-1.2689743,0.84095615,-0.13537014,1.1985687,-0.7123885,-0.7098637,-1.4919393,1.2526602,-1.1304486,-0.780183,-0.73906934,1.3082474,-1.4128194,-0.534403,0.5230116,-1.1790799,0.24264441,-0.25190094,-1.5357774,0.07910607,-0.46798974,-1.1269957
5,-0.4639136,0.22274332,1.0,0.0,-0.57571197,-0.06909932,-0.50841796,0.0,2.0,-0.6648093,0.6185212,-0.5632957,-0.6305994,1.4887803,0.75186807,0.2198201,1.5125952,-0.14285715,0.9404573,-0.33833754,-0.1477366,0.069303736,-0.13094804,-0.14754164,-0.058559153,-0.1256712,-0.10488845,0.10757748,-0.14229435,-0.14464982,0.11376997,-0.078976,-0.14272515,-0.1428337,-0.3466186,-0.17964625,-0.14200574,-0.18728174,-0.3246416,-0.14795223,-0.10339033,-0.14040262,0.27806824,0.030433372,-0.29492816,-0.27424365,-0.25247264,-0.14347272,0.10050378,-0.10050378,0.15236138,0.12155624,-0.36572963,-0.10050378,-0.21905218,-0.11162152,0.027889648,1.5525881,-0.11940331,-0.23519439,-0.102351196,-0.39430574,-0.20733143,-0.20894119,-0.080480896,-0.101087585,-0.017069986,0.05874898,-0.10075973,-0.17932986,-0.1391834,-0.12246083,-0.14281945,-0.3388238,-0.13809857,-0.10321915,-0.14771207,-0.14476797,-0.14883274,-0.13986023,-0.14190623,-0.29912555,-0.14047681,-0.14032541,-0.10118258,-0.11050654,1.3974925,-0.18023194,1.6175983,0.3167713,0.17320502,-0.18528667,0.5906147,3.5176322,2.648383,-0.34808797,-1.6606715,0.8790777,-1.042045,-0.36927447,-0.68694985,2.6693397,-0.2911199,2.853145,3.5842779,-0.26236692,-0.57735026,-0.4364358,0.71774054,-1.6870548,-1.779513,-0.17586312,-0.4685213,1.7030996,1.2435519,-0.16593169,-0.58812636,-1.6504465,0.70605785,-0.83058536,-0.26807418,0.3278574,0.82312804,-1.1483915,-1.4499891,0.99201065,-1.7966528,-0.32440054,-1.4256754,-1.1187229,-1.0642345,1.2427505,0.790026,-0.92504966,0.39884934,0.090901576,-1.5110058,-0.3239662,0.62739533,-1.4885811,-0.976799,-0.69648045,-1.5352985,0.9494501,-0.41263983,0.41481236,0.0011914857,0.9689376,0.53347963,-0.4178735,-1.2983143,-0.34837043,-1.6202153,-1.506577,1.2551,0.101044364,1.0762852,0.839837,0.1584639,0.7004006,1.6755579,1.5041105,-0.93665695,1.2674785,0.053060584,-0.93826604,-0.19731037,0.090682946,1.4669498,1.3096055,0.27996647,1.1805218,0.07138136,-1.529807,-0.35933524,0.78508705,0.8228559,0.6566384,-1.4830885,0.68656766,1.3169248,-1.0003719,0.8139202,-1.0171891,0.89855075,1.5312728,-0.85350776,1.1145732,-0.6792123,1.2412548,-1.5392569,0.70853543,-0.9371319,-0.42149827,-1.3910633,1.087865,-1.147155,-0.4925871,-0.3644971,-1.2894243,-0.9060471,0.9456723
6,-0.14251716,-0.53704363,1.0,0.0,-0.29229015,-0.06909932,-0.08474518,4.0,2.0,-0.30074728,-0.36674908,-0.2845119,-0.6305994,0.23113476,0.75186807,-0.024338173,-1.2210106,-0.14285715,-1.1550598,-0.33833754,-0.1477366,0.069303736,-0.13094804,-0.14754164,-0.058559153,-0.1256712,-0.10488845,0.10757748,-0.14229435,-0.14464982,0.11376997,-0.078976,-0.14272515,-0.1428337,-0.3466186,-0.17964625,-0.14200574,-0.18728174,3.1704278,-0.14795223,-0.10339033,-0.14040262,-0.112916775,-0.0368387,-0.29492816,-0.27424365,-0.25247264,-0.14347272,0.10050378,-0.10050378,-1.1711024,0.88540137,-0.36572963,-0.10050378,-0.21905218,-0.11162152,0.027889648,1.5525881,-0.11940331,-0.23519439,-0.102351196,-0.39430574,4.897795,-0.20894119,-0.080480896,-0.101087585,-0.017069986,0.05874898,-0.10075973,5.6845994,-0.1391834,-0.12246083,-0.14281945,-0.3388238,-0.13809857,-0.10321915,-0.14771207,-0.14476797,-0.14883274,-0.13986023,-0.14190623,-0.29912555,-0.14047681,-0.14032541,-0.10118258,-0.11050654,0.24494503,-0.0850686,-0.8724711,-1.0073444,0.017490797,-0.37976784,-1.334825,-0.5025189,-0.34607497,-0.34808797,0.33759928,0.18748778,0.5082983,-0.36927447,-0.68694985,-0.33980122,-0.2911199,-0.6263001,-0.3107168,-0.26236692,-0.57735026,-0.4364358,-1.3932611,0.592749,0.56195146,-0.17586312,2.1343749,0.26155835,1.0005133,-1.1837193,0.25357413,-1.423899,-1.4879581,-0.2655479,0.050198764,0.64955044,0.18194094,-1.4426432,-0.4350295,0.8620609,1.2996552,1.3643951,0.21593411,1.31232,-0.8520636,0.466934,0.8580532,-1.7387896,-1.2015319,-0.52617097,-1.0767255,-0.9719339,-0.042332377,0.39946485,-0.1384842,0.50559366,-0.46368375,-0.40198958,-1.3418275,-1.0462016,-0.14018081,1.1263009,-0.094150886,1.3179048,1.5540773,0.93979865,1.0403961,-1.7238194,0.7680963,-1.5750505,0.9547176,-0.2714485,-1.3774724,1.4307078,-0.9644021,1.5443968,0.9852937,1.3135984,0.5886858,-0.42774737,0.8264581,-0.31473878,0.9298802,1.4801382,-1.491511,-1.1186,-0.28292874,-1.761817,-0.62619615,-0.1731415,-1.2342336,-1.5736473,0.68219256,-0.82293856,0.3998918,-0.21275012,1.4702667,-0.6909058,0.12635812,-0.66006154,1.6841073,-0.698437,0.59794307,-0.5256153,0.89131314,0.22195265,1.0463479,0.54723704,-0.2984377,-0.17249131,-1.3120924,-1.3066437,-1.0651956,1.3824567,0.6843367,1.5536541
7,0.58411825,0.32740024,1.0,1.0,-0.481238,0.77924114,0.7626003,4.0,2.0,-0.12514116,0.00974073,-0.5911741,-0.6305994,1.4887803,0.75186807,1.4313804,0.6013933,-0.14285715,1.0850478,-0.33833754,-0.1477366,0.069303736,-0.13094804,-0.14754164,-0.058559153,-0.1256712,-0.10488845,0.10757748,-0.14229435,-0.14464982,0.11376997,-0.078976,-0.14272515,-0.1428337,-0.3466186,-0.17964625,-0.14200574,-0.18728174,-0.3246416,-0.14795223,-0.10339033,-0.14040262,2.9708612,2.5672405,-0.29492816,-0.27424365,-0.25247264,-0.14347272,0.10050378,-0.10050378,0.15236138,-0.64228886,-0.36572963,-0.10050378,-0.21905218,-0.11162152,0.027889648,-0.67889863,-0.11940331,-0.23519439,-0.102351196,2.5836368,-0.20733143,-0.20894119,-0.080480896,-0.101087585,-0.017069986,0.05874898,-0.10075973,-0.17932986,-0.1391834,-0.12246083,-0.14281945,-0.3388238,-0.13809857,-0.10321915,-0.14771207,-0.14476797,-0.14883274,-0.13986023,-0.14190623,-0.29912555,-0.14047681,-0.14032541,-0.10118258,-0.11050654,-0.17201968,-0.23415172,-0.0016870723,-0.10874,-1.1070724,-0.18528667,-0.1795612,1.5075567,5.642841,3.143842,0.93909496,0.8790777,1.5216075,2.7080128,0.8064194,5.67848,3.6197457,1.1134224,-0.3107168,-0.26236692,-0.57735026,2.291288,0.71774054,0.592749,0.56195146,-0.17586312,-0.4685213,0.39678088,-1.0934461,-1.6876245,0.21075581,1.660709,0.93473536,-1.5039214,-0.8518673,-1.420852,-0.8525809,0.7364989,-0.61717004,0.04050125,-0.9777413,-0.31402108,-0.19401078,0.136087,-1.4423054,1.7775493,-1.2880845,-1.5641949,1.4271314,-0.36978585,-1.8117293,-0.70252377,0.8215179,0.7808377,0.40910286,0.9472986,0.06387839,1.4318386,-0.857347,-0.07720665,1.0946369,0.18100654,-0.88577837,-0.651158,1.2860023,0.040874287,-0.44939488,0.3602182,-1.1693718,0.88135487,-0.44041768,0.053254303,-0.46790323,1.1677231,-0.9945823,1.2369622,0.5417769,-1.0749989,-1.0336105,-0.7554562,-0.078561775,1.2738478,1.1037341,-0.77336264,-0.016091237,-1.5596073,0.95725656,0.59611297,0.36440274,0.4512923,-1.5889648,0.11692857,0.5649005,0.47317177,1.0471612,-0.547317,-0.85118,-0.2346482,0.38782197,1.2478247,0.98046106,0.0899438,-0.3730215,0.7905484,-0.275524,-0.48111737,-1.6378603,0.10467439,-1.2180896,1.6491323,-1.5478436,-1.5674586,0.13898268,1.6000953,-0.7278845,-1.4303228
8,-0.11456965,-0.03316643,1.0,1.0,-0.008868357,-0.06909932,-0.08474518,4.0,0.0,0.31108359,1.6456723,0.80274504,-0.6305994,-1.0265107,-1.2353419,0.09880617,-1.2210106,-0.14285715,-1.1550598,-0.33833754,-0.1477366,0.069303736,-0.13094804,-0.14754164,-0.058559153,-0.1256712,-0.10488845,0.10757748,-0.14229435,-0.14464982,0.11376997,-0.078976,-0.14272515,-0.1428337,-0.3466186,-0.17964625,-0.14200574,-0.18728174,-0.3246416,-0.14795223,-0.10339033,-0.14040262,-0.5484941,-0.016294397,-0.29492816,-0.27424365,-0.25247264,-0.14347272,0.10050378,-0.10050378,0.15236138,-0.64228886,-0.36572963,-0.10050378,-0.21905218,-0.11162152,0.027889648,-0.67889863,-0.11940331,-0.23519439,-0.102351196,2.5836368,-0.20733143,-0.20894119,-0.080480896,-0.101087585,-0.017069986,0.05874898,-0.10075973,-0.17932986,-0.1391834,-0.12246083,-0.14281945,2.9979506,-0.13809857,-0.10321915,-0.14771207,-0.14476797,-0.14883274,-0.13986023,-0.14190623,-0.29912555,-0.14047681,-0.14032541,-0.10118258,-0.11050654,-0.97392035,-0.18023194,-0.8724711,-0.54678243,-0.6093414,-1.060452,1.7458785,-0.5025189,-0.34607497,-0.34808797,0.93909496,-1.8400812,-1.042045,-0.36927447,0.8064194,-0.33980122,-0.2911199,-0.6263001,-0.3107168,-0.26236692,1.7320508,-0.4364358,0.71774054,-1.6870548,-1.779513,-0.17586312,2.1343749,-1.5028046,-1.8747014,0.4166614,-0.46782953,1.132429,-1.0583762,0.13022943,-2.0747263,-0.7481455,1.3601686,0.4672862,-0.12638678,1.5568666,-0.77057296,-1.4559728,0.08496801,0.15519512,1.0240728,-0.39774463,0.026054496,1.2311814,0.5472257,-0.6954463,1.4045854,0.42611387,0.92123777,1.0162251,0.49980503,-0.8978911,0.6789261,-1.2330898,0.56137127,0.021612922,-0.7308539,-0.15869427,-0.732594,-0.16291209,-0.23777114,-0.09559003,-1.5458479,-1.4027023,1.340795,-1.0835478,-0.6302742,0.68604326,-0.3354925,-0.4622541,-1.4768237,-0.22689055,0.21112107,-0.23726878,-0.25600958,-1.0643846,-0.27855137,-1.6601678,-0.6408442,-1.7201215,-1.1167843,-1.478031,1.50407,-0.044412717,-1.0829799,0.494382,-0.922661,0.55447376,0.2710865,-0.28368747,1.0701886,0.82388645,1.6433109,-0.7722966,-0.41065714,0.63609654,0.5671911,-0.71798515,-1.3709639,1.0661523,-0.39304945,-2.0022516,0.75970775,-0.55619186,0.711222,-1.3395557,-0.9397241,1.42405,0.45617962,-0.73265857,1.3485904,0.6572759
9,-0.1285434,-0.2716778,1.0,1.0,-0.57571197,0.21368082,-0.08474518,4.0,0.0,-0.10715621,-1.435781,-0.9535931,-0.6305994,-1.0265107,-1.2353419,0.21850586,-1.2210106,-0.14285715,-1.1550598,-0.33833754,-0.1477366,0.069303736,-0.13094804,-0.14754164,-0.058559153,-0.1256712,-0.10488845,0.10757748,-0.14229435,-0.14464982,0.11376997,-0.078976,-0.14272515,-0.1428337,-0.3466186,-0.17964625,-0.14200574,-0.18728174,-0.3246416,-0.14795223,-0.10339033,-0.14040262,0.14086881,0.06454316,-0.29492816,-0.27424365,-0.25247264,-0.14347272,0.10050378,-0.10050378,0.15236138,-0.64228886,-0.36572963,-0.10050378,-0.21905218,-0.11162152,0.027889648,-0.67889863,-0.11940331,-0.23519439,-0.102351196,-0.39430574,-0.20733143,-0.20894119,-0.080480896,-0.101087585,-0.017069986,0.05874898,-0.10075973,-0.17932986,-0.1391834,-0.12246083,-0.14281945,-0.3388238,-0.13809857,-0.10321915,-0.14771207,-0.14476797,-0.14883274,-0.13986023,-0.14190623,-0.29912555,-0.14047681,-0.14032541,-0.10118258,-0.11050654,-0.97392035,-0.18023194,0.07099058,0.088769965,-0.12897049,-0.28252727,-0.9497371,-0.5025189,-0.34607497,-0.34808797,-1.6606715,0.8790777,-1.042045,-0.36927447,-0.68694985,-0.33980122,-0.2911199,1.1134224,-0.3107168,-0.26236692,-0.57735026,-0.4364358,0.71774054,0.592749,0.56195146,-0.17586312,-0.4685213,-1.1813711,-0.8768783,1.34047,1.726254,0.7260471,0.023104891,1.3675613,0.31922087,1.4407157,0.65777016,-0.9348959,1.3401545,0.13272065,-0.7969987,-0.9134398,-0.5789443,0.002586405,-1.5535598,-0.4115562,-0.87928903,-1.4188048,0.1337895,-0.4030715,1.2191834,0.27387708,-1.4096972,-1.6782315,0.14747834,0.78534424,-0.1499495,0.15772675,1.0454686,0.45985365,0.29417676,1.3511832,-1.1405907,-1.2276648,1.5815574,1.0726022,1.7203897,0.024420965,-0.1844722,1.61861,0.47653583,-0.30053475,-0.16466255,-0.1929782,-1.3990046,-1.1629539,0.4434594,0.5625943,1.4803089,0.36494878,-1.1293341,0.4342423,-1.0647434,0.051992215,-0.981137,-0.72166973,1.2965764,0.046126604,0.73549706,-1.1143186,-0.27174878,-0.3444704,1.8507545,0.88655144,0.8027325,0.8064684,-1.4802524,0.889863,0.7584689,0.73374015,-0.101164185,-0.71592927,-0.018352484,-0.35212055,-1.2626128,0.77091146,0.65130067,-1.229647,0.27620387,1.5907855,0.075909704,-1.5563253,1.6342422,0.25039148,0.0073947757,1.7412153
