,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0,0.13535336,0.15869182,1.0,0.0,1.6190894,0.6989908,0.6591952,0.0,0.0,-1.7111205,-0.88387144,-0.24669804,0.95281094,-1.0625633,1.1823877,1.6317215,-1.1720564,0.322966,-1.6913782,-0.42643535,-1.6222527,1.6410353,-0.20132174,1.5886198,0.98802966,1.3005298,-1.1654582,-1.4888246,0.37576157,-1.1761135,0.82172847,-0.28231844,0.058751337,1.4379438,0.10317704,-1.3586477,-1.1838312,0.13411167,0.081899144,0.5125313,-0.32913324,0.48619536,-0.3092637,0.4367664,0.981659,-1.1273744,-0.3987747,-0.027177233,0.64330894,-0.8551726,0.21076678,0.4219404,1.3404009,-0.5013082,0.47120878,-1.0095251,-0.0013199414,-1.0796323,1.4129281,-0.2188923,1.1151438,-0.28698403,1.3794081,-0.38942248,-0.5629764,0.25742462,1.2368624,1.2876587,0.35290512,-1.3812845,0.36921078,-0.85833234,0.7989964,1.3486022,0.05662649,0.3537113,-1.516658,0.054520056,-1.2515873,0.42921847,-0.49842,0.8734047,-1.6098081,-1.3115746,0.68765795,0.019193528,0.24662453,1.2261454,-0.03465887,1.1501676,0.0192608,1.4421741,0.58853215,-1.233712,-0.47316274,1.3109938,-0.49363074,-1.0563339,-0.1924517,-0.31997806,0.43114364,-0.2340502
1,0.59077203,0.8215415,0.0,1.0,-0.28735775,1.3319397,1.6130236,0.0,0.0,0.7696375,0.5698839,1.1279105,-0.5470568,-1.5531497,0.30527744,-1.2839636,0.8565219,1.0084243,-0.29385838,1.5522105,-1.1639565,1.5914035,-0.10191575,0.954883,0.8745514,1.711594,1.6259139,-1.6087372,-1.6603826,0.16767012,-1.5775408,0.5678061,0.08300885,0.52029467,-0.17420624,-0.786717,1.5147443,0.7599065,-1.7067827,-1.3895571,0.47430086,-0.7484259,-0.2723825,0.98671913,-0.4401848,1.395583,0.78698754,0.14490445,-1.1061205,-0.32090127,0.94509006,1.6901562,-1.4373378,-1.2857926,0.8296585,1.1680951,-1.4606074,1.1223453,0.9646254,0.65514266,-0.5981045,-0.19338818,-0.48803195,1.1206726,-0.57283974,-0.5941677,1.5462917,1.4905685,1.6343554,1.1168689,-1.3971099,-1.3914846,0.19172496,1.2152818,1.3408253,0.46755093,1.5135043,-1.2804497,-0.9272145,-0.5536242,-0.8726428,-0.6865351,-1.3644853,-0.38737422,-1.5777273,0.0967273,1.5313538,-0.17938559,0.4466465,0.46621358,1.5016304,0.7835118,1.1365303,-0.5920436,1.3888559,-1.0757662,-0.28774258,0.7936809,-0.6851178,1.3441573,1.256094,-1.1841406
2,0.4573211,-0.0023743676,0.0,0.0,1.2266659,-0.5681869,-0.37108734,0.0,0.0,-0.1726664,-0.94624656,0.20430647,-1.049475,0.046172425,1.480376,-0.4431745,1.5195259,-1.5555485,0.19633694,0.33070624,1.622079,1.53001,0.051942527,0.94293123,1.6305528,0.83628225,1.5585047,1.4832209,-0.038505234,0.5851571,-1.0768619,-0.1847592,1.2318316,0.21783622,-0.73303324,-1.3078325,-0.9327704,-1.3023329,-0.9214847,-0.38511628,-1.5807102,1.1308811,-0.2854933,0.23946121,0.53001344,-1.2832172,-1.4057211,-1.2326101,1.6796005,-1.3663224,-0.25523025,1.2889812,0.2885004,-1.6889317,1.3495882,-0.35623643,-1.1789069,-0.55299205,0.30882946,-1.5622544,0.46208212,0.3647469,-0.9651578,-0.31596112,-1.0389948,-1.6221135,0.3361876,-0.14250284,1.1993418,-0.9859616,-0.17301436,0.5975114,-1.499347,-0.5205485,0.6520467,-0.87237716,-0.49980953,0.1827556,-0.26770374,1.3428988,1.2396134,1.1001564,-0.2843082,-1.0320337,0.5312878,-0.27078316,0.02058975,0.5467787,1.5608196,1.1436336,-1.3366098,1.3761766,0.6237234,-0.6483644,0.78018296,-0.059589643,0.2584073,0.23496778,-1.3293105,-0.42386675,-0.19405578,-1.5597479
3,-0.22748195,0.09267193,0.0,1.0,-0.08826359,1.4859073,1.2352382,0.0,1.0,0.21746905,-1.339769,1.0230716,-0.6293521,-1.35258,0.638345,0.04224211,-1.6377228,0.2028032,0.94959104,-1.6888763,0.5466413,-0.85168874,-0.2042702,-1.3990982,0.12699986,1.5599997,-0.7061667,-1.5280801,1.2374868,1.6152316,-0.009384345,1.4247036,1.3792965,0.7504095,1.1720101,-1.1713063,1.1596949,-0.30877686,-0.73882365,0.24486637,1.2623928,-0.25312865,-1.407035,-0.7378355,-0.6770144,0.6227954,1.5936425,0.13870654,-0.8548026,0.6849832,-1.2251822,-1.530655,0.50728613,-0.45694688,-0.18194552,-1.407747,-0.06591876,0.36243093,1.6313024,-1.617735,0.019804602,-0.05103951,0.4097475,1.1647211,0.014009886,0.25893423,0.055969357,1.0654833,1.4222417,-0.55880636,0.80920804,0.55370307,-0.44420528,1.0326772,0.68338966,-0.028284002,0.207591,1.4605925,0.5423475,0.5000508,-0.43891466,0.9218461,1.2811261,-0.6165749,-0.5505976,0.55068934,-0.7242914,-1.4608933,-0.7390293,0.7602566,-0.007287688,0.25420287,0.44730896,0.091228,1.5735077,1.1177164,1.6941653,0.64489245,0.9725893,0.88962775,1.5306212,-0.57090753
4,-0.29066318,-0.4837444,0.0,1.0,-1.4967737,1.531848,-0.09470384,1.0,1.0,0.034394,0.4770518,1.1563509,0.2307547,-0.58112204,0.6160215,-1.0679195,-0.59670925,-1.3339177,0.6575272,0.11713534,-0.2245417,-0.9218146,1.1793277,-0.29405946,1.4150033,-0.8259463,0.45361227,0.79034555,-1.1265919,-1.12562,0.9290051,-1.3713518,-0.11313871,-1.4562285,1.6291252,1.172408,-0.9310004,1.1535319,0.85221773,-1.3573344,-0.79889095,0.4590293,0.75794566,-0.5412462,-1.2148674,-0.06021497,0.9366876,0.037579,-1.0596466,-0.6815667,0.925667,-0.14733791,0.9001471,-1.1438882,0.6368912,1.0521522,1.3889207,-0.6852281,1.3917214,0.30560297,-0.7580133,-1.5876114,0.546874,1.4982839,0.27842852,-0.67024106,-0.539119,0.013413064,1.686892,-0.18597575,-0.35780767,0.0009652414,-0.96864665,-0.74440837,1.0832111,1.3431973,-0.47855878,-0.14486055,1.46686,0.77366954,-0.16880666,1.5252527,1.3270032,-0.08387006,-1.0110948,1.0966595,1.3658483,0.6204961,1.0860859,-1.5780522,0.40595427,1.0319697,-0.73404694,-1.210926,1.3305279,1.018385,-0.46532294,0.25468767,-1.0587423,-0.52731293,0.66208225,0.9006072
5,-1.1834596,-1.9148749,0.0,0.0,1.0224903,-1.0731403,0.73150414,1.0,1.0,0.94470704,1.3017546,-0.1754034,-0.65026647,0.4967224,0.21331534,-1.5677896,-0.81086326,0.27815923,-1.4958528,-1.5762808,-0.4476391,-1.3067162,-0.27391687,0.65463936,-0.07631197,-1.731708,1.4697459,-0.8834123,-1.6902653,-0.19298449,1.2238036,1.5104798,-1.3103144,-1.5027053,1.1836611,1.2038788,1.3961331,0.97257406,1.1589904,1.1490695,-1.5914916,-1.1304537,-1.5246335,-1.7370478,1.7013967,1.644068,0.21994926,-1.2623857,-1.2610693,1.3990375,1.4914361,0.28270265,0.7550306,0.31294823,0.73488206,1.6581095,-0.22603981,-1.4378107,-1.4490887,0.5389529,-1.5802196,-1.327856,1.3044546,1.458776,-1.3155531,-0.94101715,1.7370073,1.4894086,0.4645821,-0.03593334,1.0357488,-0.02237526,1.6400434,0.91056424,0.48178166,-1.3272309,0.71267295,-1.3988119,-1.1914663,1.2930354,0.23612605,0.17218325,0.6707051,1.2484856,1.5974361,-1.4894832,-1.578028,-1.4755447,1.695085,0.19818614,-0.45255876,0.35426953,-1.3053093,-0.41050437,-0.70803595,0.6413385,-1.1848812,1.5884156,-1.7199177,-1.2977098,-1.117115,1.7002543
6,0.16336623,-0.13560475,1.0,1.0,0.60465336,-0.43564597,-0.69333136,1.0,1.0,-1.6574898,-0.36247483,-0.6387138,-1.5079345,-1.4562259,-0.08271248,1.5357089,0.6525525,-1.1287253,-0.47053775,0.6193071,-1.5046161,-1.0403559,-1.4430953,-0.04026082,0.17137659,1.2887541,-1.6583244,-1.2714449,-0.7504581,-0.29492998,-0.6501172,1.7046754,-0.54429656,1.336808,1.7317843,-0.71892095,-1.1962765,1.185924,-1.6782337,-1.2971215,-1.0461942,-1.6527625,0.5117229,-1.6826268,-0.7178867,0.14929397,0.61989105,-1.353218,0.1325415,0.7067365,-1.5835972,-0.13865568,-0.43544057,-1.5009658,0.2739891,-1.3966507,0.665363,0.011953122,1.228227,-0.060815446,1.1933758,-0.4862524,-0.10168529,0.2943444,0.681955,-0.6527517,-1.5064008,0.7302263,0.9144005,1.3631047,0.4049186,1.0474111,-1.1055634,-0.5628985,-0.34580573,-0.56242096,-0.62525576,0.40841866,1.2248932,0.1201078,0.78285706,0.27181518,0.6952101,0.39335304,-1.2031659,1.1795303,-1.138786,-0.7781962,0.13037388,0.69401,1.4845235,-1.2320036,-1.5571283,0.35865983,0.24356295,0.83256173,-1.0917044,0.94861376,-1.6384467,-1.2090888,-1.0740995,-1.4541807
7,-0.49512768,-0.21883506,0.0,1.0,1.6344936,-0.29599288,-1.1887926,1.0,1.0,0.7100909,0.3758942,0.373599,1.665601,-0.78608376,0.35530132,-0.36090344,0.78065085,-0.49758226,1.1753678,-0.81672806,0.6693013,-0.99282324,0.89883214,0.122029416,-0.87397915,0.8577172,-1.3629996,0.70623624,0.948578,0.14627665,0.13515443,0.915065,0.19153838,-1.4839724,-1.442895,1.5930339,-0.041413058,0.54113126,-0.46972623,-0.4772191,0.6603216,-0.6708019,-1.326064,-0.5866008,-1.2510302,1.5651355,1.2293843,0.44005826,-1.4817945,-0.2228441,1.4087029,0.39071408,-0.35894674,-0.4667819,-1.1428237,-1.6482333,0.14428477,0.5694554,-1.0098505,0.30696726,-0.359979,-1.3037267,0.08811978,1.0829458,0.3764383,-0.34281024,-1.5941087,-0.79431933,0.38355964,0.6994983,-0.5614338,-1.0088336,0.9280262,-1.4369746,-0.28611508,0.3954857,-0.012957782,-1.6146411,-0.97520185,-1.1074615,0.019810045,-1.0513163,0.8499655,-1.3968415,-0.31361714,1.2527544,1.5507834,-0.6495027,-1.0310444,-1.5726951,0.68120956,-1.4849778,1.7350303,-0.7146736,1.5782089,0.81279194,-0.27185163,-0.60931486,0.5098279,1.4940152,-0.769699,0.4946599
8,1.1877718,1.3411331,0.0,1.0,-1.5542521,-1.5591207,-1.5452919,1.0,0.0,1.4893167,-0.3443974,0.9496934,1.3276771,-0.8546731,0.35999712,1.531253,0.23076622,0.7590802,-1.3092186,-0.35356435,-0.5161858,1.0200484,-1.2136313,0.96759063,0.18169253,0.49237278,1.4815562,0.89172745,0.15260461,-0.7988005,-0.35481966,-0.883733,-0.8731158,0.45923334,-0.3852504,1.647556,-0.9554517,0.6930658,-0.7951491,1.359045,0.05523806,1.2987148,1.3828042,1.7284616,0.9707412,0.3901481,-0.026547482,1.2721757,-0.04364181,1.5139477,0.8932057,0.20701557,-0.7882678,-0.61706614,-1.215459,0.94511694,0.6048228,0.82930386,-0.123132296,1.5686712,-1.2246614,-0.62386286,-0.18037683,-1.6482327,0.7834856,-0.73205227,-0.87736666,0.466427,1.239327,-1.5677801,0.11043855,-0.17701685,1.6682289,-0.507786,-1.3838342,1.6219198,-0.17144486,-0.14113407,0.145041,-0.8282821,0.5005679,0.7045367,0.3492717,0.352627,-0.22207609,0.47854087,-1.4721503,-0.46189356,-1.6815077,0.3361606,1.5338808,1.459723,0.7499886,0.07647426,0.9494456,-0.9065646,-0.7100105,-0.540323,-0.2785797,1.3337815,1.040828,0.038319595
9,-0.49916235,-1.0288191,0.0,0.0,-0.4570987,0.60085505,1.2844983,0.0,1.0,0.97008103,0.5265744,1.1531719,0.6161097,1.3147229,1.226142,1.409992,0.8271554,-1.7177973,0.21325137,-1.463187,1.2632511,-0.08715553,-1.633432,-0.4377695,1.0754212,1.0873609,1.4587005,0.4055989,0.7847653,-1.423947,-0.6486341,-1.2984289,0.30055758,-0.20664081,-1.0274993,0.7093193,1.110786,-1.1597735,1.2435591,-0.7007399,1.1248401,0.40154982,0.1015106,-0.20424289,1.3390436,0.26340532,1.0413752,1.5792366,-1.1271483,-0.8594133,0.50210947,-1.1155404,-1.1845889,1.5015256,1.3559797,1.3273609,-0.868861,0.08750621,-0.05392607,-1.5670124,-1.6669897,-1.163738,-0.37040308,-1.1996051,-1.5535228,-0.25254336,0.9768888,-1.5639762,0.4032008,-0.47988555,1.6664387,0.84785247,1.3315643,0.9508735,0.49389112,-1.4920027,-0.29106468,-1.596921,1.6067412,0.40840808,-1.1366668,-0.8702371,-0.5786013,0.54727024,-0.6980786,1.458359,-0.7598058,1.2957234,0.17376009,-1.2391711,-0.54484975,-0.6837671,1.7149879,-0.3075656,0.4444936,-0.5038253,1.264302,-0.04203887,-0.024724215,1.2870307,-0.94687504,-0.29502758
