,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
0,1.1752522,1.7609316,0.9214798,-1.551255,0.7336053,0.89517975,-0.031329013,-0.9698856,-1.0546188,0.8895528,-1.2675223,-1.5296433,0.5070368,1.427487,-1.578349,0.18146448,1.0657923,0.593666,0.9758318,-0.6791147,1.3909947,0.67762864,0.10320219,-1.1288292,-0.39111695,0.7334172,-0.19916564
1,0.13477498,0.44938028,-0.19820891,0.45702875,0.28839,0.54616696,0.32711548,1.0247047,0.06431061,1.3842269,-0.7467603,-1.5220575,-0.80579704,-1.4783034,1.1132741,-1.3732256,0.43909228,0.36302736,1.325373,-0.9940625,1.189173,-0.5444961,0.8395773,-0.59591836,1.3865459,-0.52824026,-1.1364168
2,0.25898543,-0.4207369,-0.33591744,-1.3066729,1.426153,-1.2244742,-0.4312374,1.5024962,1.6756277,-0.1264793,1.0115536,-0.9461415,0.20673546,1.2524575,0.15336438,0.44211572,-1.5351942,-0.31320718,-1.3255252,-0.6330771,-0.5537358,0.8771651,-1.6416607,-0.13321543,-0.5944876,0.59718966,-0.5224633
3,-0.6246848,-0.6283723,-1.4958559,1.3388624,1.2123747,1.3537343,-0.3144919,0.33863816,0.036022987,0.34619915,-0.94455564,-0.76899046,-1.7453897,-0.82376957,-0.80118877,0.33311215,0.23466931,0.10570223,-0.56149733,-1.4505677,1.5932178,-0.5847196,-0.06169235,1.7642602,-0.15634558,-0.55443746,0.06480515
4,-0.17563997,0.09764582,0.28020522,1.2514641,-1.3557811,-0.1130335,0.95956475,0.7270405,0.28691378,-1.5265263,-0.63776803,0.16985384,-0.80910826,-0.099332005,0.6067118,-0.998007,-1.4975388,-0.38198644,-1.2235614,-1.0619968,1.2851641,-0.49832055,-1.020872,0.98604137,-1.318814,0.9884457,-0.10452502
5,-0.7936978,-1.1104171,0.346991,-1.1244861,-0.92745835,0.5272809,-1.6040746,-0.88804424,0.1361018,-0.8930507,-0.53108305,1.45487,1.3261405,0.08903961,0.1498166,-1.4802682,1.6216761,0.45338905,1.226709,0.23487301,1.2570332,0.23858094,0.6805774,-1.1067791,-0.19924897,0.8049155,-1.3409069
6,-0.42836076,-0.31157926,-0.17964879,-1.0619787,0.26563376,1.1442671,-1.4590678,1.0069919,0.21465833,0.3178484,-1.166961,-0.28493997,-0.8221666,-1.7428705,-1.4910908,-0.015963374,0.83790433,0.39751044,-0.23064975,-1.0987014,1.1275934,0.28860763,0.93702006,1.3187407,0.40901983,1.1203843,0.38963956
7,-1.201357,-1.1536136,-1.5686597,0.9034069,-0.9569868,-0.1343722,0.019766435,-0.07908182,1.1803159,-1.066581,-1.8033762,1.1919246,0.7026506,-0.29192984,-0.23063277,-1.1398925,-0.52822524,-1.245575,0.9545993,-1.4070703,-0.96705693,0.20349349,-0.76027286,0.6507209,1.1067405,-0.4352256,-1.3787581
8,-0.13662831,-0.1347408,1.0608836,1.0191313,-0.15390351,1.305438,-0.43152994,-0.8581804,1.1285028,0.808905,-0.09335106,0.46024033,-1.1044784,1.2278004,1.5612559,-0.47072482,1.2438184,-0.4797689,-1.5203056,-1.5015943,-1.0376948,-1.4962019,-0.8864932,1.5442268,-0.09689578,-1.2350273,1.0470111
9,1.2164499,1.1396544,-0.29960015,-1.5388736,1.5581378,-0.7877314,0.7049102,-0.51979786,1.0071545,1.1703842,0.012610541,0.15516497,-1.4139551,-0.5655975,-0.19196229,0.17817792,1.3319708,-0.51554424,-0.19005063,1.0201906,-0.28356352,-1.1061362,1.13676,0.35114032,-1.4818527,1.8726132,-0.92051566
