,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0,-0.23522928,-0.11465512,0.0,1.0,-1.0770236,-1.4964931,1.0338379,1.0,1.0,0.30175185,-1.6008681,-0.5329357,1.5810983,-1.4685546,1.2778386,1.3481616,-1.5705721,0.5390862,0.11010345,0.39705315,-0.09487817,-0.7742781,-0.67365474,0.23168619,-0.3415298,0.99638355,-0.2848288,-1.2289066,-1.1425514,-1.5680842,0.7752887,-0.75194484,-1.0489341,1.1964023,0.25285524,-1.4644036,0.11308325,-1.2250106,0.59216464,-1.3532742,-0.18838418,1.3490165,1.0736909,-1.4476444,1.5966815,0.5047761,0.72454697,0.83265907,1.3731095,-1.2557571,0.9808604,1.2147578,1.1447653,-1.6179214,-0.3615407,-0.15895648,0.07302029,-0.08509743,-1.2135314,1.68978,-1.5394485,0.23992443,0.26421311,1.5458887,-0.9778821,-1.3840086,1.2972946,-1.6629468,1.0226526,0.9382342,1.269595,1.4715343,-0.78103256,-0.8865906,-0.63620144,0.80511093,-1.4547424,0.6348187,1.2465763,0.6757335,1.0177919,-0.471713,-1.0633091,-0.8200864,0.72855836,-1.4869175,-0.14640525,-0.017866079,0.49299785,-1.3586571,0.28136638,1.6347103,0.089135624,0.27478793,1.6874245,1.2047563,-0.021786524,-1.4889538,1.3877584,0.70905054,0.8156288,1.1050253
1,1.1720409,0.36260253,0.0,0.0,0.025788058,1.2370783,1.2804226,1.0,1.0,0.11476157,-0.15735745,1.3596395,-0.012522393,0.048509542,-0.4921137,1.0239056,1.5433878,-1.3073168,0.49306104,-1.1256145,-0.7020679,1.6048168,-0.056471735,0.15952413,0.7415802,0.6424921,-1.6071949,1.2505833,-1.0142078,0.9823134,0.5179399,-0.086719185,1.5345088,-0.75125545,1.1242496,0.6548617,-0.95580125,1.5591298,0.26915118,0.28391257,-1.2074629,-0.25624245,-0.89919275,0.3851287,-0.501817,-1.1834146,-0.5540811,-1.009323,1.0503666,1.0178535,-1.1092671,0.91368085,-1.5093814,-0.91426384,0.54592687,0.8022919,-0.06618989,-0.61592025,-0.3258465,1.2553653,0.0065151546,1.2463155,1.5415556,1.4805926,0.03712229,0.38274452,-1.0078471,1.5521913,1.7019929,1.1502525,0.1106055,-1.4733279,-0.6420945,-1.3357651,-1.0009547,-0.5489932,-0.01889286,1.3498074,-0.8310034,0.108926766,1.2179438,-1.214345,-0.4240251,0.28053766,-1.1330891,-1.6574802,0.34019047,-1.6366843,0.3052123,-0.31372708,-0.9167108,-1.084499,1.4684213,0.34523937,-1.2381927,0.7913883,-0.9151916,1.4830405,0.8580361,0.5851325,1.7147156,0.12845795
2,1.132775,1.4050719,0.0,0.0,1.5504897,-1.7271291,1.1851865,1.0,0.0,0.7905461,1.6356761,0.8750297,-0.8196065,-1.2101305,1.4110407,0.10588964,1.201386,-1.5714024,-0.31640932,-0.9787652,1.2512509,0.6561739,-1.4580864,0.4167854,1.1819092,-1.6417316,0.38804573,1.376001,-1.1406639,0.79249895,-1.1943557,1.1348245,-1.1060888,-0.3307634,-0.48262095,-0.37277198,1.6508445,-1.08557,-0.49546468,0.94051427,-0.18670431,0.19830173,0.9562574,1.7592942,1.0971689,-0.2535252,-0.5722174,-0.58632535,1.344462,0.87907636,-1.4076154,0.14363466,0.6085971,-0.031200819,0.10521574,1.2833622,-0.56149024,-1.3081228,0.42733482,0.5684683,1.621726,1.0675659,0.9554591,1.5055768,-0.28675595,-0.6361934,0.6482009,0.19574457,0.028780788,-0.9518962,0.49896678,0.6271188,-0.39087322,-0.8002811,1.7408036,-0.7610776,-1.1736002,1.0145043,-0.06875871,1.5826417,-0.42002285,0.38413107,-1.8114249,0.960759,1.548615,0.6164341,1.1958795,-1.3372244,0.9973087,-0.23795106,-1.1020417,1.4230634,0.60022944,-0.94833934,-0.89416003,-1.160948,0.51124686,0.7328355,-1.4735178,1.6100537,-0.70354116,0.53141606
3,0.014513701,0.51437616,0.0,1.0,0.6783934,0.5937394,-0.02247397,0.0,1.0,0.41662055,1.2795962,1.30049,-1.1178101,-0.93331015,-1.6619596,-1.1514025,-1.3476723,1.427171,1.6101583,0.08955278,-0.22390509,0.6236851,-1.2526212,0.7090902,-0.19253801,0.5319074,1.0269684,0.11863325,-0.6167972,-0.606687,-0.9874818,0.95396847,-0.32227135,0.77495444,-0.73954993,-0.759533,-0.6180575,-0.010658303,1.4589087,0.7724618,-0.81884164,-1.6015296,-0.1719566,-0.6843522,0.93614423,-0.38559732,-1.1082354,1.336587,1.1016555,-0.5360882,-0.68897533,0.46539688,0.94542813,0.7111417,1.3462573,0.35607162,-0.74402744,0.29620364,0.54595715,-1.4602079,-1.4272962,-0.328287,-0.58453953,-0.593856,0.03773614,-0.58817405,-1.0412986,-0.21786954,-1.1295203,0.6542662,-0.38115358,-0.47551155,0.3334909,-1.2162019,0.5330696,-1.2728733,1.0492394,-0.076254435,-1.4808309,-0.22022663,0.032779545,-0.22241382,-1.4873878,1.5362724,-0.21537952,1.3911688,1.7068257,-0.2571044,1.5538263,-0.3617531,-0.31202793,-1.4193479,1.1533186,-0.6538027,0.29660386,0.3777991,-0.07198815,-1.6736312,-0.64514846,1.3772494,0.13374145,-1.225917
4,-0.72733885,-0.27466488,0.0,1.0,-1.2808868,1.098453,-0.16120556,0.0,0.0,-1.5584233,0.7321408,0.6772134,0.97145754,1.5557697,-0.056198858,1.6026162,-0.9795611,1.406107,-1.5411168,-1.6923953,-1.4732113,0.0897423,-0.6257456,0.95468134,-0.26331455,0.172941,-0.18054913,-1.5778522,-0.7685715,-1.583117,-1.3612156,1.1181303,1.0062621,0.9327216,1.2569563,-0.7994754,-0.4931564,1.4038317,-1.7706331,-0.68787384,-0.7884018,0.36336505,1.1353749,-0.85548896,1.558558,-0.6216961,-0.043353166,-1.4796695,-0.5961744,-0.46671835,0.6716409,-0.5900294,1.1061981,-0.9911395,-0.2937823,-0.84023464,0.080117516,1.4129297,1.7243266,1.5919428,-0.4338112,-0.00356413,0.010940055,0.2287589,-0.09804926,-0.8690814,0.44736162,-1.2402912,0.33448508,-1.2410964,-1.4093639,0.7090591,-0.085173994,1.5996921,-0.21677981,-1.4826937,-1.6802095,-0.388367,-1.6908824,0.10646641,0.23065232,1.2451732,0.62354565,0.57632476,1.5273052,-1.1728339,1.4400431,0.117332816,-1.6146871,-0.27885336,0.50210106,0.92426914,-1.34929,1.7135065,-1.648814,0.2813907,1.1838703,0.9166381,0.66436553,-1.6078737,1.28334,-1.6540653
5,-0.055502538,0.7679068,0.0,0.0,-0.87393737,0.16348328,0.33972976,1.0,1.0,-0.30974802,-0.87887853,0.94526154,0.010738924,-1.2593234,0.62787503,-1.2806536,-0.40872347,0.41955182,0.830802,0.037742004,0.077281326,0.5942412,1.0042595,-0.99114823,-0.814967,-0.84811455,0.17120121,1.0332332,-1.0185069,0.5545306,-1.2479728,-0.9894091,0.6005254,-1.1448998,-1.3947175,0.23922715,-0.5515656,1.1756183,-0.47027427,-0.99641114,-0.041689485,1.7295405,-1.6600941,-1.4304025,1.2982292,-0.6572557,-0.8531706,0.19298397,0.11660766,-0.022252887,-0.2432105,0.37843752,-0.11205667,0.42210284,-0.92734873,-1.1985047,0.8332647,0.0722584,0.42347965,0.40069893,0.8204799,1.1483527,-1.5112635,-0.28969434,-0.032240443,0.48955098,0.3668033,-0.48985502,-0.64379627,-1.617082,-0.5436275,-1.6909072,0.8099781,-1.1598865,-0.8931885,0.29023045,1.5679548,0.055055685,0.5610504,-0.9263771,1.0549266,1.4112197,0.3768012,1.1458791,-1.3434124,1.2250214,-0.8391269,-0.745912,-0.3805431,1.341394,-0.45138833,-1.7464314,-1.5653677,-0.170846,-0.61474913,1.5226226,0.5812224,-1.411291,0.38233304,0.03228294,0.6586064,-0.65986925
6,0.96910745,0.9203576,1.0,0.0,0.4070018,1.4084026,0.34446183,0.0,1.0,-1.5629994,1.227844,-1.5842052,1.2227819,-1.4090128,-1.3183116,1.5056217,-0.03918204,-0.097668536,1.1194129,0.6881779,0.9935276,1.0202063,0.45389715,-0.06354332,0.063325144,-0.40472797,0.24320279,-1.0333213,1.5958561,-0.81899655,-0.7553258,0.97091484,-0.5225375,-0.5220583,-1.6158528,1.3918563,-0.7490483,-0.19928952,-0.17669363,0.86318535,-1.513808,0.94966465,-0.28487566,0.87028795,0.26327774,1.4268038,-1.5772302,0.33811504,-0.0652129,0.8142967,1.2718295,0.9841873,-1.4361185,-0.31020892,0.036500957,-0.6395413,-0.26213968,-1.2783531,0.9268875,0.6661167,-0.5110187,1.5942713,0.83825845,1.0611249,-0.5345335,-1.64585,-0.44899717,0.72659034,-0.7398301,1.1889291,-0.51172304,1.0050226,0.62071973,-0.83341235,0.6512306,0.8045915,1.5546275,1.2986068,1.1029043,-0.92471284,0.35018477,0.836855,1.437448,0.75958294,0.77876127,0.42146447,-0.4689757,1.0780649,0.25349474,-0.5114331,-0.20436381,-1.0129696,0.5068749,-0.47997385,-0.6326052,-0.9743568,0.8762346,0.9810333,-0.33854753,-0.4069895,1.2489306,1.4764262
7,0.89548606,0.7374497,0.0,0.0,0.84344923,1.1024051,0.5293812,0.0,0.0,-0.51304173,-1.1531459,-0.9313983,-1.5488547,-0.05026127,1.2755157,0.08515678,0.6596979,1.3011594,1.6371009,1.1368687,1.3885756,1.5527596,1.5383884,-0.41800147,-0.20440099,0.23032664,-0.13159713,1.4382738,1.1932235,-1.7153817,-0.18611854,0.05331373,0.551668,1.6889642,0.11361597,-0.9680091,0.8814305,-1.4492515,-1.1689467,0.58803964,1.1488404,-1.1630789,-1.0918349,-1.6707582,0.06898125,0.15022385,0.6364573,-0.337766,-1.66218,0.033456184,1.6738569,-0.022888936,-0.6845961,0.26122698,1.216774,0.35918775,1.1800847,-0.36997205,-1.3069907,0.21204591,-0.40664676,0.83549714,1.6620595,1.6559883,1.4642146,-0.6064052,1.1049732,1.0376866,0.031707235,0.90235287,-0.23500958,-1.2462676,-1.3385653,-0.5300405,-0.18900417,-1.5460712,-0.34711623,0.36595613,0.7581865,-0.66595715,0.19666602,0.23524457,0.33060482,0.44001144,-0.06710231,1.1294334,-1.3409222,0.19743833,0.14703178,-1.5432614,-1.2520713,-1.0803443,-1.4940587,1.5709522,0.45031488,-0.44418088,0.65960705,-0.31687793,0.8391371,-0.28721052,1.3261364,1.1392832
8,-0.33837432,-0.27348623,1.0,1.0,-1.0770297,-0.65184516,0.2595752,0.0,0.0,0.03471678,-1.5033472,1.6268905,0.5865633,-1.3471392,-0.5639697,-0.80407387,-0.42170048,1.0083082,0.147249,-0.5672375,-0.933162,0.10827142,0.056093283,-1.6840518,0.1013261,-0.5667761,-1.6237957,-1.2563508,0.08235461,-0.60477227,1.5860591,-0.94831246,1.350592,0.33112076,1.031732,0.34278348,1.1701397,0.9639055,1.6377618,1.3946319,-1.7142125,0.5204208,1.1963426,1.0530249,0.44503433,0.9261745,1.3632118,-1.688365,1.7059144,-1.4700655,1.7216316,-1.0886481,0.13780259,1.7327154,0.24283071,-0.90094465,-0.29873997,0.15183483,-0.6503116,-1.603459,-0.17724381,1.2130753,1.2440293,-0.940777,0.07220501,0.06360007,-0.20222206,-1.7052526,-0.02739834,-0.14455436,-0.34471434,0.2596228,0.9668878,0.88563246,-0.33410665,0.2463994,0.012386669,0.82301795,-1.6037139,1.4469022,-1.4740119,0.48077253,1.0755403,-0.13861482,-0.7365232,-0.11307375,-0.5615215,-0.12023178,1.4236034,0.57408255,-0.33727527,-0.63281965,-0.20822762,-1.6867129,1.5767121,0.4479444,-0.79813534,0.20878525,0.0343006,-0.7583626,-0.7864587,0.22860588
9,0.24925044,0.058183283,1.0,1.0,-1.6374431,-0.19757867,1.2226797,0.0,1.0,1.1267034,-1.728106,0.9658492,1.5478029,0.045507587,0.17305145,-1.6289905,-0.9184848,0.4899671,0.3834584,0.5589013,0.34998724,-0.92593825,-1.210448,-0.89963704,-0.7369738,-0.19108589,0.8071705,0.4399568,-1.351309,-0.18835609,-1.6184462,0.9129764,-0.05582601,-1.2494501,-1.124625,0.29425678,-1.6003742,-1.3346075,-1.0882099,0.103267424,-1.0639603,-0.29508197,-0.08661398,-0.2581738,0.33272454,0.9127752,0.3578318,0.9449801,-0.99096245,0.69427705,-1.4856081,-1.1788292,-1.5055276,-1.3037001,-0.51326126,0.76860803,0.36409307,0.16761729,-0.75011057,0.7981713,-1.5840819,-1.4606992,-0.53241044,1.6949219,-0.6032475,1.0500718,0.3187034,0.7725823,-1.6399901,-0.694635,0.08686704,-1.7087628,-0.9742258,-0.1632773,0.11720585,-0.11643837,0.3258458,1.2753559,-0.17849416,0.028323794,-1.516812,0.72919476,0.37103865,-1.0226688,-0.60821104,-1.1957266,-1.333948,-1.2418101,0.9589684,-1.690744,1.1393242,1.6000798,0.27655503,0.9127245,0.89736223,-1.4449167,0.96222776,-1.4100583,-0.9507286,-1.1202948,-1.092791,-0.6096147
