,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0,-0.48971802,-0.4486436,0.0,1.0,0.76906526,-0.40131277,-0.50364155,2.0,0.0,0.1467877,-0.15690516,1.784896,1.5459355,-2.259336,-0.289589,1.3017823,1.6688805,1.2562556,0.055956587,-0.9101659,-1.678525,-0.23722358,-0.2699522,0.067424394,-0.095438235,0.1759905,0.2083829,0.9421046,0.74901,0.37224287,-0.2585486,-0.72843677,1.654588,-0.63897055,-0.86035377,-1.5317621,1.6903133,-1.27287,-0.6437766,-1.5180042,-0.94245225,-0.35261855,1.4281106,-0.46913987,1.7077138,-1.6658745,-0.4887573,-0.41329268,0.9149227,1.6352562,-0.6082032,-0.19352046,-0.802198,1.0901423,0.4790734,-1.5132242,0.37850723,0.9915344,-1.6073256,-0.1264828,0.9940834,1.6711942,0.26854488,-1.5949908,-0.19884385,-1.078185,0.38821676,-0.9568706,-1.1429166,0.14521658,-1.3745469,0.78737843,1.5645627,1.560606,-0.49065638,0.29915628,0.6231085,0.034677517,-0.04900964,-1.6988547,-1.4887702,-0.24997127,-0.20332475,-1.1820248,0.15403584,0.3668534,0.7549151,-0.70180243,-0.21926856,1.1566799,0.3016147,0.7195611,0.04824776,1.1063576,0.7508935,1.2627302,-0.9762685,-0.75953406,-0.07854334,-0.07891253,0.39157364,1.0568373
1,-1.4431986,-0.951735,0.0,1.0,-0.020124335,-1.6748161,-1.2495562,1.0,0.0,0.31003466,-0.15690516,-0.24738915,0.2849767,0.55954856,-0.289589,0.0855009,1.5674279,0.75207716,-1.1509187,0.43203825,0.22429205,0.91882765,1.0776916,-0.717765,-1.2624594,0.45617706,-1.6373727,1.0368452,0.02675725,1.6804018,1.7322714,-0.94150007,1.223788,1.087875,-0.8017425,0.528239,1.6706656,0.8211506,-1.4457252,-0.03573309,-0.10653882,-1.7025312,1.7495459,1.3610312,-0.9266081,0.33346903,-0.066177584,-0.4888677,0.1028793,0.322851,1.1534207,-1.480614,0.37605378,0.05167532,-1.1939735,-1.2477199,0.49529675,1.2919395,-1.6043657,-0.2223586,1.2931066,-0.13621575,-0.47693834,-0.881227,-1.5777854,-1.1239597,0.14099243,0.1493158,0.22301583,-0.6687404,1.256893,1.1842091,-0.09385315,0.8871076,0.9224083,-0.49585518,-1.0742608,-0.85817033,-0.86978775,-0.37236258,-1.6957066,-0.7856748,0.16632673,-0.33874747,0.1612396,0.8540214,1.4688959,-0.63286954,-0.67432725,-0.05547183,0.3807389,-1.0481924,-1.6353196,-1.0744854,-0.90264046,-0.21110456,0.50490355,-0.74952376,1.6425999,1.2231278,0.4374783,-0.592888
2,-0.7121968,-1.5890226,0.0,1.0,-0.41471913,-1.6748161,-0.35445863,2.0,0.0,0.18017913,-0.15690516,-0.24738915,1.5459355,0.55954856,-0.289589,-1.1740081,0.6009422,0.72464216,-1.5370665,0.97097296,1.3515258,0.4633291,0.73338044,1.2616636,1.5189031,-0.53629524,-1.4618154,-0.59748286,-1.1108196,-0.47909883,0.019332765,0.9947848,1.5802717,-0.79741216,1.6189505,-1.1196682,-0.18088353,-1.0833342,-0.86145043,-1.7033848,-0.86677474,-0.37709215,0.046066344,-0.6133094,-1.6273545,1.2747182,-0.89489776,-0.9738193,-1.7127223,-0.7467516,-0.76143545,0.29722452,0.07481562,1.0837667,0.9695186,1.4664041,0.11234062,1.4709861,1.0996325,-1.0574101,0.67816323,1.4113364,1.367808,1.3160967,0.4979613,1.6384747,-0.9380908,0.73721695,-1.2378744,0.5799256,0.72105753,0.5845763,0.019693738,-0.3056442,1.2096599,-0.14086649,-0.5821831,-1.5709429,0.6117882,0.8871128,-0.002208254,0.77549595,0.52562183,-0.057420738,-1.0055337,-0.46889845,0.78478575,0.860236,-1.4137486,-0.22366862,0.37881833,0.8072749,-0.34043673,0.11136835,-0.43867975,-0.5410527,-0.5507715,1.0496464,-1.4508979,-1.655797,0.66368496,-0.50678587
3,0.97228557,0.3479375,0.0,0.0,0.37447047,1.5089424,0.7644133,0.0,2.0,1.4868269,-0.15690516,-0.24738915,-0.9759821,0.55954856,-0.289589,1.5372977,-1.0908667,-0.3257638,-0.397479,0.05347155,-1.1759155,1.6801685,0.49804834,1.4937501,0.45824578,0.4579281,0.40711954,-0.8190053,-0.7130114,-1.1972896,0.74561614,1.2203918,-0.96853465,-1.6183554,-0.2359488,1.6047157,-1.1993159,0.210354,0.965285,-1.0903388,-0.50628656,-0.9400157,-0.058682844,1.558844,0.49433792,-1.3822492,-0.5200708,0.7031918,1.7114098,-0.3889078,0.074923135,-0.91998416,-0.53122294,-1.2425321,-1.1094934,-0.7168664,-1.517176,-0.78952223,-1.4309652,-1.6167501,1.5887514,-0.66602564,0.6286922,-0.7430118,-0.2201192,1.1430588,0.97360194,0.13505565,-0.43829104,-0.578959,1.3176004,-1.3347641,-0.3838887,-1.6060523,0.40604597,1.5089607,0.2971236,-0.47583973,-0.6036421,0.70532197,-1.2172898,0.7463868,-1.14356,-0.84966165,1.6568471,-0.5589002,1.570478,1.382963,-0.95205766,-1.5981805,-0.4481461,0.6725469,1.5829309,-0.53853595,-0.473179,-1.2315437,0.93999606,-0.1711762,-0.05866204,-1.1333566,-1.5536724,0.6027692
4,-0.7757622,-1.8099964,0.0,0.0,-0.020124335,-0.08293691,-0.87659883,1.0,0.0,-0.37785447,-0.15690516,-0.24738915,0.2849767,0.55954856,-0.289589,-0.07176962,1.1806141,-1.6531595,1.0903282,1.1939908,-0.7600346,-0.5846151,0.8085352,0.8224525,0.99010026,-1.4740634,-0.09230646,1.2496632,1.6997572,0.7325299,1.1048225,-1.3358392,1.6755846,-0.66907495,-0.9979312,0.5748106,-1.6751479,-0.25338253,0.6814442,-1.7470522,-0.5929786,-1.2149812,-1.2619438,1.5731776,-1.4164973,-0.119877875,-0.54193765,1.495597,0.28731793,0.726032,-0.11920315,0.61900645,-1.5236627,0.12613033,1.2865137,0.07870047,-0.31201798,-1.4356335,0.5350589,0.6732752,0.68121094,-0.94788605,-0.33843598,-0.044367418,-0.76679933,-0.36149177,-1.6156026,0.0414065,-0.21653259,-0.31375253,-1.055652,-0.012368253,0.54408985,0.4722391,1.1671162,-1.7153575,-0.99077606,0.29381752,1.5596577,1.273283,-0.1837876,1.682629,-1.2137985,-0.7303992,-1.641896,-0.42693725,-0.90227485,-0.8655969,1.683564,-0.5099358,-1.7474277,0.5263982,1.551108,-0.02246246,0.592643,1.6487863,-0.19771841,0.86365837,-1.4748027,0.34114426,-0.39042222,1.3210659
5,-0.4102613,0.67501724,0.0,0.0,-1.5985036,2.7028518,-0.9511903,1.0,1.0,0.072787076,-0.15690516,-0.24738915,0.2849767,0.55954856,-0.289589,-0.68166417,-0.7439709,-0.49389288,-1.6571274,-0.5108424,-1.0254607,1.1006943,-1.2740601,-1.6539301,0.00022567758,0.3531345,-0.0048903776,-1.1815325,0.13387151,1.0156437,1.2577771,1.3388857,1.0072001,1.5608375,-0.49764425,-1.1493685,0.7930478,0.41694078,-1.7194173,1.2759721,0.8328728,-0.4075719,0.55606765,-0.121277325,-1.0730354,-0.25503054,-0.27488714,-1.6680199,-1.7230488,0.97657543,0.93557936,0.7024839,-1.0956447,0.66447216,-1.6436743,1.2996585,-1.5923511,0.29152834,-1.5934689,0.44218305,-1.621828,0.5421292,0.24744068,-0.046629343,-0.71942127,-0.12380712,1.0732574,-0.40701637,-1.1317348,0.649675,0.35186136,0.15512696,0.020476744,-1.0391337,0.84335506,0.50264186,1.3606766,0.40710765,0.6439076,-0.4327844,-0.49902079,-0.23814379,0.15599835,1.7022645,-0.54406565,-1.079887,-1.2303557,0.955462,-1.2002243,-1.396271,1.7426516,1.3790399,1.0255532,-0.924214,-1.1083968,0.61704713,-1.4813368,-0.16050334,1.4436622,0.3719034,-0.50999415,1.1576973
6,-0.36258727,0.41555068,1.0,0.0,1.16366,-0.87887657,-0.35445863,0.0,0.0,0.34816736,-0.15690516,-0.24738915,-0.9759821,0.55954856,-0.289589,-1.4079185,0.5274895,0.4521389,1.2806212,1.3608526,-0.9265068,-0.29068482,-0.44983473,1.1601634,-0.02340457,0.7348787,-1.2889122,-0.5030342,0.9490079,-1.7602291,-0.6746264,-1.2595068,0.8772968,-1.6293864,-1.1231459,0.021547614,0.59682196,-0.81173086,1.0107111,1.4700551,1.0724506,-1.3914798,0.79318637,-0.48451,0.59840494,0.031896558,0.7137426,-1.0563924,0.9542759,1.0839341,1.3697493,1.7156769,-0.030177526,-0.0895541,-0.06691313,-0.78210634,0.3914532,1.0816188,-1.6876413,-0.8608314,0.34818307,0.37041706,-0.116166696,0.04655115,0.85861963,1.1603632,-0.6972587,0.20861553,-0.17405587,-1.0546849,-0.73801607,1.6888032,-0.5544787,-1.564918,0.15116929,0.932946,-0.7438502,-1.4852319,-0.04226993,1.2875167,0.80288696,-0.52767336,1.4114432,0.8550118,-0.5460364,1.4287263,-0.21204622,-0.4881019,-0.50650895,1.4609953,0.893385,0.97341585,0.503216,0.7737619,-1.7177918,-0.23778117,1.0382488,1.3865519,0.08222848,0.5934565,1.6019909,0.16171122
7,0.33663183,1.3294625,0.0,0.0,-0.020124335,-1.5156282,0.7644133,0.0,0.0,0.10723723,-0.15690516,-0.24738915,-0.9759821,-2.259336,-0.289589,0.3179741,-0.17848611,-0.72646666,0.6277408,-0.101103775,-1.5880698,-0.9180187,1.6326528,0.8289382,0.242382,-0.7764404,-1.3860645,0.6012207,-0.53472775,1.2684065,1.6257741,0.9617859,-0.37642375,-0.5729056,-0.30770814,0.8902473,0.13709588,1.110901,-0.28983483,-0.32675835,0.9062865,0.24025062,-1.5514618,-0.38218376,-0.76252955,-1.5163864,-1.6030555,-0.09019164,-1.2473271,-0.7433247,-1.0459449,-0.13284259,1.5253627,-0.37802398,-1.247838,0.21879561,-1.4608449,-1.6870433,0.5634784,0.392069,0.35717168,-0.55104977,-0.6820801,1.1803551,0.19728686,-0.51903427,0.55249184,0.74694794,0.67448175,0.6152197,1.2152046,0.08872523,0.2534021,1.0136331,0.33925802,-0.23757029,-1.1309543,0.034625236,0.6564424,0.44721758,0.97744375,1.0589298,-0.48214594,0.6677951,-1.4520924,0.4033932,-1.573336,1.4172581,0.06774689,1.4317113,0.06018269,0.31900662,-0.75674474,-0.5383481,0.18674442,0.21600226,0.007113847,1.5947543,-0.4705405,1.2367043,-0.0036400177,-0.08234989
8,0.018804966,0.37675878,0.0,0.0,0.76906526,0.71300274,-0.2052757,0.0,0.0,0.30247626,-0.15690516,-0.24738915,-0.9759821,0.55954856,-0.289589,1.5976074,-0.35061967,1.1480129,0.5852394,-0.61947685,-1.0133951,1.5634823,1.1916271,1.3017373,-0.6389165,-1.5675707,-0.9815611,-0.3089094,-0.58707654,-0.46050912,1.371829,-0.5586648,-1.7048208,-0.93598574,0.27926365,0.84027284,0.36056927,0.7412587,1.060065,1.218864,0.96381795,0.383201,0.15150107,0.89773196,1.7370768,0.005346033,0.8952669,-1.3493663,-1.1109152,0.20379233,1.6883783,0.5952967,-1.201249,-1.1905447,-1.7357723,1.2218213,-0.25269192,1.4803026,-0.7439358,-0.83122027,1.0558603,-0.96976763,0.6205022,-1.2751254,0.41783258,1.7786274,0.72147983,0.1762126,-1.0521848,-0.58166945,-0.33870694,-0.5227411,-0.6236402,-1.169096,1.5459406,-0.9466242,0.08732863,-1.3552189,-1.4547173,0.9077554,-1.5125792,0.100857526,-1.1656464,-0.57784206,0.77745897,1.2229246,0.19447596,-1.6553363,-1.0655617,1.0237554,0.23653921,-0.8850859,0.7407603,0.23951049,0.8127199,0.04321149,0.276544,-1.5594141,1.6870955,0.25226632,0.61907846,-1.5080096
9,0.30484915,0.74458426,0.0,0.0,1.5582548,-0.08293691,0.24227306,0.0,2.0,0.09746009,-0.15690516,-0.24738915,-0.9759821,0.55954856,-0.289589,0.8448565,1.2479903,0.6892758,0.23677714,-1.636351,-1.6093675,0.53705114,0.3311448,0.42859167,0.25506127,-0.67088485,1.3275102,0.1678651,-1.5377553,0.76114637,0.9392404,1.5037719,-1.1993569,-1.1209768,-1.0049621,-0.21334244,1.0325539,-0.10302448,0.6997426,0.50520295,-1.4425234,-0.37210613,0.1500108,-0.7516358,0.25594622,0.26572692,0.70365894,0.45064887,0.4774415,1.5206747,-1.4211642,1.0175444,-0.81820494,0.5991647,-0.530629,-0.71265817,0.18623452,-0.7772511,1.2300947,1.2073369,-0.35450697,-1.7168496,-1.6831309,-1.1334796,0.45682126,-0.23892206,0.47985765,1.0013402,-0.12921435,0.9329664,1.3470716,-1.2478946,1.6518608,0.8640669,0.43511814,1.3644347,1.6963078,0.38471437,-0.6014265,1.7124547,-0.9796417,0.32585368,-0.33159462,0.5068296,-1.2217643,1.0201552,-1.0795115,-0.95586705,-0.47267482,-1.4391857,0.8571833,0.82976586,0.21502778,-0.06972804,1.5516614,-0.46119818,1.5566913,0.35223052,-0.42426372,-1.1921122,0.072634295,-1.1790326
