,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200
0,1.6541493,1.6771588,1.5600536,0.32729995,1.6301948,0.6419364,0.8271264,-1.1180528,1.6459782,-1.4690386,-0.89996046,-0.27955025,0.96594065,-0.9915048,1.0365548,1.4494933,-1.3384725,0.35846686,-1.6803493,-0.5588569,-1.6253632,1.5771289,-0.08086743,1.5550784,1.0643115,1.0953997,-1.1722096,-1.4508022,0.4397172,-1.1048132,0.90422,-0.09259584,-0.023269743,1.5409288,0.15755148,-1.4358965,-1.120733,0.0895963,0.14965186,0.5925569,-0.37359172,0.36026728,-0.3460703,0.34143183,1.002034,-1.0768826,-0.45186874,-0.06275743,0.51559806,-0.8088622,0.16869551,0.5159483,1.4183829,-0.49173284,0.3303691,-1.0728248,-0.07755271,-1.0570921,1.27987,-0.05432731,1.1951587,-0.32286972,1.5219008,-0.31253552,-0.47977453,0.3382718,1.2090737,1.4203631,0.2174359,-1.197508,0.4052686,-0.9134923,0.7401255,1.432273,-0.045184843,0.4548276,-1.6242197,0.015399565,-1.3910127,0.41186398,-0.5730193,0.62003714,-1.8194592,-1.3928256,0.8340419,0.09618328,0.34307984,1.2127544,-0.05665223,1.0841483,0.007841408,1.3030102,0.70634025,-1.3430133,-0.5350107,1.371438,-0.40121537,-1.0809273,-0.11097446,-0.47271818,0.39431825,-0.10237944,-0.8555016,-0.23333827,-0.10249936,1.3413757,1.50559,0.4410475,-1.2886487,0.7581068,0.6871877,1.1169987,-0.7219328,-1.4150006,0.20133387,-1.2649964,0.8416461,0.9313364,-0.33350462,1.6352193,-1.2365612,1.645287,-0.08937812,1.1143681,0.7535439,1.7308493,1.4264324,-1.5100379,-1.5769442,0.15179108,-1.724469,0.51209515,0.10958512,0.4718851,-0.3326192,-0.6087111,1.477312,1.0732772,-1.7111875,-1.3478739,0.6458701,-0.7141628,-0.30816734,1.0118028,-0.37592444,1.3055041,0.8583359,0.04925234,-1.1186574,-0.28300965,0.9200902,1.5764103,-1.2941067,-1.3046314,0.92889845,0.8443086,-1.4852704,1.2696838,0.929011,0.5328315,-0.62830436,-0.059554853,-0.5938405,1.0966014,-0.6085425,-0.55917054,1.3715405,1.5521759,1.8352919,1.0152358,-1.2695695,-1.3391249,0.16128778,1.0732362,1.3217989,0.43320078,1.5315756,-0.9881387,-1.0264362,-0.5267203,-0.8835618,-0.47223252,-1.4274592,-0.34364,-1.5418317,0.11751522,1.5375352,-0.14912748,0.3783293,0.6268994,1.7354919,0.7505964,1.0542617,-0.5488689,1.36636,-1.0657328,-0.2877365,0.65912384,-0.68237334,1.331505,1.2189999,-1.1992718
1,-1.4095086,-1.1819913,-0.87177134,-1.251007,1.2393819,-0.5770823,-0.19988227,-0.9150528,-1.2585788,0.04440899,-0.9632457,0.22859594,-1.0690076,0.13856657,1.3436731,-0.4441635,1.3568859,-1.4088753,0.18903334,0.18818995,1.6565574,1.4706651,0.16862828,0.90584326,1.698436,0.6778498,1.4376665,1.4481786,0.021658983,0.69748354,-1.102034,0.008503389,1.2077664,0.28774512,-0.6040186,-1.3811781,-0.8501741,-1.3141434,-0.86871344,-0.30377665,-1.5722207,1.0058694,-0.32345986,0.14863119,0.52216977,-1.2276332,-1.4506413,-1.2298422,1.5591619,-1.3311168,-0.3065457,1.3782356,0.30114183,-1.6668042,1.2363468,-0.4726693,-1.2730471,-0.49688452,0.14117965,-1.3844018,0.5422917,0.327028,-1.0131149,-0.24048488,-0.94175524,-1.4360172,0.33692172,-0.19610374,1.0686616,-0.769326,-0.14068364,0.5284297,-1.5213858,-0.41768745,0.5384462,-0.7481643,-0.5609415,0.14458318,-0.40868264,1.4042295,1.145464,0.850446,-0.31883547,-1.1188459,0.6736292,-0.22153522,0.11145035,0.49283943,1.3496494,1.0776955,-1.2956632,1.2412623,0.7411711,-0.72539496,0.71162754,0.050801147,0.32824302,0.27815774,-1.2768404,-0.57522404,-0.25426167,-1.3553104,0.77631944,-0.52725774,0.091104075,1.4884827,1.1497658,-0.764284,-0.19686268,0.1957925,-1.3431207,1.0048016,-0.80605036,-1.2195932,0.5605098,0.055558003,-1.8498094,0.1166496,0.87123835,-1.5330055,0.47417292,-0.8150927,-0.19599901,-1.573628,0.0068573677,1.578415,-0.81829226,-1.4275206,1.3001287,1.5642662,-0.044096004,1.3633646,1.4096298,0.71251684,0.9123836,-0.9757456,1.1226587,-0.13323584,-0.73625267,0.35351962,1.4573215,-0.20562646,-1.4578373,-0.7841128,-0.59946305,0.55744153,1.6793953,0.043249145,-0.87237257,0.68009776,-1.3325882,-1.4965211,0.73054236,-0.41895714,-0.045918096,-1.6139996,-0.0033553606,0.45661256,1.6048477,-1.6184281,-0.0065374537,0.0842329,0.3261991,1.1385206,-0.004781944,0.3492243,-0.11050707,1.1339985,1.6028007,-0.644193,0.7594712,0.5397441,-0.44237348,0.8859905,0.68140143,-0.042188343,0.20385188,1.7183062,0.41767183,0.46340102,-0.44097707,1.1494899,1.1942253,-0.5809552,-0.5267012,0.55598545,-0.73358595,-1.4245085,-0.85491824,0.9286395,0.11352241,0.24929535,0.35454744,0.15252496,1.5505781,1.2720199,1.7513351,0.5044233,0.9386887,0.8430657,1.4891753,-0.592458
2,-1.0554206,-1.5086375,-0.562376,-1.3802373,-1.4728796,1.4431409,0.07562299,-1.4713165,-1.3108227,0.24810377,0.48081964,1.3012631,0.23210587,-0.50079906,0.45283583,-1.0143379,-0.7623181,-1.2003609,0.64574474,-0.022533482,-0.21145837,-0.880425,1.279238,-0.33794168,1.485704,-0.8171784,0.37904993,0.7723368,-1.0763861,-1.0531435,1.0175799,-1.2211453,-0.20365201,-1.4317021,1.5472934,1.2895678,-0.8482667,1.0858065,0.931472,-1.2745715,-0.8234764,0.3330626,0.669059,-0.6142524,-1.3317301,-0.044592146,0.8727529,-6.127222e-05,-1.1993082,-0.6314848,0.8977775,-0.050208893,0.950782,-1.1275214,0.5012572,0.82117236,1.333829,-0.6375491,1.2579988,0.46497998,-0.6774401,-1.6198387,0.6217396,1.538921,0.33681747,-0.5374471,-0.5106654,-0.019876873,1.5589702,0.097154565,-0.32674715,-0.062411897,-0.99919015,-0.63924897,0.9610737,1.4256741,-0.5387204,-0.1854551,1.3231423,0.7859788,-0.24711362,1.2823983,1.5053608,-0.1895449,-0.90862715,1.2767296,1.4900062,0.5709567,0.93120515,-1.610177,0.3796001,0.9192191,-0.60269314,-1.3189712,1.2590272,1.0894924,-0.37375748,0.29891276,-0.9993686,-0.67729336,0.63389325,0.9699972,1.325957,0.61213636,1.171225,-0.9565388,0.6753149,1.6698277,1.5540111,0.9363932,1.4652994,-0.27778977,-0.82742786,0.5821113,0.10216309,-1.547613,-0.9575731,0.19285361,-1.4980831,-1.4229412,-0.5201867,-1.2733399,-0.26854876,0.7715218,-0.19621919,-1.7315288,1.2761142,-0.76798505,-1.6066124,-0.20012186,1.2773384,1.4485774,-1.2877762,-1.6435715,0.9231587,1.2910224,1.3588331,1.3133729,1.175238,1.2947724,-1.4811538,-1.106402,-1.5769923,-1.8246717,1.6454704,1.5460389,0.28117198,-1.3138267,-1.270503,1.3637856,1.4871813,0.23357834,0.98848194,0.40372467,0.8375685,1.3119639,-0.17349069,-1.4695579,-1.5178658,0.42285883,-1.6165512,-1.2054915,1.2430902,1.4183607,-1.3726583,-0.92850065,1.5611972,1.5510347,0.55314076,-0.12638949,0.96780944,-0.016693614,1.5361143,0.76077396,0.4850183,-1.287573,0.7173693,-1.1050069,-1.286111,1.2085558,0.24784772,0.39360878,0.58932495,1.3501354,1.5962383,-1.4145646,-1.59318,-1.4390898,1.6768578,0.351856,-0.36510932,0.34406707,-1.4247533,-0.36251473,-0.7256098,0.7643096,-1.210751,1.4854372,-1.694298,-1.507456,-1.116589,1.6549298
3,-0.51677066,-0.20112877,-0.7807358,0.77301544,0.6199224,-0.44957855,-0.52110237,0.8613001,-1.3989149,-1.4162796,-0.37095627,-0.7212339,-1.5349457,-1.3927428,-0.26730645,1.3618673,0.48869622,-1.0073119,-0.47136503,0.472943,-1.5063639,-0.9940959,-1.3041636,-0.08274904,0.2583331,1.0848085,-1.6444331,-1.2387666,-0.6968098,-0.20310383,-0.6510899,1.966497,-0.6561112,1.4370513,1.6407892,-0.7470328,-1.1341449,1.1174611,-1.6367614,-1.2144469,-1.0603175,-1.7817311,0.43485194,-1.729575,-0.8036984,0.15807119,0.55852795,-1.3466132,0.0012462002,0.7869792,-1.6612641,-0.04157426,-0.46776792,-1.4808251,0.12695289,-1.4284647,0.5992684,0.10406957,1.0893823,0.10218596,1.2733675,-0.5215776,-0.079502285,0.3581009,0.728444,-0.5209371,-1.447315,0.7903147,0.78210807,1.7749943,0.44122186,0.97402716,-1.1339128,-0.45960262,-0.43964902,-0.44404697,-0.6921156,0.3719146,1.0815575,0.07613297,0.69384533,0.008744998,0.7900958,0.2781844,-1.1056637,1.3675286,-1.0766217,-0.9112173,0.0888125,0.6336578,1.4165132,-1.1989751,-1.4173446,0.33714747,0.17787933,0.91044086,-0.98133206,1.0292646,-1.5938642,-1.3499944,-1.1672163,-1.2555376,-1.6231478,0.57421327,1.7663502,-0.21401955,-1.1333513,-0.68691635,-0.7335604,0.6974661,0.48094133,0.30974495,1.5397193,-0.66767764,0.255279,-0.34586966,0.7597762,-0.5916173,1.0899872,-0.6804638,0.59684265,-0.95722586,0.953084,0.16333793,-0.9929634,0.8722419,-1.4505213,0.8583248,1.0132933,0.13091616,0.11078591,0.8570732,0.2184292,-1.6239825,-1.5059233,1.6624143,-0.07710935,0.8262862,-0.46521604,-0.39815313,0.8374046,-0.6344639,-1.3757946,-0.62662005,-1.1412648,1.4696318,1.3086326,0.33513364,-1.4868077,-0.18912254,1.4013065,0.33663052,-0.17133774,-0.42946652,-0.9718535,-1.8435127,0.21999468,0.6781186,-1.0725927,0.20328638,-0.38869217,-1.1811184,-0.0034032771,1.0606984,0.3680904,-0.29152164,-1.7514234,-0.6955817,0.46433464,0.6019118,-0.50103986,-0.96952003,0.8602269,-1.6464294,-0.2629775,0.36410713,-0.020380346,-1.3181119,-1.0735924,-1.0471522,0.027114613,-0.8400394,0.76696414,-1.3888463,-0.29248926,1.234092,1.557098,-0.61699706,-1.1586496,-1.4653805,0.8536033,-1.3978581,1.6618735,-0.67475134,1.5552684,0.9470398,-0.2713872,-0.7996194,0.48615706,1.4925429,-0.77468014,0.4619553
4,0.19629641,0.0059363,-0.20080711,-1.2951434,-1.530122,-1.5303556,-1.3703556,-0.7780005,1.0373744,1.6793777,-0.3526151,1.0684224,1.3469218,-0.7796141,0.1889672,1.3578006,0.06631825,0.7687714,-1.3019011,-0.4869575,-0.50648147,0.98165554,-1.0781139,0.93063813,0.2685142,0.36853355,1.3639408,0.8712264,0.21451789,-0.71871126,-0.3390468,-0.71583295,-1.0011756,0.5356864,-0.2872789,1.8012116,-0.874617,0.6358242,-0.7404915,1.4378314,-0.0054812003,1.1739417,1.2634243,1.6036372,0.990434,0.3910555,-0.082663074,1.1952595,-0.1761735,1.611727,0.8646723,0.30220184,-0.8425116,-0.60626733,-1.409293,0.7228426,0.5378076,0.9735172,-0.30431557,1.7155547,-1.1439492,-0.658801,-0.16458595,-1.5471728,0.8269805,-0.595797,-0.8382013,0.4921506,1.1088729,-1.3995053,0.14471765,-0.23869202,1.5954281,-0.40505594,-1.457125,1.699146,-0.2175836,-0.18170106,0.0034103806,-0.9539314,0.4147315,0.44844553,0.3984524,0.23826857,-0.099210665,0.599476,-1.4182374,-0.5760359,-1.5082333,0.28025416,1.4639642,1.319429,0.86614317,0.03940474,0.8799844,-0.7653085,-0.6110984,-0.5378298,-0.19930004,1.1590289,1.0268029,0.15504012,0.053359915,-1.0402566,-0.26755908,0.6428667,1.1961625,0.3855301,0.87649584,0.9622334,0.6411418,1.1440331,0.4669894,1.3790579,1.1943828,1.4174796,0.8099577,-1.8255634,0.15781969,-1.3123897,1.1908398,-0.045149546,-1.6847327,-0.47589287,0.95418125,1.1031578,1.2654825,0.550754,0.8506562,-1.4012479,-0.72909015,-1.3418826,0.32776436,-0.2882733,-1.1217585,0.81903744,1.0738044,-1.0939869,1.2604163,-0.6308327,1.3156917,0.46655133,0.07067437,-0.22844045,1.3034527,0.20954995,1.1172662,1.4385238,-1.139264,-0.7986206,0.46028945,-1.100466,-1.0309567,1.6737951,1.4360796,0.9963072,-0.8565151,0.16245654,-0.1035346,-1.5704197,-1.7038629,-1.0397145,-0.47329506,-1.1115128,-1.6174855,-0.19540417,0.8052991,-1.4527314,0.4858627,-0.56603736,1.5478234,0.8238648,1.2432884,0.80210775,0.49681395,-1.4455503,-0.303132,-1.3006154,1.4636294,0.37728587,-1.152977,-0.65745825,-0.64868283,0.6240944,-0.6724593,1.4326801,-0.769344,1.3189293,0.09449412,-1.123126,-0.46431497,-0.63904274,1.6415259,-0.25684574,0.42421433,-0.45617408,1.3090733,-0.20980291,-0.036578335,1.2701164,-0.9490476,-0.31946588
5,-0.80850744,-1.5296148,0.6204969,0.55458516,0.612517,1.4495606,-0.6491661,-0.85419995,1.198371,0.09403205,-1.7551651,1.5460315,1.3518982,-0.32120135,-0.6750794,1.3941123,-0.75323707,-1.19213,0.6244084,-0.9976746,-1.173658,0.6368715,-1.2845353,1.7018113,-0.78423107,-0.51910245,1.3758798,0.3807646,-1.6374245,1.6665313,-0.5632104,-1.0410124,-1.0152673,0.22820862,0.91129065,0.19220248,0.07619274,0.7931608,1.5745078,0.071839176,-1.3942354,-1.3840197,1.4082863,1.4120436,0.8697694,0.3249718,1.2528529,0.8933774,0.6479609,0.22639811,0.7765506,-0.4101209,1.278193,1.0077912,0.0037436516,-1.4775935,-0.41335076,-0.014988404,-1.3304008,0.49839535,-1.5861101,-0.75773895,-1.3105736,0.18583453,-1.1357838,-0.9180808,1.5747676,-0.9189173,-0.0377187,-0.6416185,-1.5907406,0.6950269,-0.5098402,-0.018750373,-1.749054,-0.9486328,0.121403515,0.4900843,0.41536823,1.6720579,-0.57768184,0.9481158,0.97072387,0.6140507,1.4014945,1.4786727,0.78440243,-1.7067796,-0.9831601,0.24364997,0.15863818,1.439769,0.35865662,1.0515049,0.37440974,-1.2471678,-0.37120557,-0.06745766,-1.2918541,-0.22937694,0.2835445,1.0894243,0.54591197,1.2699964,1.373735,-1.3598846,1.3385288,-0.23158753,0.58424634,-0.8020318,-0.71449244,-0.13537297,1.3960217,-0.12511227,1.5202286,1.4878778,0.9202654,-0.3884015,-0.402868,1.0665094,-0.42660436,-1.4610279,1.3304965,-0.65236616,0.47081074,0.974601,0.4882155,1.7636336,0.12847352,1.524256,-1.6793896,-0.16703533,0.11793347,0.20370497,-1.0188085,1.1773293,1.2929413,1.9211206,-0.45493323,1.9397715,-0.24363025,-0.82638097,0.7485157,-1.7154268,-0.87302554,-1.2911843,-0.5375059,1.2048004,-1.2813677,1.5708851,0.8948512,1.018437,0.11489602,1.6372869,0.47045216,1.0678313,-0.57313454,1.746084,1.5958245,-0.38402572,-1.2504394,1.7442063,-1.0391941,0.96220666,1.5744984,-1.6448537,0.6558785,-1.3474834,0.1600043,1.1800939,-1.2891471,-0.9357468,0.9081401,0.53142303,0.90502214,0.03620357,-0.8277399,-0.34371266,0.6857156,1.6199862,-0.6964712,-0.74887764,-0.71972626,-1.4339979,-1.0430682,1.0492316,-1.3439248,-1.1599034,1.1698666,-0.6923087,1.7787517,-0.67124903,-1.211461,-0.30873504,-1.7156003,-0.17695579,0.22017589,1.5014479,0.65417606,-0.48194546,-0.42538908,-0.32990962
6,0.074672215,-0.22008534,-0.87105,-0.87148154,-1.0983689,0.8858515,1.8224832,-0.012470513,-0.71045476,0.4972727,-1.2038349,0.23587859,-0.6673208,1.0491015,1.4277358,1.4506096,-1.6803005,-0.9399854,-0.8660739,1.4561874,0.88936687,-1.1053392,-1.4475244,-0.5191223,-0.7106095,1.0084956,1.4123274,-0.8221949,1.1512048,-0.5680198,-0.21196277,-1.5358965,0.39192533,-1.5031958,0.06509229,-1.2633704,1.4542632,-1.0782851,-0.07548712,0.26923236,-0.4586684,-1.3993634,-0.9724903,0.012687709,-1.4917169,1.2020543,1.0663351,-1.4398216,-1.6011935,-0.034880266,-1.6998653,1.7843298,-1.4405841,0.069799446,-0.14577278,0.118555024,-0.4761188,0.21569607,-0.4917105,-1.2197528,-1.2967209,1.3947082,-0.34046718,0.644726,1.2538362,-1.1298182,-1.1625471,0.6039606,-0.8165412,0.30455378,-0.16336888,-0.6020354,0.8064056,0.93302464,-1.2093163,-0.060138136,1.3064977,1.4190556,-0.4706312,1.262955,-0.63547117,-1.5624658,0.91500604,-0.18536998,-1.473502,-0.037571285,-0.787816,-0.34286013,-0.53926176,0.75835323,-1.3365065,0.079247795,-0.29352215,-0.23562819,0.43736967,0.1523334,0.2835849,0.7695712,-0.47053903,0.65012634,0.6292282,-0.49613643,0.47676003,-0.08181497,-0.30297813,0.60215443,-1.0717553,-1.1338731,-0.49279207,1.2459084,-0.98875487,-0.130397,1.3777909,-1.47999,0.16862015,0.64276063,-1.1643907,1.5545875,-0.91962445,0.1378979,0.10649364,0.08301178,1.1274295,0.49171245,-0.17528331,-0.5492022,1.0458173,-0.16442937,-1.3959548,-1.1754764,0.7765125,-0.86570877,0.09557828,1.1936003,-1.4808086,-0.98506856,1.5239104,1.8239348,1.5328993,-0.50920707,-0.43081367,-0.34766334,1.4159243,-1.3137897,0.15975252,-0.8598893,-0.71415067,-1.5662873,-0.3959225,-1.4389771,-0.19132099,0.6398344,-0.5373544,-0.54688686,-1.3005096,1.2180195,-1.5428654,1.0504699,0.49415496,-1.1259067,-1.4567139,-0.7062277,-1.0928032,-0.19247355,-0.58426774,-1.1316588,0.41679364,-1.3598524,-0.8740609,0.88949895,1.2620275,1.0037298,0.74447453,-1.4377217,1.1682402,-1.4643136,-0.65499336,0.506636,1.0754107,1.1299475,-1.0434482,-1.3953139,-0.9926269,0.24104023,1.5335194,0.90175784,-0.3185355,1.4097354,-0.7510035,-0.118922584,1.7306674,-1.4673889,-1.0963964,1.3784868,0.37748244,-0.3005854,0.5029086,-1.1274798,-0.4277155,-1.3883761,-0.69108266,1.3236421
7,-0.9302815,-0.6578827,-0.06086252,1.677815,0.39096427,0.7029547,-0.82600284,1.5155574,-1.1586987,0.9434253,0.6720037,-1.7081709,0.30150902,0.46771884,0.9707345,0.12749507,1.1705445,0.95627296,-1.5668427,0.4470626,0.14526494,0.055347487,1.2599248,-0.21106194,0.24869356,1.1949891,-0.6506753,1.2134159,-1.6677035,-0.9516308,1.0648541,0.35999677,-0.10036414,0.9080811,-0.9544407,-0.077790916,-0.63536584,1.0756513,-0.9847301,-1.6462492,0.39352155,-1.506574,-1.0111742,-0.075946726,-0.49047226,0.30935696,0.9142907,1.5314274,0.2273656,-0.5697099,-0.85109484,-0.0533468,0.74354535,0.80082524,-0.9622226,-1.4844308,1.438065,0.39719433,-1.4360764,0.0068388805,-1.5287948,-0.4030387,-0.2638774,-0.7416467,0.16067255,-1.0851085,-1.5483123,1.7994978,0.3158019,1.5422978,0.10132058,0.18888856,-1.4019166,0.24926205,0.4215959,1.3833544,-0.37368953,-0.8352811,-1.0153466,1.2548463,0.63801354,1.1705002,-0.2605907,0.21121907,-0.9186083,-0.11381461,0.59340215,-0.32205307,0.6057028,1.0888878,0.9026917,1.3997085,-1.4500312,-1.1337147,0.663249,-1.38647,-0.09448686,0.4480089,1.6823896,1.128098,0.5290838,0.7089241,1.3263994,-1.185875,0.5112783,-1.2042634,0.09942499,-1.4986216,0.6026994,1.2543464,0.59281796,0.8149267,-0.029417783,-0.28479242,-0.35494062,-0.04710276,-1.5298235,-0.9558932,0.16622528,0.48135567,0.056431226,1.5232255,-0.6823952,1.262425,-0.507735,1.1532992,1.3475139,-0.534981,0.24934481,-0.034517974,-1.3801485,-1.7145871,-1.4016051,0.7898695,-1.57906,-0.9029048,-0.7644282,-0.98079205,1.6016916,0.07901254,-0.11421419,-0.9066199,0.14355345,0.7159965,-1.459798,0.13072187,1.2319201,-1.3626242,0.3959182,0.4468695,-1.2688495,-0.7164545,-0.8832966,1.1541277,0.8217869,0.35755858,-0.45195815,-0.10350784,-0.13471228,-1.0788653,0.24469003,-1.0000066,0.2121191,1.5751822,-1.5230298,-0.25509682,-0.706317,0.30844462,0.53850174,0.042475678,0.053453382,1.1187623,1.2227377,-1.1847392,0.86401284,-0.08373694,-1.1138545,-1.1626625,-0.56079334,-1.4002862,0.49072087,-0.82162184,0.25694868,-0.61324835,-0.9019669,0.38406363,-0.8944073,1.429782,-1.0268201,-1.3401052,-0.9237912,-0.37428397,-0.44258517,-0.3647218,-0.014071625,-0.8016352,0.46614015,-0.36708516,1.0496708,0.31095332,0.74882174,-0.38304585
8,2.4110453,2.5622454,1.6224473,1.412063,1.1722239,-0.5585411,1.462409,0.647477,-0.58449125,-0.54860526,-1.5342025,1.0524756,0.56368744,1.3378135,-1.9650995,-1.0477786,0.81423694,-0.9368699,-1.5460123,0.8017106,-1.6118022,0.27511996,1.7280848,-1.054849,-0.010300039,0.016859908,-1.5520931,-0.84923905,1.3966966,1.6814214,-1.639601,0.96200645,1.2760072,-0.43299973,0.6482268,0.17282669,1.1719933,1.0214201,0.82469374,-0.19218332,-0.7860561,-1.4626715,-1.5551054,1.2870559,1.4299059,-0.7094714,-0.19812685,-1.6069802,-0.8611184,-0.16099505,0.500719,-0.08231405,0.671379,-1.5193746,1.3742422,1.3091505,-0.15364547,0.37132153,0.73331934,0.6934196,0.68904597,-0.42515528,-0.84977174,0.596688,1.7307978,-1.1358589,-1.0887704,0.09904783,-0.06672832,0.4236064,-1.48614,0.0035310325,-1.1366905,0.5113537,-1.2985185,-0.146678,1.3492259,-0.97770834,1.2706292,0.6415847,1.0576146,-0.9815272,1.8302604,0.36015597,0.21048824,1.0849972,0.81146765,-1.1420028,0.081454314,-1.2691376,-0.58415747,-0.07781763,-0.3168997,-0.80585766,0.39772677,-1.5203055,1.396977,0.5189161,0.45615104,-0.102572836,-0.75548756,0.46817586,-1.0590582,0.7148281,-0.31179392,-1.2270969,1.0924468,1.6653453,1.4916815,-1.0158112,0.9883196,0.5667611,0.9418941,-1.4018226,0.06994114,-1.5312992,-0.76593393,0.56702,0.6522816,1.0435928,1.0508626,-0.25759885,1.3145963,0.91559744,-0.14843208,0.9416969,-0.59360844,-1.0228021,0.77634746,-0.73511904,-1.3078688,-1.0256919,0.99159217,-0.70374507,-1.6236551,-0.6012769,1.2833042,0.78458005,-1.7256066,1.3859379,-1.3042718,0.47429028,1.3903195,-1.2891182,-1.4528797,1.5208434,0.8713699,-0.7080925,1.3247738,-0.5582689,-0.37668028,-1.1684631,-0.9160058,-0.7328524,1.2114986,0.44434673,0.69831973,-0.00796125,1.4858892,0.8633524,-0.9731397,0.10618935,-1.1348803,0.3380126,0.909695,-1.3617561,0.3776663,1.1569905,1.0235747,-0.5401937,1.0761465,0.22850889,-0.020236652,0.97401446,-1.6613948,1.1691706,0.8767123,-0.7661546,-1.3620846,1.4555787,-1.4442264,1.2039807,-1.5235118,0.3308072,-0.50106645,-1.0278457,-1.538436,0.7243333,1.0407144,1.1421232,-1.1851176,0.44046143,-0.5358259,-0.6353618,0.539041,-0.8177337,-0.6695423,0.1435506,-0.7092861,-1.662101,-0.45465717,-1.3280424
9,0.22738884,-0.29480332,-0.5788474,-0.92397994,1.6690574,-0.253776,0.9564345,-1.140043,-0.52554125,-1.0252328,1.3813176,-1.7665006,-1.3586372,-0.24720451,-1.5768814,0.63104826,0.4060348,-0.30268094,0.6546566,1.5469958,-1.1514312,-1.2985939,-1.1511631,-0.87092006,0.06990699,-0.49022898,-0.32129785,0.87592757,1.4295932,-0.5624626,0.96220714,0.8673803,-0.7469094,1.4334544,0.85060006,-1.1897004,1.2633697,1.008184,-0.8011548,-1.0803019,-0.2749747,0.7453002,-0.018760987,1.4791099,0.27660963,-0.73339546,1.4627517,-1.7399831,0.44858897,-0.33618718,-1.3516605,-0.68494475,1.7715096,-1.653738,0.65038747,1.4431641,-0.67458946,-1.5877893,-1.239543,-1.0038743,1.3718804,-1.4136167,0.17135586,1.3024194,0.2122233,1.5172465,-0.9771326,1.0664122,-0.5260104,1.0870284,-0.2464374,-0.43367016,-0.43150005,-1.1528502,-0.44652548,0.5603376,-1.1141874,0.5702,0.3104136,1.0506332,1.4034337,1.285536,-0.16874252,0.670736,1.1435688,0.950022,-0.34027606,-1.7777336,-1.270413,-1.1988618,0.9509287,-1.4071484,-0.878663,-0.937139,-1.0135717,-0.3621135,-1.5096241,1.2531191,-0.29975694,1.2783923,-0.059268903,-1.2175323,-1.4227186,0.93822837,-1.3374342,-1.558117,-1.3604556,-1.1330541,1.8066769,0.80244476,-0.36214548,1.2730521,0.39238024,0.12656052,-0.26765612,-1.5370053,-1.2876693,0.09949731,1.1550201,-0.6830829,1.3527006,-1.0699656,-0.32514247,0.93108654,-1.0725619,1.3186319,-1.1598957,-0.29877922,-0.4370229,0.088481866,0.4900989,1.4471176,-1.2053573,1.0904723,-0.56043214,-0.21454412,1.5372757,0.46520415,-1.3582673,0.30848223,-1.4484707,1.5863215,-1.0136745,1.6524315,0.45173153,0.044293255,-1.0869311,-0.6501628,1.5715628,-1.0818595,0.75397736,-0.22147,-0.5167628,-1.1881768,1.4022509,1.2314407,-1.4936147,-0.8301123,-0.93955696,1.0218371,0.06216959,-1.0242758,0.552941,-0.02437452,0.4693567,0.40465614,1.5121368,0.30995697,0.08871113,1.5772798,0.30316803,-0.7378839,0.79327106,-0.08007312,1.2855984,-1.3704892,1.617881,1.5312579,-0.57855856,1.0609586,1.6674378,1.531358,-1.287406,0.50946397,-0.1120107,1.1153524,-0.29585105,-0.13729039,-1.4096941,1.5562304,0.99983007,1.0021844,0.25943542,-0.11236297,0.7578465,-0.21148038,0.54392636,-1.6185683,-1.4500005,1.6972564,0.51488125,-0.18535347
