,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
0,0.7664653,0.6270359,1.0,1.0,-1.5693847,-0.53214073,-0.88970757,0.0,0.0,-0.5556517,-1.3852626,-0.8073194,1.3894097,-0.8475284,0.8173262,1.230383,0.94820285,-0.93187064,-1.0802013,-1.3678404,-1.6154628,-0.96158665,1.6241047,-0.59164613,1.0015401,-0.14774108,-0.129186
1,-1.5383562,-1.3868932,1.0,1.0,-0.10764033,-1.318461,0.042809732,0.0,1.0,0.6874034,-0.4606845,0.46989223,0.46470305,-0.30338562,-0.32244182,-0.39340404,-0.42867917,-1.3725961,-1.4493526,-1.2606858,0.5717465,-1.5522716,-0.07727607,-1.4514467,-1.5413711,0.4609528,-0.35371524
2,0.3691217,0.29952118,0.0,1.0,-1.0673614,0.62064904,-0.6212527,1.0,1.0,-0.07584932,-0.8102571,-1.580913,-0.44818777,-1.4286178,0.85265315,-0.1575915,-0.03608468,0.6642853,-0.21744491,0.51867497,0.99892384,-0.09271062,1.2470497,-1.1372274,-1.2763071,-1.8396997,1.3093385
3,-1.9494094,-2.1734178,1.0,0.0,0.18582347,1.4669138,1.2390703,1.0,1.0,-0.5872408,0.28888395,0.8820324,-0.58716834,0.35261843,0.08498175,1.4151603,-1.1321565,-1.6353164,-1.3995292,-0.101318836,-0.08402896,0.32812384,1.2212356,-1.2076848,-0.18090075,1.5344596,-0.64516294
4,-0.6447274,-0.539565,0.0,1.0,0.42728636,1.6461456,0.33812377,1.0,0.0,-1.1242396,0.6888576,0.20741329,-1.6668278,0.9354606,-1.3436664,0.040386718,0.46280584,0.9280913,1.5063763,-1.1059855,-1.046965,-0.3913942,-0.41207606,0.18604483,1.8148637,0.3583621,0.4815172
5,-0.24205151,-1.0293583,1.0,1.0,-1.3031955,-1.0544941,1.1482825,0.0,1.0,1.3561832,-0.08943676,0.65849733,-0.42617747,0.7317612,-0.46094933,0.15698,0.18981421,-1.2523092,-1.1059698,0.9997014,-0.17260204,0.52304137,0.9881816,-1.6900084,-0.6034417,0.40262842,-0.18742727
6,-0.07051767,-0.55973125,1.0,1.0,0.94644535,-1.3901777,1.5727038,1.0,0.0,-0.42423758,-1.662043,0.3460536,0.9849398,1.6141275,1.725903,-1.4572333,-1.1892514,1.3342632,0.8498481,-0.96018964,-0.28536072,0.11717472,-1.0390573,-1.5624009,-0.78099656,1.6603488,0.97071517
7,0.6819785,0.1963793,0.0,0.0,-1.5936785,0.9273625,1.5580176,1.0,1.0,0.9720775,-1.067943,-0.11460454,-0.84700364,1.0838135,1.6619648,-0.8312907,-1.3661288,-1.0755812,-0.2672336,0.114578225,-1.2599499,0.8246495,-0.5192431,-1.3586739,0.45284587,-0.7392681,1.3242702
8,0.13727534,0.0010416539,1.0,1.0,-0.80813354,0.795742,-1.8403881,1.0,0.0,1.2921323,-0.0084101185,1.3653156,-0.055530928,-0.043147035,-1.0247962,-0.83149385,0.31752008,-0.10813088,1.3992854,0.35440576,0.59647995,-0.9444462,-0.87850064,-0.43344903,-1.557511,0.7159157,-0.44610995
9,-0.44456884,-0.6560591,1.0,0.0,-0.46407923,-1.018942,-0.061269064,1.0,1.0,-1.548772,0.8701175,1.2760834,1.2384969,0.07521061,-0.30371326,0.8095997,0.9253296,-0.73342985,-0.75608104,-0.6865929,1.1198407,1.6187911,-1.2551014,1.4583989,0.10533051,-0.70187694,0.7526258
