,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
0,0.86407435,0.8995375,0.61676633,-0.078601815,1.354386,-1.0124255,1.2781172,0.9352716,0.5415809,1.77445,-0.8173136,-1.7322291,0.50887275,1.3216895,0.837686,-1.7344807,-1.3575802,-0.58762515,0.6014539,1.4723669,-1.0468949,0.47095445,0.6918859,-0.40223584,1.067687,1.2362113,-1.1402442
1,0.41774172,1.3956223,1.6777513,-0.17723633,0.61163455,-0.91027474,1.1192088,-0.52822834,-0.7727563,-0.659832,1.1450942,0.2453399,-1.13617,0.82885015,0.5004161,0.066028774,0.33856222,-1.5285647,0.62945724,0.30636495,-1.4443091,-1.7965913,-0.8059085,1.8619641,-0.86817485,-1.2029529,-1.770475
2,0.58663297,0.52640635,-0.47850776,0.9563369,-0.9624321,1.596696,1.7624651,-1.5776825,0.9611378,0.70087534,0.07182331,-0.82382065,0.61654013,1.0617127,-0.07464968,1.6633847,0.0578526,0.6447942,-0.26803744,-0.6696151,1.4325851,0.57645565,0.5498476,-1.5151238,1.4664063,-0.123681016,-0.17109247
3,0.4158086,0.4874766,-1.209267,-0.56816983,-0.5810941,-1.1296557,1.0778327,0.16384754,1.3470403,1.0878613,0.462672,-1.5857826,1.0703238,-0.413218,-0.09231203,-1.5296432,-1.2037126,-0.3256427,-0.5356338,-1.4308834,-0.9182226,-1.1524715,-0.42028525,1.2876776,1.0161853,1.2000428,-1.160908
4,-0.016664697,0.18099083,0.6463996,0.027412357,-0.05604593,0.60119575,-0.015581428,0.21859655,1.435113,-0.11462664,0.4880711,0.4370731,-0.8965652,0.99524134,0.15445723,-0.783494,1.4225237,-1.5308179,-0.7323054,1.9261802,-0.09369747,0.21314561,-1.7280477,1.4871141,-1.2258788,0.6241771,1.2562865
5,0.64149487,0.9198264,-1.1557276,-0.45712182,0.1993457,-0.005078789,0.9017814,0.34834662,0.09319387,-0.2577764,-0.7948893,-1.6863571,1.1767143,0.6255888,-0.8899759,0.5274869,1.0611175,0.17746338,1.1397789,-0.43627322,-1.2128216,0.9160952,1.3384292,1.237127,0.07065579,-0.07666047,-0.6864687
6,0.50020796,0.9506627,0.19224231,1.5067074,1.5352612,1.383589,-0.5439735,1.1497427,-0.46887803,-1.703856,-1.3092538,0.77077496,0.8993191,-0.36284557,-0.70912033,0.45267087,1.5556282,0.95668066,1.6460613,1.9032025,1.2027771,1.4869423,0.71433216,1.3566358,-0.49467558,0.21146038,-0.5001717
7,1.9141815,2.0902054,1.3982453,-0.83945227,1.7760789,0.6979215,1.5828619,0.7659492,0.17762658,0.4656866,-1.5598263,1.1698381,0.14442444,-0.64580923,0.41754735,1.6956104,-0.3494078,-0.09751238,-1.2957722,-0.23406926,1.3336273,-0.7126246,-0.065079756,-0.97698206,-0.6570833,-0.04267036,1.4726771
8,-0.77598196,-0.9261717,-1.3581644,-1.0471244,0.2746888,1.7248411,-1.340084,0.7881467,0.8654038,0.07792005,0.83869,1.6676623,-1.0259166,0.5102057,0.7110296,-0.36091727,1.7836022,-1.1664244,-1.5643406,0.1216417,-0.9518265,1.5689472,1.52007,-1.5621333,-1.5327345,-0.41333795,0.71689755
9,-0.5497056,-0.83808964,-1.4559551,-0.72205985,-1.0469161,-0.62385744,0.10299777,-0.10276764,-1.7628082,0.39818868,-0.44649285,-1.7672946,-1.8108007,-1.2906903,1.3361602,0.73793733,0.13342953,1.5603334,-0.9666199,0.46800855,-1.4536,0.9224483,-0.03991321,0.2633219,0.86190915,-1.4949241,1.5015571
10,0.8772893,1.2369097,0.67441064,-1.5011674,0.6372662,1.0007161,0.82834667,-0.9394063,0.5904451,1.5196681,1.1749362,0.2924398,-0.6772007,-0.61359286,0.74722385,1.0972489,-1.2120507,-0.6393156,0.5294696,-0.31262165,-0.7396845,1.2395393,0.07745998,0.7804813,1.2481264,-0.71689993,-1.2033837
11,1.5012543,1.6871876,-0.8117971,-0.55610824,1.4255366,0.09152292,1.6071016,0.40605024,-1.0418074,-0.4200868,0.72107166,-1.4353884,0.16167799,0.57123005,1.4691699,-1.1237558,0.69131577,0.8059474,-0.72658527,-0.9064788,0.003092044,0.18934484,0.3627603,0.58187884,1.2524978,-0.928017,0.11989269
12,-0.22571164,0.030844314,-1.5477995,-0.26865572,-0.4207852,0.8155442,0.17456308,1.1760671,1.2981421,-1.2883077,-0.5731484,0.7996396,-0.15746883,-0.68349904,0.9769678,1.6865045,-1.4566699,1.0476513,0.7763816,-1.1915418,-1.0332793,0.15893269,0.5030573,1.3670554,0.19374682,-1.4838018,0.78753537
13,1.2114666,0.7195928,-0.6061386,-0.060788106,1.0964813,-0.017794486,1.5410281,-1.0146552,-1.0966643,-1.1015203,-1.5892249,-0.5022981,-0.8892477,1.0069041,-1.7104877,0.2689958,0.4466253,-1.3558114,0.66151905,0.42310098,1.575943,-0.24681744,-0.18303627,-1.5096638,-1.5259893,0.033338632,1.1247922
14,0.98787206,0.5437335,0.39098224,-0.96237284,1.6321453,1.5917828,-0.15832187,-0.089108475,-0.77231157,-1.7004702,-1.5618299,1.3711909,1.8541691,0.3800472,-0.09355874,0.9666379,0.01670949,-0.4006371,-1.5575793,1.9368132,1.4842999,-1.2912424,-0.84033793,-0.42336696,0.27596226,-1.2532772,0.70475024
15,1.1711904,1.7719373,-1.6487621,-0.22059971,-0.6559657,0.58968526,1.7658107,-1.1229888,0.39251125,-0.19221392,1.7031647,1.4259796,0.7869364,0.6288031,-0.82670313,-1.078641,-0.123611264,-0.31818163,-0.7172556,-1.009196,0.40067574,-0.80930644,-0.05913258,-0.88352853,0.7767488,-0.5256218,-0.9163757
16,-1.0695362,-0.8097442,0.99886805,1.0743333,0.3846706,-0.93698066,-0.9409271,-1.4107159,-1.5952355,-0.07970479,0.33924034,-1.6909477,-0.9813096,-1.2574489,1.060867,-1.4971819,-1.529163,-1.2362254,0.016637627,-1.4690588,1.4322218,1.6539044,-1.2440569,-1.4345759,0.05175414,1.3271714,-1.0800153
17,-0.51829857,-0.2784325,-1.347609,-0.7061507,1.1330853,-0.3952129,-0.5202675,1.0780329,0.4083821,-0.11508153,-0.76867884,1.0382775,0.64820075,0.018086715,-0.13916394,-0.6674657,0.29468048,0.07297778,-0.0053239553,0.4587552,1.0585312,0.2635172,0.08417676,1.3151065,-1.1060905,1.1666627,0.96747726
18,0.066885784,0.9897799,1.078562,0.45703554,-1.6177675,-0.34946755,0.27943802,-0.19145586,1.2646276,1.5070238,-0.9179523,0.51604015,0.27981368,0.36269504,1.6990854,-1.4588662,1.6844404,-0.8828087,0.26526323,-0.42248562,-1.080132,-0.7355708,0.2556353,-0.48358867,0.44964254,-0.39102873,1.1567582
19,-1.3611659,-1.4907897,-1.5666962,1.044705,-1.661995,-0.56876093,-1.7329214,0.910286,-0.098147444,0.104354404,-1.2704623,1.0560961,0.36186674,0.080131,1.5980861,-0.9663782,-0.66837126,1.5710953,1.127434,1.18116,-1.4922218,0.09314746,-1.5303508,1.1142594,0.49864295,-0.6834501,1.4330568
20,0.43723267,0.7057299,-0.4014166,-0.7868783,-1.6712068,0.41246507,0.6886471,-0.25387216,-1.7389033,-0.18812223,0.6460047,0.0511908,-0.30166018,1.3733402,1.0950203,-0.29598138,1.7955991,-1.4543194,1.5098494,-1.3717421,-0.6795991,-0.34194595,0.85700524,-1.2170327,-0.5484884,1.3545882,-1.7737653
21,-0.65103745,-0.90308714,1.5891097,-0.46847403,0.6277421,0.68395966,-1.363218,-0.65434045,-0.6372723,1.2812898,1.4220115,-1.0413324,-0.25456145,0.1729367,-1.6335278,-0.71049017,-1.201934,0.007860339,1.379256,-1.3442165,1.4479594,1.0056584,-0.5211342,1.2930378,-0.81451523,-1.0669594,-0.01772747
22,-0.58772075,-1.1091872,-1.4216586,1.3307053,1.5648665,-0.9982051,-0.9485748,0.9322833,0.6169735,-0.024147497,1.6637565,0.66619545,0.27077076,0.38913816,-0.91786265,-0.99304456,-0.56894225,-1.2480873,1.3174523,-0.5692076,0.5796119,1.3737915,-1.6202854,-1.2561967,1.0951887,0.851191,-0.8896954
23,-1.1309679,-1.587271,1.3769288,0.09328958,0.93019015,-1.5871007,-1.4696673,0.70179224,-1.5245817,1.1085149,-1.4918518,-0.14716613,-1.1704654,-1.7670566,-0.42163807,0.97017777,-0.2632221,0.48916864,-1.210527,1.1256297,-1.4562075,0.7811242,0.73669887,0.54509205,1.156448,-0.985236,1.2020185
24,-1.6559438,-1.2614703,-0.4903129,-0.3098925,-0.9347079,1.6177416,-1.2872322,-1.1788374,0.5677179,0.6941705,0.7899799,-0.4346298,-0.08301129,-1.72351,1.5466931,0.36029536,0.21600565,-1.2922224,-1.3389165,1.0131904,-0.98097235,-0.36243355,-0.80927235,1.7669219,1.2201036,1.6133424,-0.92432094
25,-0.66488355,-0.90318954,1.485351,-1.5531707,1.2195798,-1.2888513,-0.8579932,-1.5667368,1.0800037,-0.81321156,0.5866974,-0.18070346,0.034960724,1.2088914,0.39942938,0.5443963,1.6818377,-0.16685256,1.5728705,-0.6966801,-0.213832,-0.48758465,-1.4904542,0.2067909,1.5644112,-0.22700122,0.105874576
