,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
0,-0.59520775,-0.7770336,0.0,0.6669227,0.1927025,-0.51762855,-0.79087174,4.0,1.0,-1.5288832,-0.6385464,-0.050046023,-0.6858196,1.4857891,0.7304962,-0.51603574,-1.2899529,-0.19875607,-1.2483432,-0.3263551,-0.18350573,-0.07030999,-0.11217615,-0.15161619,-0.11669343,-0.044793215,-0.06524678
1,0.56467515,0.5401267,0.0,0.0,0.6368181,0.53794354,0.441641,1.0,0.0,0.0020537,0.07206107,-0.7726758,-0.6858196,-1.003605,-1.184192,0.2686842,-1.2899529,5.031476,0.78542966,-0.3263551,-0.18350573,-0.07030999,-0.11217615,6.666515,-0.11669343,-0.044793215,-0.06524678
2,-0.047128614,-0.97912246,1.0,1.0,0.4591719,-0.1657712,-0.17461537,0.0,2.0,-1.5288832,-0.6385464,-0.3210322,-0.6858196,0.6559911,0.7304962,-0.36804107,0.5145212,-0.19875607,1.1243918,-0.3263551,-0.18350573,-0.07030999,-0.11217615,-0.15161619,-0.11669343,-0.044793215,-0.06524678
3,-0.078905456,0.6367228,1.0,1.0,0.54799503,-0.14091317,-0.2675255,4.0,2.0,0.14776912,-0.22297601,1.2145561,-0.6858196,0.24109204,-0.22684784,-0.35567826,-1.2899529,-0.19875607,-1.2483432,1.3303561,-0.18350573,-0.07030999,-0.11217615,-0.15161619,-0.11669343,-0.044793215,-0.06524678
4,-0.31479275,-1.0972447,0.0,0.0,0.54799503,-1.2213433,-0.17461537,4.0,2.0,-0.55465066,-1.7044575,0.5521455,-0.6858196,-0.58870596,0.7304962,-2.5431294,0.5145212,-0.19875607,-0.2314568,-0.3263551,-0.18350573,-0.07030999,-0.11217615,-0.15161619,-0.11669343,-0.044793215,-0.06524678
5,0.67938834,0.31214523,0.0,1.0,1.7026956,0.18608618,0.441641,4.0,1.0,0.1412298,0.60501665,-0.080155596,0.44532558,1.4857891,0.7304962,-0.4097144,-1.2899529,5.031476,1.1243918,-0.3263551,-0.18350573,-0.07030999,-0.11217615,-0.15161619,-0.11669343,-0.044793215,-0.06524678
6,-0.06624748,0.15315297,1.0,0.0,-1.494937,-0.1657712,0.441641,0.0,1.0,0.027389,-0.0199039,-0.38125134,0.44532558,1.4857891,0.7304962,0.5145631,0.5145212,-0.19875607,0.35541117,-0.3263551,-0.18350573,-0.07030999,-0.11217615,-0.15161619,-0.11669343,-0.044793215,-0.06524678
7,0.75586385,0.21256128,1.0,1.0,-0.69552875,0.8898009,1.0578973,0.0,2.0,-0.9721789,0.60501665,-0.62212795,0.44532558,-0.58870596,0.7304962,0.98733723,0.5145212,-0.19875607,-0.9093811,-0.3263551,-0.18350573,-0.07030999,-0.11217615,-0.15161619,-0.11669343,-0.044793215,-0.06524678
8,-0.101919904,-0.56349033,1.0,1.0,-0.07376688,-0.13760193,-0.09037673,3.0,1.0,1.1154624,1.3156241,-0.71245664,0.44532558,-0.17380697,0.7304962,0.10852527,-1.2899529,-0.19875607,-1.2483432,-0.3263551,-0.18350573,-0.07030999,-0.11217615,-0.15161619,-0.11669343,-0.044793215,-0.06524678
9,1.5588562,1.1622684,1.0,1.0,-0.96199816,1.2416583,2.29041,3.0,0.0,-1.111355,-0.10559079,-1.4049768,-0.6858196,-1.003605,-1.184192,1.2041965,-1.2899529,-0.19875607,-1.2483432,-0.3263551,-0.18350573,-0.07030999,-0.11217615,-0.15161619,-0.11669343,-0.044793215,-0.06524678
