,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
0,0.03371781,1.8213812,1.0,0.0,-0.28775805,0.18942869,-0.17787026,4.0,0.0,0.44114104,-0.09755545,-0.45424557,-0.6654808,-0.9612818,-1.1526799,0.33488175,-1.3030928,-0.17782454,-1.211218,-0.309614,-0.1597268,-0.046153244,-0.113659255,-0.1528439,-0.12725523,-0.055376317,-0.066993676
1,0.03371781,-0.25860313,1.0,0.0,-0.45585895,-0.21445195,-0.14157502,4.0,0.0,0.1566772,-0.14795768,1.542192,-0.6654808,-0.9612818,-1.1526799,-0.026541796,-1.3030928,-0.17782454,-1.211218,0.98841494,-0.1597268,-0.046153244,-0.113659255,-0.1528439,-0.12725523,-0.055376317,-0.066993676
2,0.03371781,-0.46143037,1.0,1.0,-1.9687669,-1.227912,-0.80615807,0.0,1.0,-0.16248627,-1.6133206,0.38297015,0.4818999,1.5804445,0.78843576,-1.0266119,-1.3030928,-0.17782454,-1.211218,-0.309614,-0.1597268,-0.046153244,-0.113659255,-0.1528439,-0.12725523,-0.055376317,-0.066993676
3,0.03371781,-2.67755,1.0,1.0,-1.1282625,-0.51924163,-0.17787026,1.0,2.0,0.7429547,0.0708629,-0.45424557,0.4818999,1.5804445,0.78843576,0.043952983,-1.3030928,-0.17782454,-1.211218,-0.309614,-0.1597268,-0.046153244,-0.113659255,-0.1528439,-0.12725523,-0.055376317,-0.066993676
4,0.03371781,0.025252244,0.0,0.0,1.8975536,-0.87357676,-0.17787026,4.0,1.4137733,0.2902342,1.2497913,-0.48644617,-0.6654808,0.3923658,0.5525805,-1.2006837,0.5398516,-0.17782454,1.1399746,0.37339282,-0.1597268,-0.046153244,-0.113659255,-0.1528439,-0.12725523,-0.055376317,-0.066993676
5,0.03371781,-0.2928944,1.0,0.6484787,-0.62395984,-4.7712636,-5.2041726,0.0,1.412307,0.7429547,-0.6028105,0.15756594,1.6292806,0.30958134,0.78843576,-3.4569383,-1.3030928,-0.17782454,-1.211218,-0.309614,-0.1597268,-0.046153244,-0.113659255,-0.1528439,-0.12725523,-0.055376317,-0.066993676
6,0.03371781,-0.5146317,1.0,1.0,-0.87611115,0.5437638,0.45041755,4.0,1.0,-0.6152067,-1.1080655,-0.6474492,-0.6654808,1.5804445,0.78843576,0.5660363,-1.3030928,-0.17782454,-1.211218,-0.309614,-0.1597268,-0.046153244,-0.113659255,-0.1528439,-0.12725523,-0.055376317,-0.066993676
7,0.03371781,0.35600898,1.0,1.0,-0.53990936,-0.16490646,-0.17787026,0.0,1.0,-0.7661136,-1.1080655,-0.48644617,0.4818999,0.30958134,0.78843576,0.21704839,1.4613239,-0.17782454,0.8079404,-0.309614,-0.1597268,-0.046153244,-0.113659255,-0.1528439,-0.12725523,-0.055376317,-0.066993676
8,0.03371781,0.4639644,1.0,1.0,-1.3804139,0.898099,1.0787053,4.0,1.0,0.13932738,-0.09755545,-0.38984436,0.4818999,1.5804445,0.78843576,1.2556766,0.5398516,-0.17782454,0.37381744,-0.309614,-0.1597268,-0.046153244,-0.113659255,-0.1528439,-0.12725523,-0.055376317,-0.066993676
9,0.03371781,-1.0551583,0.0,0.0,-0.70801026,1.2524341,0.7645614,0.0,2.0,-0.16248627,0.57611793,0.5117726,-0.6654808,1.5804445,0.78843576,1.1976391,1.4613239,-0.17782454,1.1399746,-0.309614,-0.1597268,-0.046153244,-0.113659255,-0.1528439,-0.12725523,-0.055376317,-0.066993676
10,0.03371781,-0.8718776,1.0,0.0,0.63679683,1.6067693,2.9635687,2.2355146,0.0,-0.7661136,-0.9396472,-0.55084735,-0.6654808,-0.9612818,-1.1526799,1.0838535,1.4613239,-0.17782454,1.1399746,-0.309614,-0.1597268,-0.046153244,-0.113659255,-0.1528439,-0.12725523,-0.055376317,-0.066993676
11,0.03371781,-0.45240584,1.0,0.0,0.9729986,0.15865478,0.023327945,0.0,1.0,-1.6715546,-0.43439215,0.083384775,-0.6654808,1.5804445,0.78843576,-0.2956699,0.5398516,-0.17782454,1.1399746,-0.309614,-0.1597268,-0.046153244,-0.113659255,-0.1528439,-0.12725523,-0.055376317,-0.066993676
12,0.03371781,0.738463,1.0,1.0,-1.8006661,-0.51924163,0.45041755,4.0,0.0,-0.6152067,-1.1080655,-0.067838304,-0.6654808,-0.9612818,-1.1526799,0.14954999,-1.3030928,-0.17782454,-1.211218,-0.309614,-0.1597268,-0.046153244,-0.113659255,-0.1528439,-0.12725523,-0.055376317,-0.066993676
