,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
0,-0.4869962,0.25792438,0.22956668,0.846198,-0.5478954,0.10140283,1.3310847,1.1775433,-1.1666226,-0.89572215,-1.5440514,-0.19350383,-1.4659941,-0.2701938,0.4032131,-0.8267725,0.58168954,0.17906798,-1.5593172,0.26819825,-0.78974676,-0.35058755,-0.67224246,0.74663126,-0.31854057,-1.215744,0.09253845
1,-1.4742182,-1.2924225,1.0295254,-0.63415647,-0.80298716,-0.3331734,1.4824908,1.4688513,0.6291647,1.4409472,1.0912904,-0.42481336,-1.2438817,0.4148918,0.080586605,-0.5260617,-1.064701,-0.45186725,-0.031923488,-0.75232947,-0.6697444,-0.205757,1.4644523,0.380118,-0.8565466,-0.783881,-0.21502711
2,0.60529995,0.6454888,-0.97424805,-1.0209678,0.27764934,-1.396979,-0.09581484,-0.77462685,0.7451061,0.9166079,0.5781531,0.7210826,-0.24134918,0.46620554,-0.6897037,0.23851217,-0.69706345,-0.3196682,-1.4304308,-0.84591943,1.8372612,-0.97812223,0.83842736,0.60034466,0.65311575,-0.08100631,0.27024025
3,-0.92186826,-1.697968,-1.4567704,-1.4955862,-0.88801616,-1.1683594,-1.4325044,-1.6258,0.23799866,-0.96098596,1.4441487,0.6932123,0.35514557,0.6022826,-0.9581207,1.5196189,1.1762365,0.6426844,0.0068646413,1.2662821,1.0006818,0.48341164,1.6623485,0.542698,-0.57393694,0.19626218,-1.0972762
4,0.41835362,0.3028281,-1.0207365,0.9107563,1.2799399,1.7330426,1.1847718,-0.11155282,-1.2841781,0.050346464,1.3639723,1.0835646,0.15589024,-0.27560908,-1.1203147,-1.1933478,-1.6172588,1.2110912,0.5558739,-1.1959743,-0.2186,-1.5953122,-0.94683033,0.8754611,0.40353504,-0.06713615,-0.8294329
5,0.26602668,0.11827813,0.5830744,1.7610534,-0.0128411185,-1.4574553,-1.5802022,-1.7954732,1.5727884,0.22465019,1.0637902,-1.1905959,-0.64486265,0.5492989,1.2739775,-0.6016264,-1.6499183,1.1143217,-0.6431709,0.9103155,-1.1630219,0.60121244,1.393671,0.86326724,-0.5973575,0.8161734,-1.2917138
6,0.12229166,0.08783183,-0.5963998,-0.21700577,1.6213431,-1.1617122,1.2863909,0.8218116,1.6119264,-0.3566955,-1.0348471,-0.9308551,1.3771315,1.5015945,0.5787112,-0.088330075,-0.8384858,1.0101653,1.3522625,-1.3763902,-0.94943964,1.0664556,1.419164,-0.5512096,-0.87091917,-0.23888065,0.07476472
7,1.0240363,0.76290566,-1.3570969,1.3206239,0.35423517,1.0357383,-0.9768158,1.4297358,0.887445,-0.43936384,1.4322919,0.7628086,1.4223738,-1.7037253,-1.6939694,0.8536466,-0.7741311,-0.07447422,-1.1052423,1.7449735,0.10822844,1.057069,-1.4479852,0.0120533155,-1.6147461,1.3779838,-0.24513184
8,0.8316426,0.8133934,-1.4512618,-1.481091,0.3692483,-1.4382341,-1.1408653,-0.5034995,0.05574311,0.36759016,0.34397596,-0.44389728,0.6320411,-1.3142788,-0.91705424,1.0562778,-1.3272957,-1.0788803,-0.80757594,-0.011395737,-1.7430698,-1.6592419,-0.013013461,-1.0728778,0.5008052,1.060489,0.20703593
9,0.4067038,0.207954,0.7313499,-0.3224722,-1.4529059,-0.15117982,-0.48483402,0.08365407,-1.1382707,-0.8269581,0.9885406,-0.8433802,-0.110520154,1.3996357,-0.9168988,-1.3088993,0.6757046,0.09762246,0.45775872,-1.55293,-0.20702039,-1.7478197,-0.80921704,0.79092854,-1.6172782,-0.7242738,1.6075758
10,-0.7012564,-1.2484493,1.6949147,0.012401525,1.0977479,0.5323421,-0.15818208,1.0341718,-1.0124861,1.1910111,-1.5752318,1.3757054,0.8360513,-0.30824757,0.48245767,-0.16842748,0.96025807,-1.4549538,0.102696024,1.3698307,1.6747274,-1.0129749,-0.78923965,1.4697291,-0.64393836,-1.5723149,0.6741337
11,0.08373664,0.4521605,-0.2457692,0.94632804,0.14096488,0.065103166,-0.32595152,-1.036655,1.3790336,0.65472484,0.9024412,1.4817048,-0.6810476,1.3433465,1.1574926,-0.0029491484,0.18631999,-1.4498603,0.9744506,-1.0906416,0.22286381,-1.3323215,-1.4521352,0.45821285,-0.14459516,0.6311761,0.933667
12,-0.88571006,-0.5186624,1.7348758,-1.4531467,0.71118474,0.3353837,0.4864898,-0.113069154,0.25142986,1.3257936,-0.21509117,0.15324703,0.88937724,-1.5503906,-0.3643444,-1.4651076,-1.3830489,-1.8359544,-0.9217868,-0.93767,0.15798958,0.17692514,1.3290216,0.038785227,1.2272809,-0.36637598,0.7756846
13,0.38875088,1.1007468,0.23639584,0.53551507,-0.6237891,1.6109948,0.90132844,-1.5662202,0.18596612,1.7531974,-1.5520504,-0.70163083,1.0669852,-1.7251092,0.74783176,0.24078317,0.78402454,0.042059846,1.58302,-0.4804195,0.3727119,-1.589629,0.32724047,-0.1920519,1.5416105,1.5968074,-1.2957715
14,1.1200318,1.1408696,-1.5451385,-1.3183165,-0.9110626,0.8631202,0.11469332,-0.14323755,-0.053442433,-1.5694165,-0.41263703,1.8617189,1.3501548,0.13416933,-1.196367,1.4969734,-0.3382291,0.27649093,-0.94443816,-0.5450298,-0.47369817,-0.41979477,-1.6398252,0.63418996,-1.2455645,0.37618116,0.34853178
15,0.5448544,0.37631604,0.74229324,-0.68733174,-0.5437247,0.9669797,-0.42821318,-1.5411171,1.3939898,-1.5479556,1.2264395,-0.74052763,-0.21204484,1.5475173,-0.34755844,0.75644,-0.38115665,1.2834542,0.82813203,-0.007221976,-1.4352261,-0.5256258,0.094591916,-0.6567858,0.0042879866,-1.027525,-0.079371504
16,-0.9143132,-1.1414424,0.15012491,0.7180227,1.1335344,0.87658215,-0.30310646,-0.43187988,1.2896913,-0.37320647,0.7338943,1.8437815,1.7225363,0.05183875,-0.8124503,0.41775241,0.6110515,-0.0396392,-0.46946362,-0.09624893,-1.4441909,-0.77169085,-1.1855906,0.65522265,1.4595977,-1.2144356,-1.6715224
17,-0.35233498,-0.9964054,0.89374244,-0.45803615,0.24779621,-1.4895893,-1.161805,0.44367772,0.4085559,1.274923,1.4800546,-0.49249098,0.6374279,-0.30210236,-0.104020506,-0.4177005,1.6805204,0.29124427,-1.1545937,0.75754935,1.815701,1.2810163,0.34416807,-1.5797105,0.93282723,1.5477908,0.7391893
18,0.98692876,1.3960611,-0.19511142,-0.35974747,1.1307186,-1.3240343,0.95375687,-0.27525476,-1.3487842,1.1729158,-0.41517335,-1.4235729,-0.9532173,1.1328905,-1.2801875,1.0039095,1.0482439,-1.5471109,-0.14710206,1.0726753,0.061429586,1.1829545,-0.3160229,0.52434874,-1.096363,1.2282702,1.0993717
19,-0.08304965,-0.54161775,0.2819747,-0.5725343,-0.3382501,0.3980212,-1.3338434,-0.23261018,-0.6088334,-0.44445485,-0.64698875,1.2563366,-0.94715273,-1.0382516,-1.309399,-1.7801375,-0.33291087,1.04528,1.4571983,0.016294729,-0.19186549,1.1902714,0.2348935,0.25123495,0.3973283,-1.4912262,1.0964619
20,-0.3540296,-0.84757286,-1.3216287,0.19837476,1.8018857,0.23539186,-0.58861107,0.55743647,1.3800309,0.47818848,-1.5293899,1.4193593,-1.5083879,0.50142014,1.2897928,-1.2649003,0.041323006,0.5699028,-1.0391661,-0.8370321,-1.500322,-1.2215687,-1.2845906,-0.6335429,0.7444057,0.6984805,0.8371485
