,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200
0,-0.96382403,-0.7535023,0.0,1.0,-0.89043134,0.05400722,-1.5743709,1.0,1.0,-1.5658089,1.4671769,-1.3023114,-0.54692036,0.43430588,1.4610969,1.2418064,-1.5507493,0.088833794,0.10211215,-0.044793468,0.9110729,-1.1980284,0.92501855,-1.7362857,-1.2815114,-1.2925342,-0.7435399,0.61933976,0.054953028,1.1268486,-0.65145624,0.8886911,0.7247044,-0.5651947,-0.65800977,1.6755029,0.26674452,1.5394151,0.8731942,1.0665076,-0.22308658,-0.12902427,-0.4099906,1.7590234,-1.3703578,1.5953733,-0.26233977,-0.34713784,-0.1902852,-0.4725728,-0.09384738,-1.5223829,-1.3604124,0.7758564,0.56232136,-1.5271943,-0.51925826,-0.9874862,-1.4574498,0.04782627,-0.2886249,-1.4907206,0.23127484,0.97133577,-1.1792818,-0.87100405,0.53360456,-0.07312208,0.029326906,-0.0537874,1.3182465,0.44315708,0.4190903,-0.3612948,-0.11484178,1.4815269,-1.0534579,1.4090327,-1.5963918,0.47210374,-1.5329407,0.4747763,0.34582013,1.2426656,1.4906435,-0.25169432,0.40852267,1.3323593,0.37549707,-0.6745017,-0.6202627,-0.5639568,1.5466512,-0.26550484,1.6795434,1.2792808,0.60090625,-1.734101,1.4443868,1.4477859,-1.6293894,0.4014357,-0.32614738,0.3714063,0.39177102,0.30309638,-0.8665249,-1.3617212,1.1168933,1.4805748,-1.1691052,-1.0304085,-0.3285552,-0.34182912,1.2117577,-1.1327327,-0.23375657,0.5262505,0.039492033,-0.58026516,0.9893004,-1.3193014,-1.1889154,-0.32033807,0.911289,-0.98969996,-1.3965291,1.5446438,-1.3164275,0.3198206,-0.745999,0.45286387,0.55205303,-1.5309882,-0.36019263,-0.599768,-1.0741556,-1.7782143,-1.8069316,0.2781304,-1.3738581,-0.64711595,1.6257528,1.4776773,1.3959492,-1.1575556,-0.61092085,-0.82096016,0.021437941,0.12934478,-0.3530893,0.93207234,0.5052239,0.59092766,-1.2052188,0.8289277,0.4816195,-0.58837944,-0.3554879,1.6927315,-0.5873037,-0.40249085,0.46079004,0.4515114,-1.7459551,0.27774632,0.9513943,1.7557143,0.68803334,-1.3557621,-0.84498274,-0.30451825,0.46805057,-1.524999,-0.35440153,-0.665757,1.6413456,1.5294193,0.839745,0.16733609,-1.0835112,1.4894756,1.3540573,1.3032818,-1.5444844,0.9243236,-1.3198746,1.3899275,0.3078981,1.6886121,-0.2671171,0.38101533,1.0394076,-0.84321004,0.47868118,1.1064277,0.03866598,-0.28669304,0.10005431,1.4267906,1.6605341,0.7361688
1,1.1463056,0.8432971,0.0,1.0,-1.305706,-1.7100059,0.88374627,0.0,1.0,0.07177685,-0.041475367,-0.77274114,-0.6723178,-0.9930837,0.21649459,-1.2609348,0.90762305,1.2367712,0.5670458,-0.8083052,-0.34973335,0.031987023,-0.5009576,0.13233618,0.551147,-0.67103267,-1.088519,1.0327293,1.1646334,-1.6929182,0.57622325,-1.2200948,0.20124811,-0.68240833,1.0499086,-1.3619354,1.1907313,-0.5950192,-1.2588967,-0.18979652,-1.3220422,0.9316615,-0.54101765,-0.5340231,-1.6366755,-1.165806,0.09378251,-1.5082108,-0.118213125,1.4182235,-0.31640518,-0.99935627,1.1697596,0.5230228,0.4828704,-1.19601,-0.34582028,-0.1292517,-0.3456343,-1.0382594,-0.9319178,-1.1777453,0.7880448,-1.3209294,-0.4991366,-0.4614529,-1.5109907,-1.2029793,-1.0977689,1.0725845,-1.0069809,0.96106577,-0.45677075,0.38977587,0.4813122,-0.9082924,-0.34271207,0.5178878,0.2657566,0.5191839,-1.5052408,1.282622,1.2516326,-1.0461998,-0.3947182,1.3458666,-0.37242496,-0.38697955,0.6988149,-1.2269832,1.3033392,-1.4985386,-1.5259004,-0.37669563,-0.7894844,0.09621336,-1.3130604,0.544261,0.13977353,1.1320596,-0.73037165,-1.2013105,0.17053634,-0.905573,-0.15409917,-1.351974,0.20707504,1.2422593,1.520821,1.6181914,0.2621172,0.054295227,1.1106886,0.578506,-1.1807215,-0.31882134,-1.1563582,0.24449562,0.03057435,-0.15506838,1.7228664,1.385703,-1.3293866,0.43078262,-0.14398521,0.9702101,1.3927392,1.1789141,-1.6652365,1.3417743,-1.2026366,-0.5844528,-0.41840914,1.0120852,-0.91887057,-1.152631,1.6997812,-1.6487166,-0.76593065,-0.40078053,-0.85182726,-0.81495255,-1.3567826,1.258649,-0.8949227,0.45652786,-0.4635707,-1.6136435,-0.8478879,1.1201959,-0.3342641,-1.3997957,1.6494082,0.5671315,0.56670165,1.4413143,1.458007,1.4708184,-0.2680463,-0.8698564,-0.094943285,1.0451022,0.082163975,-0.4087233,0.2844329,0.50517195,1.6226934,0.5324066,-0.33707157,1.4315557,0.9010586,-0.26380894,-0.1180941,1.6899434,1.6413962,-1.764187,1.1922172,-0.5690064,-0.35200733,-0.5986856,0.4908236,-1.3602761,-1.0348136,-0.9417735,0.24390689,-1.3560398,-0.6103336,1.065093,-0.03729092,1.5757463,0.7836222,-1.4999758,-0.089050025,0.08862889,1.3864075,1.439856,-1.5606546,1.432499,0.64189583,0.2016488,1.3775357,-0.19502181
2,0.050666694,0.15847182,1.0,0.0,0.99463737,0.14655502,0.2565004,0.0,1.0,0.72160065,0.9936972,-1.3662691,1.4544992,-1.1779118,-1.6141679,-0.12666312,1.6942786,1.5387348,0.22226983,1.0914141,-0.8450103,0.4792888,-1.1062256,-0.90838003,1.3669639,1.3540119,0.8365248,-0.08092429,1.5460441,-1.2233243,0.10150834,0.42175996,-1.5228069,1.0215704,-0.8424925,1.493551,1.3110136,0.96926355,1.0726309,-0.71813136,-1.0692625,-0.44056028,-0.4361867,1.5534717,1.0716517,1.1611425,0.7139655,1.0467054,-0.18535759,1.3111818,1.5918493,-0.16813235,1.5209212,0.7056313,0.5825534,0.19094945,1.6551331,-0.5054406,-1.1656424,-1.6208719,1.0412836,0.12896885,-0.9498512,-0.58265543,0.6154723,0.81484437,-1.3504052,0.3600966,0.35665467,1.163311,-1.0598217,-1.184009,0.92302334,-0.5548016,-1.3395811,-0.16188298,0.9192425,-0.58164823,-1.1573611,1.0653622,-1.4181954,-1.4413266,-1.8492793,1.0392234,-0.51210713,-1.0792971,-1.9842446,-0.96622235,-1.3346857,1.2117176,-1.3542916,1.0311015,0.014363113,-1.6224347,-0.9672834,-0.4863246,-0.53674066,-0.68557584,0.51187366,-1.457839,-1.3665946,0.048849225,-0.59195906,0.645275,-0.7697648,0.5761306,1.2531096,-0.42197636,-0.8505909,0.89819795,-1.3824029,0.08447892,1.6453481,-0.7207315,0.7662767,-0.39502186,1.2290064,0.8660299,-1.6628507,1.4058967,-1.1157961,1.315267,-0.47778335,-1.6028811,1.2386527,0.30202162,-0.7831587,1.3178568,-0.85181665,-0.6678772,0.21191633,0.36544225,-0.097887434,0.92135936,0.29910022,0.54154956,-1.410626,1.3855782,-1.5628295,0.6151912,0.60510427,-0.8670283,1.733516,1.4276292,-0.105484314,1.7258695,-0.31841794,-0.17471503,0.72583133,-0.8401551,-0.23540127,0.67980593,-0.88052773,-0.13613115,-1.3904483,1.5154454,0.38870153,-1.1493528,0.25820586,-1.6090934,-0.21029791,1.3194112,0.58008426,-0.32922286,0.44671848,1.463242,-0.8898331,1.5588229,-0.79533494,0.36583105,-1.2002155,-0.042578965,1.5408252,-0.2606375,0.8227255,-0.12360142,-1.6350456,-0.16113332,-0.81056875,1.7252151,1.095436,1.2492694,0.20545135,1.6282846,1.4198021,-0.13789713,0.3696735,-0.61779404,-0.26284233,-1.5936334,0.82536536,-0.6666934,-0.11936937,-0.36150655,1.26691,-0.85299355,0.34651047,-1.0142899,-0.6698008,0.7291402,-0.0015703016,-0.14611505
3,0.8469091,0.09064613,1.0,1.0,-1.6789688,1.0638901,0.6840935,0.0,0.0,-1.4874082,0.5271428,-1.2539692,1.8668046,1.5952213,1.527274,-0.25629655,0.6747347,-1.416715,1.2616469,0.79142565,-0.60542923,0.011988953,-1.000897,0.43145925,1.5588253,-0.76066214,-1.6708294,-1.421577,0.13351509,1.377954,-1.4775151,0.069707565,-0.23239864,0.5876512,0.33427376,0.37711015,-0.120780736,0.040589835,-1.3803356,-0.16192366,-0.69540226,-0.3665725,0.21503624,1.0285709,0.55919445,-0.9628013,1.3337739,0.11964818,-1.2416575,0.41778845,1.2900646,0.46488783,1.3035002,1.2022585,1.3465497,-1.3305137,-0.32658,-1.0273081,1.7344643,0.5835719,1.3868862,0.18925443,-0.85704213,-1.3665761,-0.057449643,0.32664555,0.70977503,1.5523323,-1.3171713,-0.1977999,1.3873781,0.13503613,0.684711,1.0375624,-0.018662678,1.2535411,-1.0294662,0.6144285,-0.68944424,1.1948375,-0.47835892,0.58560956,1.0246595,1.1736771,-0.87074834,1.6495253,-1.97807,-0.47927973,-0.6621191,1.4840763,0.24930036,0.959498,-0.52246696,-1.0799807,-1.5783229,-1.2183688,-0.61231786,0.8507367,-0.13638052,0.67985195,0.33282346,-0.62424475,0.032656085,0.014892694,-1.1638118,-0.010238616,1.4170216,0.49247405,1.2243925,1.6213553,-1.8719491,0.57593894,-0.3038491,1.3708856,0.29446524,-0.5441742,-1.2833753,-1.5473323,0.7618133,1.6000752,-0.3168194,-0.8003296,-1.5942056,0.94433576,-1.3707783,0.03557684,0.07003561,-0.81465685,1.2779332,-0.26639807,-0.13066134,1.1207355,1.0558344,-0.37019977,-0.6776817,0.80062646,0.1232697,0.6766905,1.4981782,0.86940765,-1.010977,-0.10430034,1.2999166,-0.6797966,0.94435436,0.24635912,-0.7276912,0.778668,-1.4166462,-0.86810327,-0.9322104,-0.8993856,-0.7734428,-0.71001244,1.6422347,-0.48399863,-0.5488893,0.9591978,-0.061841328,-0.09566091,1.1652292,-1.1306651,0.11852341,-1.5986221,-0.9112845,-0.84652334,-0.41702121,-0.55300856,-0.5967629,1.6456318,0.3422778,-0.46022895,0.100235805,1.4236317,1.0155133,-0.14823388,-1.3058658,-1.5700887,-1.711919,1.4978234,-1.0728769,0.7301717,1.544014,0.294604,1.26853,1.0827447,1.5667454,0.83746356,-0.29525873,-0.68381315,0.09616887,-0.7378793,1.6184399,-1.445985,-1.0805587,-0.40474865,0.13533746,0.28052023,1.1629153,-0.7038141,0.98088855,-0.5371881
4,2.7288978,3.0637963,0.0,1.0,-1.3129201,1.4499917,0.6831531,1.0,1.0,0.6248465,1.088407,0.67810637,1.3796798,0.35975116,-0.51042897,-0.1408378,-0.18256752,0.5863398,1.5578097,1.2043107,-1.0114605,-0.016483266,1.4170568,1.7478542,1.4440318,-1.3997307,-0.8744383,0.8102714,-1.6355307,0.75852895,-1.5427626,-1.0839021,0.7565005,1.4346477,-1.7053525,-1.505369,0.09467029,0.16162448,1.2799689,1.2315692,0.88242334,0.7066753,1.0604138,1.2474095,0.79029775,-1.0993854,0.26990777,-0.5853253,0.36168933,1.5832791,1.020322,1.6916703,-0.343358,0.2564773,-1.1980667,-1.621963,0.8559247,-1.082336,1.4603413,-0.6862069,-1.2024224,1.4683656,-1.1213984,1.284122,-1.0772792,-0.29442763,1.2793275,1.1354063,0.713508,1.6022702,0.964966,1.1758888,-0.12847969,0.267744,1.4299909,-1.1618353,0.75481033,-0.38358003,0.14840722,-1.3006788,0.42450625,0.9969141,-0.23839743,1.5898079,0.24784915,-0.6838304,0.44241917,1.0497442,0.86270946,-1.4310409,-0.5875257,1.4317333,1.2844397,-1.5365343,-1.0573645,-0.44706464,-1.1242577,0.4717608,1.2119395,-1.6673265,1.2966248,-1.5642003,1.0621656,-0.31049433,-0.19286828,-0.5323921,-0.54775393,1.3926357,-0.59315604,0.6557849,0.80655,-0.6385054,0.18689308,-1.3431859,0.92456096,-0.2550415,0.16815564,-1.260123,0.76806605,0.5380451,1.418509,0.28392738,1.5723861,1.7553097,0.47704107,-0.31078225,1.0183656,0.72455686,0.12635995,0.6147757,1.4883932,0.261653,-0.42607614,0.41665572,0.49459928,-0.75010836,1.3886442,-1.0771788,-0.13742548,0.5062022,1.3560137,0.034216028,0.43894374,-1.2636139,-1.6060975,-0.95634955,1.4522759,-0.7628049,-1.1623093,0.2819083,-1.211602,-0.862688,0.6144066,-1.6080265,0.35086006,-0.9934168,-0.92329574,-0.41927314,-1.1037964,1.516125,-0.28872126,-0.661452,0.39610434,-1.1078075,-0.6909684,1.1341166,-0.6905107,-1.2164168,-0.9520131,0.81705356,-1.1003438,0.89081633,0.12979716,-0.25897294,-1.5103232,1.2636222,-0.46236464,1.2840258,1.3324418,1.1634321,1.3970239,1.5677162,-0.2169301,0.81444937,-1.0611744,1.2423816,-1.2558644,1.2355593,-1.6029936,1.2274674,1.0058546,-1.3103219,-0.96911454,1.0980372,-0.052126307,-0.023709513,-0.4522798,0.5653415,-1.6844538,1.1705427,0.83331215,-0.8640565
5,0.39738742,-0.28505427,0.0,0.0,0.19331698,-0.24093844,0.58917725,1.0,1.0,0.9957427,1.2568358,0.04376878,-1.1258447,0.23908328,0.48372114,0.5505201,0.99793345,1.100395,1.5723839,1.4178256,-1.3778602,-1.0601128,1.4541006,-1.7431656,0.4305544,0.57021284,0.3426842,0.9075662,0.47584856,-0.6296523,0.89905906,0.7382458,-1.4536048,-0.79693615,-1.6459916,-0.8668039,-0.47800532,0.4380339,0.04113201,-0.20102187,-1.396678,-1.3418534,0.27594665,1.4092445,0.31598482,-0.29999316,0.49304178,-0.105297804,1.5196499,-0.84788793,0.97373354,0.55883485,0.1898852,-0.35802087,-1.5407338,-0.7158622,-0.7892762,-0.51916474,0.25936997,-0.05103248,-0.7458606,-0.20903386,-0.5656351,0.75557375,0.8416141,-0.07254973,0.6259175,0.78062785,-1.6460096,-1.464952,-0.050107606,1.3026634,0.013768344,-1.3871207,1.0669527,-1.4723645,0.20115922,-1.6428534,1.5112936,0.072509594,-0.5064359,0.985228,-0.8456792,1.6972299,1.3492208,-0.9574491,-0.46630248,0.9543241,0.1907631,-0.50742537,-0.2887241,-0.90092325,1.1821992,-0.8021691,0.39829895,-0.3154294,1.0275928,-0.2621111,0.17483345,-0.038169414,-0.99101555,1.1967717,-0.29771549,-0.07036965,-0.2846718,0.33633408,1.1823722,0.5185225,0.14928879,1.4826951,1.0951991,-0.9092973,-0.8949667,-0.0005152837,-1.0424664,-1.7051752,0.8300697,-0.93994725,-0.28723574,0.13132839,-0.6427565,1.511431,0.0980879,1.4177101,1.2072191,-0.3468258,0.48964885,0.5607211,1.5462863,0.23846124,-0.921062,1.5944449,1.3335302,-1.5130291,0.15642771,0.66316915,0.9838333,-1.1157585,0.75252837,-0.764013,-0.24858327,-1.530492,-0.4944313,1.006602,1.4674238,-0.52158135,-0.9489253,0.4113972,-1.7166221,1.3868606,-0.07426486,1.3885332,1.34272,0.47915092,0.5230906,1.1861299,0.43033102,1.3587112,1.7417288,-0.5997205,-0.6585985,-0.44987106,-0.8733195,-0.758483,-0.52566546,-0.029773025,1.4367461,0.34429276,0.10006853,1.4005553,0.41388652,-0.19054236,-0.73555124,-1.330215,-0.9547935,0.0014218765,-0.0039699064,-1.1897012,-0.3868707,1.2473693,1.2618324,0.8525134,-1.3337752,0.45252493,1.3493203,1.3644822,-0.16758221,1.2489178,-0.7186261,-0.70101166,0.18581167,1.2796488,1.0767368,-0.620326,0.09051213,1.4478817,-0.11659233,-1.2584337,-1.2538409,0.3894702,-0.09326086,0.45706666
6,0.61429316,0.616573,1.0,1.0,-0.17363496,1.1895596,-1.4311943,1.0,0.0,1.2518289,-0.5167513,-1.1921153,1.1278977,1.5467178,0.28531623,-1.0641828,1.8847336,0.9666311,1.300166,-0.009130711,1.0633687,0.75420254,-0.21832386,-0.6749534,-0.6158697,-0.43254173,0.8504288,-0.68977237,0.91834563,0.3906603,1.0961779,1.1528656,-1.0700414,-1.1213866,-1.3832865,-0.52261645,-0.05684919,-1.1554748,-1.517155,1.0092609,-0.40686628,0.74904066,0.53412575,-0.6516812,-1.0580546,-0.1244234,-1.7114537,-0.7873516,-0.453132,-0.07852136,-1.3421513,0.98687714,1.481627,1.6890016,0.22310106,-1.0120149,1.0624292,-0.36763638,0.88140255,-1.2807423,0.4735656,-1.1516054,0.9581367,0.7434518,-0.5889988,0.53212297,1.2587694,-1.5031815,0.22655343,0.3464318,1.645937,-0.13442875,-1.1872838,1.209554,-0.6159968,0.4317955,1.3787117,-0.64939195,0.9464579,1.2297783,1.4184726,-1.25889,0.50848174,-0.68908066,0.5539343,1.1040926,-0.70632344,-1.8793159,-1.1228386,-0.65161115,1.5562224,-0.5305448,-0.51155996,-1.0770142,1.0972646,1.2662585,-0.5070522,-0.16270342,-0.7311644,-0.15407875,-0.71408314,-1.6362911,0.38163877,-0.7587152,-1.1464387,0.16421331,-0.7868954,-1.449561,1.2852255,0.45106688,-0.47255713,0.06503182,-1.2230941,0.98686475,-0.80527943,-1.6441863,-1.3215978,-0.8238495,-1.7115879,1.0653541,-1.3929785,-1.264223,0.65629655,0.79833996,0.38717943,0.5614756,0.5605089,1.3058121,0.56740236,-0.75702333,-0.6549726,-1.5889338,-0.29479176,-0.89705306,0.13408113,0.13017373,-1.5937455,-0.7101567,0.746805,0.5466956,-0.9870697,1.1878319,1.5805632,-0.23856951,-1.0715017,-0.31576085,-1.342519,1.6978706,0.6599048,-0.40349007,0.8353236,1.034833,0.41777304,1.2949572,0.3615223,-0.13945432,1.1845049,-1.0033747,1.1165342,0.11732771,1.0142713,-1.3926055,-1.0253391,-0.05890841,-0.49691427,-0.64221317,0.7164766,0.60018176,-1.5002726,-0.5760285,0.45538118,1.419429,-1.0193424,-0.76497895,1.2532539,0.18374965,0.5670813,0.73223156,1.0190428,-0.25432044,0.17255309,-0.8361647,-1.6457745,0.643888,-0.87402403,0.829558,0.4953803,-0.2986194,-0.99873805,-1.3770552,-1.1455401,-1.7699908,0.42606294,0.7963251,1.4403536,1.5817168,0.28652567,-1.2922409,1.2031927,-0.0012190567,-0.46736196,0.51363415
7,-0.18036643,-0.23382783,1.0,1.0,1.4389,-1.600217,1.0433475,0.0,0.0,-0.9627038,-1.2381903,1.673523,0.7203474,-1.4047072,-1.6379082,0.28957024,-0.32068524,-0.41069448,-1.0169077,-1.0747987,0.23897623,1.6203331,-1.2951914,0.19805017,-0.7594649,1.5611473,1.6447996,1.727824,-1.080812,-0.93020767,-0.5222394,-0.45880944,0.07709325,0.66527456,0.091408424,1.363449,0.538342,-0.550625,-0.3068733,1.5407012,1.6796086,1.1573666,-0.059824754,-1.1852174,0.8101399,0.5919605,-1.3629956,1.0299205,1.0650375,-1.1489093,1.6080431,1.1432285,0.05929701,-1.4595953,0.2601779,-0.16422606,-0.28149772,1.284921,1.0012072,-1.180343,-1.3950982,-0.5125015,1.0401256,-1.5343802,-0.86728275,-1.2461097,0.605116,-0.8402666,-0.004084407,-0.604161,-0.8044065,-0.058648635,-1.1774477,1.2902441,-0.5669773,0.17398112,-0.922483,-0.76606864,-1.2919979,-0.8176384,-0.2715848,1.2557461,-0.98261076,-1.4109901,-1.4384764,0.20123771,0.022598028,1.4543421,-0.7230202,1.4723301,-1.2408386,1.6526984,-1.1017336,-1.3729091,1.529239,1.0917052,0.14682573,-1.4830368,-0.828514,1.060187,-1.1389941,1.400511,-0.88106185,-1.7086431,-1.7567793,1.2298038,1.5156759,-0.18390726,-1.346205,-0.910097,1.5376307,0.9125641,0.15869366,1.0072818,-1.3408188,-1.6988379,-0.15862635,1.4409027,0.7423725,0.61827725,-0.51052195,0.4648711,-1.3260182,-0.050319877,-1.7751921,-0.09676723,-0.6895501,-0.5786977,-0.36271846,-1.5005778,1.2454295,0.23881724,1.1616948,-1.6652813,-0.16553587,0.48587328,1.225849,-1.5510508,-1.7160913,0.43533096,-0.82245576,-0.14280528,0.7601805,1.6597697,1.3475399,-1.4945662,-0.020482838,-1.3547071,-0.09846966,-0.07791043,-0.60501885,-1.0526907,-0.09684586,-1.0594659,-0.018395614,0.78642905,1.5840789,-0.81443423,-0.8691973,-0.33102143,-1.2380543,-1.0713583,-0.7010444,1.0488487,-0.83201045,-0.8148332,1.6847938,1.4516237,0.48436597,0.55006456,0.24173473,-0.055456556,-0.6601881,-0.8929268,1.7194853,1.3280141,1.6663544,-1.2066219,0.8870796,-1.5810729,-0.8536903,1.0398589,-0.66024715,-0.4639604,-1.2971702,-1.0031017,1.1922498,1.4825339,1.6176578,1.364967,-1.1166732,-0.36055496,-0.7308782,0.66849124,0.8305845,0.20985729,-0.3978951,-0.8309597,1.082585,-1.2702433,-1.4536546,-1.1564707
8,-0.34949702,-0.7083362,1.0,1.0,-1.5294236,0.6345687,-0.6901055,0.0,0.0,-0.5957726,0.12942587,-1.5189236,-0.67577755,0.41414642,-0.978345,0.06185411,0.17648111,0.21614575,-1.5371428,-0.36613485,0.81282616,0.45123604,0.025332663,-1.7241403,1.5092319,-0.17464952,0.41685584,-1.3405974,1.045803,-0.18141566,1.7386951,0.70616525,-0.078105524,-1.104885,1.1448852,0.45334035,-0.8833087,1.350998,1.634147,-1.2328851,1.4693621,0.30206382,-1.0444415,-1.4727296,0.6885822,-1.7839086,1.5073415,-1.5248036,0.3244753,-0.691082,0.99441236,-0.542714,-1.3740001,-1.2716172,1.7793808,1.7388682,-0.04077129,0.5819693,0.70270467,-1.6349353,1.0999662,-0.21485466,-0.66928065,0.59394896,1.3622912,1.4634188,-0.069666885,-1.1934739,0.9811358,-0.86481243,-0.28174794,1.2275199,-0.4824039,-1.1143194,-1.7191585,-0.6745276,0.28932434,1.5187054,-1.6057519,-0.4974319,-0.12894563,1.3404473,0.93314314,0.34966707,0.12509932,-1.041257,-1.5058074,-1.0469314,1.733444,-0.90536386,-1.3751171,0.52867377,0.1570359,0.014203362,-0.7860976,-1.5860212,0.23086266,0.58675027,-0.6446749,-1.0751333,-0.3912308,-1.2995225,1.6815817,0.31969464,0.4630706,-0.73273534,1.3216804,0.26818755,1.5902257,-0.39308882,0.25242582,-0.8417732,-0.7689382,-0.913554,-1.6237195,-0.4619486,0.6733611,-1.6226468,0.07333323,-0.1520954,-0.50746614,-1.4690768,-1.4922545,-0.59160006,1.2384886,1.1576098,-0.027368208,-1.7481782,-0.99339235,-0.3906472,-1.1445448,1.5527849,0.8910583,-0.68474,-1.5448197,0.03744082,-0.5089148,0.88057554,0.07985324,0.75976807,-1.2142056,-0.3280255,-0.83966774,-0.6471568,0.43285796,0.26582614,-1.6723816,-0.4730375,-0.56825763,1.2360187,1.439507,-1.059694,-1.3991224,1.0674441,-1.056344,1.3280783,-0.5741641,0.19361275,-0.3551521,-1.2170452,0.9759793,-1.3274025,0.16482043,0.79454964,0.5979998,1.0541997,-0.0050459635,-1.4319303,-1.4822649,1.3872252,-0.7033829,-0.4227034,1.1815451,1.1909027,-1.5605308,-1.3620048,1.2697718,0.81069183,1.6849471,-1.017156,-0.6780462,-0.8236598,-1.0694017,-1.1960719,0.094727226,1.244394,0.88753736,1.5157523,0.57621956,-1.3048786,-1.4548867,0.23668155,-0.3337184,0.26064122,1.454943,-0.4342815,-1.7219762,1.6871697,-0.9423151,-1.5555182,0.38765398,-1.4978383
9,-1.0952771,0.18172957,1.0,0.0,-1.3131927,0.24991378,1.7337157,1.0,0.0,0.09849742,-1.6959164,1.7139605,1.5998253,-0.9049778,1.3405681,-0.85113543,-0.3107932,1.6516677,-1.1536041,-1.631972,0.9503775,-0.31331652,-1.0122833,0.22444125,0.63312316,-1.0539418,-0.45494974,0.93569463,-1.3782741,0.09569183,0.2468852,1.0214936,1.1164064,-0.2654559,1.2795181,-1.2315345,-0.117117584,-0.35289788,0.10301846,-1.072011,-0.85080785,-0.5032781,-1.5603218,-0.5978081,-0.24252816,0.4359576,0.25015438,0.44478288,-0.88928175,-0.18705533,0.65353245,1.5796859,1.1895821,1.4309287,0.31146917,-0.06316047,-0.40962663,1.522472,0.64718956,0.73893243,-1.6906265,0.67500186,0.4537315,1.4647696,0.21537514,1.7118328,-0.53425694,0.076613165,-0.7979321,-1.2802385,-0.036432028,0.2992889,-1.1771785,1.3379241,1.4588934,-0.70982236,1.1962322,-1.2089115,1.0807437,-0.76398,1.5885705,-1.1284666,1.1032579,-0.9873038,1.3761446,1.651867,-1.4399359,1.5032722,-0.6968816,1.4491915,-1.4576147,1.4511217,-1.3333896,-0.53981483,-0.12537514,-0.9328582,-1.0481561,-1.2338302,1.4196502,-1.0615501,-1.615753,-0.3149126,-1.6437688,-0.35911292,0.5392373,0.3710002,0.16341825,1.7764616,0.4169705,-1.4223279,-1.4309117,0.31082588,-0.9738424,1.107,-0.4692031,0.6096321,-1.6538144,-1.2445902,1.5254871,-1.5473989,-1.1438806,0.36954734,0.31246963,-0.98252904,1.1821764,-0.16169034,-0.6618218,0.26350215,-0.5911681,0.49775228,-1.2393229,-0.5429595,0.6180455,1.4712632,1.9213645,-1.6211714,-1.2694986,1.2681412,-1.6084182,1.1559026,1.248712,-1.6625856,0.51905245,0.14848542,1.560389,1.624856,-0.8776483,-1.0371662,-1.6836848,0.3910663,-1.433692,-1.5370526,0.51262295,-0.29509988,-0.116268516,-1.2901587,-0.81430644,-1.2612178,-0.94327533,0.020821521,1.1151046,-0.83993584,0.41596022,-0.81326765,-1.3906614,-1.064495,-0.70723695,1.8887628,0.9107775,-0.86841244,-1.3720466,-0.40375283,0.48421305,-0.38850793,-0.89498836,0.81355786,-1.5191082,1.4091591,-1.4423529,1.6197535,0.017943649,0.0820925,0.55915207,-0.5784742,1.1745915,-0.3712636,1.0698009,-0.64723814,1.3030434,1.0368955,-1.0496962,0.733753,-0.18827905,-1.5407665,-0.13161603,-1.7858825,-1.0644773,1.0883594,0.9510219,-0.7783464,-0.04011294,0.3185362
