,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
0,0.9391752,1.679537,1.0,0.0,-1.7067541,-0.71123946,-1.2577363,0.0,0.0,-0.5518639,-0.37504882,0.08595699,-0.26523316,0.62153786,-1.0334086,1.3163552,-1.678404,0.62513125,-0.2593713,0.23954913,-1.3141044,-1.065475,1.0546218,1.5922421,-0.6960097,0.6821117,1.3023448
1,1.8066435,1.5278105,0.0,1.0,-1.5720121,-1.1734773,1.2462604,1.0,1.0,1.5883391,0.094036646,0.6354534,-0.6370075,0.6259655,1.2006298,-1.606267,0.7913585,1.7233312,0.8573224,-0.7137339,0.9709122,-1.3913918,-0.14768466,1.389907,-0.76514,-0.70731163,-1.2570674
2,0.22964208,-0.011093831,0.0,0.0,-0.9748722,-0.83956826,-0.0772098,0.0,0.0,-1.2468193,0.28710848,0.66374755,-1.4014379,-0.31538832,0.703514,-0.2606045,-1.6012932,0.16096993,0.5725605,0.08948586,1.5178416,0.26894295,1.404417,-1.225061,-1.3037271,1.0773166,-0.33925068
3,0.24990097,-0.23914844,1.0,0.0,-0.50380707,0.85329545,0.7253739,0.0,1.0,0.8650205,-0.5396755,-0.87937087,1.4440998,-0.2668938,1.6622549,0.58665603,0.35243136,-1.291658,1.5368129,-0.13312827,0.2282829,-0.3439604,-0.8661924,1.372219,0.21219395,-1.6858219,0.41334704
4,0.69362617,1.0880711,0.0,1.0,1.3583955,-0.51958936,1.3503135,0.0,0.0,1.488893,0.63649124,1.7320229,-1.1504084,-1.2722052,1.5479442,0.7001057,-1.5464593,0.91829705,0.87659615,1.4877766,0.6971064,-1.319098,-1.6060997,-1.6023704,-1.6909747,-0.8500647,1.2462391
5,0.0019568366,-1.0470637,1.0,0.0,1.2064534,-1.3327535,-0.8043527,0.0,0.0,0.20124201,-1.6754413,1.0258927,-0.9329863,1.0426782,-0.38320443,1.2668117,0.7810296,0.23113966,-1.2072712,-1.4692672,-1.3811643,-1.5929495,-1.3075633,-0.9258463,0.6983373,0.22667578,-1.6599033
6,-1.0626925,-0.2674231,0.0,0.0,0.2585968,-1.0567412,-0.8963043,0.0,1.0,0.2722946,1.5964229,1.1917397,-0.9083392,-0.03996086,0.43959972,1.1493366,-1.2362127,-1.6233659,-1.4314905,-0.0083072055,0.3266706,0.20812744,-0.59245706,1.6612672,0.23336133,-0.39007986,0.18634598
7,-1.1660031,-1.5129544,1.0,1.0,-0.7904726,-1.5345249,-0.493143,1.0,1.0,0.8713577,-1.5107456,-0.9138814,1.1173177,-1.0776821,0.5087478,0.11496261,1.388209,-0.7792781,-1.445197,0.8438219,0.9106915,1.37254,1.501767,-1.6439437,-0.9719098,0.42265385,1.5513971
8,0.13098714,0.27640226,0.0,0.0,1.46104,0.4721877,-0.42493224,0.0,1.0,0.16110924,1.4456577,1.4498819,-0.35243648,1.5822343,-1.1415225,-1.2390269,-1.3104066,0.056686275,-1.5951747,1.5732417,1.1041489,-1.694401,-1.0734674,-0.56518567,-1.3326198,1.0845271,-0.52079266
9,2.153587,2.0399265,1.0,1.0,1.3337929,1.1809465,1.3395537,0.0,0.0,1.0316051,-0.7569559,-0.088387996,0.37991336,-1.6923671,0.3457452,-0.19433251,0.9868744,-0.60009944,1.3457795,0.30521747,-1.160489,0.96070474,0.41159883,-1.508442,-0.32341996,0.6365914,1.4470998
10,0.5629643,1.2293799,1.0,1.0,-0.40410304,1.6311382,0.3101497,0.0,0.0,0.43558016,-0.7574462,0.25833964,0.92105544,1.2196147,0.9186388,0.7043175,1.1820579,-0.57445055,0.59616655,-0.12983309,-0.46292377,-0.3347728,-0.30583578,-0.6149661,0.38053495,-0.21798977,1.6363921
11,-0.18488863,-1.1238822,0.0,0.0,-0.23067492,-0.56816196,0.97064555,0.0,1.0,0.556666,-0.8102984,-0.94241667,1.2971231,0.077325925,1.085539,0.27750018,0.7332609,0.10273111,0.9339992,0.27438572,-0.16850872,-0.5687874,-1.4414225,-0.40966654,-1.5118865,1.6798191,-1.0801752
12,-1.4275321,-1.5744869,0.0,0.0,0.6749043,0.220763,-1.2090676,1.0,0.0,-0.9731064,0.29813537,-0.72736067,1.5173199,1.3969418,-0.8467013,-1.2915025,-1.1126102,0.035722114,0.7912377,-0.96126425,-0.9350365,1.1796739,-0.25687432,0.4000018,-0.9743384,-1.3454721,0.06601159
13,1.3207787,1.1457303,1.0,0.0,0.44443002,0.13186024,0.47934973,1.0,1.0,-0.98355985,0.046530794,0.9708332,-1.6883183,-0.6252981,1.3363961,1.2027996,0.06793677,1.301658,1.537882,1.1567605,1.1992269,-1.4067905,0.5454184,0.6944598,0.33978072,1.0506098,-1.5844088
14,0.45223194,0.9689938,0.0,0.0,-0.808539,-0.86914176,0.40459812,1.0,1.0,-0.20029888,0.95238096,1.707427,-0.6917533,-1.2519228,1.4370279,0.1723698,1.5588351,0.50833094,1.6867483,0.19631577,0.04529744,-1.2807716,-0.46180776,-1.6023448,-1.2300295,0.8652213,-1.5987138
15,-0.93797433,-1.4392948,0.0,1.0,0.6896602,0.6444372,-1.1143516,0.0,1.0,1.6997033,-1.0383176,-0.9590523,-0.8282845,0.8459637,-0.1381848,-1.4749228,-0.034319,-0.95634776,1.0275586,-0.65587693,-1.7112523,0.29256827,1.2014669,-0.39918137,0.8269989,0.059842523,0.15206638
16,0.9219135,0.8433223,0.0,0.0,-1.5953052,0.7087835,-0.16818137,1.0,0.0,-0.82619655,-1.4593742,-0.30966043,-1.3774691,0.4438271,1.0883827,0.7000457,0.8462619,-0.5062493,1.1870234,-0.20556639,1.0932127,0.4061489,-1.185139,-1.4254353,-1.72578,-1.4665121,-0.1303891
17,0.40531105,0.0051911143,0.0,1.0,0.9048291,-0.38848782,0.7970665,0.0,0.0,-0.08871061,-0.109425075,1.034978,-0.32548216,1.3798407,-1.62683,0.96202534,-1.3426569,0.4459322,-1.6328428,0.17081392,-1.797837,1.5215521,1.4112322,1.0079693,1.4042453,-1.1957582,-1.1620737
18,1.0229993,1.0422399,1.0,1.0,1.4271408,1.6875535,0.6744456,1.0,1.0,-0.3585347,-0.8803101,-1.2258039,-1.3400393,1.0617006,-1.2378196,-0.77006364,1.0269529,-0.6161642,1.6479493,-0.7610315,0.07074813,-0.6657354,1.4295326,-0.44821528,-0.27666318,0.063796386,1.51666
19,1.3264228,1.5920646,1.0,1.0,1.3759625,-1.6707437,0.02713588,0.0,0.0,0.19245628,0.6341903,-0.22265643,0.48461488,-0.7436929,-1.7250739,0.29200545,-0.7077421,0.09671562,1.4251525,-0.2134257,-0.9372814,-0.47052386,1.501389,1.4857839,1.1566732,1.4647821,-0.92144674
20,0.7748988,0.27324653,0.0,1.0,-0.61934084,-1.1562599,0.3182913,1.0,1.0,-1.1125977,0.6742512,-0.9855372,0.29065782,-0.5402131,-1.5562702,-0.8906757,0.49734154,0.027671438,0.083915725,-1.0759487,0.20126043,1.6780589,1.1094488,0.32433748,1.6161193,1.4007493,0.33949262
21,1.1769286,1.6986834,0.0,0.0,-1.48095,-0.19005086,-0.4748244,0.0,0.0,1.6404105,0.8998503,1.1106367,0.50005823,0.5645728,-0.06761214,-1.6237787,-0.5657193,0.009810524,0.79631907,-0.06900567,-0.1977539,-1.2730945,-1.6367371,0.88016224,-0.67322683,1.6851987,-0.94773513
22,-1.5477431,-1.1368061,0.0,0.0,0.9049328,-0.14775369,-1.332828,0.0,0.0,0.59556466,0.9090502,-1.3805153,-1.6862216,0.047499456,1.1132889,-1.625589,0.52593374,0.6814935,-0.15156351,1.4595603,0.46059555,-1.7279944,-0.023195388,1.2228001,1.1080608,0.5338491,0.6072798
23,-0.9540225,-0.7249901,1.0,1.0,0.23240139,0.5774143,-0.5535857,0.0,1.0,0.8523623,-0.7435988,0.9295592,-0.23460013,1.0447279,-0.50489336,-0.9420712,0.849929,-0.6228739,0.80696374,0.87605137,-1.0288358,-1.010475,-0.9959432,-1.2079575,-0.47386315,-1.6042262,-1.3225931
24,0.21183257,0.62243456,1.0,0.0,-1.4285008,-0.9576353,-1.0493408,1.0,0.0,0.17626677,-0.69230384,1.1487496,-0.20746034,1.4446952,0.7448204,-0.043566767,-1.3407134,1.6791211,-1.1283662,-0.98042375,-0.29009643,-0.3574776,-1.1737976,0.78195745,-1.1310979,0.51578856,0.8836983
25,-0.31383756,-0.6254746,0.0,0.0,0.8842993,0.46050987,0.28416848,0.0,1.0,1.5443658,-0.27602372,0.95965296,-1.5670793,1.139999,-1.076667,-0.325467,-0.74657166,-1.411146,1.3854111,-0.4063827,0.060339164,-0.048603263,-1.2235129,-0.9911434,-1.5238814,0.04878415,-0.806057
26,0.15970697,0.103694715,1.0,1.0,1.0179446,-1.3941149,1.6145276,1.0,1.0,-1.60292,0.96739906,-1.1677318,0.124579936,0.8110838,-1.2266911,0.20475547,-1.0317795,0.93117285,0.7720992,-1.0696828,1.2268738,-1.6780628,1.2573366,0.20405826,-0.38265076,0.9102469,0.7555256
27,-1.0205109,-1.4470261,0.0,1.0,-1.6940229,1.4920124,1.1769476,0.0,0.0,0.7112806,0.9447467,-0.5026008,0.9938504,0.8475251,0.41568965,-0.30245847,0.6108093,-1.6767019,0.9475426,1.3966166,-0.9657356,-1.3311342,-0.92324257,-0.666807,1.2917181,0.16983268,-0.7197714
28,-0.281789,-0.40388995,0.0,1.0,0.41697276,-0.6351687,-0.19434236,1.0,1.0,-0.26949683,-0.5506789,0.57476157,-0.9741954,-0.1316064,-0.6423346,0.4622979,1.2260742,-0.1432742,0.9798113,-0.10896242,0.50238854,-1.2930934,-0.19849595,1.3923367,0.32316357,0.93781805,0.027754145
29,-0.3694425,-0.12771127,1.0,0.0,-1.4725236,0.23394218,1.4674956,0.0,1.0,1.2040429,-0.8741594,0.6672216,0.16888984,1.5323886,0.45513082,1.1799183,-1.7448835,1.7249833,-1.4055277,-0.5709174,1.5233268,-1.7152867,1.1295351,1.2292223,-0.25489295,-0.8173196,1.0496147
30,-0.11883868,-0.4340914,1.0,1.0,1.5034021,1.3596832,-0.07730569,0.0,0.0,0.629174,-0.37084225,-0.032783322,-1.0886921,1.5881994,-0.7151867,-1.3167635,-1.2788451,-1.6388317,0.74857634,0.2594493,0.9895722,-0.004070432,1.0242157,0.6681692,0.92467517,-0.29960895,0.5183684
31,0.46851632,0.28767964,0.0,0.0,-1.1099017,-0.34039232,-0.9336458,0.0,0.0,-0.6400873,1.6393117,0.43595004,-0.42338058,1.2167492,0.43829164,-0.81175125,0.93730927,-0.19415145,-0.46118176,-0.543004,0.64725775,-0.8231259,1.0802913,-0.68989354,0.1090461,-0.019906845,1.2302195
32,-0.13363563,-0.44684273,0.0,1.0,0.3182785,1.3674803,-0.2328341,0.0,0.0,0.36831522,0.6074542,-1.0291561,-1.7190233,-0.30616993,1.5688123,-0.5024525,0.8925058,-1.0847399,-0.5136929,-1.1791495,0.7155799,0.6562713,0.67214996,-0.8319572,0.6263495,-0.91502345,-0.24675763
33,1.9599679,1.5747308,1.0,1.0,-1.5076522,0.43758294,0.6614158,1.0,0.0,-1.1656885,-1.225609,-0.0025082277,1.3703985,-1.1104404,-0.11739698,-0.21045777,-0.07268344,-1.1303574,-0.5120465,-0.7773336,1.1654618,1.0033116,-0.2201069,0.36721095,-1.2821287,0.054593954,-0.6846721
34,0.38128978,0.07534188,0.0,0.0,0.484803,-1.3307372,-0.14905562,0.0,0.0,0.49503133,-1.2177744,0.44607663,0.259974,-0.12669997,-0.24077289,0.36853158,1.1324767,0.9033206,0.2875856,1.4935312,-1.5804884,1.659485,-1.4932655,-1.0147406,-0.31449,-1.3264393,0.4357242
35,0.03834506,0.032572653,0.0,0.0,-1.4959501,0.6883131,0.52837205,0.0,1.0,0.85125786,-0.5689733,1.0067523,-0.018863956,0.07025933,-1.6572124,0.5213616,-0.5737482,-0.896867,-0.20341669,-0.36419684,-0.15414433,1.6187326,-0.43225566,0.93486744,0.13921848,1.3580532,-0.48575935
36,-0.65395504,-1.1632149,0.0,0.0,-1.5565121,1.550797,0.14475696,1.0,1.0,-1.5556746,0.037432782,-1.7367886,0.2797449,-1.1224816,0.47860834,1.6658012,1.2176751,-0.12896955,0.72331417,0.9890958,-0.06591874,0.06962699,-1.1600559,-0.43857336,-1.2934504,0.80084676,-0.06719194
37,-1.4029336,-1.296089,0.0,0.0,0.118521675,-0.3388099,-0.8395875,0.0,0.0,-1.6696497,-0.73826414,-0.040798165,1.6952755,-1.3680971,0.62779343,0.030876549,0.88346386,-1.1921109,-1.3870049,-0.30680662,0.99796695,-1.0875487,0.9422886,-0.706818,-1.0328764,-1.6382701,-0.33588246
