,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
0,-0.12415737,0.67557764,1.0,1.0,-0.26347637,0.2513517,0.19907032,0.0,2.0,0.7964259,0.82408273,0.40501863,-0.64818984,0.4427232,0.76655096,0.37487784,0.663737,-0.25641078,1.1529013,0.7342586,-0.1790881,0.036415864,-0.14284898,-0.17863664,-0.13880813,-0.05413619,-0.14188553
1,-0.12415737,-0.25493103,1.0,0.0,0.29513,-1.0234789,-1.2281811,4.0,2.0,0.06091492,-0.53084105,-0.6354697,-0.64818984,0.22464898,0.1810293,-0.8753654,-1.1644531,-0.25641078,-1.2187196,-0.43246993,-0.1790881,0.036415864,-0.14284898,-0.17863664,-0.13880813,-0.05413619,-0.14188553
2,3.1235125,2.9020014,0.0,1.0,0.0350606,2.3733876,1.0933931,1.0,1.0,1.7898852,1.467931,-0.46674186,-0.64818984,0.75166285,0.76655096,2.1903458,1.5778321,-0.25641078,1.1529013,-0.43246993,-0.1790881,0.036415864,-0.14284898,-0.17863664,-0.13880813,-0.05413619,-0.14188553
3,-0.12415737,-1.337079,1.0,1.0,-0.39838845,0.097203076,0.016854487,0.0,1.0,0.46527278,0.5021586,-0.8885614,1.6667738,0.90267324,-0.18993983,0.20012929,-1.1644531,-0.25641078,-1.2187196,-0.43246993,-0.1790881,0.036415864,-0.14284898,-0.17863664,-0.13880813,-0.05413619,-0.14188553
4,-0.12415737,-0.12794456,0.0,0.0,0.72857904,-0.3441056,-0.06739401,0.0,1.0,0.06556479,0.030912153,0.68623173,0.509292,1.8225733,-0.18993983,-0.60998106,0.663737,-0.25641078,1.1529013,-0.43246993,-0.1790881,0.036415864,-0.14284898,-0.17863664,-0.13880813,-0.05413619,-0.14188553
5,-0.12415737,-0.2702717,1.0,1.0,-0.051629208,0.67495435,-0.06739401,0.0,0.0,0.7964259,-2.7170827,2.2891462,-0.64818984,-0.93712693,-1.1464306,0.2534631,-1.1644531,-0.25641078,-1.2187196,-0.43246993,-0.1790881,0.036415864,-0.14284898,-0.17863664,-0.13880813,-0.05413619,-0.14188553
6,-0.12415737,-0.3694688,0.0,1.0,0.9019587,0.32398024,0.08456577,2.0,2.0,1.127579,0.5021586,-0.18552878,-0.64818984,-0.93712693,-1.1464306,-0.033047464,-1.1644531,3.9568262,0.8140983,0.7342586,-0.1790881,0.036415864,-0.14284898,-0.17863664,-0.13880813,-0.05413619,-0.14188553
7,-0.12415737,0.020023867,0.0,0.0,1.6821669,0.085560635,-0.14386664,4.0,2.0,0.14443141,0.21318515,0.15192689,-0.64818984,1.8225733,1.1392604,-0.514069,-1.1644531,-0.25641078,-1.2187196,-0.43246993,-0.1790881,0.036415864,-0.14284898,-0.17863664,-0.13880813,-0.05413619,-0.14188553
8,-0.12415704,0.06831949,1.0,1.0,-1.958805,1.3543277,1.6737866,1.0,1.0,0.29969624,0.9850448,0.5737465,-0.64818984,-0.47717687,0.76655096,3.3032677,1.5778321,-0.25641078,0.47529534,-0.43246993,-0.1790881,0.036415864,-0.14284898,-0.17863664,-0.13880813,-0.05413619,-0.14188553
9,-0.12415737,-0.61128056,0.0,0.0,0.6418893,0.67495435,0.51299953,1.0,0.0,-0.031456865,0.019272365,-0.7479549,-0.64818984,-0.93712693,-1.1464306,0.3450829,-1.1644531,3.9568262,0.8140983,-0.43246993,-0.1790881,0.036415864,-0.14284898,5.685204,-0.13880813,-0.05413619,-0.14188553
