,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
0,0.40239748,1.1955792,0.0,0.0,-0.69208634,-0.043393776,1.3757881,1.0,0.0,-0.9824532,-1.6564366,-0.26474372,-1.5872055,-0.07542416,0.4873657,-0.74455786,0.7235067,0.31998652,-1.5852478,0.35911465,-0.79048306,-0.2659143,-0.7282474,0.5605404,-0.3266888,-1.2013613,0.1792902,1.0627325,-0.67068857,-0.86448246,-0.30258188,1.5893996,1.591798,0.5754365,1.3657428,1.1930553,-0.39764902,-1.5085337,0.5463714,0.20363455,-0.51564336,-1.0310016,-0.25391454,-0.09765819,-0.7739482,-0.83566284,-0.11913397,1.3810433,0.2513848,-0.697884,-0.7392049,-0.19269504
1,-0.27934158,-0.085767776,1.0,0.0,0.077176325,-1.5303451,-0.011566231,1.0,1.0,0.96840245,0.5692032,0.63514304,-0.40968463,0.6601157,-0.5791604,0.28256312,-0.54064286,-0.15712966,-1.4572948,-0.7527094,1.607625,-0.89556396,0.66337067,0.4196199,0.6286238,-0.061094124,0.36804116,-1.4430058,-1.5076746,-0.9441322,-1.1142172,-1.222899,-1.3644956,0.15904197,-1.0920675,1.569701,0.6608088,0.15287013,0.7311831,-0.8603509,1.4506373,1.1351552,0.830691,-0.058077533,1.2332379,0.8262268,0.58558744,1.5716163,0.4136842,-0.4204085,0.20136525,-1.0633428
2,0.8572172,0.9000098,0.0,1.0,1.0111351,1.5757989,1.23353,1.0,0.0,0.035928234,1.393323,0.99179906,-0.027730865,-0.080833144,-0.99937344,-1.0980008,-1.4503295,1.307272,0.5146234,-1.1020436,-0.26910222,-1.514834,-0.98119575,0.6846444,0.38324118,-0.047156375,-0.80000764,0.61279035,1.6565552,-0.12432425,-1.395161,-1.3653934,-1.526583,1.5799197,0.12115059,1.1637014,-1.1226311,-0.88614744,0.6789286,1.4260681,-0.58827513,-1.5966899,1.2980425,-0.7213947,0.87928605,-1.3264195,0.7060467,1.3128814,0.7337001,-0.44340357,0.79624766,-1.2552235
3,0.49812597,-0.32825488,0.0,0.0,1.329263,-1.296873,1.3323328,0.0,0.0,-0.40222603,-1.1224139,-0.99024385,1.1465173,1.6942964,0.658626,-0.03257005,-0.68045014,1.1150562,1.305244,-1.282088,-0.93626136,1.1559047,1.1983409,-0.6896928,-0.8697761,-0.21973778,0.16041133,-1.342553,1.2286232,0.21952933,1.027729,-0.7832645,1.5544313,0.85037464,-0.5583107,1.5570449,0.7266971,1.26173,-1.5430872,-1.6141074,0.81051373,-0.7501281,0.12004914,-1.1929072,1.7092198,-0.06166578,1.1721907,-1.4236175,-0.11604458,-1.4423096,1.3353752,-0.22240388
4,-0.9766462,-1.0996562,0.0,0.0,0.16253045,-1.5712855,-1.027654,0.0,1.0,0.37742049,0.32361242,-0.5111127,0.43009785,-1.1182907,-0.8010211,1.0710324,-1.1636778,-0.8834303,-0.8389512,0.08009627,-1.6607398,-1.5789793,-0.12097042,-1.192225,0.4788752,1.0859637,0.30090693,0.7622253,-0.36784866,-1.4732847,-0.1257202,-0.30861545,0.26853108,-1.3059906,-0.9549217,1.0833789,-0.79391485,-0.33096078,1.5175622,-0.81812584,-1.2680963,0.6513261,0.290582,0.4020293,-1.5700172,-0.37530357,-1.695997,-0.80848736,0.6614862,-1.4447957,-0.6820043,1.605941
5,0.15688066,-0.0004400646,0.0,1.0,0.84136415,0.38425803,-0.07220503,0.0,0.0,1.2637798,-1.6891367,1.2792443,0.6262578,-0.11343354,0.5646967,-0.10979797,1.0977519,-1.243201,0.064727835,1.4584792,1.4592533,-0.930534,-0.83602434,1.2571133,-0.64661324,-1.5596697,0.797048,-0.22253476,0.86494833,0.01975137,0.084463984,-0.15533046,-0.80169046,1.3736686,0.56123024,0.9914753,1.4072909,-0.923744,1.4620477,1.3067484,-0.012834591,0.17827244,-1.242839,0.9292783,-1.1103455,0.052383758,-1.2711222,-1.427614,0.32934487,0.0011335722,0.61871964,0.940894
6,0.234599,0.19790661,0.0,0.0,0.4811552,0.18880218,0.55460036,1.0,0.0,1.4088643,-0.26270342,0.07643397,0.6775317,-1.3541269,-0.26165757,-1.3600247,-1.2187943,-1.6076856,-0.9523348,-0.84427106,0.07467387,0.2633762,1.1153024,-0.1213403,1.1931312,-0.34785438,0.9049131,0.26340073,0.4657925,-0.6966212,1.5867642,1.0287118,-1.3075794,0.103653565,1.6852571,-1.6284814,-0.6597178,0.89247805,-1.5641768,0.8871179,0.22143765,0.75603145,0.23552427,1.5502821,-0.50357723,0.20146607,-1.5342364,0.28591478,-0.3197975,1.6567065,1.5453637,-1.2592279
7,-0.021528158,-0.29957667,0.0,0.0,-1.0304945,0.71251273,0.19310789,0.0,1.0,-1.7076415,-0.4698776,1.7574464,1.1205788,0.328467,-1.0735893,1.4959402,-0.18590644,0.41318622,-0.97482216,-0.45243925,-0.50197285,-0.33535478,-1.6195776,0.4522237,-1.2381197,0.39832118,0.45120072,0.7732542,-0.72235495,-0.621622,0.9609092,-0.2539894,-1.2835987,1.3895894,-1.692692,1.3373153,-0.69654226,-0.43644583,1.6634085,-0.23492992,0.71708006,-0.37026733,1.4656382,0.7799701,-0.033058092,-1.5972326,-0.44622138,0.061875533,-0.7837292,0.14731202,-0.97301173,-0.05882327
8,0.20027019,0.18083867,0.0,1.0,0.87471086,0.72587204,-0.21311295,1.0,0.0,-0.419999,0.7325352,1.7397972,1.4786311,0.24623252,-0.698943,0.4553821,0.7525333,0.110760204,-0.50328773,-0.0045822416,-1.3879032,-0.6884368,-1.2011399,0.4724848,1.4215403,-1.2000464,-1.6944567,0.92588776,-0.49956587,0.11982412,-1.426389,-0.9617365,0.6124586,0.3405994,1.1958563,1.6080275,-0.46172082,0.44616404,-0.16075477,0.014534806,-0.411488,1.622611,0.48244438,-1.243267,0.7273845,1.6370809,1.401192,0.30221593,-1.7050608,1.0589827,1.4983262,0.74897367
9,0.24728538,0.035659198,0.0,1.0,0.87208694,-1.4579569,1.0089176,0.0,0.0,1.2443012,-0.47253752,-1.4750425,-1.0941603,1.3260226,-1.1553857,1.0205402,1.1847329,-1.3313633,-0.18326099,1.1619356,-0.013472533,1.2727962,-0.4001005,0.34641165,-1.0914279,1.2545624,1.2487265,0.30933604,-0.61081505,-0.42914656,0.4079943,-1.1277138,-0.03359341,-0.74240696,-0.5635201,-0.6624067,1.1939301,-1.2002296,-0.88677245,-1.220178,-1.7210442,-0.32363153,1.2296282,1.4218895,-0.009674496,-0.3602261,1.3083992,0.19698517,0.12272419,0.53321207,-1.4179912,1.1015482
10,0.22140503,-0.36123887,0.0,0.0,1.4974968,0.08957311,-0.49070504,0.0,0.0,0.4964724,-1.6410605,1.3221966,-1.6279681,0.6952892,1.352537,-1.1669898,0.18931115,0.69387877,-1.068864,-0.74384034,-1.4391434,-1.1398308,-1.292338,-0.7690059,0.7183782,0.72219104,0.9701987,0.63892734,1.0758404,-1.1174887,0.2692243,-1.4873705,-0.09926561,1.1733686,-0.11422124,-0.7553834,-0.7579047,-0.39307335,1.4414333,1.711021,0.8301562,1.6582911,0.95251054,-0.7446262,-0.19286333,0.74696565,0.75604427,0.7305697,-0.085330084,-1.1702187,1.5933774,-0.9832956
11,0.63295454,1.0252475,0.0,0.0,1.6847912,-0.5162697,1.0978494,0.0,0.0,-0.83166915,0.5811462,0.54038405,-0.10712656,0.7941377,1.6222435,-1.3910388,0.3138004,0.5986193,0.49091178,-0.6838684,1.2822593,-0.84455866,1.1869395,-0.17413485,-1.3287611,1.1896095,-1.5134225,1.1142802,0.38054478,1.40456,1.1247934,-0.20776151,-1.3439015,-0.84461176,-1.7331169,0.5118458,-1.4172847,-1.186207,-0.8574576,-0.34559178,0.61589926,-0.25709954,0.07591263,-1.4137752,-0.53239316,-1.1479801,0.8596714,-1.6246881,0.3559374,0.69668,0.036423907,-1.5754762
