,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0,-0.04926238,0.14822412,0.0,0.0,-0.99717045,1.4475683,-0.05008223,0.0,1.0,0.046699606,-0.70944434,-1.1050453,-1.4266878,0.804776,-0.2407871,-1.1807342,1.3265139,-0.7938471,-0.28969726,-0.7014293,0.41510326,0.28681576,0.33033085,-0.847725,-0.8040585,-0.8188371,-0.60339755,-1.2366157,-1.1618634,1.5681162,1.6368616,-1.1232845,-1.7219152,-1.0111867,0.67395747,0.9188768,-1.6649184,0.25687623,-1.6460391,0.03785807,0.5380712,1.6804571,-0.87761456,1.0731027,1.2119716,1.4433215,-1.7279968,-0.14697541,1.6276841,-0.35081562,1.0347722,0.19813854,0.9680519,-0.12748165,-1.6463692,-1.4107119,-1.325554,-0.8026626,1.592754,0.4260402,1.0631219,0.23429099,0.4379473,1.0516632,1.5022931,1.3959349,1.1324992,-1.398475,-0.50162524,-1.6306595,0.077483796,1.0333295,-1.5931267,-1.1130015,-0.4337274,-0.8332713,1.0340042,-0.5579984,0.49812835,-0.0382192,0.2459445,1.5235405,1.4738765,-1.3724277,1.1985501,-0.52106756,-1.373503,-0.42066053,0.0711553,1.625121,-0.40681502,-1.7250779,1.3044561,-1.3271573,-0.091267765,1.1722353,0.05182675,-0.20201468,1.0398362,-1.6882468,0.25889906,-0.3287105
1,-0.00952927,-0.15762156,0.0,0.0,-1.5304278,-1.0611358,-0.17466758,1.0,1.0,-0.4931858,1.4045572,1.5275388,-0.31208095,1.3463824,-0.62424916,-1.4438426,0.11234702,0.56682295,1.3855857,1.5767221,0.90319306,0.90554744,0.7081621,0.6911822,0.9214752,1.7062848,-0.4446975,-1.4480994,-0.9055494,-0.99773574,-0.41185242,1.060221,-1.5951986,-0.16548836,1.0662825,-0.885045,-1.5237548,-0.90363735,-1.3657858,1.0660952,-1.1020035,-1.0685114,1.0627828,1.1000125,0.25585464,1.4154701,-1.5290804,1.6199787,0.19827142,-0.68768066,1.075883,0.5962866,1.7352438,-1.4536206,0.32666448,-0.08114445,0.52210075,-0.83466065,-1.6388664,0.12094864,-0.50699115,1.3602511,-0.17077093,-0.3156804,0.46635884,0.08121855,1.6058353,1.0052396,-0.024767658,-1.0117861,0.27772462,0.8679808,0.920663,1.7259781,-0.95247483,-0.20625329,-0.24614872,-0.6730732,-0.4664286,-0.09183165,0.10398309,-0.7927051,-1.3016636,-0.7049285,-1.2998888,-0.6199052,0.6202695,0.34148628,1.751953,0.24693994,0.21571356,0.47299218,0.84042525,0.38618755,0.30004832,0.34854683,-0.49036407,0.93724173,0.33892176,-0.6704728,-0.8654186,-1.5137634
2,-0.08811526,0.99985975,1.0,0.0,-1.1405667,-1.5094204,-0.77786833,1.0,0.0,0.9210781,0.40041387,-1.2014254,1.3450344,0.77822846,-0.045842122,0.5089885,0.05307725,-1.1663423,0.5054457,1.65507,0.9045648,-1.0881371,-1.3171427,1.4992102,1.4318863,0.91744024,0.88546765,-1.2410748,1.0760026,-1.0986611,-1.1290234,-0.35554844,-1.8066194,1.1996095,-1.1910001,0.7779178,0.2884438,0.9229711,0.3639487,1.6067289,-0.37014174,-0.019174686,-0.60084254,0.86667913,-0.7266859,1.0125765,-1.4388608,-0.980781,-0.26418424,-1.3041835,-1.0620873,1.2382164,-0.44938186,-1.0629474,1.2749612,0.2717979,0.45871153,1.3712667,0.724251,-0.8519002,-1.7402982,0.17693701,0.6875414,1.0300784,-1.0931268,0.44630355,1.5272069,-0.83116686,-0.742671,-0.25594315,0.16373038,1.7073953,0.32259288,1.3534684,0.59238,-0.043258127,-0.6540906,-0.56458795,0.9856406,-1.1327505,-1.2815601,-0.9720249,0.5318849,-0.46094686,-1.0524651,-0.57453287,-1.4396834,-0.23486786,1.1098024,-0.14952107,-0.14054799,-1.6721863,-0.72293884,-1.4491658,-1.6208557,1.2179815,0.7283416,1.1199769,-1.3490058,-0.47295117,1.4300178,-0.25204223
3,0.034592647,-0.078239836,1.0,0.0,-1.6957351,-0.22579081,0.2777212,1.0,0.0,-0.507367,-0.9320144,-1.6607857,0.79077727,1.6844224,-1.6321815,1.2591256,0.17280234,-1.6894487,-1.4984175,0.07955419,-1.3977177,-0.69287723,-0.78509915,1.6414125,-0.14272371,-0.7081544,1.4965689,1.6100377,0.755576,-1.2901208,1.3953683,-0.2355369,0.9753874,0.7718105,0.5123581,0.8749707,1.0869802,-0.14431292,-0.023612177,-1.4328393,-0.40128314,1.3343832,-1.0132239,0.8879771,0.9947915,-1.0799984,0.90450406,0.52291507,1.6067579,-0.388027,0.839121,1.246714,-0.42575857,-1.0453576,-0.43377748,0.5383816,-0.8269846,1.267529,-0.7250093,0.88705164,-0.6586921,0.021146003,1.2639127,-0.0836132,0.43562034,-0.547648,-0.1037133,-1.5119089,0.056336712,-0.17310064,-0.78210825,-1.1332219,-0.5603851,-0.7384523,-0.44410405,1.1183995,1.3806037,1.3787102,-0.2681798,1.3651118,0.25821024,1.7204759,-1.3363105,0.8917371,0.29649922,0.06696924,0.8927207,1.1526232,1.1784049,-0.49966738,-0.3746215,0.30877927,-1.5472121,1.0613773,0.2912496,-0.19446756,0.4701051,1.5502068,1.0532006,0.55195427,-0.996383,1.6236941
4,0.1376513,0.18671094,0.0,0.0,0.03032094,0.5993037,1.3310041,1.0,1.0,-1.1143593,-1.5562865,-0.57541716,1.4188021,-0.83807546,-1.3742661,1.5472159,-0.0024857123,-0.098294005,0.6677498,1.0725473,-0.97463167,-1.0160973,-0.27158695,1.2069609,1.4927497,-1.0401995,0.64106804,-0.19250302,1.305097,-0.74155295,-0.732558,-1.7078097,1.2771298,-1.1439656,-0.78457886,-0.9477359,1.4714657,-1.4586538,-0.5206484,0.6181444,-1.1183674,0.2613579,-0.29935083,-1.6541334,0.31445444,-0.5575689,-1.0052474,1.656185,1.1315203,-0.17696418,-0.65618527,-1.6782432,0.81584173,-0.89555806,0.07913171,0.4461047,0.86591226,-1.1200466,-1.4305743,0.92201906,-1.5952563,-0.31605428,-1.6347957,-1.0488693,-1.097565,1.1478755,0.84839785,-0.8779058,0.2897668,-0.012967527,-1.504255,-0.49034503,0.9022468,-1.3242935,-0.87693596,-0.4455617,-1.6938561,0.8916252,-0.36149484,0.46503958,0.048938718,0.9739818,0.49734998,-0.36495233,-1.3451828,-0.2489985,-1.702858,-1.4881495,1.173988,0.09491062,1.059571,0.81060326,0.14572738,0.764642,1.562233,1.503243,-0.8305339,1.38844,-0.1390738,-1.0258257,-0.2997427,0.27248713
5,0.050930105,0.7592238,1.0,1.0,0.23530835,1.0635813,0.09081284,1.0,1.0,0.6626212,0.83965856,0.5796379,-1.6947721,0.61502093,1.6193165,-0.9903119,0.7534256,-1.062624,0.9429429,1.4767518,-1.039319,1.1479905,-0.7013145,1.3239048,-1.7082552,0.93862206,-0.9892321,-0.46583626,-1.1892301,1.0272639,-0.9700072,-0.53987753,-0.5135397,-0.79400074,-0.9736276,0.807183,0.2691602,0.935432,-1.1243085,0.14195289,-1.418268,-1.4056909,-0.27380046,0.34669694,0.6887241,0.21164845,-1.4695888,-0.4771536,0.77962923,1.5762119,1.3492634,0.0047539975,1.5538927,-0.9480506,0.45538425,0.9169387,-1.700591,-1.3792274,-0.6350727,-1.0218592,-1.1669031,0.1851404,0.4527234,-0.08489772,0.7013951,-0.6316891,-0.45976403,-1.2642677,-1.008214,-0.04039697,1.0506037,-0.08803807,1.3747965,1.52655,0.9991285,1.0155696,-1.6572279,0.6143409,-1.6336257,0.8676694,-0.29767162,-1.4166852,1.4289383,-1.1144221,1.611367,1.0072782,1.4597284,0.42774567,-0.4762854,0.72289896,-0.09426349,0.79498464,1.6327754,-1.511724,-1.2023405,-0.2386704,-1.5999378,-0.5016784,-0.31029242,-1.1451181,-1.5656259,0.45075762
6,-0.04206233,-0.44902048,1.0,1.0,-0.26378134,1.3767749,-0.7095769,0.0,1.0,1.5125201,-0.7738545,0.5740868,-0.49385875,0.6189181,0.37578908,0.9593405,0.45448524,-0.15349528,-0.16254354,-1.1771653,-1.3527699,-1.1804155,1.4612328,0.5813626,1.4131653,0.44626766,-0.99799985,-1.6922382,0.11253248,1.5994437,1.0650299,-1.5428137,-0.5194704,-1.2566336,-0.81266546,0.5621539,-0.60896486,0.020953389,-0.6799031,-0.3342788,-0.37696278,0.28139403,-1.5068505,1.7334037,-1.2870758,-1.5760294,1.4066619,-0.5191155,-1.7743903,-0.8681136,1.0162613,0.89025015,0.5208224,1.069612,-0.059832003,1.454143,-0.78507864,0.033931438,1.1236963,0.11961051,-0.94079375,-0.5678716,1.2166946,0.06798137,-0.54615194,0.4115343,-1.216124,0.84044236,-0.49168178,0.06501418,-0.6164098,1.2458735,-1.1458452,1.2872406,0.6122733,-1.0501212,-1.167708,-0.8757612,-0.19021486,1.5235919,0.93537855,-0.7142987,-0.13083161,-1.6153111,0.959973,0.7654589,0.49285507,0.34738213,-1.4334941,0.119742215,0.39866716,0.39285755,1.4369115,-0.58328414,-0.92271316,-0.21299641,0.3991526,1.1929194,0.8351687,0.06381182,-0.37027848,0.8387159
7,-0.071836345,-0.33664364,1.0,0.0,-1.6547083,0.03203094,-1.0312754,1.0,0.0,-1.5780488,0.03610154,1.6300601,-0.7680225,-1.2427412,-1.4519532,-1.7197737,0.41826066,-0.51538414,1.1302189,-0.95469767,0.1357322,-1.5267735,-0.62017804,1.4186668,0.33548334,-0.08259208,1.472204,-0.52633,-1.4844016,-0.18986633,0.3626089,1.0222348,-0.5036357,0.07585779,1.3272924,0.4055962,-0.7904985,1.4810557,0.26227438,1.172236,1.1203884,0.58835906,-0.73848355,0.5570333,-1.3563081,0.56448513,0.07774939,-0.66952664,-0.24976797,-0.74864864,-0.14574793,-0.22623388,-0.023338871,-1.7367214,-1.3623693,1.2304447,-1.1057379,-0.6000833,0.66082025,-0.43418843,-0.37087837,-1.5883721,-0.2564033,0.21308798,-0.20858842,-0.41534156,-1.1295543,-0.38478264,-1.592206,-0.75795645,-1.7919526,-1.1670315,-1.5427997,1.496506,0.14006582,-0.88516647,0.41451144,-0.8666497,0.5328545,0.036270782,-0.3965162,1.4045779,0.5872082,1.5584388,-0.81788146,-0.3892543,0.58840495,0.4162007,-0.7523233,-1.3573649,1.1986743,-0.58504266,-1.6927882,0.64620477,-0.61527056,0.7749914,-1.2857829,-0.8541584,1.4411572,0.39833397,-0.3158182,1.2237928
8,0.110287584,0.19425584,1.0,0.0,-0.773336,1.3163531,1.5015137,0.0,0.0,1.3835881,0.5208541,1.4790365,0.7025154,-0.9589275,1.2614586,0.13107465,-0.5235229,-0.9395518,-0.79091203,0.14086105,-1.5986961,-0.45669398,-0.85252964,-1.4431342,-0.024673078,-0.46083716,1.2900363,0.087289214,-1.2303522,-1.4954948,0.29223344,0.9517295,-0.3558297,0.12766331,1.0427747,0.47130054,0.37357178,1.3496256,-1.0985801,-1.1676935,1.6034319,1.0600849,1.6290289,0.11722553,-0.30328682,1.5504737,0.40816703,-0.3351915,-0.27745306,-0.07187133,-1.5520922,-1.1755555,0.48385966,0.5918903,1.4103369,0.26856342,-1.2038717,0.6881218,-1.1882433,0.07784213,-1.0734081,-0.7657171,1.2515703,0.15647304,0.8725502,-1.1981273,-0.1823536,-0.36673677,1.6626866,0.85645777,1.0388058,0.63146317,-1.5361707,0.98454714,0.8370787,0.7387045,-0.23285225,-0.8320186,-0.011590998,-0.34092182,-1.3912063,0.9506633,0.5079309,-1.2361674,0.38400343,1.5856216,0.11452939,-1.6046232,1.6477852,0.5504364,-0.024337187,1.5581859,-0.14059511,-0.97784585,-1.7776376,0.98749226,-1.1902466,1.004649,-1.5336443,0.4717629,-1.6294105,0.7493844
9,0.17376243,0.026117804,1.0,1.0,0.33406597,1.0141848,1.4575413,0.0,1.0,1.4435437,0.6262081,0.97356725,0.024540033,1.6699749,0.17788975,-1.2409304,-1.5579406,1.2027701,-1.41677,0.2884486,-0.03366532,1.0970346,-0.45992553,-1.2022638,-1.1833534,-1.2956648,0.055969052,-1.4892349,-0.2790401,-0.96594155,-1.1719693,0.78137463,1.0192999,0.8391467,-0.38249364,-0.15113096,0.76317054,0.4832712,0.14349431,-0.9326148,-0.8186067,0.16603845,0.9714299,-0.39642403,0.16562244,1.6743815,-0.50556624,1.0082779,0.25022733,-0.38886252,-0.0078073638,-1.4893962,0.3101899,1.0938258,-1.5051087,0.518326,-1.5322273,-1.2737086,0.42102945,0.08766827,-1.1159743,-0.531576,-1.3661487,0.6315283,0.6334333,1.5647106,0.6585771,1.451021,1.0511216,0.29633227,0.06060483,-1.3904189,-1.1600218,0.3506176,-0.38548094,-1.2700864,1.0829524,-0.49228898,-1.5037342,-1.3827349,-1.552077,-0.9577148,0.13648684,0.0018498192,-1.0748259,-1.2861857,-0.08934381,0.4102981,-0.0023529357,0.064815044,1.5197605,1.1570224,0.91293156,-0.35902512,0.23641841,0.757427,-0.21068889,-1.577764,0.5576336,1.3040847,-0.64273775,0.9925479
