,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
0,-0.5722249,0.039415136,0.9787069,-1.6636126,0.47568366,0.84979665,-0.0122457445,-0.92165416,-1.0663657,0.86413425,-1.0857885,-1.4136375,0.60429364,1.631419,-1.7327068,-0.021565638,1.1325905,0.37585562,0.81766486,-0.72487384,1.3638119,0.76681495,0.22195458,-1.2597466,-0.4685878,0.6564946,-0.26979014,-0.15240721,0.443626,0.09060344,0.5442463,0.36095694,1.0228505,-0.018699931,1.3823062,-0.59084636,-1.3321705,-0.6711969,-1.3338827,1.1928362,-1.6206607,0.45285287,0.2510221,1.1649984,-1.0465063,1.2091063,-0.49301553,0.9151534,-0.68693024,1.4413233,-0.6825538,-1.1501474
1,0.88111,1.2096604,-0.3402201,-1.4231682,1.121684,-1.193008,-0.4071471,1.465747,1.739978,-0.18669198,1.1740075,-0.83115625,0.29149395,1.4521308,0.119798064,0.24154145,-1.5181904,-0.48816684,-1.4349774,-0.68046564,-0.64970934,0.9696623,-1.5503675,-0.2458343,-0.6705713,0.52903277,-0.6113921,-1.4698132,1.3736075,0.9615802,1.3546581,-0.2572625,0.35886,-0.047533303,0.30156413,-0.79248965,-0.62249935,-1.638202,-0.6917276,-0.8190302,0.1981331,0.2477838,0.0034178414,-0.66734105,-1.5128386,1.6270658,-0.5339182,0.042190917,1.6442616,-0.091698356,-0.7077631,0.05569307
2,0.2578807,-0.45197088,0.30605203,1.091693,-1.4732715,-0.121863216,0.9662416,0.7169453,0.312558,-1.6346838,-0.46136165,0.2828871,-0.76662844,0.06745175,0.6047676,-1.21215,-1.479814,-0.5536962,-1.335172,-1.0942048,1.2542377,-0.4286464,-0.91980934,0.8939933,-1.3899572,0.8951131,-0.16979125,0.40109438,-1.2242391,-1.0554931,0.52529377,-1.4998372,-0.8283506,0.054476317,-0.9886802,-0.3709733,1.47321,1.5229392,0.20381811,0.18036014,-1.734758,1.6391743,0.33797026,1.0691859,0.20888427,1.2793036,0.30328372,0.7611474,-1.1915169,-0.1343273,0.6003258,-1.3554237
3,0.19188374,0.18803278,-0.17630455,-1.1826134,0.039165296,1.0898532,-1.4221087,0.98727417,0.23828863,0.27285182,-0.98607785,-0.17111123,-0.78023034,-1.6160747,-1.639362,-0.22085364,0.9003397,0.18896863,-0.36327812,-1.1296102,1.0910933,0.37133908,1.0688944,1.2328074,0.32609144,1.0185621,0.35235158,-1.5437256,0.9143763,-1.0833275,-0.13869,0.06481141,-0.045418724,1.1188363,-1.1693512,-1.6680179,1.2254169,0.8812592,-0.16994627,-0.21944566,-1.3719498,-0.517522,-1.2968128,0.80494016,-1.4684049,-1.0213802,0.2676038,-0.63444847,0.54439837,1.1633078,-0.59304696,-1.3934205
4,0.34841993,0.63381934,1.1249323,0.86329055,-0.35217416,1.2451807,-0.40743598,-0.81378853,1.1776037,0.7807247,0.07844976,0.5727657,-1.0742916,1.4268738,1.6258937,-0.6798998,1.3140248,-0.64685833,-1.6256348,-1.5182437,-1.1507874,-1.4430852,-0.78331584,1.4624376,-0.17637344,-1.185289,1.0469416,-0.25534233,-1.6612519,1.2875073,-0.7943506,0.72498024,-0.47195357,0.942334,1.1596639,0.18329741,0.24840112,-1.2970978,-0.43843818,-0.1788077,0.03298794,1.3485535,-0.59436005,-0.3066292,1.0111072,-0.3143485,-1.0641389,1.2030021,0.24849707,-1.4087261,1.6277585,-0.9334162
5,-0.8290355,-1.1597937,0.43336996,-0.51518613,1.0585176,0.43538523,1.1017988,-0.71108615,-0.7936361,0.31327918,1.5605781,0.7977408,-0.8957706,-1.3154565,-0.14495838,1.538748,0.6799734,-1.0428591,-1.5502993,1.4353014,1.1610204,1.1547712,1.7078298,0.35210648,1.4593952,-1.129225,-1.4427576,-0.36129966,0.9714758,-0.5780198,0.500248,-1.6325791,0.15228333,-0.666854,1.3453629,1.6068821,-0.34171444,-0.33603764,1.3263776,-1.4475304,-0.3439234,-1.2210026,-1.3230914,1.0420648,-0.68081945,0.2743018,1.3109556,1.3393433,0.35693437,0.61556405,-1.6189417,-0.6999106
6,0.6168478,0.7388058,0.70173275,-1.1071242,1.0593158,0.049835544,0.8811007,-1.0776407,-1.4766834,-0.09768885,0.15154946,0.7584833,-1.1042424,0.63139075,1.0230309,-1.6083024,1.6492714,1.6037073,0.21746328,-1.4668788,-0.5999163,-1.6094702,1.1328529,-1.0277008,-1.2641869,0.74372226,-1.6431355,-0.7502746,0.062495224,1.7695793,-1.2491331,-0.14945164,0.34510034,-1.514466,-0.7732304,0.82921714,0.22047307,1.2181209,0.24994391,-1.0162508,0.4044292,1.3323333,0.14577673,0.49280182,0.013281835,1.390082,-0.2819001,0.1781129,-0.5271588,-1.1682146,0.49213028,1.4691746
7,0.85009193,0.89995176,0.42650175,1.0546707,-0.9570046,1.3774339,-1.6994439,-0.9182825,-1.3009771,1.3719286,1.4632967,0.34672228,-1.5211345,-1.3348049,0.9455313,0.7224785,-1.3541863,-0.48721454,0.99817413,-1.2492664,0.060661573,0.9042538,-0.73024064,0.2377036,-0.111244194,0.25858197,-0.2737115,0.72287184,0.8000482,0.9376966,-1.6377676,0.6230139,-0.06803477,-1.5042485,0.35844892,1.2433734,0.83798665,-0.59790576,-1.490548,-1.5212414,0.20364314,-1.1174994,-0.70481884,-0.86601746,-1.6682993,-1.20733,-1.5810895,1.6791233,-0.46609232,1.2390527,-0.3805309,-0.8504956
8,0.38317364,0.38514483,-0.88276947,0.8244299,0.60528755,0.7046218,1.2120571,0.0647217,-0.19660398,0.14988853,0.57509345,1.0880541,1.3398615,-0.653185,-1.2730402,0.78363156,0.15299363,0.9585805,-0.20607534,1.0632764,0.059020694,-0.8221267,-1.4835956,-1.4369674,-1.1571769,-0.13883437,1.0506715,1.4530416,0.29577774,-0.68245107,0.54919064,0.48519295,0.019614356,1.5459056,1.0277834,1.5637823,0.43339285,1.7219146,0.70727015,-1.6195735,-0.7614513,1.1786282,-0.10578585,-1.0841008,-1.338778,1.0070305,0.5248683,0.064712375,-0.7222565,0.5860498,-0.5333972,0.12279126
9,1.3205712,1.2403717,0.9464856,1.0452424,-1.3462471,0.03571065,0.49515834,-1.1596756,-1.7640865,1.577457,1.1112149,-0.75007814,-0.840005,-1.3213296,-0.06827587,1.3953696,1.4832673,-0.8715688,-0.3290936,1.4928248,-0.83869404,1.5311528,1.0205733,1.3605847,1.2522354,-1.1302336,0.972877,1.4490652,1.2255167,0.78324443,-0.67659825,-0.47191852,-0.8691225,-1.5407629,-1.1009755,0.45793033,1.5064347,0.7000447,0.19056301,-0.74467516,0.089751974,1.053739,-0.6119074,-1.0482926,-1.6669664,0.820068,-1.5660537,-0.16417655,1.1479998,-1.5698994,-0.042386714,-0.081103995
