,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0,-0.011843483,1.6475853,1.0,1.0,0.40685225,-0.12191094,-0.13762192,0.0,0.0,0.68476135,-0.07116321,2.4226873,-0.68351805,-0.9564252,-1.119994,-0.37744173,-1.2847016,-0.20952363,-1.2012451,-0.19569986,-0.17684525,0.10050378,-0.104098886,-0.10256015,-0.13866375,-0.10050378,-0.10050378,0.10050378,-0.10050378,-0.17648003,0.10050378,0.10050378,-0.10050378,-0.10050378,-0.39739576,-0.14829114,-0.101067215,-0.35762417,2.8381748,-0.10658498,-0.10253813,-0.14282116,-0.24335843,-0.15646146,-0.25082055,-0.20674238,-0.33367345,-0.14254335,-0.1008225,-0.10050378,-0.8997215,1.5150018,3.805363,-0.17586312,-0.36002612,-0.15294546,-0.14218552,-0.50051343,-0.18422933,-0.15386821,-0.10273397,-0.35367352,-0.21602233,-0.23476364,-0.17482898,0.028522236,-0.19043824,-0.1263824,0.06526596,-0.20791,-0.2036485,-0.13562268,-0.15322673,-0.24446774,-0.16274321,-0.102855034,-0.10843551,-0.18145984,-0.21788445,-0.1433393,-0.1019291,-0.2308396,-0.10050378,-0.10050378,-0.10050378,-0.10050378,-0.89401597,-0.15739366,0.4658342,3.1843858,0.5985607,0.8418537,0.47433805,-0.523593,-0.3479008,-0.2332832,0.9869752,0.002573124,1.9356676,-0.4034733,-0.6324555,-0.3350511
1,-0.011843483,-0.46921,0.0,1.0,0.3180199,1.2230828,1.731029,4.0,2.0,-0.55449784,-0.07116321,-0.38262367,-0.68351805,-0.9564252,-1.119994,0.9206324,1.4398855,-0.20952363,1.230733,-0.19569986,-0.17684525,0.10050378,-0.104098886,-0.10256015,-0.13866375,-0.10050378,-0.10050378,0.10050378,-0.10050378,-0.17648003,0.10050378,0.10050378,-0.10050378,-0.10050378,-0.39739576,-0.14829114,-0.101067215,-0.35762417,-0.36069202,-0.10658498,-0.10253813,-0.14282116,0.9645915,0.67972946,-0.25082055,-0.20674238,-0.33367345,-0.14254335,-0.1008225,-0.10050378,1.374366,-0.71843517,-0.31748563,-0.17586312,-0.36002612,-0.15294546,-0.14218552,-0.50051343,-0.18422933,-0.15386821,-0.10273397,-0.35367352,-0.21602233,-0.23476364,-0.17482898,0.028522236,-0.19043824,-0.1263824,0.06526596,-0.20791,-0.2036485,-0.13562268,-0.15322673,-0.24446774,-0.16274321,-0.102855034,-0.10843551,-0.18145984,-0.21788445,-0.1433393,-0.1019291,-0.2308396,-0.10050378,-0.10050378,-0.10050378,-0.10050378,1.3257723,-0.15739366,-0.06533462,1.1177105,-0.74870116,0.45928344,0.47433805,1.2236981,-0.3479008,3.3853865,0.9869752,0.8771266,-0.93357307,-0.4034733,-0.6324555,-0.3350511
2,-0.011843483,0.020372959,1.0,1.0,-0.39263907,0.2143375,-0.13762192,1.0,2.0,0.22915614,0.5513043,0.08984974,-0.68351805,-0.9564252,-1.119994,2.1516244,0.5316898,-0.20952363,-0.50639415,-0.19569986,-0.17684525,0.10050378,-0.104098886,-0.10256015,-0.13866375,-0.10050378,-0.10050378,0.10050378,-0.10050378,-0.17648003,0.10050378,0.10050378,-0.10050378,-0.10050378,-0.39739576,-0.14829114,-0.101067215,-0.35762417,-0.36069202,-0.10658498,-0.10253813,-0.14282116,0.10834268,0.05965162,-0.25082055,-0.20674238,-0.33367345,-0.14254335,-0.1008225,-0.10050378,0.23732229,-0.71843517,-0.31748563,-0.17586312,-0.36002612,-0.15294546,-0.14218552,-0.50051343,-0.18422933,-0.15386821,-0.10273397,-0.35367352,-0.21602233,-0.23476364,-0.17482898,0.028522236,-0.19043824,-0.1263824,0.06526596,-0.20791,-0.2036485,-0.13562268,-0.15322673,-0.24446774,-0.16274321,-0.102855034,-0.10843551,-0.18145984,-0.21788445,-0.1433393,-0.1019291,-0.2308396,-0.10050378,-0.10050378,-0.10050378,-0.10050378,-0.603233,0.44414067,-0.34862465,-0.8156309,-0.5077136,-0.62466556,1.5968932,-0.523593,-0.3479008,-0.2332832,-1.6024854,-2.128963,-0.93357307,-0.4034733,-0.6324555,-0.3350511
3,-0.011843483,0.3881766,0.0,0.0,-0.39263907,-0.07619313,-0.07368053,2.0,0.0,0.4093704,1.0578554,0.5918527,-0.68351805,-0.9564252,-1.119994,0.21497194,-1.2847016,-0.20952363,-1.2012451,-0.19569986,-0.17684525,0.10050378,-0.104098886,-0.10256015,-0.13866375,-0.10050378,-0.10050378,0.10050378,-0.10050378,-0.17648003,0.10050378,0.10050378,-0.10050378,-0.10050378,2.5813313,-0.14829114,-0.101067215,-0.35762417,-0.36069202,-0.10658498,-0.10253813,-0.14282116,-0.19255014,-0.04106424,-0.25082055,-0.20674238,-0.33367345,-0.14254335,-0.1008225,-0.10050378,0.23732229,-0.71843517,-0.31748563,-0.17586312,-0.36002612,-0.15294546,-0.14218552,2.1170206,-0.18422933,-0.15386821,-0.10273397,2.9860835,-0.21602233,-0.23476364,-0.17482898,0.028522236,-0.19043824,-0.1263824,0.06526596,-0.20791,-0.2036485,-0.13562268,-0.15322673,-0.24446774,-0.16274321,-0.102855034,-0.10843551,-0.18145984,-0.21788445,6.9999223,-0.1019291,-0.2308396,-0.10050378,-0.10050378,-0.10050378,-0.10050378,-0.89401597,-0.15739366,0.14713292,-0.8156309,-0.2540169,-0.56090385,-1.0224022,-0.523593,-0.3479008,-0.2332832,-0.012366595,0.13634641,0.38832814,-0.4034733,0.9486833,-0.3350511
4,-0.011843483,-0.7862544,0.0,1.0,0.8510141,0.2143375,-0.13762192,1.1456183,1.0,1.0978477,0.5739902,1.654918,1.5544915,-0.10778552,0.79439306,-0.17040296,1.4398855,-0.20952363,1.230733,-0.19569986,-0.17684525,0.10050378,-0.104098886,-0.10256015,-0.13866375,-0.10050378,-0.10050378,0.10050378,-0.10050378,-0.17648003,0.10050378,0.10050378,-0.10050378,-0.10050378,-0.39739576,-0.14829114,9.949746,-0.35762417,-0.36069202,-0.10658498,-0.10253813,-0.14282116,0.12658967,0.02328259,3.9575598,-0.20674238,-0.33367345,-0.14254335,-0.1008225,-0.10050378,-0.13826527,-0.08360449,-0.061979778,-0.17586312,-0.36002612,-0.15294546,-0.14218552,-0.50051343,-0.18422933,-0.15386821,-0.10273397,-0.35367352,-0.21602233,-0.23476364,-0.17482898,0.028522236,-0.19043824,-0.1263824,0.06526596,-0.20791,-0.2036485,-0.13562268,-0.15322673,-0.24446774,-0.16274321,-0.102855034,-0.10843551,-0.18145984,-0.21788445,-0.1433393,-0.1019291,-0.2308396,-0.10050378,-0.10050378,-0.10050378,-0.10050378,-0.89401597,-0.15739366,-0.34862465,-0.34896228,0.20390442,0.77809197,-0.6482171,-0.523593,-0.3479008,-0.2332832,0.9869752,0.8771266,-0.93357307,-0.4034733,-0.6324555,-0.3350511
5,-0.011843483,-0.009815906,0.0,0.0,0.3180199,-0.12191094,-0.13762192,4.0,1.0,-0.14141147,1.5417204,-0.5302716,-0.68351805,1.165174,-0.16280046,0.018596765,1.4398855,-0.20952363,0.8833076,1.1485755,-0.17684525,0.10050378,-0.104098886,-0.10256015,6.9944587,-0.10050378,-0.10050378,0.10050378,-0.10050378,-0.17648003,0.10050378,0.10050378,-0.10050378,-0.10050378,-0.39739576,-0.14829114,-0.101067215,-0.35762417,-0.36069202,-0.10658498,-0.10253813,-0.14282116,-0.014430048,-0.007465928,-0.25082055,-0.20674238,2.999986,-0.14254335,-0.1008225,-0.10050378,0.23732229,-0.71843517,-0.31748563,-0.17586312,2.8428357,-0.15294546,-0.14218552,-0.50051343,-0.18422933,-0.15386821,-0.10273397,-0.35367352,-0.21602233,-0.23476364,5.6844535,0.028522236,-0.19043824,-0.1263824,0.06526596,-0.20791,-0.2036485,-0.13562268,-0.15322673,-0.24446774,-0.16274321,-0.102855034,-0.10843551,-0.18145984,4.8888655,-0.1433393,-0.1019291,-0.2308396,-0.10050378,-0.10050378,-0.10050378,-0.10050378,-0.89401597,-0.15739366,-1.1630836,-1.3489665,-0.552115,-0.68842727,-1.0224022,-0.523593,-0.3479008,-0.2332832,0.32006514,-0.0508124,0.4457837,-0.4034733,0.9486833,-0.3350511
6,-0.011843483,-0.01271749,1.0,0.0,-1.0144657,-4.4931407,-5.120691,4.0,2.0,-0.35352325,-0.10221864,0.9376416,0.5280014,0.225319,0.303418,-3.8923104,-0.96152157,-0.15305215,-0.62451214,0.5879336,-0.0807998,-9.949874,0.2582857,0.10310325,-0.5385335,9.949874,9.949874,-9.949874,9.949874,-0.11633492,-9.949874,-9.949874,9.949874,9.949874,-0.31892422,-0.00786639,-0.10847739,-0.12625119,0.2547372,0.08192786,0.049418416,7.1569395,-3.2477946,-4.6958776,-0.25082055,4.8973684,-0.33367345,-0.14254335,-0.1008225,-0.10050378,0.23732229,-0.71843517,-0.31748563,-0.17586312,-0.36002612,-0.15294546,-0.14218552,2.1170206,-0.18422933,-0.15386821,-0.10273397,-0.35367352,-0.21602233,-0.23476364,-0.17482898,0.028522236,-0.19043824,-0.1263824,0.06526596,-0.20791,-0.2036485,-0.13562268,-0.15322673,4.349686,-0.16274321,-0.102855034,-0.10843551,-0.18145984,-0.21788445,-0.1433393,-0.1019291,4.3584924,-0.10050378,-0.10050378,-0.10050378,-0.10050378,0.25814578,0.24319905,0.29006964,0.096224174,3.285035,-0.28141698,-1.0224022,-0.31858605,0.062072247,-0.060856286,0.9869752,0.8771266,1.9356676,-0.4034733,-0.6324555,0.29420015
7,-0.011843483,-1.7342899,1.0,1.0,0.22918752,-0.4581594,-0.13762192,4.0,1.0,-0.96758425,-0.5550283,-0.64839,-0.68351805,-0.10778552,0.79439306,-0.47265255,-1.2847016,-0.20952363,-1.2012451,-0.19569986,-0.17684525,0.10050378,-0.104098886,-0.10256015,-0.13866375,-0.10050378,-0.10050378,0.10050378,-0.10050378,-0.17648003,0.10050378,0.10050378,-0.10050378,-0.10050378,-0.39739576,-0.14829114,-0.101067215,-0.35762417,2.8381748,-0.10658498,-0.10253813,-0.14282116,-0.2991243,-0.08821435,-0.25082055,-0.20674238,-0.33367345,-0.14254335,-0.1008225,-0.10050378,0.23732229,-0.71843517,-0.31748563,-0.17586312,-0.36002612,-0.15294546,-0.14218552,-0.50051343,-0.18422933,-0.15386821,-0.10273397,2.9860835,-0.21602233,-0.23476364,-0.17482898,0.028522236,-0.19043824,-0.1263824,0.06526596,-0.20791,-0.2036485,-0.13562268,-0.15322673,-0.24446774,-0.16274321,-0.102855034,-0.10843551,-0.18145984,-0.21788445,-0.1433393,-0.1019291,-0.2308396,-0.10050378,-0.10050378,-0.10050378,-0.10050378,1.3257723,-0.15739366,-0.87979347,-0.8156309,-0.14093594,-0.49714214,-1.0224022,-0.523593,2.2096653,-0.2332832,0.9869752,0.8771266,1.9356676,-0.4034733,-0.6324555,3.1555552
8,-0.011843483,0.9870949,1.0,1.0,-2.1692865,-0.18251173,-0.057866395,0.0,0.0,-0.22633272,-0.11604007,1.6844475,-0.68351805,-0.9564252,-1.119994,0.55776733,-1.2847016,-0.20952363,-1.2012451,-0.19569986,-0.17684525,0.10050378,-0.104098886,-0.10256015,-0.13866375,-0.10050378,-0.10050378,0.10050378,-0.10050378,-0.17648003,0.10050378,0.10050378,-0.10050378,-0.10050378,-0.39739576,-0.14829114,-0.101067215,-0.35762417,-0.36069202,-0.10658498,-0.10253813,-0.14282116,-0.55904263,-0.10984115,-0.25082055,-0.20674238,-0.33367345,-0.14254335,-0.1008225,-0.10050378,0.23732229,0.77052283,-0.31748563,-0.17586312,-0.36002612,-0.15294546,-0.14218552,-0.50051343,-0.18422933,-0.15386821,-0.10273397,2.9860835,-0.21602233,-0.23476364,-0.17482898,0.028522236,-0.19043824,-0.1263824,0.06526596,-0.20791,-0.2036485,-0.13562268,-0.15322673,-0.24446774,-0.16274321,-0.102855034,-0.10843551,-0.18145984,-0.21788445,-0.1433393,-0.1019291,-0.2308396,-0.10050378,-0.10050378,-0.10050378,-0.10050378,-0.06779889,0.20058309,-0.6319147,-0.8156309,0.5440676,-0.62466556,-0.6482171,-0.523593,-0.3479008,-0.2332832,0.34612036,0.08783669,0.50247747,-0.4034733,0.9486833,-0.3350511
9,-0.011843483,0.57760894,1.0,0.0,-0.48147145,2.2318282,1.1081454,4.0,1.0,2.337107,-0.07116321,-0.7960379,-0.68351805,-0.5321054,0.79439306,2.2694368,0.5316898,-0.20952363,0.5358822,-0.19569986,-0.17684525,0.10050378,-0.104098886,-0.10256015,-0.13866375,-0.10050378,-0.10050378,0.10050378,-0.10050378,-0.17648003,0.10050378,0.10050378,-0.10050378,-0.10050378,-0.39739576,-0.14829114,-0.101067215,-0.35762417,-0.36069202,-0.10658498,-0.10253813,-0.14282116,2.2283072,1.4476733,-0.25082055,-0.20674238,-0.33367345,-0.14254335,-0.1008225,-0.10050378,0.23732229,-0.71843517,-0.31748563,-0.17586312,-0.36002612,-0.15294546,-0.14218552,2.1170206,-0.18422933,-0.15386821,-0.10273397,-0.35367352,-0.21602233,-0.23476364,-0.17482898,0.028522236,-0.19043824,-0.1263824,0.06526596,-0.20791,-0.2036485,-0.13562268,-0.15322673,-0.24446774,-0.16274321,-0.102855034,-0.10843551,5.6844363,-0.21788445,-0.1433393,-0.1019291,-0.2308396,-0.10050378,-0.10050378,-0.10050378,-0.10050378,-0.89401597,-0.15739366,0.15077665,0.23653051,-1.3956946,0.076713204,1.5968932,-0.523593,-0.3479008,-0.2332832,-0.89768606,-0.12236655,0.14898579,-0.4034733,-0.6324555,-0.3350511
10,-0.011843483,-0.62576777,1.0,1.0,0.051522773,0.2143375,1.1081454,4.0,0.0,0.10181087,0.122872494,-0.38262367,-0.68351805,-0.5321054,0.79439306,0.25120807,-1.2847016,4.8932123,0.5358822,-0.19569986,-0.17684525,0.10050378,-0.104098886,-0.10256015,-0.13866375,-0.10050378,-0.10050378,0.10050378,-0.10050378,-0.17648003,0.10050378,0.10050378,-0.10050378,-0.10050378,-0.39739576,-0.14829114,-0.101067215,-0.35762417,-0.36069202,-0.10658498,-0.10253813,-0.14282116,0.1221143,0.67972946,-0.25082055,-0.20674238,-0.33367345,-0.14254335,-0.1008225,-0.10050378,0.23732229,-0.71843517,-0.31748563,-0.17586312,-0.36002612,-0.15294546,-0.14218552,-0.50051343,-0.18422933,-0.15386821,-0.10273397,-0.35367352,-0.21602233,-0.23476364,-0.17482898,0.028522236,-0.19043824,-0.1263824,0.06526596,-0.20791,-0.2036485,-0.13562268,-0.15322673,-0.24446774,-0.16274321,-0.102855034,-0.10843551,-0.18145984,-0.21788445,-0.1433393,-0.1019291,-0.2308396,-0.10050378,-0.10050378,-0.10050378,-0.10050378,-0.29890797,0.11888357,1.2094705,0.7177088,-0.13122144,0.33176002,1.5968932,-0.523593,-0.3479008,-0.2332832,-0.8216967,-0.2695633,0.19499907,-0.4034733,-0.6324555,-0.3350511
