,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200
0,-0.5208128,-0.4804493,1.0,1.0,1.3232144,0.14063542,-0.9082131,0.0,0.0,-0.38262463,0.09159873,-0.025927437,0.17536412,0.11349906,0.90696406,0.7522504,0.4012097,-0.23993538,-0.6982589,1.6917194,-0.57978386,-0.96983486,-1.4636511,1.6928056,-1.3015225,-0.6188246,-1.458076,-0.9568871,-0.36885887,1.3807653,-0.5018421,1.6731144,-1.6661994,-0.5768275,-0.4263319,0.9262957,1.531604,-0.58470994,-0.240707,-0.78809065,1.0573194,0.48296797,-1.4734042,0.35155833,1.0638238,-1.6867462,-0.13033497,1.0366485,1.6981779,0.30223626,-1.5673665,-0.1966277,-1.1283059,0.4083337,-1.0566634,-1.2235384,0.111134455,-1.4727359,0.851458,1.5212693,1.5434115,-0.44232133,0.2955138,0.55331355,0.03543875,-0.13179031,-1.6876875,-1.4148448,-0.17720304,-0.27258646,-1.031278,0.13683227,0.33318543,0.7795032,-0.71116567,-0.34232566,1.1170635,0.25198522,0.7103093,0.039775554,1.1480807,0.7733915,1.2821937,-0.9917819,-0.6950067,-0.09283826,-0.07812755,0.33904532,1.0702035,0.08389837,1.4979221,0.81699586,-1.1185663,0.42242044,0.22726853,0.92592055,1.0908128,-0.66401905,-1.2054566,0.44157666,-1.6728966,0.9677003,-0.0051644924,1.686674,1.6503276,-0.9449798,1.2568938,1.136405,-0.93137366,0.60365635,1.655943,0.7942642,-1.3718421,0.029423183,-0.08334569,-1.7148242,1.6803738,1.3221612,-1.0420505,0.3607645,-0.082728684,-0.47377682,0.06206887,0.19325912,1.1664839,-1.4811755,0.39037952,0.035601716,-1.1982628,-1.1841978,0.40509087,1.3357996,-1.6232879,-0.29141536,1.264674,-0.08981688,-0.43840313,-0.91831565,-1.6581724,-1.1761998,0.26567525,0.075772114,0.088732995,-0.66958755,1.3095182,1.1643701,-0.113397785,0.85341316,0.9332228,-0.4741799,-1.1398435,-0.84400505,-0.9301573,-0.39710334,-1.6747491,-0.7854434,0.14691977,-0.23465945,0.14846681,0.8147596,1.5018964,-0.576735,-0.7803875,-0.068514384,0.36568987,-1.0553709,-1.6007693,-1.0720458,-0.85836756,-0.24575935,0.4129795,-0.6720935,1.6795533,1.2967422,0.35591337,-0.57748187,-1.197663,0.51780045,0.7958955,-1.5359135,0.9021963,1.3339574,0.44770032,0.6867967,1.2425549,1.5568746,-0.52616364,-1.5528392,-0.66027313,-1.1192455,-0.42107248,0.029562104,1.0563284,1.5247232,-0.72570914,1.5470848,-1.0559528,-0.24030398,-1.0996116,-0.8295301,-1.5999714,-0.8645899
1,0.7360007,1.2189584,1.0,1.0,-0.67604697,-1.6731234,1.3222076,1.0,1.0,-1.7887094,-0.82825273,-0.74520296,0.23666593,0.035251636,1.0374602,0.9841837,1.4843401,0.101293005,1.5709567,1.1365292,-1.0839618,0.72131276,1.5035561,1.4144114,1.245246,0.4921486,1.6124634,-0.8679217,0.67744887,-1.3029618,0.5838312,0.70024097,0.60721713,-0.05637572,-0.3213793,1.2820634,-0.063699946,-0.5912514,-1.5793558,0.58307654,0.9020636,0.015271906,0.80087715,0.47623333,0.028690185,-1.1468955,-0.47207665,0.8225895,0.87950355,-1.5238081,-0.23093109,0.37529218,0.80805403,-0.37954915,0.11264595,-0.41594172,-0.5858037,-0.6911949,1.161748,-1.4467448,-1.5711883,0.61851174,-0.5302983,1.5200486,-1.16573,-0.33268455,-0.3295284,0.10992821,-1.1378882,1.6434491,0.49695927,1.5209105,0.4718218,0.4827576,0.3177413,-0.8816792,-0.75932103,-1.2181944,0.71369344,1.2418579,-0.93737286,-1.5374303,-0.32367042,1.6708871,-1.2367612,0.1816411,0.8985368,-1.0717818,-0.5478779,-0.96639484,-0.15422122,1.5735673,0.45126724,-1.281568,-0.52007496,0.71609986,1.7608774,-0.44427696,0.11490296,-0.97565234,-0.49922153,-1.3212531,-1.1244453,-0.6951472,-1.5923111,-0.77245414,-1.4083724,-1.5783201,1.5213301,-0.5297192,0.6727929,-0.783976,-0.18096532,1.1453791,1.0712329,0.10595101,-0.4676919,-0.5853108,1.3206544,-1.3402766,-0.39133868,-1.5599576,0.42201784,1.5224472,0.26813188,-0.43297985,-0.63325244,0.73244274,-1.2432392,0.77383375,-1.2609744,-0.7563567,1.6152288,-0.63347906,1.5402822,1.3801843,-1.0527341,-1.6313965,-0.50890887,0.6570737,1.6501805,-0.52552265,-0.52288413,-1.2251276,0.93608725,-0.124106616,-0.057769664,-1.0905739,-1.54845,0.62964815,-0.08914119,1.175108,-1.6710202,1.1320367,1.1977283,-0.7979069,-0.5710062,0.8186481,0.85842896,1.0026395,-1.4578391,-0.12557827,1.2515972,1.7808839,0.76407486,1.1192106,-1.3083293,1.6149651,-0.5870003,-1.1594571,0.5495442,-1.685205,-0.23420398,0.6947824,-1.7785528,-0.6266613,-1.2937797,-1.3342985,1.5767392,-1.5070844,-0.13422163,-0.57638943,1.4772291,0.27334505,0.6086324,-0.11918882,0.5626509,-1.5351977,0.08306842,1.3218706,0.120504305,-0.31952325,-1.3826009,0.5127213,0.63315797,0.6822897,-0.84301984,-0.35411534,-0.0796552,-0.7541367,-0.30343857,-1.5139778
2,-0.44082826,-1.3024788,1.0,1.0,-0.32644558,-1.0424315,0.0096817305,1.0,1.0,1.2135557,-1.6727971,-1.006325,0.2772398,1.4269892,1.2684139,-0.16801244,1.6938413,-1.2099999,-0.614534,-1.7380782,-0.45574215,-0.92028266,-0.7857195,1.6268954,-0.54345506,-1.7018121,0.5409435,1.5682863,0.01822651,0.6130711,1.6654136,-0.2952823,0.942864,-1.5762557,0.38194814,-0.38856474,1.3859652,-0.6197926,-0.80226374,-0.4606254,-1.5707159,-0.5277557,-1.0198492,1.0853273,-1.3863406,-1.6885166,0.046440035,0.38434252,-0.045697965,-1.2240497,0.13004202,1.0653652,1.2307571,1.3195512,0.9768839,1.590777,-0.6356234,-1.2127168,0.8217267,0.4039252,-1.6331376,1.2876973,0.76958287,-0.43409857,0.50811034,-0.21415758,-1.1102791,-0.1481616,-0.25416285,-1.7093263,-1.6629473,0.9029964,0.91654515,0.6709295,-1.1302217,0.5944616,-1.6513004,1.2829828,-1.5809585,0.3232598,-1.5638218,0.41353935,-1.6445847,0.63345176,0.28814492,-0.09030044,-0.75976914,-0.16798179,1.0800507,-0.45301867,-1.2482638,0.6730123,0.35094708,0.17797239,0.009683886,-1.0475727,0.9269449,0.5682228,1.341808,0.38193572,0.6109213,-0.47806183,-0.5122533,-0.21993643,0.09074102,1.6742737,-0.5705647,-1.0544114,-1.2678484,1.017929,-1.2773485,-1.4365416,1.7414706,1.4288536,1.0616615,-0.86077356,-1.0355804,0.6325695,-1.6083024,-0.10110534,1.4606416,0.43111682,-0.54893035,1.191927,-1.3125334,0.5274701,0.4959753,1.3789945,1.3604802,-0.89960366,-0.37645435,-0.51708835,1.1404827,-0.03941135,0.7253946,-1.3667572,-0.5381598,0.92069507,-1.8127385,-0.7004179,-1.2190943,0.84459865,-1.6012248,-1.2167264,0.095916435,0.547454,-0.83134586,0.9847348,1.4557164,1.0141757,-1.43555,0.7726781,-0.5624022,0.5384415,0.089690305,0.6525327,-1.0413849,0.99131227,1.0084196,1.3537133,1.6751553,-0.0069899666,-0.105910785,-0.046729255,-0.78583205,0.4161474,1.1515402,-1.748239,-0.8574286,0.33583847,0.37516236,-0.08493933,0.046087425,0.8854969,1.060727,-0.64670974,0.14092599,-0.27021477,-1.0486871,-0.78094804,1.6577566,-0.5850019,-1.5376846,0.19729482,0.9451183,-0.7762179,-1.4971944,-0.11360351,1.2858655,0.87106395,-0.4876107,1.3532313,0.9460242,-0.5988533,1.3986466,-0.21197207,-0.4320248,-0.66378057,1.4176975,0.8838648,1.0439211,0.49260157
3,-1.2574278,-1.8709702,0.0,1.0,-0.23421748,1.0303824,1.4641795,1.0,0.0,1.5580785,0.21504816,0.38218775,-0.23527125,-0.7296241,0.6917345,-0.1139224,-1.6300153,-0.89653593,1.7050904,0.86721355,0.2674847,-0.74206364,-1.4100025,0.5711334,-0.5701787,1.279241,1.5922637,1.0027822,-0.38228673,-0.50925463,-0.37601447,0.88086945,0.11354749,1.0698905,-0.28449994,-0.2810524,0.89025736,0.27847868,-1.6181017,-0.43346974,-0.77224034,-1.4885106,-1.5909097,-0.09558568,-1.2534906,-0.89571697,-1.0468036,-0.1682732,1.5115317,-0.39754415,-1.2034093,0.23581365,-1.5663806,-1.7012482,0.52687883,0.38336617,0.3499575,-0.5778602,-0.6160477,1.120906,0.22983183,-0.5370025,0.57227314,0.6858297,0.61337024,0.5539136,1.2553034,0.1675551,0.2726192,0.96471804,0.43574098,-0.16647454,-1.1616088,0.045340706,0.56516546,0.42198038,1.0064672,1.034744,-0.48480487,0.72010916,-1.4928219,0.38386515,-1.601555,1.4726422,-0.025272043,1.3734797,0.007858884,0.27471676,-0.78500295,-0.5007876,0.16585033,0.23654053,-0.04824157,1.6211487,-0.4546319,1.3187479,-0.019675296,-0.01171917,1.6364422,-0.42214108,1.1978863,0.6070318,-0.6589303,-1.0190562,1.5290765,1.1426977,1.3435123,-0.570593,-1.5335817,-0.96862704,-0.32585576,-0.63157386,-0.3912798,1.3685868,-0.51533705,-1.6907462,-0.81420714,0.21101046,0.83562136,0.33233032,0.736333,1.0419843,1.2116982,0.90393883,0.40015855,0.14057274,0.8666461,1.7463808,0.034759015,0.8571074,-1.445609,-1.1069407,0.09379648,1.6918409,0.5400308,-1.2034853,-1.1940156,-1.7342339,1.2028844,-0.31308368,1.605076,-0.789704,-0.92262805,1.0942264,-0.8337477,0.61709774,-1.2920616,0.415768,1.66938,0.75188154,0.098915376,-1.1103429,-0.6210774,-0.36365533,-0.4953925,-0.66914606,-1.1446629,1.6466933,-0.8592471,0.019336145,-1.3690331,-1.4620192,0.9390258,-1.5657983,0.107145816,-1.1625566,-0.4640954,0.6915895,1.1746912,0.1771842,-1.6576697,-1.1734558,1.0203743,0.2545173,-0.9797072,0.7466339,0.2624659,0.78774565,0.081063,0.18131396,-1.5377113,1.6792804,0.3018475,0.5807202,-1.4914395,0.8498904,1.1903337,0.6951055,0.2868795,-1.6350721,-1.6193506,0.5385885,0.33282137,0.42140055,0.27581912,-0.63032824,1.2738318,0.09303314,-1.5701957,0.8027704,0.9771262,1.5158606
4,0.27831304,-0.7380215,0.0,0.0,-1.1267078,-0.16330637,1.0286136,1.0,0.0,0.51803154,-1.4495404,-0.34570813,0.07973421,-0.84015477,0.2290764,0.30738553,0.6502573,0.46105406,0.52632993,1.4530531,-1.4555746,1.0138578,-0.76560146,0.568184,-0.53128904,-0.6939221,0.18720123,-0.75745195,1.2175633,1.1752801,-0.33387056,-1.7078943,-1.7060913,-1.2247236,0.45211056,-0.24502866,0.5599203,1.0010444,-0.20479092,0.95842105,1.3664985,-1.2606769,1.6101637,0.8397769,0.5240551,1.3142937,1.6542006,0.40435988,-0.62359065,1.7123333,-0.9551549,0.34434652,-0.39275718,0.52528137,-1.3788848,1.0376607,-1.152619,-1.0098214,-0.54026335,-1.4355605,0.8624081,0.80248755,0.16295725,-0.035459947,1.5910435,-0.4964827,1.5383309,0.48465973,-0.38249153,-1.1787722,0.10098162,-1.1184125,1.4021789,-0.19477408,1.3283267,-0.21481799,0.4393443,-0.062218823,1.4664505,-0.2841823,0.2802944,-1.2733043,-0.08712958,0.15594202,0.33959758,1.139904,1.1494824,-0.32407108,1.6097541,1.5208267,-0.7848576,-1.0161214,1.6454049,1.6836036,-1.0892632,1.450606,0.7442181,1.7583438,1.2223324,-0.18237166,0.3297778,-1.3473496,1.6328422,-0.61677736,-0.6878108,0.56154543,-1.1234046,-0.8628955,0.49945876,0.3469828,1.3988866,0.62544906,-0.57738906,1.5871229,-1.158447,-0.41309625,0.013408237,0.52463704,-1.7527459,1.1602446,1.6946005,-0.23078816,-1.3467151,-0.93929034,1.6119581,0.24812095,1.1461827,-0.23115276,0.20330803,-0.8286034,0.16054696,1.1888994,0.3303865,-1.2372476,0.7711344,-1.1583464,-1.496549,-1.4965478,-0.47087362,-1.7631217,-1.593548,-1.1073653,1.5867231,1.1347452,0.45244756,0.2820537,-0.6671013,-1.3553021,1.0731536,1.3822395,1.115951,-0.9952229,-1.299017,1.3643974,-1.0737855,1.3908833,1.5277475,1.1648695,1.1232837,-1.4755785,-0.6042064,0.41976538,0.4585796,0.29197106,0.11393868,-0.56858325,-0.49674115,-1.522945,1.3921108,1.1392095,-1.6380343,1.3810372,0.971852,1.6900623,0.95529574,-0.7261996,0.21154632,1.4691087,0.5910317,0.06627836,-0.7754355,-1.1776584,-0.149752,-0.45867226,-1.1343331,1.3687946,-0.86793256,-0.08192777,-0.17292786,1.424605,-1.091617,-0.4006408,-1.3623004,0.6225346,-0.8210533,0.61942774,1.5038613,-1.4190414,-1.5499488,0.28392085,-1.4202765,-1.5008756
5,1.6357907,2.7022862,0.0,1.0,-0.37004644,1.4179964,-1.3731081,0.0,1.0,-1.3542988,0.77588767,1.4899614,1.173389,0.24645723,-0.71719354,-0.13639876,1.4794981,-0.17725211,-0.09631511,-1.1229166,-0.7634523,1.0929538,-1.510851,-0.28788397,1.3274829,1.0142283,-0.3795878,-0.55488676,0.42369148,0.35476303,1.4301134,0.09383357,-1.0267621,-0.49233946,0.6044311,-0.00014953484,-0.8544731,1.0584339,0.5081714,0.7159252,-1.2847939,0.514598,0.4490784,-1.2750466,0.6425824,-1.1127999,-1.0964822,1.5252231,-0.516639,-0.7123749,-0.051158138,0.6595502,-0.22779411,-1.2908689,0.87779254,1.1791112,-1.1529343,1.3864661,-1.5324957,1.5432322,1.2197697,-1.0584776,-0.46472234,0.9696432,1.2980456,-1.6068592,-0.23955844,-0.6723365,-0.5185183,-1.1853713,0.7120379,-1.6679046,-0.119857796,0.0376245,0.67112064,0.1964475,0.19748811,0.45605537,0.11876714,-1.0992343,-1.5158188,0.2239281,0.19603504,-0.6013867,-1.1352732,-1.6711011,-1.6210873,-1.6517422,-0.79811186,1.0209823,-0.08105407,0.110068865,-0.7439159,0.6064331,0.6043117,-1.5662997,0.05098861,-0.7525002,0.21397285,-0.6508457,1.147957,0.28429046,0.9712388,-1.2753335,1.6452751,1.3501182,0.017191283,-1.1550933,-0.98151743,-1.3049918,-0.8971468,-0.3131245,-1.2774987,1.058094,1.7566818,-0.43378,0.23360506,-1.03715,-0.42304564,0.88683504,0.49009633,-0.8928898,1.4700255,-0.57247615,1.056966,-0.09930555,-0.4228411,0.37040544,-0.08756202,-1.3089234,0.0014276031,1.0005043,0.33309114,0.9156395,-0.70484674,0.18571755,-1.0422434,1.2702358,-1.2551754,-0.81403124,-0.0075128675,-1.1802452,-0.15722899,1.1790687,-0.6338435,-1.3201829,-0.4480432,-1.216241,0.9123708,1.2031661,0.04531105,1.6522801,-1.3064257,0.2662848,-0.3909268,0.61546534,1.5699687,-0.30952272,0.1613409,-0.28590307,-1.4162188,-0.44961184,1.5273767,0.7841549,-1.4591656,1.4635948,1.02037,0.13392724,1.6765176,1.200123,-1.3229123,-0.9708662,1.638629,-1.6275821,0.13408993,-0.6665314,0.3762396,0.75640315,-0.5357041,-0.82792974,0.57473445,-0.7152825,-0.16808425,0.9859069,-0.81425565,-1.3197491,0.31136417,-0.9740352,0.64799255,-0.015136622,0.6892958,-1.4261906,0.22166747,1.0246077,0.8333975,-0.5244552,0.53323734,1.1501043,-0.44783086,-1.4661213,-0.66406626,-0.7662421
6,-0.04278919,0.7218814,0.0,1.0,0.586806,0.5615959,-0.88402706,0.0,0.0,0.9832905,-1.2572489,-1.6197544,1.0504619,-1.2152214,0.89125675,0.8900398,1.3771758,-0.2479171,-0.14771263,-0.32180107,-0.36513394,1.5169375,0.36479855,1.2428222,1.7026938,-0.055694755,0.96479785,-0.9252097,0.50868803,0.8980862,1.3534081,-1.6442705,-0.6679011,0.53784126,0.71988946,1.4035076,-0.29447007,0.74632937,-0.3472948,1.344456,-0.18302931,1.6185627,1.1869727,1.4924363,-1.3024147,-1.1725212,1.4796556,-0.8962693,-0.44513547,-0.9044422,0.38726744,-1.0852214,0.5523251,-1.6659098,1.6380697,-1.6853279,-0.30372292,-1.300186,-1.3875479,-1.1604396,-1.514895,1.6248535,0.81752604,1.4436406,0.71615064,0.3737192,0.22509804,0.097862385,1.0149093,-0.0735154,-0.15252322,-0.29571554,-1.3649776,0.6458991,-0.9430042,1.3008102,0.5440049,-0.62810224,1.0132992,-1.3890914,0.5308621,-1.4075016,1.3235347,-1.2970688,-1.4602909,0.48002008,0.030763103,-1.3483355,-0.7875364,-0.811709,1.7011147,0.036663763,0.6276148,1.2331032,-0.22187272,0.6372676,-1.7262778,-0.75901324,-0.49175137,-0.46731454,-0.24027142,-0.9437772,-0.86784863,-0.43320134,1.6820555,-1.5534712,0.9135399,1.2577474,1.0515499,1.4115995,-0.43353963,-0.44136724,-1.5864494,-1.3949475,-0.7389654,0.79982746,-0.99866915,-0.33476284,-1.0293244,0.054884944,1.0766861,0.6297229,0.37183446,-0.68359876,-1.4347025,1.7247596,0.7555783,1.5505084,-0.33750695,0.9663261,0.22766905,-1.0777214,0.5287474,-1.2238935,-1.4111375,0.16834079,0.016068479,1.5268078,0.65034646,-1.2295102,0.7166888,-0.92366725,-1.3747642,1.1616799,0.62513614,0.1395747,0.49839777,-0.36327636,-1.1507938,-1.7458475,1.0935727,0.41416144,0.7129256,1.5294615,-1.5674175,-0.38263348,-0.608591,0.48159045,0.104563594,0.4647109,1.0026,1.384739,-0.33558896,1.1999947,0.24825235,1.0049657,-1.6773956,-0.081247926,-0.2543488,0.26785508,-0.4616998,-1.3446392,0.8724424,-1.0402565,-1.0273074,-1.3741448,-0.3213093,-1.7385265,-0.9351261,-0.24748659,-1.7377942,0.49848604,-1.1381975,-0.79441875,0.49580038,0.485804,-0.68036425,0.68899846,-0.640409,-0.11432132,1.7590277,-0.7740052,-0.1484932,-0.7049745,-0.06995881,-1.0572965,-0.07355451,1.6025155,0.024256203,-1.3770242,-0.67669255,1.4886338
7,-0.11191938,0.8637283,1.0,1.0,1.2599734,0.65646964,-0.82415044,1.0,0.0,-0.73199207,1.394501,-1.6259083,1.4458271,0.62259597,-0.19883215,-0.30868545,-0.13106214,1.48457,-1.5198383,-0.55865544,-0.493901,1.4133098,0.40610245,1.0968374,0.5466007,-0.6396592,1.3625983,-0.8605537,-0.40741664,-0.70168287,0.333659,0.70875514,0.9220655,-0.06777939,1.0513463,-0.6366498,-1.08481,-0.7384085,0.8751324,-1.0984106,0.8224238,-0.68488693,0.23222229,-1.6524057,0.13252968,-1.3782177,-1.4258865,-0.009253648,0.68642163,0.6499731,0.24728207,1.2460525,1.054776,-0.52164847,0.891814,-0.9406165,0.15031177,-0.94800556,1.17032,-1.6855432,-1.3121418,0.41918558,0.91649824,1.1515083,1.097479,-0.82113564,0.13373223,-0.34598607,0.75481343,-1.5127579,-0.8642338,1.6789949,0.31005764,0.0056682727,1.1413456,0.69503975,1.0923346,0.1316077,-0.63839996,0.7968439,-1.0909191,-0.31889507,0.039901044,0.2603166,1.5280055,0.25024462,-0.1848037,0.55007035,0.167315,0.43401432,0.40983918,-0.33614329,0.87789863,-1.5832385,-1.3763311,0.87901616,0.76983386,1.2042029,1.7547008,-1.6129279,-0.433521,0.08477789,0.8833716,0.89572114,-0.9663426,-1.0869975,1.6113536,-0.59769744,1.3409606,-1.4170557,-1.6043011,-0.18595313,-1.0919069,1.2896917,0.37212986,-0.23515783,-1.6350325,0.6569404,-0.30500564,1.2873427,-1.377592,0.8830288,0.18811291,-0.37024018,0.7599423,0.22170782,1.5310069,0.06910971,0.886743,1.1451428,-1.6834844,-1.0658846,-0.7182825,-1.5550829,-1.394215,1.3037599,-1.3975726,-0.7196695,1.3407844,-0.15760201,-0.0061762906,0.22054014,0.38510886,-0.09766099,-1.4367363,1.3997394,-1.4548672,-0.3909932,-1.3031609,0.1840096,0.5046284,-0.17495859,-0.12385128,-0.95231366,0.24446031,0.22628455,0.12071139,0.22106758,-0.8870439,-1.4177085,1.6977823,1.6919048,-1.4796857,-1.3957328,1.6121708,1.7778655,1.1826074,-0.9539966,-1.3069437,-0.65297776,0.25522473,-0.14863533,0.6039357,-0.78758436,0.91260093,-0.9393938,-0.18496521,1.1716082,1.096227,0.66621304,0.65876615,-0.23517658,-1.3669289,-0.58848053,1.3857623,1.4989601,1.0217015,1.6822088,1.567157,1.7626224,-1.4122479,-0.15811509,0.5335413,-0.04668355,0.3355205,0.3443371,0.9574649,1.5284559,0.39678344,-0.80820954,0.18543711,0.37321615
8,0.7561084,1.107867,1.0,1.0,-1.6995883,0.063042134,1.2059883,0.0,0.0,0.34230253,-0.26712844,-0.62287766,0.3605562,-1.7289536,-0.69950813,0.12660307,0.61598015,0.22800304,0.667137,-0.38405502,0.6047519,0.19452691,-0.5942017,0.32510382,1.6864278,-0.35082883,0.8219899,0.0880503,0.9349725,-0.1637641,-1.6624318,0.19056855,-0.6358136,0.7782031,0.5637748,-1.3888851,-0.23969853,1.1083947,1.2685381,-0.950587,-1.271667,1.1781747,1.0400301,-1.708513,0.48271352,-1.0279164,0.07874455,-1.0381764,0.53276366,-0.25287706,-0.66364574,-1.2841506,-1.7296361,0.06868445,0.72353715,0.66049296,-0.0674948,-1.0484837,-0.6965092,0.34028032,0.036254838,1.2344809,1.323249,1.724026,0.5550177,0.20578489,-0.030361563,0.8741715,0.8184622,0.22064151,0.21649282,0.019935453,-1.5759498,-0.13369519,-0.58190084,-0.8830457,-1.1381155,-1.0376008,0.29653105,1.7068251,-0.78421134,1.3926233,-1.5816646,0.6199339,-1.627177,-1.3556976,-1.0529839,-0.5296863,-1.2860031,1.6728377,1.5256925,0.49602008,0.41114432,-1.2512094,-0.5164631,-1.4075568,0.2917998,-0.88147515,1.1678483,-1.5784608,-1.1205999,0.36781096,0.25370893,-0.6648572,1.306976,-1.4158523,-0.21374413,-0.8877585,-1.2469907,-1.0203813,0.974469,1.3208499,1.3085263,-1.0758611,1.5155425,-0.10707277,1.545379,1.2633251,0.0986797,1.3233775,0.67871076,0.22821315,0.30832347,-0.96169627,1.4165529,-1.187179,-1.3352989,1.6076903,0.9510335,-0.14708348,-1.7646326,-1.5154068,-1.2313364,0.29119638,1.3795027,-1.5091615,-1.4024833,1.1021177,0.05951847,-1.2295785,0.18246113,0.8905505,-1.4091282,-0.72665083,0.78807527,-0.50057465,1.2460531,-0.3890427,-0.77000576,1.0475,-0.32502723,0.47594774,0.03980889,-0.6141835,-0.9399109,0.77696073,0.29340306,1.6101767,0.067930005,-1.6663135,-1.7056123,-1.2246888,0.02818094,-1.2225517,0.42989445,1.4008845,1.7159514,-1.5465908,1.6528836,0.47838756,1.1845633,0.7852939,0.18811968,1.6569353,-1.5291985,1.1885777,-1.4640592,-1.0042828,0.5220993,-0.38094065,0.8301925,-0.7402068,-0.77148753,-0.16445076,-0.39172754,0.1527504,-1.0183457,0.506418,1.3022417,1.716481,-0.17048377,0.090676546,0.22584182,1.4312922,1.3607008,-1.6637803,1.6849537,0.06298597,0.20851122,-1.0206454,1.4409469,-0.91381466
9,0.9792377,1.4113622,0.0,1.0,-0.8866021,1.5122465,-0.9602847,1.0,1.0,-0.72107273,-1.0877123,-0.15693904,1.512898,0.8614816,0.53221834,0.52261806,0.80585325,1.0731449,0.70345443,0.44338644,1.2128246,0.8865115,0.6851527,-1.2999169,1.4190713,0.08462313,-1.1248479,1.2800138,0.13118778,0.061701283,-0.74371845,-1.1497297,-0.81710076,-0.42817327,-0.38888693,1.6276467,1.511546,0.28104886,-1.5968277,1.7597954,0.33841175,0.02698758,1.28657,-1.5061176,0.7987298,1.1323568,-1.1282468,0.06103756,1.4297715,-1.6153818,-1.342937,1.3014778,0.98992145,1.5577166,-1.3744076,-0.4947625,-0.5772361,-1.1586162,0.42611367,-1.3635249,-0.07011016,-0.81957424,0.6142097,0.122476704,-0.77282465,-0.58173925,0.08837074,1.3762516,0.67501193,1.1491029,-1.3913708,-1.2129277,0.010240852,0.26555938,-0.70642054,1.0009245,-1.4913646,0.14206591,1.2861952,0.68330336,-0.4803829,1.6550189,-1.6217511,-0.44649643,0.2610995,0.61913043,-1.6874658,0.3152767,1.3266606,-0.50154746,0.606109,-0.94941664,-1.3468844,0.39875796,-0.9687758,-0.8652975,1.3449395,1.2381732,1.528876,1.4715952,-1.4368143,0.86950004,0.5715338,0.49737787,-1.5713356,-1.2130831,-1.5891545,1.7018676,0.48142642,-0.43913138,-0.43735284,1.5933007,-1.438307,-0.23201917,-1.4196336,0.49677244,-1.0115777,0.3614031,-1.0947706,-1.3282242,1.606901,-1.3586408,-1.0908016,0.57225376,1.0302157,-0.82407504,1.4824334,-0.7377675,-0.5109483,-1.2108643,-1.676665,-1.3036265,0.72166044,0.84309024,-1.6312844,-0.66339236,0.05668366,0.33380172,-0.6399722,-0.22515222,1.4545175,-0.8854288,-0.95307326,-0.5093756,1.5668763,1.20224,1.0746884,0.29097456,-0.8340475,0.060309898,1.5896705,-0.29441112,0.24128667,1.3222034,0.78227466,-1.0890446,0.47556147,0.69128686,1.628997,-1.0610666,-1.1330434,0.7365775,1.0755752,-0.22270194,0.059059225,-1.0674086,-1.4687014,0.5130622,-1.196872,-1.0284859,-1.2627306,1.4196526,1.1553394,0.30737555,-0.32133144,0.9497521,0.1287858,-0.5492586,0.0138654,-1.6048766,-1.0201584,-1.0867791,-0.9556282,-0.7599458,0.9277951,-0.58679545,0.9369206,-0.76093674,0.7202667,1.6483129,-1.1251794,0.8313107,0.62175137,1.3297937,0.23976383,0.6095292,-1.4643694,0.710684,0.12870407,-1.0029157,0.87262493,-0.551259
