,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200
0,0.25806758,0.37950483,0.0,1.0,-1.0936083,-1.5571758,0.9354972,1.0,0.0,0.27907664,-1.5421898,-0.49476174,1.6209131,-1.4632263,1.1463752,1.3169938,-1.6381526,0.4943716,0.07628717,0.37927195,-0.16424297,-0.87987083,-0.69640225,0.29188135,-0.30188164,0.98172474,-0.25705382,-1.2276254,-1.1278198,-1.5062863,0.81633854,-0.6839034,-0.99237144,1.3723524,0.22396274,-1.4055701,0.10887781,-1.1005255,0.5776555,-1.4361184,-0.1366847,1.2157749,1.1398664,-1.4662857,1.7285519,0.5483508,0.77737194,0.7086632,1.370144,-1.2908344,1.1016358,1.3612783,1.1866684,-1.6745783,-0.14272551,-0.1830691,0.074959874,-0.075362995,-1.2703713,1.6585275,-1.4770149,0.39892587,0.21033368,1.6603034,-0.8823138,-1.3943077,1.3539549,-1.6281664,1.0008211,0.97594374,1.3813646,1.5592995,-0.7214487,-0.92204857,-0.6020336,0.94925815,-1.398717,0.6074725,1.2635103,0.62992406,0.97056526,-0.50131756,-1.088199,-0.81804425,0.6452784,-1.5411266,-0.18377626,-0.06620767,0.46165863,-1.2705468,0.26721483,1.5901867,0.116794676,0.22806549,1.7066483,1.1261493,-0.03914461,-1.6069297,1.3317633,0.8012346,0.76473176,0.9992518,0.9420072,-0.32395107,0.13799576,1.2625902,1.5338404,-0.5744408,-1.3678138,0.08114161,-0.19878785,1.3800045,-0.12421439,-0.024081934,-0.5685394,1.0100955,1.5361363,-1.2009676,0.60227984,-1.1543213,-0.72244996,1.5153416,-0.019303335,0.12677006,0.7569312,0.69052273,-1.8502364,1.1986474,-0.9953576,1.0005578,0.5657092,-0.064144716,1.499558,-0.7250245,1.0683366,0.8551125,-0.9341493,1.5018451,0.30419034,0.299814,-1.231344,-0.22559988,-0.7472574,0.29314646,-0.4446481,-1.1042345,-0.5966305,-1.0169023,1.2754561,1.0457666,-1.0460176,0.84773886,-1.5239019,-0.9476572,0.6636359,0.7403721,-0.13802922,-0.5353702,-0.30978298,1.2872453,-0.03559729,1.2655133,1.600052,1.4815003,0.07266215,0.35601312,-1.0094746,1.4551073,1.8175224,1.1841159,-0.034607667,-1.4857483,-0.5710445,-1.3410753,-1.0538776,-0.5645394,-0.08109879,1.4606566,-0.9124584,0.12143123,1.1947042,-1.1948076,-0.444629,0.2757358,-1.0082363,-1.7094151,0.33532575,-1.6657727,0.31038,-0.3438343,-0.9210245,-0.9930049,1.4832516,0.42049095,-1.1701498,0.79456085,-0.946494,1.4855076,1.012026,0.6907489,1.6934265,0.22869466
1,0.75355613,-0.061676573,0.0,1.0,1.5412834,-1.7960932,1.0831391,1.0,1.0,0.7542679,1.6222168,0.9018969,-0.7486969,-1.2151493,1.2717606,0.086513,1.1864109,-1.5623976,-0.3632548,-1.010613,1.1598519,0.586221,-1.4970248,0.4809035,1.3305773,-1.6937447,0.40853074,1.3646288,-1.1259997,0.81376266,-1.0833406,1.2334461,-1.0499452,-0.2214491,-0.50211734,-0.35723516,1.6710262,-0.966041,-0.524602,0.8611148,-0.13498785,0.053806555,1.0213083,1.7274467,1.1999533,-0.21975228,-0.54127014,-0.7508002,1.3415247,0.8510114,-1.3928425,0.27544686,0.65861315,-0.0803791,0.34260845,1.2619963,-0.5406328,-1.3044333,0.40579098,0.48512232,1.5978544,1.221901,0.91714776,1.6189915,-0.20599721,-0.63883024,0.6903462,0.22663891,-0.030611815,-0.8832443,0.6020186,0.6834547,-0.31805173,-0.8385018,1.7285221,-0.6261394,-1.136648,1.0103174,-0.07040238,1.5577958,-0.41273132,0.39617613,-1.8223931,0.9510104,1.4609268,0.5796157,1.116235,-1.3604033,0.9719521,-0.17820713,-1.0555209,1.3741144,0.62943065,-1.0029641,-0.83247864,-1.129049,0.5006841,0.5795108,-1.584538,1.7036452,-0.6949278,0.43179825,1.1163802,1.2867101,0.78930354,0.63444364,0.14755234,-0.40887275,1.6559526,0.38305682,1.189957,1.3226223,-1.2444538,-1.0290058,-1.7767606,-1.1465907,-1.3596232,1.3984735,1.7312211,0.08664723,-0.23079523,0.5350352,-1.2054824,0.67733675,-0.19709484,0.58020264,0.86844844,0.065353684,-0.5847957,-0.57657087,-0.9746888,0.9931077,-0.33210668,0.75431,-0.7351424,-0.5904066,-0.6112995,-0.024518874,1.5225962,0.78750277,-0.84431994,-1.5446942,-0.045374215,-0.8270882,1.0177168,-0.26608795,-1.1559047,1.3176917,1.3287321,-0.4750079,-0.6240923,0.40110987,0.9268521,0.7241328,1.5340886,0.3041876,-0.8088324,0.37510404,0.5286832,-1.5162721,-1.4578243,-0.2968726,-0.4805571,-0.63551515,0.07329702,-0.60581297,-1.0430248,-0.25963768,-1.2862293,0.6601203,-0.5513699,-0.4924865,0.39888498,-1.2173944,0.54165655,-1.29403,0.9642544,-0.08103572,-1.5779097,-0.19339485,0.0072303778,-0.19055998,-1.528283,1.4855738,-0.10643721,1.2656673,1.7643834,-0.22438914,1.5251036,-0.39439768,-0.33066192,-1.3280426,1.1714087,-0.613295,0.4003149,0.38930514,-0.10814132,-1.6888607,-0.573539,1.4937423,0.10493801,-1.1224983
2,-0.32751617,-0.053270042,0.0,0.0,-1.2980437,1.130947,-0.2302772,0.0,0.0,-1.5293305,0.73881984,0.7056692,1.0191686,1.440006,-0.10937678,1.5690333,-1.0359256,1.3393235,-1.6253749,-1.7315392,-1.5200149,0.0056767035,-0.64750427,1.0301995,-0.21806917,0.14662267,-0.15390393,-1.574876,-0.7671734,-1.5210608,-1.2442732,1.2164813,1.0778955,1.0971662,1.2152358,-0.7670145,-0.5069761,1.4348809,-1.816921,-0.7697187,-0.7427709,0.22048412,1.202141,-0.8765689,1.6882085,-0.5926822,-0.003483456,-1.6696285,-0.59720284,-0.49920398,0.77869284,-0.46829158,1.1486847,-1.0448422,-0.07227022,-0.86564463,0.0818455,1.4300684,1.7306818,1.556145,-0.40156332,0.15681009,-0.048643567,0.31049567,-0.021334156,-0.87410444,0.48501563,-1.2063944,0.28664586,-1.1677102,-1.3279002,0.76844484,-0.001980456,1.4846494,-0.19080794,-1.3519986,-1.608888,-0.4781236,-1.7154368,0.047498222,0.21327193,1.2991209,0.56726515,0.5691215,1.4397316,-1.224446,1.352709,0.06641273,-1.6710299,-0.21807416,0.4782687,0.8648907,-1.3259712,1.6760792,-1.5747212,0.2459157,1.1818824,0.7603891,0.5944589,-1.5193092,1.2141212,-1.7302293,-1.5859103,1.0867157,-0.75994074,0.21434799,0.53293884,0.7400223,0.27170753,-0.34344706,-0.8961024,0.9780078,-0.100638404,-1.3626907,0.58818907,-1.2747353,-0.41914806,0.44061714,0.9436017,0.033736367,0.078889504,0.50561595,1.0325862,-1.0259975,-0.832789,-0.7965169,-0.014777442,0.9810392,-0.9997988,0.57597107,-1.241232,-0.98120284,0.57820797,-1.1065787,-1.369106,0.43033174,-0.5477398,1.1289425,-0.4530399,-0.97825474,-0.07036196,1.7215198,-1.4816322,-1.6085434,1.3859466,-0.5514785,-0.89848334,0.1796051,0.30551684,0.027860217,-0.17659493,0.31447154,-0.12888567,0.42684552,-0.93872315,-1.2154254,0.75209117,0.15156382,0.41088918,0.40490043,0.77179116,1.1683106,-1.3874546,-0.32511228,0.00092508266,0.46181935,0.36923024,-0.52312344,-0.75380486,-1.7394955,-0.7221047,-1.7023345,0.8726098,-1.1591393,-0.9417902,0.28118867,1.4719076,0.060921527,0.51306474,-0.8688082,1.0313693,1.4633578,0.37147883,1.1094494,-1.2149131,1.1035291,-0.8978581,-0.7350948,-0.35676223,1.3987315,-0.46672195,-1.6553106,-1.519153,-0.11354242,-0.5322176,1.5110613,0.54131144,-1.4250498,0.5102525,0.13030817,0.6322976,-0.5577804
3,0.4565358,0.95997643,0.0,1.0,0.39458448,1.452026,0.26300538,1.0,1.0,-1.5337793,1.2234746,-1.5375891,1.2672377,-1.4060686,-1.2974248,1.4729593,-0.07770026,-0.1261755,1.1164292,0.6733732,0.90634716,0.9593232,0.45442262,-0.009605196,0.13194542,-0.43922573,0.26525706,-1.0329901,1.5129554,-0.7700614,-0.6599058,1.0668799,-0.4621148,-0.42109087,-1.6208714,1.3374039,-0.7669262,-0.111261204,-0.20154358,0.7836698,-1.4755139,0.8125175,-0.2317103,0.84210134,0.3175056,1.4822967,-1.5632385,0.20001145,-0.06676357,0.78601897,1.4055184,1.1275417,-1.3551631,-0.36070228,0.27115873,-0.66456914,-0.25020733,-1.2745165,0.91608936,0.5873073,-0.4766629,1.7456369,0.79730755,1.1635127,-0.44846532,-1.658832,-0.43138763,0.7563748,-0.8282706,1.2225345,-0.42010468,1.0754242,0.7278634,-0.87057257,0.66024053,0.94873565,1.406491,1.311749,1.1178092,-1.007517,0.32827204,0.87093186,1.3660216,0.7511663,0.69521147,0.38303408,-0.49618778,1.0088218,0.21931426,-0.44476706,-0.19721258,-1.1128541,0.53579444,-0.53157264,-0.5752254,-0.9511737,0.8703248,0.8237598,-0.42774114,-0.31654894,1.1810597,1.366667,0.8508162,0.41765046,0.95403117,1.1310972,0.7347288,-0.14968385,0.64311826,-0.5467787,-1.1611683,-0.8425795,-1.6813293,-0.12517701,1.2570747,0.079382904,0.65101,1.2786852,1.7584493,1.1562005,1.4271834,1.4633282,1.562263,-0.4518071,-0.20921065,0.27934358,-0.32729158,1.3865607,1.2851224,-1.6769823,-0.15470706,0.07811712,0.5300115,1.6402473,0.09041141,-0.8034703,0.82206357,-1.4233172,-1.1685358,0.6034054,1.1152748,-1.1147802,-0.93318367,-1.8603055,0.13583715,0.29681876,0.60490763,-0.3485847,-1.5421932,0.082380235,1.7479234,-0.085373305,-0.70047927,0.26137874,1.3932605,0.30723366,1.095312,-0.28986678,-1.2534087,0.21013784,-0.4454211,0.8578824,1.7179779,1.660495,1.548605,-0.62387335,1.1095773,0.9566814,-0.013354365,0.92221695,-0.39779535,-1.2597244,-1.2634776,-0.5076012,-0.20937026,-1.5693452,-0.4023224,0.39703095,0.71494055,-0.61972374,0.17143622,0.27278095,0.3244009,0.42938086,0.03926928,1.0102478,-1.4225733,0.2505166,0.15649293,-1.6383284,-1.2484429,-0.9888479,-1.4485817,1.6888306,0.5575981,-0.41611257,0.6192452,-0.3245013,0.9920912,-0.19357225,1.3030003,1.237145
4,-0.098919295,0.35699508,0.0,0.0,-1.0936143,-0.6821991,0.18019779,0.0,1.0,0.019473026,-1.4468424,1.64772,0.63925964,-1.3466723,-0.5873501,-0.8148135,-0.467478,0.9516501,0.114567444,-0.5948777,-0.9888053,0.02466748,0.04840797,-1.6644584,0.17266577,-0.6035684,-1.5815144,-1.2549362,0.053414725,-0.55951566,1.5983089,-0.8834537,1.4247503,0.46931544,0.9928888,0.32993975,1.182698,1.0105909,1.6373155,1.3159144,-1.6779453,0.3790758,1.2636926,1.0240858,0.5098457,0.97519624,1.4268116,-1.8842773,1.7026216,-1.5058469,1.875283,-0.97375715,0.19494243,1.691851,0.48570067,-0.92647034,-0.2857164,0.16274035,-0.6950363,-1.7877074,-0.15200064,1.36659,1.2122171,-0.88805646,0.14527188,0.068133414,-0.1790941,-1.6703838,-0.088914104,-0.08911903,-0.2512067,0.30228043,1.0857766,0.79344654,-0.30584207,0.38726145,-0.031120984,0.80715114,-1.6270372,1.4189186,-1.4267559,0.49752063,1.0108486,-0.14108458,-0.81192756,-0.15592375,-0.58581895,-0.16662107,1.4033039,0.61327296,-0.32429492,-0.7247555,-0.18146583,-1.746108,1.5977569,0.4046894,-0.82539064,0.06379826,-0.047722783,-0.6684709,-0.7745972,0.13223773,-0.7436887,-0.67691845,-1.5219283,-0.13818753,1.4724016,1.0197995,0.3191305,1.093272,-1.716839,0.9979803,1.457218,-0.02715453,0.1184456,-1.6200902,-0.92973804,0.5075548,0.49151516,0.56596124,0.35929012,-1.0132849,-1.1636608,-0.9343197,-0.75313365,-0.14106053,0.641598,0.38705868,-1.343614,-0.16136539,-1.6203128,0.9514631,-0.069265366,-1.2079178,-1.1077548,0.48657233,-1.5502976,-1.3118445,-1.0858549,0.11948702,-1.0884312,-0.2636832,0.036993176,-0.38068488,0.40405643,1.0979167,0.32370782,0.92797387,-0.8449681,0.7290966,-1.4238212,-1.2370461,-1.5200545,-1.348207,-0.4883547,0.7074458,0.28778842,0.24675025,-0.7178234,0.815245,-1.6133432,-1.420499,-0.4295433,1.7002274,-0.589628,1.0170912,0.3209885,0.6998618,-1.8457786,-0.76495606,-0.059553094,-1.7201085,-0.9012503,-0.12820649,0.109117866,-0.12863205,0.25628796,1.3801683,-0.24426077,0.04433673,-1.5453808,0.77286434,0.3656063,-0.9798389,-0.49245813,-1.258804,-1.4152806,-1.2532086,0.9463915,-1.793603,1.0863189,1.6930879,0.30371514,1.0077116,1.0150347,-1.3966844,0.92012495,-1.42381,-0.89586616,-1.0380956,-1.127424,-0.5076439
5,0.33965424,1.1689578,0.0,0.0,1.3172295,-0.3171412,0.21551752,1.0,1.0,-1.4694992,-1.341182,-1.6670634,-0.009540941,-0.321541,0.9064813,0.4543897,0.15207489,-0.123314306,0.71743923,-0.6512987,1.5182617,-0.61694705,-1.2120543,-0.563328,0.9540689,-1.1886481,0.31636044,-1.4159142,0.8535192,-0.5246567,0.5726268,-0.06231158,-0.45667142,0.2786632,1.2872157,-1.1155895,-0.45326453,1.6022588,0.10861678,1.0307288,-0.3950425,1.2385057,-0.9062472,-1.2507504,-0.8980702,-1.3541212,-1.4146287,0.17582197,0.69312036,0.32607844,0.025653357,1.1982616,0.27790448,-0.68038213,1.4350398,0.7710919,-1.63289,-1.1012622,-0.54913354,-1.6289304,-1.4628813,1.4636629,-1.0343976,0.45252272,-0.44930497,-0.9478864,-0.18841304,-1.6133022,1.0245564,-1.3120023,-0.83420146,1.2313149,-0.036666326,-1.4975519,-1.4660722,-0.2884961,-1.0790621,0.4310748,0.6836029,-1.8180488,1.3183511,0.7172911,1.4566135,0.17855245,0.3481156,0.05488385,-0.76890475,0.2717006,-1.2787553,-0.62633866,-0.7632594,1.0442423,1.7945439,-1.0033083,0.6968577,1.666962,1.5237795,1.0724188,0.2355626,-0.7489902,-0.46541214,-0.9329199,1.5429491,-0.4853412,-1.4477359,-0.18642138,-0.033778913,1.4305859,-1.2673489,0.014614477,-0.18901683,-0.803567,0.25257623,0.33431628,-0.9264524,-0.22817194,-0.35964558,1.6148568,-0.07856372,-1.167463,1.3685997,-0.12888694,0.9929362,0.32277387,-1.1078901,-1.5028359,1.1461997,-0.49873576,-0.4641337,-0.95718604,-1.0256637,-1.5696956,0.74074656,0.5128183,-1.1062964,-0.14882599,-0.40777194,0.9322793,0.78856087,-1.5260386,-1.5166583,1.4912032,0.19033621,0.5864731,0.44427207,1.385234,1.6049579,1.5567061,1.1831708,-0.6863491,0.91512626,1.3145059,-0.84265465,-1.7125502,0.6654372,-0.011300711,1.0528194,0.7367598,0.8501372,1.5515151,0.71374625,-0.9626664,-0.15388846,1.3241874,1.7398144,-1.610991,-0.32914957,0.055634517,-0.39044318,1.2308238,-1.3518884,-1.6522442,-0.9200411,-0.9303649,-0.3420116,-1.1518629,-1.368957,0.69201523,-0.07834006,1.6738881,-0.141656,-1.121444,1.0402788,1.0057932,1.3361787,1.2951846,0.23398836,-0.753634,-0.9479963,-1.0368317,-1.2313684,1.6260403,0.9104445,-0.80321664,-1.2247059,-1.3369645,-0.681195,-0.6778845,-0.21428019,0.72826535,1.6013784,-0.061348084
6,0.9524273,0.9033285,0.0,1.0,1.3891191,-0.23651282,1.2864099,0.0,0.0,0.56923807,-1.4429412,-0.65654004,0.40084606,1.5661601,1.0998585,0.84477055,-1.32151,-0.92512494,1.5714113,0.0068723843,1.494267,-0.48279807,0.74541205,0.6517699,0.8934052,0.3377752,-0.49802116,0.2620612,0.67907125,-1.4120582,-0.12225423,0.95126045,-0.07030951,-0.8731598,-1.4765204,0.74712783,-0.6968655,1.3935297,-1.4306166,0.11696246,1.1062931,-0.46755,-1.1086509,0.30446142,0.25069138,-0.5188195,0.3260935,-1.6473764,0.8382252,-0.9275418,1.1724079,-1.2953424,-1.1612034,0.35215288,-1.1571779,-0.4251931,-0.8810503,-1.4415882,0.78837997,-1.7930182,-1.2746278,1.2440751,-0.23338978,0.49912083,-0.40651813,-0.12813242,1.3242873,-0.716787,1.0708234,-0.8185326,-1.5475124,0.7733223,0.56866086,0.6766503,0.9551686,1.0797169,0.16930507,0.6730232,0.49976853,0.8800116,-1.1300429,0.59307283,-0.73560977,-0.92288905,-0.454773,0.70041984,0.8475092,-1.352546,-0.5316176,-0.18199,1.0206546,0.08619697,-0.94533694,-0.29892707,-0.55323774,0.062059596,-1.3037858,0.35947794,0.974341,0.02808462,-0.47055826,1.5750824,1.8033491,0.23605894,0.9025151,0.3525566,1.1343074,-1.004299,-1.1999886,-0.13209587,-1.016869,-0.34120387,-0.67667145,-1.1797777,-0.56020147,0.97714233,0.9545468,0.772459,-0.90826106,1.5118412,1.043443,-1.0408064,-0.23927934,1.3749933,0.17256321,-0.89568496,1.0678904,-1.3714967,-0.6473905,1.4814595,0.7750944,-1.4785097,-1.3205203,-0.47254384,1.6919905,0.28113505,1.279707,-0.12677398,-0.9318651,-0.6495339,0.32077685,0.02168569,1.0728673,1.5089183,-1.5972896,1.2367556,0.66671705,-0.7616497,-0.4549326,0.30979759,0.11266609,1.426332,-0.7079811,0.9232369,1.9656826,0.39778456,0.233829,1.2287682,0.49310023,0.22153683,0.8639032,1.2443208,-0.10477604,0.1327737,-0.56764346,0.5679434,0.9355686,-1.5519509,-0.6210682,0.39127886,-0.116913855,-0.3342387,1.1395915,-1.700344,-0.17219096,-1.0302898,-0.87487674,-0.5312645,-1.3819518,-1.0153877,0.1715122,-0.7547463,0.46807694,1.6511648,1.3460665,0.6369284,1.3604604,0.041252423,0.67990005,0.5773322,1.6374395,-1.0693908,0.75744736,0.91290146,0.6887593,-0.0010606338,-1.488335,0.33418143,-0.00529936,-0.7484863,0.38431576,1.3827634
7,-0.96032166,-1.1194893,0.0,1.0,0.57111055,0.7721051,-1.0289205,1.0,0.0,0.65910107,0.0009298717,-0.011705945,0.64319545,-0.9978203,0.48409292,-1.225778,-1.2726653,-1.2014467,-1.8577107,0.7709561,-1.8024353,-0.7634232,-0.42356083,-1.5219504,-1.6095711,-0.018304039,-0.43668246,-0.40907425,-0.78275746,0.43610787,0.5992614,-0.58229303,-0.34544733,0.28085983,-0.38865045,-0.4457309,0.9498693,-0.2708409,0.75733536,1.0505419,0.97472584,1.1867217,-0.5147313,0.89574593,0.6437591,0.708427,-0.787805,-0.107330345,0.717477,0.31513238,1.0764195,-1.3979622,1.1440156,0.49241534,0.29655418,0.18224551,0.9923684,-0.73621297,-0.287229,-1.3267308,-0.28373727,-1.0231876,1.2288488,-0.74287045,-1.127823,-1.3613619,-0.6515289,-0.07491916,1.7408353,0.56198597,0.31859428,-0.15390828,-1.4389155,-1.2230563,0.7320606,1.1471525,-0.47387496,0.13160795,-1.3095553,-1.2214828,1.0028481,-0.7481408,0.88223547,0.12889983,-1.6223627,0.08534843,-1.1435586,0.026250824,-0.036662634,0.0833181,-0.7938631,-1.0034028,-0.0039519714,0.633305,-1.4631424,0.4307918,-0.8997076,0.64852005,1.1510259,-0.6365711,0.79435086,-0.003124401,1.3713206,0.59002733,0.1572852,1.577601,-0.92643625,0.4017356,-0.9007745,-1.5336665,0.79131436,1.0518924,1.4781488,1.5239753,-0.006078909,0.6451992,0.8166029,-1.4987333,-0.81970596,-1.0467913,-0.57209736,1.2350384,-0.8989255,0.03207888,-0.89979,-0.98318434,-0.5161951,-1.2208579,1.6855128,-0.36800525,-0.49880588,-0.803607,0.35848373,-1.5927922,0.07515036,-1.3429394,1.5667624,0.07628075,0.75451094,-1.5794997,-1.3843774,-1.5115418,1.1089537,0.43732953,1.1589061,0.5473202,0.69939965,-0.023350457,0.1668155,-1.0953774,-0.69086564,0.44884002,0.110918656,-0.33624774,1.3983741,-1.4221718,0.40375587,0.32356066,0.16797255,0.26410836,-0.36493984,-1.6083195,-0.6423199,0.8037269,-1.1390486,-0.8352329,-1.3961862,-0.022333827,1.149098,-0.37644336,-1.8907491,-0.6630692,0.48673043,1.01479,0.7046879,0.7558027,0.14773437,0.7386868,0.4942276,-0.6358686,-0.00206739,-1.5516516,-1.1540699,-0.5498068,-0.7808596,0.8874643,0.19769637,0.24551123,-1.3893496,-1.443901,1.0335981,-1.1300786,-0.5495709,0.2164514,1.1117768,0.4736574,-0.08053637,1.3156556,-1.0385562,-0.74834436,0.21010172,-1.5521458
8,0.43219736,0.49754995,0.0,0.0,-0.6791039,-0.24802226,1.181857,0.0,1.0,0.059232946,1.1419631,1.2732893,1.7860656,-0.72077966,0.6314115,-1.4942337,0.8971549,-0.8172044,0.5967174,0.1785556,-0.20195213,-0.2990864,-1.0844425,-1.6917528,-0.53569365,-0.8010498,1.2631801,-1.50293,0.89734507,0.9928281,-1.4625647,0.26030388,-1.0773834,-0.9648571,1.5139546,-1.3465424,0.61924535,-0.9759544,0.15630712,0.3265442,0.08342967,0.7377916,-0.20171942,-1.1062162,-1.3558892,-0.4310206,-0.5784572,1.3312626,-1.3869302,1.3754697,1.034579,-0.93369454,0.4546891,-1.275886,1.3136395,0.7556695,-1.4397906,1.2280923,0.44231117,0.21486127,1.4710197,-0.6255693,0.7702647,-1.4756674,1.0377817,0.32670856,-0.28414392,0.9195259,0.84327346,-0.6291324,-0.1973338,-1.1197313,0.23443604,0.4705136,0.23785068,-1.3767905,-1.6391437,-1.7045864,1.2650583,-1.3192021,1.3681893,-0.30286172,1.4783208,1.4214965,-0.78107744,-0.63588953,1.3398718,-1.4735035,-0.98093224,0.44288388,0.45177433,-0.21053343,-1.322857,-0.6008471,-1.7549734,-1.4113473,-0.57493466,-1.2012205,-0.9470378,-0.9588851,-1.291314,1.1439902,-0.45701241,1.2915066,1.5052862,-1.1216033,-0.3090319,-0.690743,1.2099425,-1.6533062,-1.606758,-1.3861294,1.2171338,0.36192945,0.7353536,-0.9773413,0.82347727,0.53074265,-0.24259876,-1.7289019,-1.4152244,-1.0936626,-1.5169948,-1.5160055,-1.3981408,1.7653192,-1.2199782,0.19152388,-1.2047511,-1.5447841,1.4104422,0.49297217,0.8459882,-0.39104486,0.48200536,-0.37009043,-1.6275841,-1.7059153,-0.93973166,-0.2396405,-0.8502337,-0.76527584,1.1681426,1.4643904,-0.81391776,0.91382134,-1.2860483,0.41804463,0.7019734,1.4813887,0.13421604,0.74884075,0.47453904,0.6775318,0.33558187,0.82052314,-1.2273911,-0.914671,1.6837931,1.4239345,0.4779122,1.6475238,-1.2234576,1.697148,1.0244586,-0.7383131,-0.6213433,-0.37918752,-1.1282527,-1.3450058,0.5088761,-0.46232545,-0.36468297,-0.4605832,0.16715482,-0.360169,-0.33686996,0.43591854,1.0394396,-0.4591424,-0.82228804,1.3249002,-0.17444126,0.042022318,0.10899173,0.21139538,0.64285934,1.4523182,-0.32623267,0.6213012,-0.95597935,1.5185404,0.55132705,-0.035708256,1.2348653,-0.8390802,1.5507321,0.757623,-1.1700863,1.6009536,0.33626643,0.84512484
9,0.19026746,-0.002167421,1.0,1.0,1.5633081,1.0568739,-1.1518003,1.0,0.0,1.244198,-0.10588537,1.5996517,1.8051901,-0.34572402,0.6686069,1.6621828,1.0244135,-0.5059846,0.93195605,0.29781684,-0.28922486,1.4580656,1.5090413,1.5733331,-0.58710426,1.0665553,0.15706916,0.7192746,1.5727434,0.20547724,-0.13423797,0.87656355,-0.11676981,0.7594063,0.085323036,-1.3956487,0.10933555,-1.2411096,-1.8200711,0.36227894,1.221432,0.80952346,0.61551905,-0.31035584,-0.60353905,-1.7474443,0.81840235,1.1606569,1.0689796,-0.08999954,-1.6085438,0.06657354,-0.7503203,-0.78120047,-0.96901244,0.9710134,0.2640124,0.70169324,1.4304433,-1.6525049,-0.89640963,-0.9200504,0.9705656,0.978071,1.6333046,0.04422548,-0.10187919,-1.2826644,0.4261949,-0.5834505,1.1030791,-0.20655033,-1.6625342,-0.4368979,-0.928513,-0.32530922,-0.9290862,1.3810294,0.7693593,0.52201855,0.8933507,-0.15111732,-0.23833005,0.70589715,-1.4694465,-0.55081815,-0.5227991,-1.0062851,-1.6144241,-0.7691886,0.479532,1.5600587,0.076539814,0.96168005,-0.45290187,1.2865431,-1.3160466,0.68206495,-0.41370195,-0.0990619,-0.9225449,-0.4864245,0.218688,0.65618056,0.86543804,-0.53128797,2.0256205,-0.4566772,0.00031176372,0.48124138,0.99019605,-0.76784986,1.6600817,1.6494774,0.084584355,0.760124,-1.6109524,1.6484903,-1.6526526,0.38159108,1.3753678,-1.7640781,0.9316352,1.1927389,-1.5984865,-0.026008949,-0.77324194,0.7324732,-1.5969585,1.4203199,1.5102177,0.17285107,-1.2148663,-1.363999,0.96608996,-0.6696472,-1.6803379,1.2019347,0.3779989,1.2728385,-1.3472838,0.6306182,-0.75670767,0.03672971,-0.010161746,-1.6437008,1.0326654,-0.3839727,0.45337224,1.310538,-0.26939216,0.36203408,0.8166308,-1.2484987,-1.0539294,0.1949288,-0.16219534,1.149439,0.63955414,-1.5986903,1.4288491,-1.6711472,-0.035803225,0.8565879,-0.5849351,-0.7183258,-0.08304695,1.1663159,-1.0276887,0.68741256,-0.29805782,-1.4687698,-0.21953198,-0.12950821,1.5854272,1.140038,0.6851608,0.93277633,-1.791289,-0.04933223,0.6223175,0.52044296,0.59956473,0.4270811,1.1932521,-1.093438,-0.46374127,-0.1469167,0.8839515,1.6755054,0.617837,-1.299283,0.5688639,1.6220819,-1.4260352,0.31531078,-0.15151595,-0.27353406,0.9613412,0.7575137,0.70317286,-0.48806095
