,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
0,0.9191385,1.652669,1.0,0.0,-1.7082185,-0.68150973,-1.289626,1.0,1.0,-0.5372333,-0.3526858,0.11622138,-0.2966578,0.5724876,-1.0329759,1.3336092,-1.7487719,0.6064002,-0.2501026,0.25028253,-1.3683381,-1.0569813,1.0677973,1.5773077,-0.68501633,0.7100287,1.3359832,1.4380026,-1.4478841,-1.5730473,-1.2147479,1.2531993,-1.5354897,-0.30586568,1.5848445,0.06731497,0.60976976,-0.6074643,0.6792931,1.1725718,-1.6091077,0.79410017,1.7533613,0.82645434,-0.7323131,1.0052619,-1.4063677,-0.15241806,1.4049026,-0.7772399,-0.73289037,-1.3096035
1,0.20248142,-0.07377878,0.0,0.0,-0.96720064,-0.80730927,-0.09713086,0.0,1.0,-1.2286471,0.3165,0.68943244,-1.4284061,-0.33909905,0.72630125,-0.2512316,-1.669523,0.14658527,0.59927267,0.10138331,1.4897407,0.25512856,1.4200331,-1.236949,-1.2861913,1.1060174,-0.29542434,-1.1264443,1.5201353,-0.5172995,0.8550357,0.7372562,1.330944,0.3998222,0.85767895,-0.56029606,-0.91886574,1.4841435,-0.24091795,1.6285583,0.5732616,0.36619022,-1.2912009,1.4926738,-0.14700046,0.2680394,-0.34040225,-0.8660391,1.3871922,0.21097936,-1.7101563,0.37438285
2,0.6711241,0.4326095,0.0,1.0,1.3951931,-0.4936369,1.3448652,1.0,1.0,1.493124,0.6695913,1.7492406,-1.1783612,-1.2700384,1.5815995,0.7142799,-1.6131687,0.8968208,0.9096832,1.4888272,0.6614319,-1.3063645,-1.611488,-1.6138502,-1.66927,-0.8251857,1.2802256,0.18690278,0.20010665,1.1730163,-1.3774042,-0.7779527,0.244393,1.6049393,0.19037023,-1.6851271,1.0037688,-0.9049366,1.1087714,-0.39191648,1.250144,0.7840305,0.24653336,-1.1978155,-1.4939715,-1.3296901,-1.6114919,-1.3044081,-0.91376966,0.70253724,0.1999093,-1.7157122
3,-1.7296171,-2.214154,1.0,0.0,0.2816657,-1.020202,-0.92452955,0.0,0.0,0.2827254,1.6397122,1.2132398,-0.93724144,-0.071120635,0.45899037,1.1657557,-1.2943199,-1.6210419,-1.4467982,0.004348849,0.28757772,0.19532973,-0.5907732,1.646258,0.23434953,-0.3642888,0.22691041,0.9130805,0.6102247,-0.80062205,-1.5834574,-0.46969646,0.40491518,-1.0407093,0.86404985,-1.5220171,-0.9536909,1.1557125,-1.0765439,0.48914087,0.10383824,1.3759696,-0.7737952,-1.4310945,0.8378698,0.94547963,1.4064713,1.4858153,-1.6327722,-0.9863127,0.39563817,1.5216794
4,0.102835946,0.4936413,0.0,0.0,1.4991189,0.47859302,-0.44837862,0.0,1.0,0.1721066,1.4873468,1.4693359,-0.3835191,1.5072014,-1.1424813,-1.2345438,-1.3705709,0.043278147,-1.6139144,1.5736294,1.0722303,-1.6753935,-1.0751395,-0.5777871,-1.314773,1.113242,-0.47583959,1.5980082,0.30295137,1.2988708,1.1896399,1.3456072,-0.21527903,0.13043852,1.0251496,-0.7754846,-0.12067117,0.41458753,-1.710059,0.32812926,-0.20396836,0.9847086,-0.592859,1.3053714,0.29489893,-1.1106213,0.9873487,0.4030616,-1.4970998,-0.33060008,0.60930365,1.4165348
5,-0.9146434,-1.9539845,0.0,0.0,-0.38930658,1.6147016,0.29415584,0.0,1.0,0.44517884,-0.73914224,0.28723773,0.8849779,1.1543891,0.94419485,0.7185127,1.1910036,-0.5819487,0.6233737,-0.11623433,-0.50930285,-0.33849463,-0.30215216,-0.62751377,0.37993875,-0.19185749,1.6679574,0.675596,-1.0479308,-0.24735256,-0.5965869,0.9802001,1.3188648,1.3758684,0.54768455,-0.8283135,-0.9824863,1.3364251,0.11384657,1.0588868,0.2655936,0.7374609,0.11686531,0.90163356,0.26381722,-0.12586333,-0.5692075,-1.4373568,-0.39693928,-1.5323035,1.6512047,-1.1312739
6,-0.5005992,0.2873321,1.0,0.0,0.70316994,0.23212369,-1.2404637,1.0,1.0,-0.9563291,0.32764393,-0.69065,1.4789038,1.3269204,-0.8438657,-1.2872816,-1.1672901,0.022510296,0.82253504,-0.9412159,-0.98577213,1.1506344,-0.25284907,0.3863566,-0.9603487,-1.3215754,0.10732283,-0.030032974,-1.2096312,0.41987944,0.11829072,0.4935669,-1.366786,0.84524137,-1.0007329,0.02026649,0.9482073,-1.6640797,-0.61030155,1.3066797,1.1864399,0.08883651,1.3275521,1.4937218,1.1533453,1.2319143,-1.4220388,0.535971,0.7085788,0.33998713,1.0227956,-1.6396044
7,0.42730618,0.083556324,0.0,0.0,-0.79879105,-0.83629996,0.38956177,0.0,0.0,-0.18745981,0.9888341,1.7248398,-0.72150505,-1.2503046,1.4692558,0.18390654,1.578228,0.4906936,1.7368222,0.20738453,0.0036081187,-1.2686788,-0.45921233,-1.6138246,-1.2132871,0.89350146,-1.547071,-0.4189551,1.290567,0.6622498,0.64174527,-1.0850096,-0.28092188,0.2531737,1.696801,-1.0541375,-0.9992736,-0.79970646,0.9060307,-0.1498897,-1.4783957,-0.010852611,-0.95260173,0.9933656,-0.6739871,-1.6573749,0.30738968,1.1875576,-0.38644087,0.8326318,0.033288196,0.11097935
8,1.5976226,1.741696,1.0,0.0,-1.5953785,0.71052575,-0.18902473,1.0,0.0,-0.8101679,-1.4485208,-0.2762604,-1.4045312,0.39958304,1.1161234,0.71421957,0.84589684,-0.5143861,1.2266194,-0.19138016,1.0611933,0.3900408,-1.1875902,-1.4371065,-1.7037007,-1.4428555,-0.087858975,-1.3093476,-1.6496153,0.8749094,-0.41309983,0.8082684,-0.24257708,-0.20490916,-0.10112449,-0.1341879,1.012937,-0.2943672,1.4562626,-1.6203516,0.9468244,-1.2863508,0.46343276,-1.6150753,0.15940578,-1.743329,1.5581201,1.3958962,1.0224835,1.4163073,-1.2207159,-1.2138379
9,1.0038043,0.8911923,1.0,1.0,1.4647965,1.670005,0.6621451,1.0,0.0,-0.34488925,-0.8633102,-1.1851425,-1.3672482,1.0007458,-1.2400178,-0.7632368,1.0315979,-0.62327176,1.6972098,-0.7425364,0.029293656,-0.66392446,1.445324,-0.46094325,-0.2701843,0.0904874,1.5489682,-1.5990858,0.7780817,1.3405485,-1.722567,0.04564474,-0.70420647,1.2213541,0.18153776,0.6022683,-0.25616378,0.51981735,-0.7323233,-1.7173955,0.28002906,-0.66737264,0.11079081,1.3831942,-0.22794886,-0.88903886,-0.46920517,1.4854399,1.5009004,1.165978,1.4364412,-0.97125584
