,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
0,0.04749865,0.08244219,0.0,0.0,1.4806912,-0.041784458,0.7574159,0.0,0.0,-0.14890508,-0.13408452,-0.19552355,-0.9577512,-2.1612725,-0.30738544,0.51946235,0.07437937,1.2847816,-1.0818589,1.1949004,0.83569914,0.59064376,1.657579,-0.7724318,-1.6973155,0.494312,1.2226394,0.8278268,-1.6894459,-1.4078474,-0.6641865,0.63828605,1.2614275,-1.04768,0.53588617,0.65500855,-0.46004012,0.9740628,1.1588199,-1.0638202,1.555745,-0.08866262,0.54342484,-0.98134965,1.0671268,-0.6262431,-0.68041307,-0.7030277,1.1201142,0.17265807,-1.0127373,0.7257324
1,0.04749865,1.0110505,0.0,1.0,-0.4288925,-0.041784458,3.32443,1.0,0.0,-1.1968166,-0.13408452,-0.19552355,1.5894594,0.57624805,3.4874966,0.48316732,0.16969813,0.22614266,-1.6717192,0.6359377,0.07748957,-1.4599947,-1.7008085,-0.7009441,1.7379798,-0.94761753,-1.3675616,-1.618591,-0.5342878,1.0148455,-0.9454332,1.4897887,1.7060558,-1.6783137,0.9729215,0.6066915,0.10046041,-0.7765922,0.6365411,0.9951636,-0.052153308,1.6782016,-0.04492013,0.6238884,-0.23430173,-0.83268315,1.6025245,0.6566499,0.5494481,-1.6045785,1.3931338,-0.2889424
2,0.04749865,-0.0118454425,0.0,0.0,-1.5746427,-0.041784458,0.023983248,0.0,0.0,-0.70505625,0.17298745,-0.19552355,-0.9577512,0.57624805,-0.30738544,-0.083264254,-1.195897,-0.5011856,-0.5796358,-1.3123759,0.9966798,0.09154702,1.3345106,1.0672405,0.4333404,-1.5047927,1.0131252,-0.38624611,-0.06982371,-1.5208879,-1.168961,-0.42692614,-0.52719724,-1.5556663,-0.9008844,-1.0461996,-0.3431063,1.1213835,1.0220044,1.0889657,-1.016584,0.5408423,0.093984306,-0.058011077,0.5147188,-0.033447027,0.18117057,1.4754696,-0.14287594,0.46204153,0.3734416,-0.8465355
3,0.04749865,0.118116505,0.0,1.0,-0.046975758,-0.041784458,-1.0761657,2.0,0.0,-0.35858443,-0.13408452,-0.19552355,0.31585413,0.57624805,-0.30738544,0.8954243,0.19676892,-0.7460663,1.3027147,-1.7979008,-0.77218825,1.7183187,-0.0750881,0.34706107,-1.7332674,1.3904558,-1.3106691,0.48786163,1.4263573,-1.2717818,-0.32487705,0.1636018,-0.10237905,0.79336077,0.26321727,0.112342305,-0.24434155,-0.79548484,-1.5479195,1.1331977,0.5713197,-0.8965741,0.5362662,0.96348345,0.10900201,1.22414,-0.56640035,-1.2436922,0.96962345,1.3039495,1.1008414,-0.01235832
4,0.04749865,0.24225797,0.0,0.0,1.0987744,-2.8216238,0.9041024,0.0,1.0,-0.16336639,-0.13408452,-0.19552355,-0.9577512,0.57624805,-0.30738544,-0.23367722,-0.53572834,0.08148731,1.6580122,1.4725926,1.268451,-0.5499859,1.055442,-0.3513597,-1.770313,-1.340524,0.6800569,0.8446032,-0.3510225,-0.771754,0.5443862,1.3820223,0.9267173,1.6304073,1.6488913,1.2481169,1.5764335,0.6917796,1.2966325,-0.57699335,0.08529402,-0.4178165,1.2481922,-0.7316951,1.727514,0.62421465,1.5806612,0.70325303,0.22173595,0.4013711,-1.5202526,1.0119226
5,0.04749865,0.32175183,0.0,1.0,-0.046975758,-0.041784458,-0.9294792,1.0,0.0,-0.31933913,-0.13408452,-0.19552355,0.31585413,0.57624805,-0.30738544,0.1289007,-0.5759133,0.37722203,1.754621,-0.466589,-0.23315279,-1.293372,-0.4271835,1.4780829,-0.65875775,-0.030388134,-1.0756642,-0.69817173,-0.17182383,1.5022548,-1.3779804,-0.9600624,0.24090686,1.5503877,-1.3173,0.6793757,0.9318505,0.032449115,0.89534634,1.5366281,-0.9149257,0.43542984,0.6588066,-0.28237945,1.6110963,-1.320777,-1.5454777,-0.06436288,-0.9174124,1.6031916,1.4829904,-1.6512935
6,0.04749865,0.49135298,0.0,0.0,0.7168577,-0.041784458,-0.70944935,2.0,0.0,0.39493495,-0.13408452,-0.19552355,0.31585413,0.57624805,-0.30738544,-1.6177392,-0.51266277,0.7747487,-1.484635,-0.7099289,-1.1239996,-0.70952225,0.05030055,-0.12940474,-1.7494664,0.368963,-0.4608811,-1.6093823,-1.729884,-1.3020322,1.3673515,0.7670535,0.05291008,1.4752054,-0.9464559,0.25044334,-1.4078231,0.9584899,0.037475444,0.16000485,0.81087947,-1.6663624,1.5451256,0.6068022,-1.4104186,0.61935925,0.96517575,0.7927712,-1.0139916,0.6104829,1.4264665,1.1457145
7,0.04749865,0.22094342,0.0,0.0,-1.5746427,-0.041784458,1.7842215,0.0,0.0,-0.07292618,-0.13408452,-0.19552355,-0.9577512,0.57624805,-0.30738544,0.22452742,-0.577857,-0.6305907,0.7572518,1.1038964,-1.2719806,-0.75110084,0.5469913,-0.41604334,-0.766053,1.3367243,0.103615046,0.66855526,1.269403,-0.93936855,-1.0785073,-0.8722437,-0.47631913,1.3061353,-0.0008382654,1.4837308,0.37113142,-0.94922614,-0.39671648,0.73732,-1.3033116,0.13739109,0.46780634,1.4783462,-1.0472032,0.59992075,0.81682104,-0.72788286,-1.0282105,0.04146716,0.28557968,0.35734555
8,0.035418484,-0.112570584,0.0,1.0,-0.046975758,-2.647884,-1.442882,2.0,0.0,0.5610972,-0.13408452,-0.19552355,0.31585413,0.57624805,-0.30738544,0.45850477,1.2366818,-1.1144514,0.23257838,-1.6962316,-0.22090453,-0.43711418,0.6969942,0.2024143,1.1125686,1.3543301,-1.2984734,-0.55930245,0.7541785,-0.21056966,-0.63539016,0.9442305,1.7266201,-1.4307263,1.0030613,0.78672326,-1.2763956,-0.9997223,0.30012482,0.5311367,1.239953,0.11381766,-1.6780406,0.9026509,-0.664158,0.045305807,1.1137931,-0.11397502,1.4535918,-1.1191815,-0.97724366,-1.117456
9,0.04749865,-0.23665972,0.0,0.0,1.0987744,0.65317535,1.344162,0.0,2.0,1.1326135,-0.13408452,-0.19552355,-0.9577512,0.57624805,-0.30738544,-1.6158907,-0.44465715,-0.860602,0.9381457,-1.8088728,0.27561566,0.36632642,-1.5246885,0.76015884,0.21370105,1.7304407,-0.15162072,-0.13361709,-1.6314138,-1.6783398,-0.08120621,1.1932478,0.29803434,-0.88534886,1.564853,1.4445113,-0.13140744,-0.1724945,-0.66059524,-1.734233,-1.5294247,1.2053515,1.6909,0.35031277,-0.096292324,1.0258044,-0.009397013,-0.5176496,-1.5201514,1.6824191,1.5734352,-1.1874696
