,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0,2.0797668,2.6819773,0.99590605,-1.6063899,0.4589946,0.8964231,0.032929055,-0.980741,-1.1183233,0.8793353,-1.0853211,-1.381383,0.49027377,1.671397,-1.7581594,0.045621067,1.1343718,0.33503804,0.88861567,-0.7480666,1.4099649,0.8086542,0.21698444,-1.3405768,-0.50941217,0.6850192,-0.23753074,-0.16387084,0.35602674,0.04159405,0.5335936,0.28556967,1.017528,0.02938785,1.3565676,-0.5439966,-1.3746915,-0.6855425,-1.3521222,1.1868337,-1.586706,0.45618162,0.20259334,1.1234425,-1.0670402,1.1909968,-0.48141775,0.9385372,-0.7186861,1.3302414,-0.7429854,-1.1319222,-0.43827608,-1.4647979,1.1176783,-1.285755,-0.44680342,1.5399028,1.6959255,-0.16752201,1.1235889,-0.8624324,0.34904107,1.3800333,0.16889726,0.35624248,-1.6044892,-0.44903535,-1.519882,-0.61117834,-0.59755945,0.96508676,-1.5966876,-0.14536,-0.650818,0.4981766,-0.6339973,-1.5926178,1.326174,0.950975,1.499311,-0.24511656,0.38993764,0.013196865,0.34312716,-0.7805093,-0.66275626,-1.7475941,-0.6905775,-0.8850723,0.18990228,0.28839484,-0.06701526,-0.6275921,-1.5412688,1.7606382,-0.6326179,0.0053114076,1.5936843,-0.04304562,-0.6669626,0.0014751039
1,-0.80763495,-0.48414972,0.32862493,1.1877496,-1.4902297,-0.094960116,1.0162902,0.64479977,0.25176546,-1.6306854,-0.46613652,0.2663601,-0.88645047,0.06751636,0.6004097,-1.154331,-1.5363488,-0.63464236,-1.3252342,-1.1353914,1.3002962,-0.39801663,-0.9362496,0.80889165,-1.4324958,0.9257605,-0.14182234,0.3937079,-1.2867645,-1.0978765,0.5154397,-1.5291008,-0.8379021,0.103226356,-1.0193596,-0.32607925,1.4224991,1.463343,0.15130772,0.15536308,-1.698681,1.6787643,0.29238468,1.0275145,0.17350842,1.2595482,0.32990998,0.7801281,-1.2491695,-0.24066868,0.53257525,-1.338593,-0.27298,-1.2189599,0.0129086245,1.0464399,-1.471265,1.0476869,0.23113792,0.30580443,-1.0322232,-0.20809329,-0.6891747,-1.6106455,-1.595654,-0.11615762,0.8694839,0.23388763,-0.4251332,-1.0575901,1.1674553,0.35083273,0.98771966,1.3360038,0.34111917,0.99008137,0.35102117,-1.6706499,0.8769137,-1.1113611,-0.04558198,0.087012395,-0.015938371,1.154672,-1.0908483,-1.6732576,1.2156057,0.83770424,-0.14955018,-0.2736722,-1.3711886,-0.4772655,-1.3888612,0.84193563,-1.4973266,-0.9460678,0.18403248,-0.6894033,0.51198894,1.2446905,-0.5523953,-1.4641099
2,1.2824445,0.5835365,1.1409633,0.956128,-0.36897752,1.2998329,-0.36422962,-0.873735,1.1112686,0.79555184,0.06914305,0.5479036,-1.1954157,1.4616318,1.6307509,-0.617893,1.3198562,-0.7318263,-1.6239288,-1.5800893,-1.1068037,-1.4219675,-0.79838485,1.3762085,-0.21665414,-1.1731497,1.022706,-0.2675642,-1.7172076,1.2315782,-0.7485961,0.64056987,-0.4806909,0.9991193,1.1334614,0.22326125,0.2012659,-1.2985352,-0.47663456,-0.21054293,0.036182802,1.3792603,-0.67043275,-0.3499588,0.966247,-0.29674152,-1.0633198,1.2346154,0.2647499,-1.5112334,1.5541462,-0.9137188,0.34182924,-0.536874,1.0532135,0.37782857,1.0762663,-0.6994546,-0.77542883,0.3474443,1.5093948,0.7523834,-0.8011025,-1.3176233,-0.09667056,1.6815171,0.64406586,-1.0084685,-1.6376841,1.4917156,1.238355,1.1551243,1.6181526,0.4536816,1.4690496,-1.1681279,-1.4837154,-0.42231807,0.9327735,-0.6017468,0.6154098,-1.6633701,0.1825448,-0.5929054,1.3607125,1.6660539,-0.3773452,-0.41140237,1.4019659,-1.5259577,-0.3490498,-1.181072,-1.4155766,1.0786169,-0.71845317,0.3781164,1.2470771,1.337115,0.32762152,0.68266183,-1.576959,-0.7627172
3,-0.09408165,-0.09787325,0.7211446,-1.0420582,1.0427073,0.08022389,0.9307253,-1.1354845,-1.5260121,-0.08679983,0.14162906,0.7282811,-1.2254934,0.64584744,1.0224476,-1.5536002,1.6625863,1.6158959,0.27140397,-1.526222,-0.55545735,-1.5899128,1.1370336,-1.1089913,-1.3064916,0.77302283,-1.5519521,-0.7661422,-0.019374296,1.7108632,-1.1842144,-0.2121874,0.33822954,-1.4799153,-0.8034608,0.86343557,0.17341937,1.1648111,0.1964055,-1.0636969,0.4007148,1.3625444,0.093906455,0.45043576,-0.019781487,1.3677295,-0.26631796,0.18042462,-0.5507148,-1.2714455,0.42499694,1.5051925,0.33490315,1.0674614,-1.0037373,1.3402354,-1.7511961,-0.9126022,-1.2703027,1.4378448,1.4123058,0.30526373,-1.4069138,-1.3364828,0.99716103,0.84758574,-1.4367255,-0.44807488,0.9656003,-1.1765183,0.12269172,0.8979367,-0.7874742,0.33906808,-0.09414287,0.22641344,-0.28886238,0.72228277,0.7650679,0.92688775,-1.596402,0.6626418,-0.038643774,-1.412427,0.39858338,1.2953957,0.82179236,-0.6801135,-1.5188626,-1.6011214,0.19538078,-1.0775208,-0.7870258,-0.825897,-1.6950098,-1.1361082,-1.6995541,1.6859717,-0.48181015,1.3224108,-0.34015498,-0.9150138
4,-0.52473015,-0.24373065,-0.85069937,0.9167197,0.58861643,0.7483014,1.2633301,-0.0022259974,-0.25413427,0.16188748,0.56161726,1.0483754,1.2289548,-0.67151153,-1.2943445,0.85715365,0.13290763,0.9429191,-0.16413805,1.1272023,0.10404809,-0.79518646,-1.5056996,-1.517446,-1.1992824,-0.11738535,1.0262758,1.4534038,0.21040115,-0.72699124,0.53832954,0.40672624,0.011999999,1.6081532,1.001306,1.5914669,0.3857176,1.6582148,0.64353925,-1.6783383,-0.74347895,1.2041411,-0.1658822,-1.1283674,-1.3558565,0.99365854,0.5556765,0.06378197,-0.7558254,0.47754112,-0.5946798,0.14966334,0.85926634,1.057826,-1.4009806,-0.030483184,0.46394765,-1.1609287,-1.7220318,1.6495373,1.0609205,-0.78205526,-0.74708045,-1.3233479,-0.019753048,1.5350364,1.4657747,-0.8357142,-0.3902135,1.5488888,-0.78917265,1.5415274,0.9400414,1.4640163,1.262872,-1.1691413,0.98524487,1.4889526,1.1812986,0.77111924,-0.6020568,-0.4664741,-0.84289664,-1.448162,-1.0241898,0.49450427,1.5012536,0.6517544,0.22425656,-0.80925196,0.08214186,1.0947233,-0.69256985,-1.0078312,-1.6936917,0.93588823,-1.6842345,-0.20656882,1.1056198,-1.5597975,-0.0024494857,-0.13687688
5,-0.78837335,-1.1140324,-1.5658951,-1.6376567,-0.5812019,-1.5007433,0.37870747,1.1955854,-0.36232573,-1.626599,-1.386372,-1.4036788,0.93298876,1.1161165,-1.7124987,1.2323278,1.480166,-0.41204843,-0.68012834,1.141596,0.37761196,-1.1746789,-0.9006802,1.1223414,1.1223031,-0.8659126,1.0269723,0.1822004,0.33038437,0.07875073,0.49688375,-1.6719053,-1.5841725,0.6282344,-1.2116299,0.7692622,-0.71957284,-1.5304123,0.20268649,-0.67499787,-0.62229663,1.6408299,-1.0419676,-0.52085716,-1.3918234,-0.33185974,-1.3843712,0.0744969,0.88839585,-1.7000924,-1.5579185,-1.5043361,1.2885491,1.5502281,0.05931852,-1.1207081,1.4669864,0.55110645,1.0169778,0.027834823,0.99345195,-0.5669607,-1.3181995,1.3868845,-1.6883196,-1.4241691,-1.2783711,1.5472713,-0.7196359,-0.910591,-0.85857487,-1.4174094,-0.33767524,0.92066765,0.49614403,-0.8140015,-1.068783,0.018102404,1.273595,0.497285,1.0442033,-0.17698404,-0.29577476,0.73567426,-0.42117143,0.26657674,-1.4183885,0.30282456,-0.76854765,0.86485845,-0.7263618,0.93659335,-0.9313032,-1.6293997,-1.2826719,-0.63152725,-1.135423,0.19117466,-0.9883784,1.1556828,-0.08820095,0.4124011
6,-0.77612716,-0.65604943,-1.0890838,1.4250114,0.74744594,-1.175078,0.81397307,-1.1071048,1.1121962,-1.077123,1.6165447,0.21225171,-1.1608682,-1.021985,0.44019714,0.45722285,-0.6504762,1.0545647,-0.2033486,1.0415307,-0.8301578,1.7376435,1.3915395,-0.2616464,-0.6409015,-1.5165017,1.6426066,0.6744426,-1.1416221,-1.5791059,-1.6389138,0.48520464,-1.3082515,-0.72349316,-0.7365165,-1.2511543,1.5055587,1.6423444,1.2727543,1.073274,-1.5219282,0.77173156,-0.12094428,-1.2035141,0.46486467,-1.5785646,0.9206738,1.4057801,-1.7462797,-0.5890833,0.99864966,-1.3112934,-1.7298352,0.97153157,-0.89472294,-0.9433915,-1.2338676,-0.74109113,-0.24181092,-0.8715276,-0.45262414,-0.51560766,-0.56129694,-0.69191825,-0.5995435,-0.7463162,1.4144678,1.6319884,1.4081107,-0.3908257,0.50677854,-0.6599643,1.082561,1.1813816,0.9993041,-1.2883523,1.0671842,1.0276023,1.3440992,-0.5972547,-1.3392401,-1.1352744,0.61434686,0.7054353,-0.8792541,1.1792965,1.4539858,1.7097632,1.7532972,0.07264608,0.69453126,-1.362056,1.4130327,1.1815048,-0.5318959,1.7497276,-0.47115585,-1.6479114,-1.6323645,0.32385013,-0.2326542,-1.6969644
7,0.9486496,0.9977407,-0.39615935,-0.26640588,-0.32767063,1.7657486,-1.1530061,-0.28233254,-0.8634536,1.6025095,0.34952453,0.75561845,0.3638108,0.9514339,1.346702,-0.83527493,-0.9142925,0.30014792,-0.86312085,0.7574071,0.5387982,-0.833711,-1.0532725,-0.7397316,-0.5337027,0.39727992,0.8492705,-0.54295266,-0.048409913,0.28635722,-0.7748258,0.656143,-0.14235054,0.48670205,-0.058029283,-0.15089832,0.73489445,-1.6774598,-1.4639914,0.30526367,1.0931928,0.23103763,0.40024543,-0.9627456,1.3982302,-0.98870164,0.6932571,-0.37389076,-1.0224959,1.113152,-1.4733843,0.9487227,-0.120397225,1.4289813,0.1631707,0.017687464,1.2587422,0.52423316,-0.58670264,-1.7537371,-1.241636,0.97559756,1.1607436,0.5568993,0.31247213,1.4528419,0.76258105,-0.023412373,0.72973084,0.47380456,-1.6609315,1.0678632,0.86118436,-0.29533872,0.28315905,-0.86330014,1.7144986,0.3488651,-1.036683,1.7479799,1.407279,-0.50004184,0.5617734,1.4605469,0.2117363,0.49918184,-0.08639115,1.7465559,1.5294226,-1.6328584,-0.19673401,-0.4728882,-1.1765752,-0.6177032,0.69447017,0.03824513,-0.7422053,1.4723058,0.6467229,-0.62535524,0.9846675,1.6474771
8,0.5481545,0.55009526,0.7644103,-0.08360702,1.0167055,0.14209919,0.2970368,1.4599538,1.5113399,0.28511605,-0.8791568,0.030968327,-0.4011889,-0.59199965,0.3548123,-1.3736116,-1.3075933,1.5957603,1.722435,-0.44593197,1.6495825,0.8212833,1.5764928,-0.6727154,1.1162305,0.4485769,1.1320084,-1.3390962,-0.57787794,-0.24904329,1.0526406,-0.89364445,-1.6555299,-0.44359854,1.4016706,-1.1279521,0.8432748,1.5394613,-0.89789563,-1.1584983,-0.5515555,-0.7050463,-0.77559245,-0.07800887,0.16340378,-1.6551547,1.2344574,-1.2011701,0.95982575,-1.4340247,0.7745134,-0.45309153,-0.96771574,0.7831932,-1.5737976,-0.24648511,1.3536621,1.4136827,-0.10253986,1.1656885,0.5804278,-0.82580984,-0.47684422,1.4657062,1.3859854,1.6223036,-0.9666485,-1.1531544,-1.3636069,-0.050648298,-0.85245556,1.5717251,-0.027497979,0.884832,1.6938299,-0.18625772,-1.8219253,-1.6922234,-0.09055603,0.51124895,-1.3451972,-0.93238556,0.82186854,0.7019099,1.5721129,0.9110712,1.1857187,0.30275682,0.64382815,0.7542317,-1.1626914,-0.3314093,-0.33229375,-0.29985973,-1.1199051,-0.18457896,0.75692385,1.7145771,-1.463517,1.4181808,0.95543736,-0.13760638
9,3.1640162,3.0850532,-0.64058894,-0.055221017,-0.37079751,1.4226439,-0.7251058,-1.4092761,-0.03609798,-1.1426113,-0.87279344,0.73328555,1.2036835,1.4642084,1.0701785,0.9799054,1.1305739,-0.68142617,0.52455604,-1.1261743,1.1863915,1.6492252,-0.815774,-1.5967425,0.7242405,1.5148982,1.1376386,-1.5929247,-0.2969916,-0.3660443,-0.24704996,-1.2281702,0.8709075,0.63688356,0.3223231,1.5928365,0.72699803,-0.60857576,0.97910315,1.6003474,-1.1866802,0.11783194,1.02049,-0.48451436,-0.48630872,0.6700326,0.22137132,0.48230436,-1.044993,0.4999268,-0.15223603,0.5513941,-0.78771824,-1.303243,1.1726853,-1.418392,-1.3950365,-0.11688888,-0.28946757,1.5726228,-0.29750288,-0.5987929,-0.6011448,-0.87908435,0.8845887,-1.5773631,0.5310643,-1.4460572,-0.94445056,-1.3098207,0.89865124,-0.9977572,0.6320992,0.015056537,1.4687057,-1.1300186,-0.14078708,-1.4218546,-1.1151868,-1.4710563,-0.46724537,0.65624124,-0.7050448,-0.6870311,-1.4988242,-0.63495064,1.2378128,0.20756517,1.658315,0.6881869,-1.3146436,-1.0791596,-0.3594632,-1.0442878,-1.6687986,-0.8650242,-0.4154287,0.0762274,-0.98783624,-1.0215029,0.6257187,-1.458098
