,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
0,1.5766896,1.5995704,1.6396724,0.1799225,1.6415504,0.62413114,0.726268,-0.98102635,1.6213386,-1.6060102,-0.8893652,-0.2860169,0.9076955,-1.0092963,1.1899439,1.6141192,-1.1685386,0.39777672,-1.7048516,-0.32515416,-1.5774086,1.5720813,-0.20157804,1.5764961,0.97042245,1.2573816,-1.1875964,-1.4484607,0.31641454,-1.1744481,0.83511376,-0.27383885,0.043352652,1.5052469,0.108967,-1.3194149,-1.1112247,0.15835099,0.11246496,0.5972094,-0.2818071,0.43453887,-0.3707174,0.39493385,0.9290136,-1.08369,-0.38721865,-0.06350189,0.5806299,-0.8526205,0.15646906,0.4344083
1,0.5714751,0.79771847,1.393441,-0.4438309,0.48028505,-1.0480318,0.03628287,-1.0997671,1.4214333,-0.18680567,1.123624,-0.34946305,1.3494637,-0.29709724,-0.6766325,0.26491088,1.1583973,1.2966281,0.3548222,-1.3632352,0.33083662,-0.84303546,0.80236673,1.3863664,0.04654679,0.36295193,-1.5589372,0.15596291,-1.3140966,0.40222716,-0.48393103,0.9221191,-1.6633773,-1.3442942,0.65222377,0.086403966,0.31953853,1.2219474,-0.012561094,1.2033706,0.091779895,1.3438942,0.55927634,-1.2906876,-0.45437863,1.2648923,-0.47429687,-1.1360784,-0.1610025,-0.37671492,0.382235,-0.20795417
2,1.0450753,0.5943958,-0.79104286,-0.275971,-0.2769294,1.2235308,1.6990763,0.45709866,-1.4625984,0.8175164,0.59526247,1.091824,-0.61534524,-1.4865421,0.30838296,-1.2052298,0.865093,1.0696282,-0.30187458,1.590803,-1.130214,1.5243117,-0.102205135,0.92559177,0.85650533,1.64862,1.5609787,-1.5686994,-1.7055647,0.15060158,-1.6604253,0.55508,0.06825278,0.57228404,-0.15995683,-0.7512285,1.627822,0.8106336,-1.6540962,-1.2939286,0.50899714,-0.753462,-0.33379123,0.95403576,-0.49011844,1.4701834,0.80022895,0.10548359,-1.1715429,-0.31920242,0.88854283,1.6834139
3,-0.5523679,-0.23849323,-1.435703,-1.215497,0.83541983,1.0042248,-1.3752708,1.183606,0.9668292,0.6681988,-0.5861502,-0.25168237,-0.5487552,1.2007437,-0.6866437,-0.55382174,1.4651289,1.4976594,1.6642255,1.1223283,-1.4298998,-1.3678389,0.20798108,1.251738,1.3034462,0.4762687,1.5009534,-1.1830713,-0.9946229,-0.59360456,-0.8651118,-0.5941646,-1.41447,-0.4302347,-1.5373387,0.16639636,1.6145303,-0.19823353,0.4525919,0.50657415,1.5453943,0.7127286,1.103071,-0.62691456,1.4099783,-1.0623678,-0.27563947,0.7402067,-0.64318544,1.3111851,1.232434,-1.1353159
4,0.26623848,0.076944165,-0.8949219,-1.493978,1.2466501,-0.5758803,-0.3245156,-0.789469,-1.324323,-0.103048414,-0.953065,0.16604814,-1.1255258,0.06928948,1.4894444,-0.39222085,1.5297484,-1.4434481,0.19023491,0.40799922,1.588334,1.4652216,0.051601928,0.91331625,1.6154307,0.8155249,1.494603,1.5316651,-0.0949703,0.5622683,-1.1396568,-0.17871314,1.2475095,0.26477823,-0.70174104,-1.2689323,-0.8563986,-1.3388934,-0.87851006,-0.2952704,-1.5137093,1.0548807,-0.34691802,0.19434622,0.47822943,-1.2414426,-1.3955963,-1.2472459,1.6185465,-1.362954,-0.30810043,1.2883157
5,0.25468427,-0.46238574,0.32207385,-1.612049,1.3505411,-0.43235233,-1.1027849,-0.5536598,0.30181527,-1.5009186,0.47188658,0.33140808,-1.033745,-0.22423203,-1.1597897,-1.542103,0.26557484,-0.120292366,1.2197226,-0.96990466,-0.20967428,0.5900105,-1.4472078,-0.5011234,0.62930954,-0.85750514,-0.53211266,0.2845889,-0.345073,1.3279825,1.286418,1.142525,-0.31851047,-1.0678205,0.5010873,-0.21276799,0.0916982,0.5354997,1.5293739,1.196714,-1.2377894,1.2806519,0.5941977,-0.68517554,0.8005409,-0.071523584,0.25132972,0.17355983,-1.2736708,-0.48208717,-0.26209956,-1.5019377
6,1.506628,1.2135208,0.80214214,-0.56578416,-0.07657867,1.3693374,1.3137734,-0.7798315,-0.36766088,0.27808657,-1.3549443,0.9867387,-0.69891196,-1.2914265,0.6431406,0.07715727,-1.6353649,0.27999923,0.9464304,-1.5475976,0.5389471,-0.8271151,-0.20452552,-1.4921571,0.106062464,1.5043371,-0.73534673,-1.487823,1.172145,1.5779824,-0.029347135,1.3906027,1.3988811,0.80623907,1.1452035,-1.1333,1.267448,-0.3032835,-0.69810796,0.3310854,1.2847003,-0.2768676,-1.4698268,-0.7992091,-0.72649634,0.6879262,1.6080304,0.099397205,-0.91983086,0.6850756,-1.275081,-1.4886101
7,-0.043922286,0.22695142,0.5449085,-0.40019447,-0.1668289,-1.4233285,-0.026202897,0.39560157,1.6428771,-1.5551912,0.030505912,-0.10296898,0.3638213,1.2444347,-0.09099316,0.26636222,-0.012200347,1.0765098,1.4474847,-0.54490215,0.76944286,0.54688823,-0.4144553,1.0673417,0.65998626,-0.017288882,0.18222806,1.5663162,0.4527436,0.47399557,-0.42331928,0.9692048,1.2697964,-0.65692043,-0.54458714,0.6347537,-0.6591331,-1.4930985,-0.69329315,0.80613834,0.0657464,0.20551631,0.41913646,0.07989487,1.5948619,1.0764333,1.6366642,0.58930546,0.97924834,0.85016465,1.5153636,-0.536753
8,0.059086185,0.20943956,-0.5724515,-1.6310354,-1.4939787,1.412843,-0.042632483,-1.3143772,-1.3773063,0.09923507,0.50045896,1.1203312,0.17448343,-0.5409469,0.6207038,-0.9963239,-0.59175813,-1.2262168,0.6532261,0.2011948,-0.21355511,-0.8946098,1.1786119,-0.3571836,1.3990475,-0.7665338,0.40665063,0.83690584,-1.1754874,-1.1246586,0.94669485,-1.3357071,-0.133091,-1.4372231,1.5883778,1.1950705,-0.8546021,1.2209198,0.87325704,-1.2618915,-0.74418026,0.40839863,0.6977928,-0.59934926,-1.2633234,-0.003453782,0.9501418,8.9212044e-05,-1.1249961,-0.67929184,0.86917925,-0.12624685
9,1.9219018,1.4026333,0.9450398,-1.0759114,0.6444352,0.8949566,1.3810482,-0.69078386,1.3999285,0.32626966,-0.7457347,-1.7082442,0.5032078,1.5752907,0.17739095,-0.62695974,-0.60210055,0.034180008,1.717908,-0.17395046,-0.39388335,0.002805978,-0.9277684,-0.72717965,1.0513083,1.3478932,-0.5106534,-0.044024732,1.3632928,0.7512304,-0.14818911,1.5557246,1.3163438,-0.13006073,-0.9896714,1.1980369,1.4477028,0.6099855,1.070572,-1.5760764,0.47097224,0.95081425,-0.75315773,-1.2671167,1.3515769,0.97957814,-0.44698322,0.19355974,-1.0088599,-0.5870106,0.6202418,0.8995592
