,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0,-0.28982654,-0.07274174,0.0,0.0,-0.8487431,0.10374174,-1.7079228,1.0,1.0,-1.5674126,1.5798575,-1.2558622,-0.6332205,0.37839186,1.447689,1.2345163,-1.624054,0.13504434,0.13451235,-0.058484763,0.9170014,-1.2059916,0.9042061,-1.7544665,-1.2848325,-1.3616383,-0.7104201,0.6434422,-0.03375476,1.0958115,-0.6696305,0.8343839,0.6913338,-0.60122824,-0.55769885,1.6643143,0.35219777,1.5444311,0.86501205,1.1084185,-0.23032507,-0.13268538,-0.3510215,1.7928208,-1.1966738,1.5917654,-0.266428,-0.2582674,-0.13438399,-0.46793157,-0.11421521,-1.58424,-1.4357183,0.80385375,0.5254349,-1.5996239,-0.61014193,-0.9592961,-1.4333998,0.034812298,-0.2992038,-1.4951608,0.25560722,1.0092211,-1.309553,-0.7846215,0.5311253,-0.017240506,0.049650457,-0.10580592,1.3765887,0.4006513,0.39206097,-0.3088988,-0.069685735,1.3887479,-1.0311681,1.4735739,-1.5792456,0.42765877,-1.6015908,0.49384934,0.42878866,1.257609,1.5356879,-0.20941217,0.5475212,1.3540082,0.40486413,-0.65383774,-0.66127217,-0.7018449,1.5941985,-0.35120842,1.6343795,1.2653148,0.6461211,-1.7470273,1.4443544,1.3521906,-1.696088,0.5135862
1,-1.6113374,-1.9240893,0.0,1.0,0.3651819,0.33099094,-0.67301697,1.0,1.0,1.4591409,-1.134475,-1.0028893,-0.29975078,-0.31347185,1.2476661,-1.1104091,-0.15473048,0.571888,-0.0069892886,-0.5957434,0.95292974,-1.2938535,-1.0474764,-0.38062465,0.9209056,-0.892311,-1.4171884,1.5628297,-1.2678677,0.34902552,-0.66775626,0.46277732,0.5446576,-1.4769778,-0.4842057,-0.56016725,-1.1628082,-1.7697849,-1.7232497,0.30542737,-1.3802474,-0.6353523,1.6263485,1.3717688,1.4157501,-1.1708369,-0.6269402,-0.89021343,-0.037568413,0.11694905,-0.3160255,0.96003205,0.5153411,0.55106884,-1.1740739,0.8793067,0.55361015,-0.68931633,-0.33018017,1.700945,-0.5506073,-0.48056078,0.4034798,0.3781128,-1.6484908,0.23829466,0.9848301,1.5838606,0.7159034,-1.3091819,-0.91995585,-0.2671685,0.489091,-1.5475291,-0.3794307,-0.6018211,1.6094105,1.5577269,0.7797799,0.15846121,-1.1340632,1.5036161,1.4002541,1.3252743,-1.5530995,0.9333779,-1.4302508,1.290297,0.2958456,1.6683944,-0.27494594,0.45675156,0.9728762,-0.8676689,0.5371919,1.1593434,0.06004014,-0.26813874,0.11293579,1.4396412,1.6794837,0.60933334
2,-1.4684913,-1.3572196,0.0,1.0,-1.2740864,-1.646691,0.83621985,0.0,0.0,0.1164067,-0.020798465,-0.7441017,-0.75928766,-1.0709082,0.22682899,-1.2842679,0.8772646,1.2984831,0.6053255,-0.8393096,-0.37255213,0.018364487,-0.5279356,0.13401161,0.579949,-0.7357333,-1.0438216,1.0578959,1.056408,-1.6430343,0.5768243,-1.2744738,0.1645137,-0.7227141,1.1782455,-1.3809367,1.2770752,-0.5951175,-1.3073468,-0.18817337,-1.380964,0.93801224,-0.47946236,-0.49879155,-1.4494507,-1.114214,0.08548394,-1.33801,-0.062043384,1.4485623,-0.33820206,-1.061804,1.0794588,0.55587775,0.4459873,-1.2685794,-0.43496585,-0.07918536,-0.32138556,-1.0439645,-0.9629235,-1.170018,0.8185077,-1.3106971,-0.6124748,-0.3905376,-1.4829596,-1.2000902,-1.0897046,0.9708219,-0.9461865,0.906031,-0.4736909,0.4637893,0.5326565,-0.9145313,-0.29567146,0.5566891,0.2935974,0.47467104,-1.5723728,1.347435,1.2883344,-1.0436717,-0.38478017,1.393857,-0.2162423,-0.29821435,0.7166331,-1.2180219,1.2645218,-1.652276,-1.4357277,-0.4573787,-0.85211074,0.06381452,-1.2610006,0.49438006,0.142163,1.050955,-0.8016498,-1.100141
3,-0.49642062,-1.2770019,1.0,0.0,-0.17487144,-1.3355677,0.32647857,0.0,1.0,1.5942411,0.24304992,0.045155138,1.1225632,0.60311973,-1.1960391,-0.29797313,-1.0876887,0.29179665,-0.01588637,-0.1705095,1.6914849,1.3637706,-1.1847262,0.3573807,-0.12382047,1.0692014,1.4743906,1.2013823,-1.624386,1.357878,-1.1084247,-0.5571067,-0.41459575,1.0526158,-1.040438,-1.1089036,1.5987446,-1.6407229,-0.69616556,-0.35049823,-0.8780529,-0.80235934,-1.3725028,1.155063,-0.9535746,0.44606864,-0.4733988,-1.7116174,-0.8862043,1.099527,-0.2968507,-1.3872925,1.6696846,0.5269533,0.5950784,1.5033975,1.5478773,1.3344388,-0.24180986,-0.8398034,-0.07308744,0.94008225,0.027888548,-0.45070902,0.32734928,0.4713215,1.6548733,0.43387097,-0.33415943,1.544307,0.79930997,-0.2255959,-0.094641685,1.6639363,1.5993767,-1.7102822,1.1754318,-0.5176328,-0.4390203,-0.6172995,0.44500333,-1.2426947,-1.0364116,-0.9171052,0.21703559,-1.3981014,-0.7099488,0.9588203,-0.056239236,1.5554923,0.7366302,-1.3051602,-0.15364897,0.0757371,1.4552768,1.485213,-1.5763673,1.4355282,0.68312716,0.19540109,1.4044158,-0.29998136
4,-0.7378046,-0.392137,0.0,1.0,1.0820299,0.19557707,0.18702257,1.0,1.0,0.78457683,1.0775031,-1.317669,1.3788875,-1.2585734,-1.5689114,-0.14272527,1.6776625,1.6045244,0.25618953,1.103487,-0.8791217,0.4636082,-1.1358206,-0.9177635,1.4100657,1.3036588,0.81661713,-0.058624458,1.4311104,-1.1869168,0.09484942,0.3674368,-1.5706203,1.0433722,-0.7452088,1.4818944,1.3974735,0.9729134,1.0682154,-0.73345107,-1.1162962,-0.447162,-0.37670052,1.5873977,1.1211721,1.1662154,0.69833463,1.0379403,-0.129438,1.3400658,1.5823052,-0.23151898,1.4285394,0.73497796,0.5456661,0.11779495,1.5860405,-0.46496326,-1.1415402,-1.6226563,1.072934,0.18749732,-0.9385239,-0.5635169,0.5298837,0.83755857,-1.3247705,0.43629694,0.38053852,1.0575416,-0.9989717,-1.187151,0.89017755,-0.5079751,-1.3071382,-0.19515078,1.010229,-0.574606,-1.1376934,1.0200622,-1.4805568,-1.5307425,-1.6541905,1.0530633,-0.50435495,-1.0399721,-1.7925951,-0.85484576,-1.2442307,1.2723358,-1.3961376,0.9202635,0.083167724,-1.6468698,-1.0311673,-0.5277997,-0.48745725,-0.715509,0.51357234,-1.4200766,-1.4346317,0.15858406
5,1.08566,0.3812738,1.0,1.0,-0.78397644,0.6059204,1.3003114,0.0,0.0,0.88741213,-1.3397701,0.07431872,1.6509335,-0.69083303,0.79264694,-0.3740355,1.3244525,0.9096613,-1.7053995,1.3905921,-1.1664841,1.2945684,-0.3526523,-1.6407732,1.244997,0.40046665,-0.7813195,1.3386981,-0.79298824,-0.6260101,0.25665957,0.37682486,-0.097776085,0.9623709,0.17220116,0.5726316,-1.4977765,1.3833615,-1.4824109,0.6310766,0.52351743,-0.85417765,1.7347012,1.3222514,-0.13710125,1.7176297,-0.3221471,-0.22055353,0.6500605,-0.844456,-0.19615194,0.7060935,-0.88271457,-0.18575005,-1.3590142,1.5789453,0.45899063,-1.2406343,0.29003134,-1.5727403,-0.18496509,1.2092843,0.52181786,-0.37411165,0.48527497,1.4529878,-0.8529524,1.3987697,-0.80358005,0.4532819,-1.269741,0.00032527186,1.5574512,-0.28453493,0.7876754,-0.054714445,-1.556463,-0.114243075,-0.90798914,1.7361467,1.051433,1.2721288,0.22866769,1.6498898,1.380927,-0.15265326,0.28492108,-0.7584788,-0.28629646,-1.6149082,0.77681756,-0.5246301,-0.18391639,-0.37998596,1.3344157,-0.7556582,0.37502325,-0.989165,-0.69719917,0.73111546,0.0639576,-0.25222352
6,0.05253367,0.05488683,1.0,0.0,-1.656399,1.10585,0.6295799,1.0,1.0,-1.4867984,0.58249635,-1.2091458,1.7933948,1.5571274,1.5126036,-0.27318966,0.64030784,-1.3908349,1.3087105,0.7966961,-0.6340781,-0.0015415718,-1.0300367,0.4363132,1.6052899,-0.82599777,-1.6065894,-1.4027283,0.043425526,1.3397106,-1.5083226,0.015372428,-0.27191973,0.59363717,0.45086747,0.36258185,-0.035701063,0.042014528,-1.4310791,-0.15940668,-0.7248536,-0.37247583,0.26166892,1.0628252,0.63477063,-0.9152675,1.3108152,0.17582135,-1.1896734,0.43453044,1.2785828,0.40078622,1.2124068,1.2220637,1.3096303,-1.4030263,-0.4155327,-1.000133,1.7590849,0.56695265,1.4295108,0.25012663,-0.84469295,-1.3568945,-0.1597915,0.36779726,0.7046669,1.6844507,-1.3114935,-0.24345839,1.4456475,0.0999843,0.6546158,1.1302205,0.027491743,1.169018,-1.0063409,0.6560183,-0.6670893,1.1493509,-0.48921382,0.6109579,1.0729545,1.1882463,-0.8696742,1.6986008,-1.7865564,-0.38691148,-0.59568834,1.5504636,0.2092818,0.8474457,-0.44621494,-1.1289089,-1.6465284,-1.2712495,-0.56276417,0.7958847,-0.13347843,0.61950207,0.2561294,-0.5191216
7,1.0086949,0.95351446,1.0,1.0,-1.1738244,0.015481007,1.4529096,1.0,1.0,1.5973473,-1.8109491,0.54916906,-0.27533528,1.3922762,0.31073332,-0.52291745,-1.2161316,-1.4894519,0.71366334,1.5847876,-0.36207336,-0.78397197,-1.4434724,0.8619666,-1.338351,0.13380404,0.10317007,-0.7688466,1.3838328,-0.2296779,-0.07393773,1.1194249,1.0426203,-0.32234222,-0.800305,0.82977474,0.029271398,0.6768592,1.5376753,0.8766862,-1.0311551,-0.0952198,1.2987298,-0.76282835,0.94869,0.23553243,-0.7486169,0.7673725,-1.4414264,-0.8721708,-0.9059012,-0.88356555,-0.77467877,-0.7673351,1.6689311,-0.4587126,-0.4957695,0.8316241,-0.0334149,-0.07220594,1.1491014,-1.1951784,0.06395655,-1.5971568,-0.8362442,-0.91366446,-0.38102517,-0.5864908,-0.60017335,1.7634652,0.24909803,-0.42618105,0.12278979,1.3979126,0.978822,-0.07957185,-1.2383869,-1.5077112,-1.8297963,1.505864,-1.1233971,0.77187353,1.5940113,0.3177987,1.2311991,1.0953503,1.5001478,0.7265362,-0.31936046,-0.704795,0.07479966,-0.5913095,1.5509169,-1.4779263,-1.0398415,-0.31757492,0.15895334,0.2939523,1.2314072,-0.72417676,1.0188843,-0.6341094
8,-0.14403042,-0.51440835,1.0,1.0,-1.2814753,1.4889792,0.6286066,0.0,0.0,0.6850911,1.1779888,0.6579531,1.3036685,0.30269274,-0.48622763,-0.15699083,-0.2319709,0.63926846,1.6086186,1.2189436,-1.0493672,-0.02988279,1.3983717,1.7666965,1.4884845,-1.4695941,-0.8369255,0.8348654,-1.6945056,0.7380617,-1.574568,-1.1382766,0.7233342,1.4715054,-1.6222279,-1.5247393,0.17995764,0.16333918,1.2794693,1.2787734,0.9271765,0.7109024,1.090361,1.2815268,0.85412353,-1.0491211,0.25952694,-0.4797704,0.41964704,1.6158612,1.0071081,1.626183,-0.42469147,0.29445323,-1.2348789,-1.6943527,0.7788227,-1.0565636,1.4849129,-0.6942811,-1.2420176,1.5789658,-1.11196,1.3257806,-1.205011,-0.22982028,1.2657202,1.2479701,0.74127334,1.477115,1.0236808,1.1156571,-0.14918898,0.3382451,1.4911828,-1.1588929,0.8400707,-0.37081683,0.17557405,-1.3425691,0.46313182,1.0455503,-0.12558854,1.6066341,0.26975214,-0.64309233,0.5806718,1.0824254,0.8746733,-1.426402,-0.62849796,1.3276895,1.3356246,-1.564848,-1.1218854,-0.48792806,-1.0728731,0.42305583,1.2123386,-1.6199492,1.2150211,-1.465517
9,-1.5750515,-0.2569817,1.0,1.0,-0.21322742,-0.5102968,-0.37624893,0.0,1.0,0.64943135,0.76705635,-0.6242312,0.2096343,-1.3107556,0.9543202,-0.23430891,0.25169334,-1.2039384,0.7199016,0.52266455,1.3850576,0.2812935,1.6505021,1.6587801,0.49099824,-0.21283822,1.0862849,0.75234497,0.2068078,0.6401993,1.4884965,0.27477986,-0.42217422,0.46034244,0.36684445,-0.70938545,1.2889968,-1.0711083,-0.07606263,0.5257775,1.2458934,0.042611897,0.43304694,-1.3404552,-1.6891041,-0.96927917,1.5229462,-0.8299511,-1.1931427,0.26823875,-1.1904812,-0.84662473,0.6254932,-1.6774042,0.37957397,-0.9778669,-0.8770321,-0.5231207,-1.086436,1.5258435,-0.26102465,-0.7347008,0.3393126,-1.1242651,-0.62184703,1.1157564,-0.654003,-1.2101382,-0.96407276,0.91521645,-1.171401,0.9535134,0.15222952,-0.28287217,-1.5255119,1.3451777,-0.42333838,1.3150308,1.283659,1.1672214,1.3539273,1.5790168,-0.20216449,0.8370245,-1.0747232,1.2585654,-1.3652698,1.1327723,-1.6532198,1.2071012,0.9505796,-1.1275126,-1.0322064,1.0976754,0.00032703226,0.05482615,-0.44229025,0.57620144,-1.7649403,1.1793988,0.8754435,-0.95329887
