,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0,0.38129684,0.5727145,-0.9081603,1.196528,-0.8989336,1.3671623,-0.06492707,0.3335011,0.9944398,-0.014335399,-0.8389164,-1.0901971,-1.1679983,0.6351866,-0.22031607,-1.1382235,1.4409264,-0.666831,-0.30372962,-0.6421485,0.33349496,0.17643379,0.3335982,-0.8317868,-0.6599284,-0.7795345,-0.5873872,-1.2098565,-1.1016054,1.4807501,1.7033681,-0.9809752,-1.6120508,-1.0604984,0.722668,0.9029126,-1.8298599,0.14379942,-1.6769999,0.08641154,0.4825826,1.6636605,-0.97929853,1.1507474,1.0478517,1.4446822,-1.4899268,-0.108731195,1.5449471,-0.3772881,1.2690233,0.16368103,0.8193782,-0.0021831454,-1.5889565,-1.476649,-1.2362517,-0.77320904,1.7081078,0.45874208,0.936954,0.1441935,0.55038095,0.9715354,1.4938142,1.3852656,0.91673195,-1.3169756,-0.5975893,-1.6325779,0.1390797,0.9988941,-1.6085701,-1.1348337,-0.4172127,-0.7841645,1.0362558,-0.5644569,0.3927414,-0.170171,0.24639975,1.8112617,1.4085606,-1.2639474,1.0655348,-0.5613358,-1.3239337,-0.44706154,0.09909183,1.778372,-0.4285463,-1.7228388,1.2906467,-1.385459,-0.011151953,1.0737095,0.015470965,-0.123453654,0.9530299,-1.7418846,0.13789189,-0.48031926
1,2.0486948,1.9051534,1.608827,0.96893233,-1.3931656,-1.0574356,-0.19624987,0.64167696,-0.57363105,-0.5424565,1.330791,1.6084522,-0.12573467,1.2028006,-0.58000517,-1.3927624,0.13970767,0.7776721,1.4089745,1.4753869,0.8529597,0.78901285,0.7161207,0.6395501,1.076792,2.0148487,-0.4349138,-1.4244266,-0.8366922,-1.1318367,-0.36195686,1.1259428,-1.4894038,-0.1661871,1.1295362,-1.0683324,-1.6865597,-1.0109317,-1.3914533,1.0935686,-1.1039038,-0.9450422,1.0335939,1.178819,0.13661775,1.4171901,-1.2935145,1.7359382,0.17979522,-0.72223926,1.312529,0.5628541,1.5848298,-1.3079959,0.51663333,-0.09627931,0.53257567,-0.8044153,-1.7082969,0.15111478,-0.50749916,1.3409452,-0.06759239,-0.35000795,0.4178835,0.08330136,1.3881075,1.0660759,-0.07946937,-0.9885247,0.34742406,0.82933104,0.8383411,1.6801457,-0.9367848,-0.120215185,-0.3410028,-0.6770417,-0.5290829,-0.22414263,0.11267041,-0.5557244,-1.5129532,-0.6029091,-1.5345875,-0.6646781,0.66418827,0.31283778,1.722649,0.33647418,0.22417152,0.44267476,0.8327634,0.35237038,0.3876301,0.25037515,-0.5426166,1.0432416,0.2604742,-0.6741365,-0.9737118,-1.6702979
2,1.3056104,2.3601518,-0.49346003,-1.6196914,-1.0318357,-1.4906912,-0.832071,-0.556617,0.3630852,0.84099,0.3001876,-1.1889958,1.4238261,0.6073643,-0.03745681,0.49646354,0.07618845,-1.0622761,0.50917464,1.548211,0.85441965,-1.1848468,-1.3343306,1.4120992,1.590512,1.1418873,0.843062,-1.2143807,1.2113394,-1.2346002,-1.0849427,-0.24016787,-1.6940343,1.2773801,-1.2114215,0.7488789,0.15306757,0.8065754,0.37095156,1.6231185,-0.39595512,0.050752223,-0.69218606,0.9354128,-0.7997992,1.0194921,-1.2044307,-0.9792098,-0.26187024,-1.3535407,-0.94998395,1.2064366,-0.59484035,-0.92331064,1.5286404,0.27014884,0.4718909,1.3469243,0.7899437,-0.8298198,-1.6421015,0.08323354,0.80376995,0.9506736,-1.2018125,0.44484517,1.3098048,-0.7545442,-0.85949266,-0.20192894,0.2288166,1.6901406,0.25618243,1.3107852,0.61052597,0.052380364,-0.779889,-0.5709038,0.85865545,-1.2720355,-1.1925278,-0.7389724,0.4170271,-0.36128893,-1.2770939,-0.61723787,-1.3899267,-0.26181677,1.1023672,-0.07831625,-0.14936677,-1.6707306,-0.7098889,-1.509211,-1.569923,1.1194361,0.7118208,1.2303779,-1.4073237,-0.46691635,1.2957673,-0.40333232
3,2.148508,2.0391428,1.4126346,1.4940625,-1.5463752,-0.2500962,0.2806036,-0.55494237,-0.41466305,-0.5563287,-1.0673515,-1.6598837,0.9055429,1.5570731,-1.5254502,1.222168,0.20449746,-1.6176121,-1.5394493,0.08377347,-1.595856,-0.7935172,-0.7956811,1.5480578,0.0056938464,-0.65704936,1.4301866,1.6783382,0.8801626,-1.4295473,1.4599167,-0.12436578,0.99862164,0.8249901,0.5550783,0.8549339,0.9636902,-0.25539073,-0.023929372,-1.3541348,-0.42607898,1.335245,-1.1199744,0.9576302,0.8408666,-1.0460967,1.1094332,0.59062284,1.5249617,-0.4153927,1.0619749,1.214956,-0.5712707,-0.9059905,-0.29489806,0.54691863,-0.75895303,1.2457536,-0.74218535,0.9235852,-0.6470591,-0.08235239,1.3889045,-0.12571403,0.3859582,-0.5394655,-0.31436044,-1.4294343,0.008652941,-0.11571584,-0.75529903,-1.2228782,-0.60330427,-0.76345086,-0.4276058,1.2824594,1.4091464,1.3303467,-0.33961707,1.2425622,0.25795424,2.0125113,-1.5494221,0.9783021,0.12677164,0.053501777,0.93586737,1.1215827,1.1686333,-0.4446507,-0.39479157,0.28089404,-1.523242,1.0372088,0.3786635,-0.29240584,0.446013,1.6709698,0.96623486,0.60831314,-1.1031952,1.4802006
4,0.15859881,0.20615084,-0.3635625,1.309796,0.053362757,0.5473364,1.390847,-1.5363997,-0.70844746,-1.1500944,-1.7080736,-0.54727775,1.492806,-1.0865537,-1.2835245,1.5008751,0.0166418,0.07157623,0.67510414,1.0067579,-1.1455736,-1.1135232,-0.2757931,1.132682,1.65177,-1.0245014,0.60825145,-0.15050709,1.4481195,-0.8709877,-0.68526274,-1.5449979,1.2906728,-1.2009097,-0.78993464,-1.1368383,1.3539952,-1.5631827,-0.5303534,0.6548013,-1.119733,0.31697068,-0.37943032,-1.6942201,0.19246672,-0.53040457,-0.7762761,1.7737371,1.0710889,-0.19926351,-0.52043706,-1.7175314,0.66751325,-0.758487,0.25247034,0.45111588,0.8617191,-1.082739,-1.4880947,0.9588432,-1.5086678,-0.44075322,-1.5538765,-1.058638,-1.2064221,1.1396122,0.6338073,-0.8008813,0.26228166,0.050932556,-1.5066704,-0.56361574,0.82041484,-1.3443394,-0.8611259,-0.3736188,-1.8985257,0.85380095,-0.428798,0.33645955,0.060817953,1.2496642,0.38067588,-0.26622355,-1.5817248,-0.2768667,-1.6523553,-1.5114026,1.1643668,0.17741615,1.1089514,0.7752853,0.14726901,0.73623306,1.6738961,1.404575,-0.89276004,1.5053071,-0.21182093,-1.0469377,-0.41443264,0.123377286
5,-0.7694958,-0.082968056,1.291748,1.3036832,0.24334855,0.9960488,0.08358745,-1.4124129,-0.19886924,0.58816504,0.7510067,0.6367636,-1.4186827,0.43631962,1.5244693,-0.9540036,0.8267495,-0.9521677,0.9564443,1.3824648,-1.214419,1.029045,-0.71085626,1.2444911,-1.5699869,1.1653278,-0.9580835,-0.4278291,-1.1298902,0.9300467,-0.9246371,-0.41803154,-0.44248503,-0.83082795,-0.98599124,0.78085864,0.13349211,0.81897414,-1.1454152,0.1883723,-1.4098345,-1.2650172,-0.35292536,0.39298365,0.549167,0.22889292,-1.2347718,-0.4534315,0.7350175,1.595996,1.6018347,-0.03020137,1.4038901,-0.810175,0.654001,0.93994033,-1.5952884,-1.3355062,-0.6471062,-1.0011914,-1.1145967,0.09195271,0.5653817,-0.12695551,0.6619943,-0.6226914,-0.6689365,-1.1839219,-1.148013,0.022387099,1.1515807,-0.1510548,1.2803926,1.4824035,1.0179212,1.1735728,-1.8591189,0.58251625,-1.6445699,0.74178696,-0.26569313,-1.1933736,1.3612591,-1.0084391,1.4951528,1.0366669,1.5012681,0.39884278,-0.42970544,0.834438,-0.10083772,0.75989807,1.6146163,-1.5726631,-1.1434231,-0.33658966,-1.6847223,-0.43033472,-0.38099766,-1.1720876,-1.6660011,0.3023888
6,1.0890721,0.69461983,-0.85863066,0.63605785,-0.21921621,1.2987423,-0.7600865,0.09369103,-0.74369377,1.4195443,-0.9050239,0.6310732,-0.29571426,0.44040397,0.35803512,0.93214726,0.5063761,0.012973916,-0.17373565,-1.0843438,-1.5480189,-1.2762074,1.4785416,0.5345524,1.5716697,0.6204722,-0.9665072,-1.672128,0.21554548,1.5126482,1.1269,-1.3857893,-0.44822523,-1.3200542,-0.8190625,0.51310176,-0.75792384,-0.09094789,-0.692616,-0.27809605,-0.4025533,0.33598447,-1.6320432,1.8395528,-1.3338826,-1.535731,1.6052692,-0.49723902,-1.7041835,-0.90700334,1.2494342,0.85757446,0.37316313,1.1765622,0.10417052,1.497671,-0.71883494,0.042682692,1.2122295,0.14976554,-0.9065834,-0.7084028,1.3409685,0.02080276,-0.63371944,0.4104132,-1.4221638,0.90269524,-0.58678544,0.13208708,-0.582895,1.2168555,-1.1731883,1.2451172,0.63045096,-1.0137867,-1.3324667,-0.87534416,-0.2651062,1.4021039,0.89585483,-0.47560042,-0.2805436,-1.5044799,0.817248,0.7838263,0.537135,0.31871623,-1.3543159,0.20339578,0.41599736,0.36372703,1.4213471,-0.63095546,-0.8584606,-0.3109267,0.3729802,1.3050773,0.7508031,0.096202336,-0.4841708,0.6919597
7,-0.043722935,-0.30039266,-0.41795278,-0.2689786,-1.5083507,-0.000918121,-1.099182,1.5317785,-1.4395003,-1.60368,-0.07372472,1.7135464,-0.55208343,-1.5106512,-1.3563952,-1.6597061,0.46755433,-0.3712115,1.1479034,-0.87756073,0.036165655,-1.6191212,-0.62871236,1.3350923,0.4870011,0.035218526,1.4067775,-0.48920563,-1.4349644,-0.3092526,0.41878378,1.0892891,-0.43289915,0.089032255,1.4002215,0.3420225,-0.9422051,1.3618792,0.26735687,1.1975334,1.0458729,0.6272866,-0.83496946,0.61239994,-1.3998649,0.5771794,0.29308662,-0.65426564,-0.2481021,-0.78467077,0.019734684,-0.26178393,-0.16976379,-1.5867575,-1.2858762,1.2654252,-1.0258138,-0.5756427,0.722886,-0.40863627,-0.38227975,-1.7930646,-0.15452676,0.1610489,-0.2831229,-0.40844232,-1.3359526,-0.31199726,-1.7825377,-0.7243675,-1.8060108,-1.2575495,-1.559582,1.4526135,0.15749276,-0.8391162,0.36977157,-0.86642975,0.4259291,-0.095181935,-0.3588059,1.6896929,0.47526005,1.6385506,-1.0329629,-0.4235149,0.63241404,0.38733187,-0.69634277,-1.3420018,1.2548004,-0.5996891,-1.6668894,0.6161033,-0.5451523,0.6766364,-1.3613566,-0.7913042,1.3495648,0.44714993,-0.43032637,1.0786371
8,-0.12011097,-0.03872307,0.5794025,-1.0734934,-0.6914801,1.2403462,1.5705775,0.6395781,0.14929442,1.2934217,0.42380157,1.5587327,0.8230096,-1.2132089,1.1887971,0.13085862,-0.5417521,-0.8215128,-0.8161402,0.14075802,-1.8097535,-0.55968255,-0.8639489,-1.4010528,0.1245098,-0.38335997,1.2317573,0.13336816,-1.1723919,-1.638662,0.3478377,1.0212567,-0.28984022,0.14381568,1.1051568,0.41382128,0.23948401,1.231104,-1.1192008,-1.0944247,1.5131333,1.0749427,1.6209954,0.15360624,-0.39627582,1.5504526,0.6193446,-0.30522552,-0.27454257,-0.091648005,-1.468533,-1.2135495,0.33628428,0.7061627,1.6731111,0.26679078,-1.1197609,0.6806845,-1.2319071,0.10765,-1.0285842,-0.91868734,1.3763745,0.106330335,0.83975756,-1.1836354,-0.39267504,-0.2941065,1.7539998,0.9557319,1.1393054,0.5867851,-1.5531294,0.9449826,0.85561377,0.8804004,-0.32669774,-0.832548,-0.094395906,-0.47490168,-1.2958158,1.2258348,0.39181322,-1.1290059,0.21783715,1.6413692,0.1598815,-1.6275328,1.6220287,0.654002,-0.027520383,1.5117953,-0.13526021,-1.0311556,-1.7296963,0.88904595,-1.2630192,1.1122725,-1.5897603,0.52418435,-1.7290643,0.6022568
9,0.46420646,0.32109898,-1.594091,1.281895,0.3348788,0.9483083,1.5242271,0.22081342,0.21628559,1.3520709,0.5319317,1.0405787,0.18903804,1.541932,0.17240468,-1.1964592,-1.6503342,1.4528011,-1.455978,0.27794024,-0.1441209,0.97859585,-0.46647012,-1.1707586,-1.0416822,-1.3072078,0.04610897,-1.4661623,-0.18916406,-1.0994633,-1.1282368,0.85687715,1.0411237,0.89619696,-0.3729446,-0.266344,0.63497955,0.36906633,0.14633335,-0.8641654,-0.82976675,0.22651488,0.93882793,-0.38221693,0.050621357,1.6727625,-0.28288558,1.0973332,0.22941542,-0.41624826,0.16571067,-1.5281982,0.16300842,1.200405,-1.4382054,0.5260967,-1.4341077,-1.2325985,0.46938398,0.1175578,-1.0677438,-0.66982526,-1.2811451,0.56547326,0.5914085,1.5524042,0.44477272,1.508025,1.0895163,0.37281674,0.12151767,-1.4866307,-1.1869878,0.31641224,-0.3688895,-1.2467079,1.0889169,-0.50016916,-1.520433,-1.5236948,-1.447358,-0.7243488,0.0008339106,0.097028226,-1.3003647,-1.3613255,-0.04341393,0.38144666,0.028086953,0.14592919,1.5914575,1.1165735,0.9043091,-0.4034917,0.3227862,0.65907955,-0.2547415,-1.5323378,0.47657776,1.397374,-0.7535491,0.8464311
