,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0,0.31829494,0.13456012,-0.2588849,-1.6465313,0.250899,-0.2493144,-0.26892516,-0.5670725,-1.0661838,0.44736204,-0.6630909,-0.8178851,0.36665103,-0.001228645,-1.270227,-0.014565422,-1.1067854,0.9428655,1.243191,-0.033614732,1.2227442,-1.3717666,-0.0066262987,-1.5026127,-0.2734036,-1.3697118,-1.2879957,0.34190926,-0.97264224,-1.2209432,-0.8665067,-0.47467166,-0.10290023,-0.9793384,0.52141964,-0.10437215,0.03432143,-0.41412044,0.9410144,0.26291317,-1.1452746,0.74745214,1.6186786,0.095078096,1.3368438,-0.58311796,0.17605522,-0.22066283,-0.23406179,0.86459786,0.08352972,1.4905645,0.11944835,-1.5499746,-0.47370848,1.2244507,-0.29323342,-1.7198366,-0.796095,-1.465212,1.7316223,1.6078532,1.0058455,0.30754903,0.9401941,-1.1035306,-0.6146438,0.019762043,-0.4817294,-1.5442071,1.6666741,-0.18873557,-0.054746978,-0.6675214,-0.861765,-0.4241654,1.0927874,0.8242715,-0.36832917,-1.5897644,0.89396,-0.84606194,0.2230712,-1.6175627,0.48753813,-0.32875076,0.058330428,-0.30047324,-0.4726827,0.06602183,1.5832695,-1.3199042,-0.70146686,-1.6424936,0.91527927,0.5794697,-0.9957122,-0.2959761,0.5359573,0.582411,-1.0606639,1.3129165
1,1.9799942,1.9551879,0.9324855,-1.2662578,1.3347621,0.79200083,1.0422324,0.17264296,-1.0109991,1.4658903,0.39970765,-0.54137254,-0.8773817,1.3361001,-0.27697214,0.080239825,0.35213625,1.0826843,0.4378703,-1.1199441,0.30968705,0.04497814,0.1420199,0.658139,-0.9028188,-1.057598,-1.345476,-0.79856634,-1.7171451,0.5630104,-0.61748195,-1.048219,-1.434644,-0.70739216,-0.9121187,-0.7978514,-0.07998415,0.16149108,1.1154392,1.6566942,-1.541985,-0.86467355,0.46276993,-1.0610842,1.2694936,-1.0251786,0.79996705,0.57286286,1.0398762,-1.699405,-0.994837,0.6368531,-1.4468282,-1.7332584,-0.5066901,0.31961083,-1.5348182,-1.5855747,-1.4787053,-0.32495844,0.61405116,-0.9841617,1.2699136,-0.2791734,0.43105367,-0.7034504,0.51015174,1.5406048,-0.16217095,-0.99604,-0.22790158,-0.1772204,-0.041878384,0.030340334,-1.6433232,-1.188147,-0.20894445,0.7232874,1.0249625,1.0117942,-0.07605907,1.5836107,-0.62842673,-0.019109368,0.78173536,1.2491947,-0.2250666,1.1609559,-0.15363765,0.6434865,-1.7658399,-1.628961,1.4705921,-1.4308703,0.64968765,-0.68577623,-1.044098,-0.3962811,1.5138919,0.26946118,1.417403,0.7000471
2,-0.7765538,-1.7183324,-0.031691883,0.04370134,-0.87230366,-1.6799853,-0.27770126,0.24220365,1.2241826,0.6458807,1.3092033,1.4779552,1.4805791,0.99584895,-1.2813221,-0.6092869,-1.0239899,1.2232447,1.0277333,-0.53049976,0.23058952,1.1374538,1.135929,-1.0239234,0.77115405,1.0790917,-1.579374,-1.3883448,-0.25122494,-0.831873,1.3298811,0.8304424,0.77379894,0.9044839,-0.52188814,-0.9980062,0.44355932,-0.3164651,1.426055,0.47598046,-0.3597555,1.2784837,-0.48184508,-1.0035623,0.96188885,-0.11833814,-0.9232749,0.71145076,1.6787113,-0.95974654,0.9808103,0.8346164,-1.3354324,1.1431503,-0.13199317,-1.2885734,0.16288835,-0.77971977,-1.0355663,-1.4231701,-0.9983972,-0.2072432,0.45536906,-1.4739288,0.7677134,-1.3262813,-1.0245299,0.68976027,1.3667264,1.6402858,0.5449593,-0.058604054,-1.5355338,0.14499009,-1.144424,0.0137210395,0.33216152,1.1628006,-0.56229585,1.7327915,1.5443528,1.1219778,0.6015012,0.8651682,1.2149632,1.5634667,1.2767663,0.46104628,-1.417139,0.31978515,-0.56863666,-1.1363846,1.3068396,1.1039432,0.17943484,-0.076602995,-0.03221389,-0.84669185,-0.30032596,-0.18896188,-1.5767779,1.351364
3,-0.002026654,0.72111475,-1.6760925,-0.42516005,-1.2897085,-1.0411521,1.5408611,-0.42491397,0.7211877,-1.2313412,-0.83889174,1.3215203,1.3489203,-0.8406163,1.6296558,0.53588754,-0.01064946,-0.44912252,-0.5624186,1.5325413,0.67474836,0.20004967,-1.6155249,-0.88166213,1.5047612,0.2249729,-0.48922545,-1.7337786,-0.8776263,-0.718004,-1.0315584,-0.49177268,-1.0508116,-1.4397248,-1.3061947,-0.056407925,-1.4375497,1.5266988,-1.0498579,-0.13215728,-0.26264036,-0.6609555,-0.68789697,-0.8898805,-0.7810931,-1.3821312,0.6123651,0.5429683,-0.674556,1.2214808,-0.4423106,0.31629947,0.04728598,-0.6853867,1.544592,1.2152692,1.2316839,1.5164641,-1.6161777,0.012134048,1.5395176,-1.197549,-0.92325824,-0.02751034,0.6369966,-0.5637103,-0.5680736,0.9109387,-1.6138341,0.96993214,-0.21712421,0.48247957,0.66215146,-1.4443557,1.4546943,1.0711087,-0.46413487,-1.0776196,-1.4749298,-0.5833342,0.6166995,1.0761347,-0.6463706,-0.9347898,-0.6555195,1.6066018,-1.3171964,-1.1519117,0.696482,-1.3751566,-0.86931473,1.1165581,-0.7452644,0.30475137,0.3398833,-0.74600464,-0.87609804,-0.7444943,1.3406694,-1.6229002,-1.3224741,-0.5334754
4,-0.78319675,-1.5738635,-1.0102317,0.2435417,0.21626544,-0.04985973,-0.68359035,0.06187683,0.9162612,1.105193,0.18439415,1.0607138,-1.6763325,-1.3048528,0.8670847,-0.47306445,-0.64757645,0.21386026,-0.43990645,1.3872042,-0.42091188,1.2450796,0.32967025,1.3820921,-0.08030531,1.6163929,0.27082363,-1.6691221,0.7970155,1.3553905,-1.2715005,1.6905724,0.23902255,0.8077995,-0.8815366,1.5044692,0.50095224,0.1396206,1.5094427,0.18431845,0.14655438,-1.5091717,0.114016265,0.9295723,-0.47471032,0.61878085,0.165206,-0.99341166,0.15313317,-0.16941725,-0.6137614,0.49294627,-1.5374091,-0.5155927,-0.2309637,1.6508169,0.73048186,0.36972636,-1.1018571,-0.18610863,-0.40656254,1.5065861,-0.20123602,1.1846573,0.55007297,1.2403517,-1.6258413,1.4383932,1.5976092,-1.1730691,-1.4495108,-0.63252294,0.23540641,0.024811389,-0.23103255,1.3814279,0.19934756,1.5169771,0.3204654,-1.0035844,1.5019748,1.7312084,-0.2393815,0.9660061,0.40000615,-1.0074134,0.34006172,0.50586593,0.35428396,0.03272285,0.26013166,0.7841745,0.8836836,-1.4767712,1.5237153,-0.123338886,0.6950426,-0.39873454,-1.5192987,0.5898221,-0.41250885,0.18934208
5,1.0092574,0.6381587,-0.8489912,-1.0201229,-0.6095855,1.1012498,1.4770555,1.6840833,-0.3514348,0.9713388,-1.1413797,0.84454983,-0.31889713,1.09342,-1.0527346,1.0731422,-1.492553,1.150545,-0.26085636,-1.243009,-0.7107897,0.80621785,-0.21206464,-0.9303344,-0.92714345,0.69719225,0.51722443,-1.5412476,1.0511395,-1.1074394,-0.79912305,-1.6600274,0.034626566,1.1733127,1.4962337,-0.17376731,-1.3257385,-0.104684204,-0.76400274,-0.6603712,-0.8631737,1.6175762,-0.42204988,-1.6003088,-0.033711653,0.6930621,1.0626485,0.92608786,0.6996211,-1.1254183,-0.5701174,-0.20328993,-1.2773887,-0.3212753,-1.4224303,-1.4221002,1.2143701,-1.2250282,-0.03970204,0.47376537,1.5431433,-0.6208144,-1.1451653,1.2550294,-0.67628527,-0.7456157,-1.1134409,-0.26127642,-0.91933095,-0.4803446,-0.53944004,0.46773612,-0.2621583,0.555691,-0.7139086,-0.6456911,1.6596683,-0.9250354,0.97345805,0.74786675,0.4015387,-1.3686008,-1.7362123,0.9068327,-1.4898012,-0.81458,1.746608,1.5565842,1.4697082,0.17917621,-0.21090464,-0.0862809,-0.6097605,1.603584,1.1848594,1.7100252,-0.6931703,0.2796714,0.6684911,-0.37095517,0.31313258,-1.0278103
6,0.11468064,0.3363845,-0.68430156,-1.2627635,0.5670272,-0.5854376,-0.25343457,-0.39263508,-1.5839648,1.3889365,0.8917654,-0.61869067,1.3329178,0.5078851,1.7151964,-0.1939819,-1.36427,-1.3253378,0.8674514,0.25551754,-1.02947,0.24672171,0.07894044,1.1972953,-1.5682212,-1.3124812,-0.19419953,-1.2744347,1.6592162,-0.90914595,0.4617614,-0.14357516,1.0192945,-1.4737858,-0.54328924,-0.15107052,-1.2889578,0.48603594,0.061963107,1.1049858,-0.16605373,-0.6482855,-0.7153747,-0.80773836,1.4879416,1.0436709,-0.62320894,-0.14222369,-1.4147741,0.22066736,0.76467425,-0.996702,-0.231069,0.55935526,-0.20039387,0.18362048,-1.0346578,0.9604082,-1.257136,-0.062274326,-0.68170637,-1.2949715,1.1979159,-1.0832475,-0.09579856,0.36055416,-0.6963634,-0.13743402,0.1261406,-0.18835972,-0.43919936,-0.8516487,1.376089,-0.025757108,0.726404,0.081071936,-0.7686732,-0.0814948,1.1845356,1.3484946,1.3660548,-1.0350766,-0.5831316,-1.290104,1.6007069,0.48816955,0.7711683,-0.24713379,-0.83811104,-0.5078667,-0.7927025,0.16098772,1.0403666,1.1281184,-0.6559887,-1.0430392,0.78801864,-0.29501227,-1.065472,0.3863715,-1.2530736,-1.3728701
7,-1.3991821,-1.9481887,-1.7356522,-1.0088212,0.0110289445,-1.156277,-1.4880855,-0.003886014,1.3147987,-1.621677,-0.92322636,1.3914568,0.41227224,1.0460854,1.428314,-1.064847,0.80320376,-0.84890157,1.5383749,1.5501224,-1.231881,1.1620883,-1.6028421,0.31704155,-0.087640606,0.37296134,0.90610296,1.3077698,-0.016800603,-1.3346046,1.4401201,-1.4946109,1.0650455,-1.2462838,1.4049108,0.42721602,-0.6248189,1.2788697,-1.1369659,-0.9805068,-0.5731293,-0.23955831,-1.0652004,1.5284126,-0.22438596,1.5885924,-0.9455337,-0.07634556,1.0494317,1.5965847,-0.21902466,-0.16717802,1.4792932,-0.30410355,-0.20826983,1.5790057,0.024526555,-1.3741387,1.530748,0.04466085,-0.44272047,1.3733889,-1.7148684,1.5050676,-1.4333452,-1.4129152,1.6516094,-0.14344394,-1.100348,1.637318,-0.53410906,1.5996417,-0.21310031,-0.51430327,0.26604,1.3740265,1.5976372,0.6803184,-0.4064678,1.3062794,1.3118098,0.12082514,0.66056794,1.3484099,0.56360126,0.55332816,-0.34081772,0.32450107,-0.8393657,-1.4448398,-0.89741933,-0.1431001,-0.5930513,0.67286634,-0.32133174,0.06340047,-0.7283402,-1.4526806,0.7888957,-0.9182957,-0.08116173,0.330018
8,0.6058839,0.13946757,0.5653843,-0.27784148,-0.66765636,1.2703773,0.5072855,-0.8528967,0.8544447,0.16663586,-0.22655112,-1.4078727,-1.0222598,-1.4739131,0.6895958,0.8192037,-0.24208008,-1.5553374,-1.1476146,1.5082337,1.3849465,-0.26978225,-1.2742515,-0.21418294,-0.25475827,-1.63643,0.7641882,0.5564165,0.27154002,1.1694255,1.1309556,-0.95343786,-1.5241315,-0.42547348,1.3330212,0.922685,-0.81001467,0.8126841,0.17191556,-0.7726318,0.8074868,-0.68775713,-0.62298,-0.9212079,0.1839002,-0.2032721,0.40890625,-1.688354,-0.34316,-1.6777186,-0.7288696,-1.4822584,0.12401473,1.4333272,1.2743772,-0.02187023,-0.5109695,-1.8070841,0.53588265,-0.5791573,-0.33867937,0.43894312,-1.1334127,0.16665703,-0.16422018,-0.41917205,1.2868876,0.75268304,-1.175757,1.3973697,-1.6661687,-0.89757186,-1.360196,-0.6059754,-1.2636851,-0.7872036,-0.37864798,-0.09994957,-0.75081277,-1.4026338,0.048327442,0.44058883,0.47179523,-1.6065964,-1.4118438,0.6131531,-1.2949698,-1.4739702,-0.12940852,-0.58667886,0.5430161,-1.5756372,-1.0060395,-0.7888927,-0.52030206,-1.6165718,0.18380791,-1.7210062,-0.6542304,1.4345313,-1.101449,0.4817283
9,0.37133896,-0.029412579,-0.18731833,1.5181094,-0.11904526,-1.0222623,1.7254144,0.7998015,-1.3217647,0.13735029,-0.63910574,1.3238724,-1.235335,0.3976048,1.5964559,1.3934412,1.3570299,0.526819,-0.6823787,-1.4682574,-1.1902382,1.4434149,0.6995138,-1.3694983,1.6044075,0.062266175,-1.1331885,-0.0721047,-0.3751055,-0.85578114,0.50601405,0.14731646,-0.7953008,1.0136192,0.17911598,-0.6088,-1.1396698,-0.01564612,-1.2265141,1.4078486,0.018035272,1.4766691,-0.70103997,-0.04068461,0.05703128,1.3982531,-1.396832,-0.32244778,-1.473662,1.3385783,1.0735269,-0.40517053,0.5469297,0.09030911,0.40547743,1.2290703,1.7414148,-1.5324229,0.27875805,1.4413718,-0.3197278,-0.7942635,-1.3186665,0.38859388,-1.0005982,-0.41326353,-0.23686673,0.3751283,1.6114956,1.6587448,-0.65734434,-0.8212661,0.714646,0.5959217,-0.8200064,1.4957825,0.98831284,-1.0641727,0.042058833,-1.3198379,-0.0030618312,0.21445669,-1.1395004,-1.4456695,-1.1584607,0.0077010933,-1.4549513,-1.1119787,-1.0064569,-0.36110878,0.06683925,-0.42091134,0.44876733,1.4797716,-0.84119093,1.703585,-0.57814616,0.34551,-0.45190078,0.6472955,1.2064863,1.0095029
