,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200
0,-0.033616934,0.41211745,1.0,0.0,-0.5701504,-0.1171337,0.052999496,4.0,2.0,-0.027075956,1.6618105,0.009165761,-0.6678595,-1.0124546,-1.2330437,0.31403074,0.55451614,-0.15488987,-0.84192485,-0.31737652,-0.17141274,-0.045419082,-0.12554432,-0.14105363,-0.14081515,0.00096991274,-0.057743557,-0.03163093,-0.03244741,-0.0849186,-0.031666555,-0.07797817,-0.052962277,-0.055367965,-0.3854928,-0.13610482,-0.07797058,-0.30358827,-0.2839258,-0.16993308,-0.08424673,-0.119535744,-0.2032062,-0.023013035,-0.27943242,-0.17079352,-0.27465695,-0.054345082,-0.06376102,-0.10614823,1.3011348,-0.72144663,-0.3726396,-0.14998296,-0.25907433,-0.14301957,0.044799276,1.8812374,-0.17987756,-0.19312154,-0.08129247,-0.394633,-0.21135591,-0.21841268,-0.14717694,-0.0462803,-0.08539294,-0.032888565,-0.046387963,-0.14475471,-0.057606895,-0.091654584,-0.14086615,-0.2903989,-0.059499748,-0.08921704,-0.17187905,-0.13963787,-0.22802414,-0.09045934,-0.06453124,-0.20705086,-0.063717365,-0.078697756,-0.045328792,-0.032100588,-0.9061025,-0.17509446,-0.6136068,0.6326416,0.08125381,0.040366843,0.8019442,-0.48987266,-0.34176537,-0.26577783,-1.3878311,-1.9146879,-0.97590554,-0.360521,-0.6093413,-0.28522432,-0.23933835,-0.4932647,-0.27888182,-0.2385516,-0.62383604,2.6694121,-1.4074025,0.6454078,0.59778523,-0.12829812,-0.48850855,-0.95817524,1.3118935,-0.9577657,1.5067172,-0.094206005,0.35995933,0.9581518,0.019256543,-0.77421975,-1.1026987,-1.4463463,0.8117113,-0.16255945,-1.2194511,1.3306746,-0.7999961,-0.32926425,-0.69749403,0.46158937,0.29312566,0.3814847,-0.77485704,-0.6991198,-0.89796937,-0.6210458,-1.2830935,-1.1773293,1.6108552,1.5329791,-1.046634,-1.6069901,-1.1036812,0.68719643,1.0052996,-1.6764168,0.24583814,-1.7343833,0.14111595,0.43538773,1.6789457,-0.7845025,1.0491458,1.2895039,1.4604369,-1.7848907,-0.09755978,1.6832893,-0.3206576,1.1019137,0.22683033,0.8981862,-0.05580183,-1.5888084,-1.4456673,-1.3327318,-0.95250976,1.5893488,0.50655925,1.0871195,0.19035222,0.42085543,1.0620481,1.4798535,1.3968812,1.1014638,-1.3635274,-0.48242494,-1.5806787,0.17750858,0.99743056,-1.5345114,-1.0411861,-0.50645226,-0.8416935,0.9191165,-0.5212736,0.4859926,-0.016902117,0.20886841,1.5331174,1.4890285,-1.3363205,1.2320445,-0.5442511,-1.4037803,-0.42111608,0.009477832,1.5892806,-0.48326746
1,-0.033616934,-0.36786675,1.0,1.0,-0.39345407,0.2226337,-0.7784363,1.0,1.0,0.11701902,-0.08293067,-0.47808275,-0.6678595,1.5329367,0.7533614,0.21507306,0.55451614,-0.15488987,0.4880072,-0.31737652,-0.17141274,-0.045419082,-0.12554432,-0.14105363,-0.14081515,0.00096991274,-0.057743557,-0.03163093,-0.03244741,-0.0849186,-0.031666555,-0.07797817,-0.052962277,-0.055367965,-0.3854928,-0.13610482,-0.07797058,-0.30358827,3.5362742,-0.16993308,-0.08424673,-0.119535744,-0.76920056,-0.13076642,-0.27943242,-0.17079352,-0.27465695,-0.054345082,-0.06376102,-0.10614823,0.14916837,-0.72144663,-0.3726396,-0.14998296,-0.25907433,-0.14301957,0.044799276,-0.580437,-0.17987756,-0.19312154,-0.08129247,-0.394633,-0.21135591,-0.21841268,-0.14717694,-0.0462803,-0.08539294,-0.032888565,-0.046387963,-0.14475471,-0.057606895,-0.091654584,-0.14086615,-0.2903989,-0.059499748,-0.08921704,-0.17187905,-0.13963787,-0.22802414,-0.09045934,-0.06453124,-0.20705086,-0.063717365,-0.078697756,-0.045328792,-0.032100588,-0.9061025,-0.17509446,-0.699533,-0.81647843,0.43187225,0.3159726,0.8019442,1.0765806,-0.34176537,-0.26577783,-1.3878311,0.85477877,-0.97590554,-0.360521,-0.6093413,-0.28522432,-0.23933835,2.812362,-0.27888182,-0.2385516,-0.62383604,-0.37570524,0.71332836,0.6454078,0.59778523,-0.12829812,-0.48850855,-1.6820483,1.2725434,-1.2903693,-0.03190391,1.144464,0.024627183,-0.15655643,0.9911919,-1.7326581,0.24564645,-0.2880085,1.6640706,1.1040969,-1.5745982,-1.104966,-0.18147443,0.6626657,-0.5716861,-0.47043768,1.4842451,1.6083462,-0.29693735,1.3967532,-0.6312905,-1.4899445,0.04263759,0.57793015,1.3652294,1.5500939,0.9250332,0.93259746,0.6797349,0.6930395,0.9622013,1.6740733,-0.47222438,-1.4529579,-0.82045275,-1.0154771,-0.4549327,1.1438327,-1.5378771,-0.15804078,1.0881972,-0.8744069,-1.5143718,-0.92886823,-1.4033487,1.081106,-1.0988755,-1.0764964,1.0850257,1.160944,0.28698114,1.4270809,-1.6286744,1.5896318,0.29094568,-0.694496,1.0792052,0.50565636,1.6763159,-1.3618765,0.24787977,-0.090211354,0.6045304,-0.89575696,-1.5957173,0.17000788,-0.48664007,1.3030381,-0.10566246,-0.32060102,0.4818117,0.0046916786,1.613459,1.004445,-0.0052792463,-1.0661424,0.356444,0.8234566,0.8721714,1.759642,-0.9926247,-0.25585732,-0.28055447,-0.65655965,-0.47032392,-0.100848734
2,-0.033616934,2.4219832,1.0,1.0,-0.5701504,0.027457755,0.011679632,0.0,0.0,5.016248,-0.25740477,-0.32552093,-0.6678595,-1.0124546,-1.2330437,0.18562411,0.55451614,-0.15488987,-0.84192485,-0.31737652,-0.17141274,-0.045419082,-0.12554432,-0.14105363,-0.14081515,0.00096991274,-0.057743557,-0.03163093,-0.03244741,-0.0849186,-0.031666555,-0.07797817,-0.052962277,-0.055367965,-0.3854928,-0.13610482,-0.07797058,-0.30358827,-0.2839258,-0.16993308,-0.08424673,-0.119535744,-0.04378225,0.00040154808,-0.27943242,-0.17079352,-0.27465695,-0.054345082,-0.06376102,-0.10614823,0.14916837,-0.72144663,-0.3726396,-0.14998296,-0.25907433,-0.14301957,0.044799276,-0.580437,-0.17987756,-0.19312154,-0.08129247,-0.394633,-0.21135591,-0.21841268,-0.14717694,-0.0462803,-0.08539294,-0.032888565,-0.046387963,-0.14475471,-0.057606895,-0.091654584,-0.14086615,-0.2903989,-0.059499748,-0.08921704,-0.17187905,-0.13963787,-0.22802414,-0.09045934,-0.06453124,-0.20705086,-0.063717365,-0.078697756,-0.045328792,-0.032100588,-0.9061025,-0.17509446,0.23218489,0.29474515,0.38497895,0.40576002,0.08099617,-0.48987266,-0.34176537,-0.26577783,-1.3878311,0.85477877,-0.97590554,-0.360521,-0.6093413,-0.28522432,-0.23933835,-0.4932647,-0.27888182,-0.2385516,-0.62383604,-0.37570524,0.71332836,-1.5586697,-1.6810802,-0.12829812,-0.48850855,0.14718497,-0.8491617,-1.2094766,-0.6485552,-1.2998588,-0.6564974,0.65538555,0.3049986,1.6544778,0.20464562,0.1931431,0.47970882,0.841642,0.33766046,0.3011204,0.34774756,-0.533519,0.9859817,0.37773407,-0.6503591,-0.8474473,-1.4302669,-0.483883,-1.7353824,-1.1957163,-1.5734934,-0.77844054,-0.52043426,0.25217992,0.9422588,0.46827593,-1.262002,1.3501179,0.8322326,-0.004246981,0.47813162,0.021090548,-1.0694703,0.44117853,1.6876707,1.0039526,-1.1148901,-1.2933106,1.4862278,1.3698295,0.878282,0.9027197,-1.2039526,1.0956652,-1.0212471,-1.215801,-0.3251767,-1.6899341,1.1695684,-1.162052,0.771271,0.260355,0.99777097,0.33632052,1.5440013,-0.47990406,-0.045793332,-0.5610752,0.80844903,-0.67366105,1.1212254,-1.4364285,-0.893292,-0.20419316,-1.3076136,-1.0221506,1.2152969,-0.48214564,-0.9289106,1.0933443,0.26124132,0.46816942,1.3844277,0.6555802,-0.8327089,-1.6988999,0.16454364,0.75342566,1.0718527,-1.0863122,0.4506227,1.4971334,-0.8407348,-0.7672452
3,-0.033616934,-0.28828403,1.0,1.0,0.13663484,-1.202066,-0.7784363,0.0,2.0,-0.17117094,0.26601756,-0.99679285,0.5112655,1.5329367,0.7533614,-0.92444736,0.55451614,-0.15488987,0.47064734,-0.31737652,-0.17141274,-0.045419082,-0.12554432,-0.14105363,-0.14081515,0.00096991274,-0.057743557,-0.03163093,-0.03244741,-0.0849186,-0.031666555,-0.07797817,-0.052962277,-0.055367965,2.6084547,7.385687,-0.07797058,-0.30358827,-0.2839258,-0.16993308,-0.08424673,-0.119535744,-0.3079793,-0.13076642,-0.27943242,-0.17079352,-0.27465695,-0.054345082,-0.06376102,-0.10614823,1.3011348,2.211827,-0.3726396,-0.14998296,-0.25907433,-0.14301957,0.044799276,-0.580437,-0.17987756,-0.19312154,-0.08129247,-0.394633,-0.21135591,-0.21841268,-0.14717694,-0.0462803,-0.08539294,-0.032888565,-0.046387963,-0.14475471,-0.057606895,-0.091654584,-0.14086615,-0.2903989,-0.059499748,-0.08921704,-0.17187905,-0.13963787,-0.22802414,-0.09045934,-0.06453124,-0.20705086,-0.063717365,-0.078697756,-0.045328792,-0.032100588,-0.9061025,-0.17509446,0.5893594,-1.0311629,0.8072716,-0.04317714,-1.0004258,1.0765806,-0.34176537,-0.26577783,1.0504361,0.85477877,-0.97590554,-0.360521,2.015559,-0.28522432,-0.23933835,-0.4932647,-0.27888182,-0.2385516,1.6069402,-0.37570524,0.71332836,0.6454078,-1.6810802,-0.12829812,-0.48850855,-0.25492787,0.24277724,1.7673142,0.35202658,1.2743689,0.51367533,-0.065190695,-0.71426296,-0.5891298,0.962091,-1.1073401,-1.263089,-0.965499,0.5183857,-0.46580774,-1.0344013,-0.6162559,-1.4475884,-0.20500755,1.0998371,-0.15315975,-0.16345075,-1.5770841,-0.80965227,-1.516804,-1.6172556,1.29651,0.7466598,1.0824867,-1.2348397,-0.4284965,1.3965274,-0.22369516,1.5222622,1.6283582,-1.7647349,-0.24350806,0.3769134,-0.5737974,-0.41228348,-0.44613054,-0.9422188,-1.6157926,0.8096894,1.6770663,-1.6018012,1.250955,0.18075362,-1.6731741,-1.4563154,0.056156244,-1.3719169,-0.6493634,-0.7968178,1.6190369,-0.18098062,-0.775447,1.5935715,1.6071328,0.7152542,-1.3359795,1.3364528,-0.2040464,0.958701,0.751656,0.6076806,0.92526513,1.0854249,-0.12130907,-0.07416413,-1.3785206,-0.41147903,1.3132418,-0.9234945,0.76152116,1.0717068,-1.0414361,0.943933,0.4617297,1.6600081,-0.40648153,0.8752095,1.2334471,-0.42807266,-0.9695735,-0.47383177,0.50446796,-0.8434971,1.2665678
4,-0.033616934,0.07711251,0.0,0.6690231,0.49002746,2.3596833,1.0270067,2.0,0.0,-0.45936087,0.6149658,-0.5085951,-0.6678595,-1.0124546,-1.2330437,1.5971415,0.55451614,-0.15488987,0.7464278,-0.31737652,-0.17141274,-0.045419082,-0.12554432,-0.14105363,-0.14081515,0.00096991274,-0.057743557,-0.03163093,-0.03244741,-0.0849186,-0.031666555,-0.07797817,-0.052962277,-0.055367965,2.6084547,-0.13610482,-0.07797058,-0.30358827,-0.2839258,-0.16993308,-0.08424673,-0.119535744,0.61446327,0.7103492,-0.27943242,-0.17079352,-0.27465695,-0.054345082,-0.06376102,-0.10614823,0.14916837,-0.72144663,-0.3726396,-0.14998296,-0.0246561,0.0024478515,0.047173027,-0.0049236035,-0.03831771,-0.06785662,0.057683885,-0.10809561,-0.120750256,0.012617632,-0.20772326,-0.14102753,-8.937347,0.015392914,-0.004098862,-0.062134907,-0.11656078,-3.6569102,0.046774894,-0.01953017,0.0946717,-0.074132666,-0.04561551,0.0049748803,-0.15510185,-0.09045934,-0.06453124,-0.20705086,-0.063717365,-0.078697756,-0.045328792,-0.032100588,1.3974367,-0.17509446,-0.9286694,-0.60179394,-0.51049846,2.470871,0.8019442,-0.48987266,-0.34176537,-0.26577783,-1.3878311,-1.9146879,1.6004246,-0.360521,-0.6093413,-0.28522432,-0.23933835,-0.4932647,-0.27888182,-0.2385516,-0.62383604,-0.37570524,0.71332836,0.6454078,0.59778523,-0.12829812,2.056869,-0.7054067,0.93108636,-0.560052,0.058900353,1.2273815,-0.076800466,0.46339545,-0.5858717,-0.17860326,-1.545169,0.09168869,-0.18779919,-0.6632049,-1.1698716,-0.57440674,-0.72797877,-0.50688416,1.0957134,1.3867059,1.4618013,-0.23722857,1.356339,0.33327934,1.6866313,-1.3425726,0.8400932,0.32069814,0.05509154,0.8318068,1.1398215,1.1814046,-0.6112919,-0.40388966,0.35358515,-1.6062005,1.0804185,0.28570125,-0.10976875,0.42962918,1.5750936,1.1224822,0.53917384,-0.99132854,1.6268436,-0.4474385,1.4227358,-0.01401045,0.6226386,1.3593285,-1.4930718,-0.7354291,-1.1188693,-1.5273697,-0.56604797,1.4293704,-0.9473132,-1.3743335,1.6063502,-0.03335669,-0.13246411,0.6058533,1.0802808,-0.9476236,-1.0634308,-0.2538357,1.2933447,1.480637,-1.0487283,0.6823808,-0.20746562,1.2550603,-0.6715657,-0.83943456,-1.5989816,1.1794184,-1.1732597,-0.7583919,-0.89233613,1.3681215,-1.4765847,-0.5827528,0.61356956,-1.1534711,0.27011916,-0.2593217,-1.7080823,0.3438651,-0.53398937,-1.0581268
5,-0.033616934,1.5650283,0.0,0.0,-0.21675777,0.13088256,0.32753524,0.0,0.0,-1.6121206,-0.9553012,-0.78320634,-0.6678595,-1.0124546,-1.2330437,0.5040211,0.55451614,-0.15488987,1.1869595,-0.31737652,-0.17141274,-0.045419082,-0.12554432,-0.14105363,-0.14081515,0.00096991274,-0.057743557,-0.03163093,-0.03244741,-0.0849186,-0.031666555,-0.07797817,-0.052962277,-0.055367965,2.6084547,7.385687,-0.07797058,-0.30358827,-0.2839258,-0.16993308,-0.08424673,-0.119535744,1.0756845,2.3925803,-0.27943242,-0.17079352,-0.27465695,-0.054345082,-0.06376102,-0.10614823,0.14916837,-0.72144663,1.1476495,-0.14998296,-0.25907433,-0.14301957,0.044799276,1.8812374,-0.17987756,5.579661,-0.08129247,-0.394633,-0.21135591,-0.21841268,-0.14717694,-0.0462803,-0.08539294,-0.032888565,22.33587,-0.14475471,-0.057606895,-0.091654584,-0.14086615,-0.2903989,-0.059499748,-0.08921704,-0.17187905,-0.13963787,-0.22802414,-0.09045934,-0.06453124,-0.20705086,-0.063717365,-0.078697756,-0.045328792,-0.032100588,1.3974367,-0.17509446,-0.9286694,-0.22609618,-0.23839676,-0.04317714,-1.0004258,1.0765806,-0.34176537,-0.26577783,1.0504361,0.85477877,-0.97590554,-0.360521,0.7031087,-0.28522432,-0.23933835,1.1595486,-0.27888182,-0.2385516,-0.62383604,-0.37570524,0.71332836,0.6454078,0.59778523,-0.12829812,-0.48850855,1.642627,1.1985765,-0.1159275,-0.58088744,-1.7191182,0.7620776,-0.7859468,-0.0039273608,0.3673334,0.87721616,-1.175174,-1.4241611,1.0079458,-1.5831212,-0.3414136,-1.6256852,-1.038565,-1.0706421,1.1935815,0.8617955,-0.8507591,0.30433333,0.017546434,-1.4629691,-0.5136741,0.81884784,-1.3079209,-0.89583886,-0.5627939,-1.6718276,0.9822091,-0.43145603,0.47806022,0.10860926,0.98742986,0.5316654,-0.3616387,-1.2247624,-0.31304973,-1.6841357,-1.4174604,1.1443175,0.07255929,1.0059029,0.7756842,0.10588338,0.7852969,1.5588675,1.5725517,-0.80223054,1.3700771,-0.10391555,-0.9577673,-0.33057293,0.29054776,1.3002276,1.3752475,0.25122198,1.0542043,0.06379256,-1.4833065,-0.26135713,0.69061375,0.8493123,0.6039243,-1.6883157,0.63176054,1.6630397,-0.9985948,0.71217704,-1.0401734,0.95589525,1.4868128,-0.96460426,1.0360292,-0.70646334,1.321095,-1.652523,0.7969004,-1.0072925,-0.47955835,-1.1785564,1.1049418,-1.0539544,-0.5069875,-0.4830239,-0.83417416,-0.9591862,0.86812305
6,-0.033616934,-0.95213664,0.0,1.0,1.1968127,0.2226337,-0.17662194,4.0,1.0,0.8374939,1.1383882,1.444196,-0.6678595,-0.5882227,1.7465639,-0.6169885,0.55451614,-0.15488987,1.1869595,1.2060615,-0.17141274,-0.045419082,-0.12554432,-0.14105363,-0.14081515,0.00096991274,-0.057743557,-0.03163093,-0.03244741,-0.0849186,-0.031666555,-0.07797817,-0.052962277,-0.055367965,2.6084547,-0.13610482,-0.07797058,-0.30358827,-0.2839258,-0.16993308,-0.08424673,-0.119535744,-1.2304218,-1.8129976,-0.27943242,-0.17079352,-0.27465695,-0.054345082,-0.06376102,-0.10614823,0.14916837,-0.72144663,-0.3726396,-0.14998296,-0.25907433,-0.14301957,0.044799276,-0.580437,-0.17987756,-0.19312154,-0.08129247,2.6800718,-0.21135591,-0.21841268,-0.14717694,-0.0462803,-0.08539294,-0.032888565,-0.046387963,-0.14475471,-0.057606895,-0.091654584,-0.14086615,-0.2903989,-0.059499748,-0.08921704,-0.17187905,-0.13963787,-0.22802414,-0.09045934,-0.06453124,-0.20705086,-0.063717365,-0.078697756,-0.045328792,-0.032100588,-0.9061025,-0.17509446,-0.06940782,-0.60179394,-0.28789258,0.13639772,-1.0004258,-0.48987266,2.029522,-0.26577783,1.0504361,0.85477877,1.6004246,-0.360521,-0.6093413,5.3567166,-0.23933835,1.1595486,-0.27888182,-0.2385516,1.6069402,-0.37570524,0.71332836,0.6454078,0.59778523,-0.12829812,2.056869,0.2690564,0.9661639,-1.1308838,0.2012818,-1.4943596,-1.4145396,-0.20765065,0.27367118,0.6815664,0.23047774,-1.4592751,-0.4374569,0.8808211,1.4769385,1.420368,-0.04561355,1.4617699,-0.8538319,0.4204333,0.93109757,-1.6936291,-1.3937016,-0.5745285,-1.0275029,-1.1633643,0.12970038,0.50273496,-0.047175884,0.628211,-0.60669535,-0.42613065,-1.3561479,-0.9636189,-0.030131197,1.1530755,-0.12071676,1.3128997,1.610473,0.89204365,0.9701595,-1.6396815,0.6670831,-1.5872948,0.8901663,-0.3160342,-1.4437562,1.5030011,-1.057933,1.6143374,1.064148,1.4191769,0.4323313,-0.45300868,0.66513306,-0.13357039,0.7549652,1.5505083,-1.5329396,-1.1690987,-0.27431422,-1.7216568,-0.52921534,-0.2667726,-1.1598105,-1.5488667,0.5439621,-0.91257125,0.70137,-0.27956328,1.348025,-0.7021868,0.17578307,-0.787741,1.5568967,-0.8465971,0.6147328,-0.4965138,0.6565447,0.33343396,0.94952077,0.40586147,-0.1555438,-0.15067092,-1.2110916,-1.3446512,-1.2158941,1.4657972,0.58450705,1.4331557
7,-0.033616934,-0.6312968,0.0,1.0,1.9919461,0.5788086,-0.7784363,0.0,1.0,-0.14155,0.30360574,-0.5085951,-0.6678595,1.5329367,0.7533614,-0.034285318,0.55451614,-0.15488987,1.1869595,-0.31737652,-0.17141274,-0.045419082,-0.12554432,-0.14105363,-0.14081515,0.00096991274,-0.057743557,-0.03163093,-0.03244741,-0.0849186,-0.031666555,-0.07797817,-0.052962277,-0.055367965,-0.3854928,-0.13610482,-0.07797058,-0.30358827,-0.2839258,-0.16993308,-0.08424673,-0.119535744,1.0756845,1.5514648,-0.27943242,-0.17079352,-0.27465695,-0.054345082,-0.06376102,-0.10614823,-1.0027981,2.211827,1.1476495,6.667424,-0.25907433,-0.14301957,0.044799276,-0.580437,-0.17987756,-0.19312154,-0.08129247,-0.394633,-0.21135591,-0.21841268,-0.14717694,-0.0462803,-0.08539294,-0.032888565,-0.046387963,7.379202,-0.057606895,-0.091654584,-0.14086615,-0.2903989,-0.059499748,-0.08921704,-0.17187905,-0.13963787,-0.22802414,-0.09045934,-0.06453124,-0.20705086,-0.063717365,-0.078697756,-0.045328792,-0.032100588,0.2511007,-0.071354106,-0.3577925,-0.23842144,-0.41248566,1.3036343,-1.0004258,-0.48987266,-0.34176537,-0.26577783,1.0504361,0.85477877,-0.97590554,-0.360521,0.7031087,-0.28522432,-0.23933835,-0.4932647,-0.27888182,-0.2385516,-0.62383604,-0.37570524,-1.4074025,0.6454078,0.59778523,-0.12829812,-0.48850855,0.39790303,-1.0362436,-1.6333873,0.1614919,1.5658925,0.98894167,-1.4750828,-0.5131134,-1.3408234,-0.8130009,0.6446942,-0.6145268,0.077122055,-0.7737966,-0.33058557,-0.44019112,0.25201076,-1.45698,1.7265408,-1.255261,-1.5127842,1.3953601,-0.42447856,-1.7645136,-0.89323795,1.0185993,0.8684755,0.50717056,1.0658486,-0.082324594,1.4849079,-0.87401146,-0.0074474723,1.1816987,0.15802893,-0.94356334,-0.58669263,1.3440105,0.051092084,-0.5160948,0.49211714,-1.2315192,0.8453089,-0.43805104,0.002951341,-0.526072,1.2445546,-1.0878484,1.2954599,0.6334552,-1.1237478,-1.1918477,-0.77702004,-0.21507935,1.5282754,0.9314712,-0.76547325,-0.04695555,-1.5955628,0.90915483,0.70070964,0.46508557,0.3571124,-1.5062703,0.082967505,0.4230409,0.4134414,1.3801453,-0.5849944,-0.90091974,-0.22956392,0.4399285,1.1926005,0.85771865,-0.027943997,-0.38971403,0.8574457,-0.45196313,-0.33623493,-1.6986,0.001361164,-1.0166031,1.6640968,-1.4356936,-1.6130296,0.04357259,1.6531417,-0.7862541,-1.3400261
8,-0.033616934,0.15590255,0.0,1.0,0.8434201,0.93498355,-0.17662194,0.0,1.0,-0.3152659,0.6149658,0.6508746,1.6903905,1.1087048,0.7533614,0.392275,0.55451614,-0.15488987,0.8488121,4.2529373,-0.17141274,-0.045419082,8.101549,-0.14105363,-0.14081515,0.00096991274,-0.057743557,-0.03163093,-0.03244741,-0.0849186,-0.031666555,-0.07797817,-0.052962277,-0.055367965,-0.3854928,-0.13610482,-0.07797058,-0.30358827,-0.2839258,-0.16993308,-0.08424673,-0.119535744,0.48794597,0.053611882,-0.27943242,-0.17079352,-0.27465695,-0.054345082,-0.06376102,-0.10614823,-1.0027981,0.01187177,1.1476495,-0.14998296,-0.25907433,-0.14301957,0.044799276,-0.580437,-0.17987756,-0.19312154,-0.08129247,-0.394633,-0.21135591,-0.21841268,-0.14717694,-0.0462803,-0.08539294,-0.032888565,-0.046387963,-0.14475471,-0.057606895,-0.091654584,-0.14086615,-0.2903989,-0.059499748,-0.08921704,-0.17187905,-0.13963787,-0.22802414,-0.09045934,-0.06453124,-0.20705086,-0.063717365,-0.078697756,-0.045328792,-0.032100588,-0.9061025,-0.17509446,-0.06940782,-0.22609618,-0.068252176,1.3036343,-0.27947783,-0.48987266,2.029522,-0.26577783,-0.07615221,-0.073763795,-0.25484037,-0.360521,-0.6093413,-0.28522432,-0.23933835,-0.4932647,-0.27888182,-0.2385516,-0.62383604,-0.37570524,0.71332836,0.6454078,0.59778523,-0.12829812,-0.48850855,-1.4121145,-1.7833408,0.465045,-0.4690989,1.0417836,-0.98836434,0.19741368,-1.5796944,-0.6837171,1.4189063,0.38476843,-0.13740645,1.5605218,-0.5690536,-1.5218899,-0.17167021,0.27166352,1.0633279,-0.44127136,0.08350639,1.3826604,0.46176347,-0.7369466,1.4605832,0.23840001,1.1212107,1.0942146,0.5989924,-0.76234984,0.52900255,-1.292223,0.5378423,0.09006434,-0.60980815,-0.1995508,-0.78433794,-0.11567254,-0.17059802,-0.07657147,-1.6099448,-1.3112051,1.2282934,-1.1005547,-0.61880106,0.6245984,-0.39248,-0.35729364,-1.5658593,-0.22287966,0.31236014,-0.23189197,-0.41334438,-1.0824629,-0.40958703,-1.5410452,-0.83972,-1.7384821,-1.1555299,-1.5166768,1.4309614,0.042679958,-0.9877061,0.40016425,-0.8555032,0.5053095,0.12013588,-0.36087924,1.4042935,0.6667976,1.5156647,-0.786497,-0.3667398,0.55764085,0.44707298,-0.86689585,-1.422069,1.1409642,-0.56361353,-1.7851037,0.6667344,-0.6026677,0.7897887,-1.313343,-0.85633314,1.4652306,0.37533328,-0.35490683,1.2292595,0.60009974
9,-0.033616934,-0.36685634,1.0,1.0,0.6667238,0.2226337,0.42519242,4.0,0.0,-1.0357407,0.44049168,-1.0273052,-0.6678595,-1.0124546,-1.2330437,-1.0265443,-1.2775513,-0.15488987,-1.1800722,1.2060615,-0.17141274,-0.045419082,-0.12554432,-0.14105363,-0.14081515,0.00096991274,-0.057743557,-0.03163093,-0.03244741,-0.0849186,-0.031666555,-0.07797817,-0.052962277,-0.055367965,-0.3854928,-0.13610482,-0.07797058,-0.30358827,-0.2839258,-0.16993308,-0.08424673,-0.119535744,0.10965054,0.09769288,-0.27943242,-0.17079352,-0.27465695,-0.054345082,-0.06376102,-0.10614823,0.14916837,-0.72144663,-0.3726396,-0.14998296,-0.25907433,-0.14301957,0.044799276,-0.580437,-0.17987756,-0.19312154,-0.08129247,-0.394633,-0.21135591,-0.21841268,-0.14717694,-0.0462803,-0.08539294,-0.032888565,-0.046387963,-0.14475471,-0.057606895,-0.091654584,-0.14086615,-0.2903989,-0.059499748,-0.08921704,-0.17187905,-0.13963787,-0.22802414,-0.09045934,-0.06453124,-0.20705086,-0.063717365,-0.078697756,-0.045328792,-0.032100588,1.3974367,-0.17509446,-0.4990386,0.20327272,-0.94436634,-0.40232685,1.5228922,-0.48987266,-0.34176537,-0.26577783,1.0504361,0.85477877,1.6004246,2.7740946,-0.6093413,-0.28522432,-0.23933835,-0.4932647,-0.27888182,-0.2385516,-0.62383604,-0.37570524,0.71332836,0.6454078,0.59778523,-0.12829812,-0.48850855,-1.105837,-0.8291445,1.3862838,1.5698029,0.6386105,0.08454051,1.4637799,0.508313,1.4543846,0.7104266,-0.96904325,1.2883079,0.16733661,-0.59516996,-0.95590985,-0.81069493,0.11470501,-1.570667,-0.45503542,-0.8388041,-1.3621895,0.023099793,-0.4564158,1.274675,0.08575851,-1.2773132,-1.4897977,0.24231657,0.90538555,-0.294859,0.15715158,1.0195973,0.52250546,0.39614022,1.3897936,-1.2084247,-1.1428598,1.6377878,1.0162826,1.6485387,0.14862426,-0.2663768,1.5754203,0.4349206,-0.34460834,-0.22012593,-0.092664674,-1.4887228,-1.1937846,0.5379805,0.61965036,1.3249891,0.33074367,-1.237049,0.6499507,-1.2700856,0.08276545,-1.0189111,-0.7852582,1.2329568,0.1356935,0.83756673,-1.2071226,-0.21976872,-0.36239946,1.748681,0.8363581,1.1238191,0.65089643,-1.5103452,0.9352819,0.8143768,0.65899265,-0.21703815,-0.864761,-0.022814762,-0.3180369,-1.389708,0.85631305,0.55978477,-1.2182027,0.38248637,1.6059695,0.111269616,-1.6015733,1.6074853,0.4913086,-0.07256119,1.6074672
