,f,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
0,-0.84761226,-0.8471111,1.0,1.0,-0.052695837,-1.2473459,-1.160484,1.0,0.0,-0.93263775,-1.3997401,-0.5011157,-1.1245565,1.2059184,1.6180985,-1.5237126,0.78144675,0.29183322,1.3246847,0.6777528,0.16741206,0.7395168,-0.35193256,0.6591605,1.1538801,-0.11848785,1.4470211,1.0897467,1.6114771,-1.2584357,0.09057809,1.5136648,0.573668,1.2138541,1.6938884,-1.1164563,-0.88278866,1.3136255,1.4106816,1.0098653,-0.58123666,-0.15958935,0.4180331,-0.043308225,-0.060425133,-0.2183385,1.2745488,-1.0165786,0.6152743,0.71791506,1.4922984,-1.595585
1,0.09326931,-0.03762198,0.0,1.0,-0.1697648,-1.5199184,-1.5093902,0.0,1.0,-1.2324753,-1.2084286,-0.4759776,-0.028252134,0.5855957,1.1004094,-0.74367553,1.5154496,-1.5587773,-0.46857932,-0.96804607,-0.56061774,-0.14238185,0.04574984,-0.34385353,-0.9897588,-0.9803598,-1.0235887,0.8260718,-0.35709086,0.1506709,-0.008577093,-0.25015092,0.8674873,0.15323325,-0.5942133,1.6112266,-0.9479821,-1.3079059,0.40404972,0.051486034,-1.1463901,-1.4020227,0.17132321,-0.76091945,-1.3674561,-0.023032045,0.43265337,-1.5168496,-0.0076878713,-1.4458071,1.0379467,0.87711036
2,-0.29574972,-0.80027866,0.0,1.0,1.3951169,0.04728136,-1.1893675,0.0,1.0,0.11237718,-0.7806019,0.27938166,-0.6170679,0.9076798,0.035828773,1.6453735,0.15760724,1.4032968,-0.8983658,0.16558512,0.01795139,1.1172602,-1.4676803,1.1668346,1.0814389,-0.32388458,-1.7068301,0.96088105,0.55534106,1.2902735,0.23552509,1.5896331,-0.60248744,-0.603462,0.8722035,0.675335,0.83769,1.3869292,0.75549304,0.73595095,1.1313671,0.47731346,-0.65221095,1.1094725,-0.8735875,0.733339,0.09279777,-0.36875582,-1.0754502,1.3541423,-1.375245,1.0338606
3,0.9931,0.9872762,0.0,1.0,0.5254269,-0.745071,1.2639421,1.0,0.0,-0.17674711,0.66162485,-0.058470413,1.5866319,1.1191202,1.4368235,-1.5687966,-1.1120468,-0.030779816,0.76468784,-0.41620275,0.22641163,-1.503365,0.552553,0.6117755,-0.35299623,-1.2571192,-0.38118082,0.85919166,0.22708507,1.1695355,0.30434176,-1.1126952,0.37443787,-1.5958277,0.9151133,-1.0626291,1.4774785,-0.113177516,-0.19465141,-1.2289336,1.0091165,1.4310309,0.7102471,0.5504623,0.7366636,0.878926,0.72411144,-1.1652511,0.54447716,1.4397362,-1.5374917,-1.0953912
4,-0.12602387,-0.29706594,0.0,0.0,-0.7974805,1.1963573,-0.39578602,0.0,1.0,-0.4689245,-1.3111722,1.0885884,1.5209835,-1.1798694,-0.5927347,0.65178055,-1.3818324,-1.5256044,-0.63507473,-0.30947077,0.17142291,0.22913036,-0.55262136,-0.303371,-0.85775614,-1.0288287,0.87840086,-1.2559891,-0.23467982,-1.4186922,1.1848882,1.1645514,-1.2699666,0.72691864,1.5311345,-0.4200328,1.0223696,1.4937805,-1.7035094,-0.73776335,-1.6524718,-1.0867664,-1.6656196,-1.5943891,0.5369932,-0.7393061,1.182706,-0.5278649,1.3912376,-1.2788363,0.21561392,-0.7181795
5,-1.1214478,-1.3389498,1.0,1.0,-1.3401519,-0.1614849,-0.797322,0.0,0.0,-1.7669574,-1.6833804,1.4389132,-0.58593583,-0.7912837,-0.73190385,-0.8156854,1.0475341,-0.7498305,0.7107246,0.7002589,0.17698506,0.6724159,-1.1085463,-0.16418792,-0.007826465,-1.6352668,-1.0726675,1.5477318,0.4849742,1.4934567,-0.47203547,0.88704836,0.40172,0.3129656,-1.2424928,-0.9891165,-1.4923468,6.8485635e-05,-0.5282573,-1.0107352,-0.48530608,0.060932808,0.76670223,0.2815151,0.50125444,0.378467,-0.48060265,-0.5537929,0.19502448,0.8789218,1.4719049,1.1167235
6,0.1590732,-0.52685153,0.0,0.0,-1.658963,0.9923947,-0.9671346,0.0,1.0,-0.69814813,-0.29520947,1.6679267,-0.82509214,0.7832059,-0.26492417,-0.5779176,1.0306,-0.12177212,0.6801976,-0.8885604,1.1474301,0.78849703,0.049673554,1.0069209,1.4868097,0.99496514,-0.7949889,0.7845694,0.33376023,1.0262983,-0.34134924,-0.17037423,-1.3424015,-1.0221399,0.18209296,0.07612309,0.7939051,-0.7811123,-1.3195748,-1.0448064,-0.2816016,-1.1346413,-1.2753395,0.7497497,1.4462714,-1.5475937,-1.6525697,-0.68720925,0.25647327,1.53712,0.32652012,0.6085263
7,-0.7572327,-0.97913635,0.0,0.0,1.1873202,-0.48069367,1.1311667,1.0,0.0,-0.40064237,0.24606586,0.52321327,-0.6165563,1.1771953,1.7522769,0.291925,-0.8805504,-0.6738931,1.0507165,0.30484524,0.14807692,-1.147994,0.90800035,-1.2671487,-1.0863297,0.29836708,0.32590008,-1.0787132,1.4442328,0.57320744,1.1308795,0.94988865,0.13846517,0.41630483,-1.5663117,0.26420912,0.4252109,0.5799244,-1.0170851,-0.56429493,1.5813025,-0.82504827,0.7289959,-0.8441072,0.26979592,1.3306949,1.0861666,-1.5461148,-0.2592654,-0.36368835,1.4078826,-1.6081408
8,-0.09583499,-0.20463705,0.0,1.0,-1.6308838,0.5645989,0.83645844,1.0,0.0,-0.13645715,-0.9902557,1.4886471,0.7713911,-1.4612296,1.3516213,-0.6703669,-0.24535997,0.44964895,-0.05832042,0.21517266,1.5632287,-0.3371613,0.12841158,-1.1357287,-1.6237581,0.07208117,-1.4853383,0.64318043,-0.9931324,-0.1072681,1.1818539,0.6545477,-0.1925074,0.5905535,-0.5310628,1.3984417,-0.6439511,0.39341024,-0.18477583,-1.5314876,-0.3786149,0.28188255,-0.058721106,1.4855974,-1.280005,0.9021712,0.3999187,-0.45330122,0.16791403,-1.284309,0.36542678,-1.2580026
9,-0.3849165,-0.67782766,1.0,1.0,-0.35310307,-1.5052317,-0.88461775,1.0,0.0,1.522979,1.4468448,-0.6850794,-1.3060535,1.0074561,0.14154196,1.6462752,-1.4144032,-0.4508547,0.79344285,0.310935,1.1207567,0.8880615,-0.45804465,-0.46042794,-0.94310474,1.0672596,-0.3161283,1.241043,1.489335,-0.67318517,-0.47859156,-0.08556951,0.9158531,-1.7247751,-0.16040044,1.0272336,-1.2218151,0.8962321,-0.51583,-1.5635659,0.72194946,1.2227197,1.6923224,-1.2369524,0.33538586,-0.7974381,1.321822,-1.3378812,-1.0670717,-1.4640528,-0.64139444,1.548001
